	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn
Number of genes	1889	1916	1931	1957	1873	2736	1919	2558	1898	2110	1903	1864	1914	1913	1832	1907	1921	1937	1958	1852	1982	1969	1913	1938	1904	1902	1916	2150	2163	1892	1911	1906	1901	1913	2065	2668	2661	2645	2192	1910
Number of genes in orthogroups	1868	1914	1926	1929	1841	2509	1916	2372	1848	2080	1903	1797	1910	1910	1806	1906	1915	1929	1908	1791	1935	1935	1909	1905	1903	1899	1908	2105	2093	1861	1906	1906	1900	1910	1982	2655	2651	2631	2136	1907
Number of unassigned genes	21	2	5	28	32	227	3	186	50	30	0	67	4	3	26	1	6	8	50	61	47	34	4	33	1	3	8	45	70	31	5	0	1	3	83	13	10	14	56	3
Percentage of genes in orthogroups	98.9	99.9	99.7	98.6	98.3	91.7	99.8	92.7	97.4	98.6	100.0	96.4	99.8	99.8	98.6	99.9	99.7	99.6	97.4	96.7	97.6	98.3	99.8	98.3	99.9	99.8	99.6	97.9	96.8	98.4	99.7	100.0	99.9	99.8	96.0	99.5	99.6	99.5	97.4	99.8
Percentage of unassigned genes	1.1	0.1	0.3	1.4	1.7	8.3	0.2	7.3	2.6	1.4	0.0	3.6	0.2	0.2	1.4	0.1	0.3	0.4	2.6	3.3	2.4	1.7	0.2	1.7	0.1	0.2	0.4	2.1	3.2	1.6	0.3	0.0	0.1	0.2	4.0	0.5	0.4	0.5	2.6	0.2
Number of orthogroups containing species	1821	1861	1878	1867	1806	2305	1865	2209	1798	1954	1857	1749	1871	1863	1777	1859	1871	1881	1847	1740	1864	1865	1858	1851	1868	1862	1868	1981	1977	1816	1860	1859	1858	1871	1889	2563	2566	2551	1971	1859
Percentage of orthogroups containing species	41.9	42.8	43.2	42.9	41.5	53.0	42.9	50.8	41.3	44.9	42.7	40.2	43.0	42.8	40.9	42.7	43.0	43.3	42.5	40.0	42.9	42.9	42.7	42.6	43.0	42.8	43.0	45.6	45.5	41.8	42.8	42.7	42.7	43.0	43.4	58.9	59.0	58.7	45.3	42.7
Number of species-specific orthogroups	0	0	0	1	0	19	0	9	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	5	1	0	1	0	0
Number of genes in species-specific orthogroups	0	0	0	10	0	52	0	30	6	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	4	4	0	0	0	0	0	10	10	0	10	0	0
Percentage of genes in species-specific orthogroups	0.0	0.0	0.0	0.5	0.0	1.9	0.0	1.2	0.3	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.0	0.4	0.0	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
