Orthogroup	Syai	Prab
OG0000001	Syai.g_01716	Prab.g_00788, Prab.g_01279, Prab.g_01281
OG0000002	Syai.g_01728	Prab.g_00683
OG0000004	Syai.g_01994	Prab.g_00700
OG0000004	Syai.g_01062, Syai.g_00530	Prab.g_00223
OG0000005	Syai.g_02393	Prab.g_01682
OG0000005	Syai.g_02356	Prab.g_01542
OG0000006	Syai.g_00317, Syai.g_00547	Prab.g_00231
OG0000007	Syai.g_00657	Prab.g_00501
OG0000007	Syai.g_02378	Prab.g_01669
OG0000009	Syai.g_01626	Prab.g_01584
OG0000009	Syai.g_02541	Prab.g_00096
OG0000010	Syai.g_00864	Prab.g_01104, Prab.g_00478
OG0000011	Syai.g_01894, Syai.g_00582	Prab.g_01624
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Prab.g_00627
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prab.g_00315
OG0000014	Syai.g_00220	Prab.g_00294
OG0000015	Syai.g_01246, Syai.g_01245	Prab.g_00789
OG0000016	Syai.g_00014	Prab.g_00013
OG0000016	Syai.g_01632	Prab.g_01579
OG0000017	Syai.g_00801	Prab.g_00602
OG0000018	Syai.g_00915	Prab.g_01201, Prab.g_00867
OG0000019	Syai.g_00304	Prab.g_00239, Prab.g_00820
OG0000020	Syai.g_00476	Prab.g_01162, Prab.g_00379
OG0000022	Syai.g_01159	Prab.g_00782, Prab.g_01182
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prab.g_00348
OG0000024	Syai.g_01951	Prab.g_00763, Prab.g_00680
OG0000025	Syai.g_02044	Prab.g_00874, Prab.g_00319
OG0000026	Syai.g_00038	Prab.g_01629, Prab.g_00031, Prab.g_01111
OG0000027	Syai.g_01128, Syai.g_01654	Prab.g_00914, Prab.g_01616
OG0000028	Syai.g_00205	Prab.g_00308
OG0000029	Syai.g_01035, Syai.g_01584	Prab.g_00773
OG0000030	Syai.g_00096, Syai.g_00095	Prab.g_01867
OG0000033	Syai.g_02634	Prab.g_00160
OG0000034	Syai.g_02192, Syai.g_02604	Prab.g_01336
OG0000035	Syai.g_00955	Prab.g_01466
OG0000037	Syai.g_02544, Syai.g_02815	Prab.g_00100
OG0000038	Syai.g_02780	Prab.g_01908
OG0000039	Syai.g_02034	Prab.g_00691
OG0000041	Syai.g_02265	Prab.g_01715
OG0000042	Syai.g_00099	Prab.g_01864
OG0000044	Syai.g_00833	Prab.g_01648
OG0000045	Syai.g_02432	Prab.g_00360
OG0000047	Syai.g_00462	Prab.g_00318
OG0000048	Syai.g_00272	Prab.g_00411, Prab.g_00363
OG0000050	Syai.g_01893	Prab.g_00394, Prab.g_01635, Prab.g_01645
OG0000051	Syai.g_01773	Prab.g_01304
OG0000052	Syai.g_00176	Prab.g_01423
OG0000053	Syai.g_00930	Prab.g_01486
OG0000054	Syai.g_01040	Prab.g_00610
OG0000055	Syai.g_02029	Prab.g_00821
OG0000057	Syai.g_01997	Prab.g_00703
OG0000058	Syai.g_00195	Prab.g_01393
OG0000059	Syai.g_00351	Prab.g_01754
OG0000060	Syai.g_01758	Prab.g_00784
OG0000061	Syai.g_02144	Prab.g_01219
OG0000063	Syai.g_00042	Prab.g_00033
OG0000066	Syai.g_01709, Syai.g_00719	Prab.g_00543
OG0000067	Syai.g_01321	Prab.g_00840
OG0000068	Syai.g_00628	Prab.g_01360
OG0000070	Syai.g_02196	Prab.g_00456
OG0000071	Syai.g_02179	Prab.g_01637, Prab.g_01326
OG0000072	Syai.g_02636	Prab.g_00162
OG0000073	Syai.g_00659	Prab.g_00503
OG0000075	Syai.g_00161	Prab.g_01834
OG0000076	Syai.g_00111	Prab.g_01857
OG0000077	Syai.g_02486	Prab.g_00070
OG0000078	Syai.g_00543	Prab.g_00229
OG0000079	Syai.g_00300	Prab.g_00242
OG0000081	Syai.g_00553	Prab.g_00535
OG0000082	Syai.g_00781	Prab.g_00589
OG0000084	Syai.g_00958	Prab.g_01462
OG0000085	Syai.g_02365	Prab.g_01662
OG0000086	Syai.g_02507	Prab.g_00080
OG0000087	Syai.g_02592	Prab.g_00129
OG0000088	Syai.g_02630	Prab.g_00157
OG0000089	Syai.g_00517	Prab.g_00343
OG0000090	Syai.g_00707	Prab.g_00537
OG0000091	Syai.g_01112	Prab.g_00647
OG0000092	Syai.g_01358	Prab.g_01063
OG0000094	Syai.g_01424	Prab.g_00948
OG0000097	Syai.g_01787	Prab.g_01260
OG0000098	Syai.g_01718	Prab.g_01346
OG0000099	Syai.g_00199	Prab.g_01394
OG0000100	Syai.g_01372	Prab.g_01540
OG0000101	Syai.g_00404	Prab.g_01802
OG0000102	Syai.g_00106	Prab.g_01862
OG0000103	Syai.g_02912	Prab.g_01942
OG0000104	Syai.g_02929	Prab.g_01951
OG0000105	Syai.g_00267	Prab.g_00262
OG0000106	Syai.g_01601	Prab.g_00359
OG0000107	Syai.g_00319	Prab.g_00375
OG0000108	Syai.g_00638	Prab.g_00484
OG0000109	Syai.g_00653	Prab.g_00498
OG0000110	Syai.g_00766	Prab.g_00579
OG0000111	Syai.g_00884	Prab.g_00704
OG0000112	Syai.g_01512	Prab.g_00804
OG0000113	Syai.g_01367	Prab.g_00862
OG0000114	Syai.g_01261	Prab.g_01068
OG0000115	Syai.g_00932	Prab.g_01156
OG0000116	Syai.g_02156	Prab.g_01209
OG0000117	Syai.g_01756	Prab.g_00717
OG0000118	Syai.g_00818	Prab.g_01338
OG0000119	Syai.g_02127	Prab.g_01356
OG0000120	Syai.g_00198	Prab.g_01447
OG0000121	Syai.g_00951	Prab.g_01468
OG0000122	Syai.g_01143	Prab.g_01506
OG0000123	Syai.g_00411	Prab.g_01809
OG0000124	Syai.g_00089	Prab.g_01873
OG0000125	Syai.g_02782	Prab.g_01910
OG0000126	Syai.g_02927	Prab.g_01950
OG0000128	Syai.g_00012	Prab.g_00011
OG0000129	Syai.g_02771	Prab.g_00043
OG0000130	Syai.g_02474	Prab.g_00061
OG0000131	Syai.g_02608	Prab.g_00136
OG0000132	Syai.g_02628	Prab.g_00155
OG0000133	Syai.g_01507	Prab.g_00310
OG0000134	Syai.g_00520	Prab.g_00344
OG0000135	Syai.g_02826	Prab.g_00371
