locus_tag	ftype	length_bp	gene	EC_number	COG	product
Prba.g_00001	gene	798				
Prba.g_00001	CDS	798				hypothetical protein
Prba.g_00002	gene	387				
Prba.g_00002	CDS	387				hypothetical protein
Prba.g_00003	gene	108				
Prba.g_00003	CDS	108				hypothetical protein
Prba.g_00004	gene	73				
Prba.g_00004	tRNA	73				tRNA-Lys(ttt)
Prba.g_00005	gene	117	psbY			
Prba.g_00005	CDS	117	psbY			Photosystem II protein Y
Prba.g_00006	gene	1404	trmFO			
Prba.g_00006	CDS	1404	trmFO	2.1.1.74	COG1206	Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO
Prba.g_00007	gene	1545	crtI_1			
Prba.g_00007	CDS	1545	crtI_1	1.3.99.31	COG1233	Phytoene desaturase (lycopene-forming)
Prba.g_00008	gene	507				
Prba.g_00008	CDS	507				hypothetical protein
Prba.g_00009	gene	738	phoB			
Prba.g_00009	CDS	738	phoB		COG0745	Phosphate regulon transcriptional regulatory protein PhoB
Prba.g_00010	gene	270				
Prba.g_00010	CDS	270				hypothetical protein
Prba.g_00011	gene	324	grxD			
Prba.g_00011	CDS	324	grxD		COG0278	Glutaredoxin 4
Prba.g_00012	gene	294				
Prba.g_00012	CDS	294				hypothetical protein
Prba.g_00013	gene	519				
Prba.g_00013	CDS	519				hypothetical protein
Prba.g_00014	gene	675				
Prba.g_00014	CDS	675				hypothetical protein
Prba.g_00015	gene	717	pdxJ			
Prba.g_00015	CDS	717	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
Prba.g_00016	gene	318				
Prba.g_00016	CDS	318				Ycf54-like protein
Prba.g_00017	gene	3180	recC			
Prba.g_00017	CDS	3180	recC	3.1.11.5		RecBCD enzyme subunit RecC
Prba.g_00018	gene	474				
Prba.g_00018	CDS	474				hypothetical protein
Prba.g_00019	gene	3630	recB			
Prba.g_00019	CDS	3630	recB	3.1.11.5		RecBCD enzyme subunit RecB
Prba.g_00020	gene	1704	recD			
Prba.g_00020	CDS	1704	recD	3.1.11.5		RecBCD enzyme subunit RecD
Prba.g_00021	gene	1782	deaD			
Prba.g_00021	CDS	1782	deaD	3.6.4.13	COG0513	ATP-dependent RNA helicase DeaD
Prba.g_00022	gene	294				
Prba.g_00022	CDS	294				hypothetical protein
Prba.g_00023	gene	1773	msbA			
Prba.g_00023	CDS	1773	msbA	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
Prba.g_00024	gene	558				
Prba.g_00024	CDS	558				hypothetical protein
Prba.g_00025	gene	600	recR			
Prba.g_00025	CDS	600	recR		COG0353	Recombination protein RecR
Prba.g_00026	gene	900	lipA2			
Prba.g_00026	CDS	900	lipA2	2.8.1.8	COG0320	Lipoyl synthase 2
Prba.g_00027	gene	501				
Prba.g_00027	CDS	501				hypothetical protein
Prba.g_00028	gene	933				
Prba.g_00028	CDS	933				hypothetical protein
Prba.g_00029	gene	1008	bioB			
Prba.g_00029	CDS	1008	bioB	2.8.1.6	COG0502	Biotin synthase
Prba.g_00030	gene	804	uppS			
Prba.g_00030	CDS	804	uppS	2.5.1.-	COG0020	Isoprenyl transferase
Prba.g_00031	gene	909	dacA			
Prba.g_00031	CDS	909	dacA	2.7.7.85		Diadenylate cyclase
Prba.g_00032	gene	1368	lysA			
Prba.g_00032	CDS	1368	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
Prba.g_00033	gene	441	rimI			
Prba.g_00033	CDS	441	rimI	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
Prba.g_00034	gene	2529	clpC			
Prba.g_00034	CDS	2529	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
Prba.g_00035	gene	1092	gldA			
