Orthogroup	Prao	Prbk
OG0000000	Prao.g_01294	Prbk.g_00167, Prbk.g_00166
OG0000000	Prao.g_01515	Prbk.g_00165
OG0000001	Prao.g_01254	Prbk.g_01196, Prbk.g_00170, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000002	Prao.g_01246	Prbk.g_02574
OG0000002	Prao.g_00116	Prbk.g_01649
OG0000004	Prao.g_00133	Prbk.g_01760
OG0000004	Prao.g_00370	Prbk.g_01134
OG0000005	Prao.g_01472	Prbk.g_00933
OG0000006	Prao.g_00379	Prbk.g_02695
OG0000007	Prao.g_01552	Prbk.g_00907
OG0000010	Prao.g_00985	Prbk.g_02112
OG0000011	Prao.g_01307	Prbk.g_01851
OG0000012	Prao.g_00062	Prbk.g_02610
OG0000013	Prao.g_00463	Prbk.g_00853
OG0000014	Prao.g_01213	Prbk.g_00454
OG0000015	Prao.g_00703	Prbk.g_02558
OG0000017	Prao.g_00036	Prbk.g_01142, Prbk.g_01150
OG0000018	Prao.g_01108	Prbk.g_01227
OG0000019	Prao.g_00387, Prao.g_00720	Prbk.g_01644, Prbk.g_01004
OG0000021	Prao.g_01346, Prao.g_00500	Prbk.g_01960, Prbk.g_01137
OG0000022	Prao.g_01126	Prbk.g_01667
OG0000022	Prao.g_00699	Prbk.g_00212
OG0000023	Prao.g_00494	Prbk.g_02448
OG0000024	Prao.g_00683, Prao.g_00114	Prbk.g_01780
OG0000025	Prao.g_00467, Prao.g_00776	Prbk.g_02531
OG0000026	Prao.g_00177, Prao.g_00992	Prbk.g_01617
OG0000028	Prao.g_00456	Prbk.g_00469
OG0000029	Prao.g_00690	Prbk.g_00833
OG0000030	Prao.g_01753	Prbk.g_01532, Prbk.g_01533
OG0000034	Prao.g_01266	Prbk.g_01171
OG0000035	Prao.g_01397	Prbk.g_00259
OG0000037	Prao.g_00247	Prbk.g_00007
OG0000038	Prao.g_01794	Prbk.g_02164, Prbk.g_02166
OG0000039	Prao.g_00124	Prbk.g_01385, Prbk.g_00642
OG0000041	Prao.g_01598	Prbk.g_01406
OG0000042	Prao.g_01750	Prbk.g_01495, Prbk.g_00140
OG0000047	Prao.g_00466	Prbk.g_01202
OG0000048	Prao.g_00509	Prbk.g_00405
OG0000053	Prao.g_01417	Prbk.g_01230
OG0000054	Prao.g_00044	Prbk.g_01153
OG0000057	Prao.g_00136	Prbk.g_01765
OG0000059	Prao.g_01639	Prbk.g_00992
OG0000061	Prao.g_01089	Prbk.g_01019
OG0000062	Prao.g_01474	Prbk.g_00931
OG0000063	Prao.g_00179	Prbk.g_01613
OG0000065	Prao.g_00245	Prbk.g_00011
OG0000067	Prao.g_00741	Prbk.g_02468
OG0000068	Prao.g_01239	Prbk.g_02052
OG0000070	Prao.g_00554	Prbk.g_00310
OG0000071	Prao.g_01276	Prbk.g_01183
OG0000072	Prao.g_00309	Prbk.g_00778
OG0000073	Prao.g_00605	Prbk.g_01862
OG0000075	Prao.g_01719	Prbk.g_00514
OG0000076	Prao.g_01743	Prbk.g_00237
OG0000077	Prao.g_00217	Prbk.g_00307, Prbk.g_01308
OG0000078	Prao.g_00377	Prbk.g_01515
OG0000079	Prao.g_00390	Prbk.g_01000
OG0000081	Prao.g_01860	Prbk.g_00733, Prbk.g_01772
OG0000082	Prao.g_00024	Prbk.g_01122
OG0000084	Prao.g_01393	Prbk.g_00255
OG0000085	Prao.g_01545	Prbk.g_00919
OG0000086	Prao.g_00227	Prbk.g_01295
OG0000087	Prao.g_00277	Prbk.g_00559
OG0000088	Prao.g_00304	Prbk.g_00773, Prbk.g_01836
OG0000089	Prao.g_00490	Prbk.g_00364
