Orthogroup	Prai	Pran
OG0000000	Prai.g_00707	Pran.g_01500
OG0000001	Prai.g_00908	Pran.g_00001
OG0000001	Prai.g_00908	Pran.g_00602
OG0000001	Prai.g_01234	Pran.g_00001
OG0000001	Prai.g_01234	Pran.g_00602
OG0000001	Prai.g_01591	Pran.g_00001
OG0000001	Prai.g_01591	Pran.g_00602
OG0000001	Prai.g_01775	Pran.g_00001
OG0000001	Prai.g_01775	Pran.g_00602
OG0000002	Prai.g_01236	Pran.g_01395
OG0000003	Prai.g_00907, Prai.g_01774	Pran.g_00580
OG0000004	Prai.g_00441	Pran.g_00576
OG0000004	Prai.g_01313	Pran.g_01436, Pran.g_00895
OG0000005	Prai.g_01612	Pran.g_01423
OG0000005	Prai.g_01592	Pran.g_00601
OG0000006	Prai.g_00527	Pran.g_01681
OG0000006	Prai.g_01638	Pran.g_00970
OG0000007	Prai.g_00701	Pran.g_01506
OG0000008	Prai.g_00394	Pran.g_01811
OG0000008	Prai.g_01246	Pran.g_00586
OG0000008	Prai.g_00437	Pran.g_00526
OG0000009	Prai.g_00867	Pran.g_01363
OG0000009	Prai.g_00262	Pran.g_01943
OG0000010	Prai.g_01588	Pran.g_00603
OG0000011	Prai.g_00343	Pran.g_01864
OG0000012	Prai.g_00626	Pran.g_01580
OG0000013	Prai.g_01243	Pran.g_01394
OG0000014	Prai.g_00904	Pran.g_00583
OG0000015	Prai.g_01259	Pran.g_01813
OG0000016	Prai.g_01366	Pran.g_00845
OG0000017	Prai.g_01483	Pran.g_00713
OG0000018	Prai.g_00252	Pran.g_01951
OG0000018	Prai.g_00254	Pran.g_01951
OG0000019	Prai.g_00378	Pran.g_01829
OG0000020	Prai.g_00387	Pran.g_01772, Pran.g_01820
OG0000022	Prai.g_00905, Prai.g_01772	Pran.g_00582
OG0000023	Prai.g_01578	Pran.g_00615
OG0000024	Prai.g_00319	Pran.g_01888
OG0000025	Prai.g_01093	Pran.g_00149, Pran.g_00936, Pran.g_01789
OG0000026	Prai.g_00033	Pran.g_00391
OG0000027	Prai.g_01549, Prai.g_01266	Pran.g_01464
OG0000028	Prai.g_01463	Pran.g_00733
OG0000029	Prai.g_01579	Pran.g_00614
OG0000031	Prai.g_01263	Pran.g_00944
OG0000033	Prai.g_01573	Pran.g_00620
OG0000034	Prai.g_00154	Pran.g_00777
OG0000035	Prai.g_01059	Pran.g_00415
OG0000035	Prai.g_01097	Pran.g_00145
OG0000036	Prai.g_00613	Pran.g_01593
OG0000037	Prai.g_00652	Pran.g_01555
OG0000038	Prai.g_00885	Pran.g_01401
OG0000039	Prai.g_00177	Pran.g_00266
OG0000040	Prai.g_00373	Pran.g_01834
OG0000041	Prai.g_00448	Pran.g_01758
OG0000042	Prai.g_00748	Pran.g_01460
OG0000043	Prai.g_00862	Pran.g_01358
OG0000044	Prai.g_01171	Pran.g_00060
OG0000046	Prai.g_01631	Pran.g_00963
OG0000047	Prai.g_01838	Pran.g_01160
OG0000048	Prai.g_01845	Pran.g_01167
OG0000050	Prai.g_00031	Pran.g_00393, Pran.g_00930
OG0000051	Prai.g_00168	Pran.g_00275
OG0000052	Prai.g_00383	Pran.g_01824
OG0000053	Prai.g_00567	Pran.g_01639
OG0000054	Prai.g_00909	Pran.g_01408, Pran.g_01379
OG0000055	Prai.g_00825	Pran.g_01321
OG0000056	Prai.g_01132	Pran.g_00935, Pran.g_00108
OG0000057	Prai.g_00248	Pran.g_00195
OG0000058	Prai.g_00505	Pran.g_01703
OG0000059	Prai.g_00727	Pran.g_01480
OG0000060	Prai.g_00431	Pran.g_00905
OG0000061	Prai.g_01141	Pran.g_00095
OG0000061	Prai.g_00969	Pran.g_00507
OG0000062	Prai.g_01143	Pran.g_00093
OG0000063	Prai.g_01273	Pran.g_01466
OG0000064	Prai.g_01594	Pran.g_01463
OG0000065	Prai.g_01335	Pran.g_00938, Pran.g_00876
OG0000066	Prai.g_01443	Pran.g_00752
OG0000068	Prai.g_01782	Pran.g_01105
OG0000071	Prai.g_00011	Pran.g_01268
OG0000072	Prai.g_00335	Pran.g_01872
OG0000073	Prai.g_00698	Pran.g_01509
OG0000074	Prai.g_00720	Pran.g_01487
OG0000075	Prai.g_00840, Prai.g_00841	Pran.g_01336
OG0000076	Prai.g_00918	Pran.g_00568, Pran.g_00903
OG0000078	Prai.g_01393	Pran.g_00806
OG0000079	Prai.g_01540	Pran.g_00655
OG0000080	Prai.g_01270	Pran.g_00575, Pran.g_00912
OG0000081	Prai.g_01812	Pran.g_01135
OG0000082	Prai.g_01901	Pran.g_01222
OG0000083	Prai.g_00003	Pran.g_01260
OG0000084	Prai.g_00006	Pran.g_01263
OG0000085	Prai.g_00023	Pran.g_00401
OG0000086	Prai.g_00046	Pran.g_00386
OG0000087	Prai.g_00056	Pran.g_00376
OG0000088	Prai.g_00113	Pran.g_00320
OG0000089	Prai.g_00121	Pran.g_00312
OG0000090	Prai.g_00139	Pran.g_00295
OG0000091	Prai.g_00180	Pran.g_00263
OG0000092	Prai.g_00181	Pran.g_00262
OG0000093	Prai.g_00195	Pran.g_00248
OG0000094	Prai.g_00213	Pran.g_00230
OG0000095	Prai.g_00218	Pran.g_00225
OG0000096	Prai.g_00264	Pran.g_01941
OG0000097	Prai.g_00286, Prai.g_00287	Pran.g_01920
OG0000098	Prai.g_00297	Pran.g_01910
OG0000099	Prai.g_00307, Prai.g_00741	Pran.g_01900
OG0000100	Prai.g_00310	Pran.g_01897
OG0000101	Prai.g_00369	Pran.g_01838
OG0000102	Prai.g_00393	Pran.g_01812
OG0000103	Prai.g_00506	Pran.g_01702
OG0000104	Prai.g_00510	Pran.g_01698
OG0000105	Prai.g_00529	Pran.g_01679
OG0000106	Prai.g_00560	Pran.g_01646
OG0000107	Prai.g_00561	Pran.g_01645
OG0000108	Prai.g_00571	Pran.g_01635
OG0000109	Prai.g_00580	Pran.g_01626
OG0000110	Prai.g_00597	Pran.g_01609
OG0000111	Prai.g_00680	Pran.g_01527
OG0000112	Prai.g_00681	Pran.g_01526
OG0000113	Prai.g_00770	Pran.g_01438
OG0000114	Prai.g_00850	Pran.g_01345
OG0000115	Prai.g_00989	Pran.g_00487
OG0000116	Prai.g_00985	Pran.g_00491
OG0000117	Prai.g_00921	Pran.g_00565
OG0000118	Prai.g_01107	Pran.g_00135
OG0000119	Prai.g_01146	Pran.g_00090
OG0000120	Prai.g_01177	Pran.g_00054
OG0000121	Prai.g_01197	Pran.g_00035
OG0000122	Prai.g_01217	Pran.g_00016
OG0000123	Prai.g_01230	Pran.g_00003
OG0000124	Prai.g_01238	Pran.g_00918
OG0000125	Prai.g_01347	Pran.g_00864
OG0000126	Prai.g_01370	Pran.g_00841
OG0000127	Prai.g_01450	Pran.g_00746
OG0000128	Prai.g_01464	Pran.g_00732
OG0000129	Prai.g_01499	Pran.g_00696
OG0000130	Prai.g_01636	Pran.g_00968
OG0000131	Prai.g_01674	Pran.g_01006
OG0000132	Prai.g_01677	Pran.g_01009
OG0000133	Prai.g_01735	Pran.g_01063
OG0000134	Prai.g_01777	Pran.g_01100
OG0000135	Prai.g_01779	Pran.g_01102
OG0000136	Prai.g_01823	Pran.g_01145
OG0000137	Prai.g_01855	Pran.g_01177
OG0000138	Prai.g_01892	Pran.g_01212
OG0000139	Prai.g_01918	Pran.g_01239
OG0000140	Prai.g_00001	Pran.g_01258
OG0000141	Prai.g_00002	Pran.g_01259
OG0000142	Prai.g_00004	Pran.g_01261
OG0000143	Prai.g_00005	Pran.g_01262
OG0000144	Prai.g_00007	Pran.g_01264
OG0000145	Prai.g_00008	Pran.g_01265
OG0000146	Prai.g_00009	Pran.g_01266
OG0000147	Prai.g_00010	Pran.g_01267
OG0000148	Prai.g_00012	Pran.g_01269
OG0000149	Prai.g_00014	Pran.g_00410
OG0000150	Prai.g_00015	Pran.g_00409
OG0000151	Prai.g_00016	Pran.g_00408
OG0000152	Prai.g_00017	Pran.g_00407
OG0000153	Prai.g_00018	Pran.g_00406
OG0000154	Prai.g_00019	Pran.g_00405
OG0000155	Prai.g_00020	Pran.g_00404
OG0000156	Prai.g_00021	Pran.g_00403
OG0000157	Prai.g_00022	Pran.g_00402
OG0000158	Prai.g_00024	Pran.g_00400
OG0000159	Prai.g_00025	Pran.g_00399
OG0000160	Prai.g_00026	Pran.g_00398
OG0000161	Prai.g_00027	Pran.g_00397
OG0000162	Prai.g_00028	Pran.g_00396
OG0000163	Prai.g_00029	Pran.g_00395
OG0000164	Prai.g_00032	Pran.g_00392
OG0000165	Prai.g_00035	Pran.g_00389
OG0000166	Prai.g_00036	Pran.g_00388
OG0000167	Prai.g_00037	Pran.g_00387
OG0000168	Prai.g_00047	Pran.g_00385
OG0000169	Prai.g_00049	Pran.g_00383
OG0000170	Prai.g_00050	Pran.g_00382
OG0000171	Prai.g_00051	Pran.g_00381
OG0000172	Prai.g_00052	Pran.g_00380
OG0000173	Prai.g_00053	Pran.g_00379
OG0000174	Prai.g_00054	Pran.g_00378
OG0000175	Prai.g_00055	Pran.g_00377
OG0000176	Prai.g_00057	Pran.g_00375
OG0000177	Prai.g_00058	Pran.g_00374
OG0000178	Prai.g_00059	Pran.g_00373
OG0000179	Prai.g_00064	Pran.g_00368
OG0000180	Prai.g_00065	Pran.g_00367
OG0000181	Prai.g_00066	Pran.g_00366
OG0000182	Prai.g_00069	Pran.g_00363
OG0000183	Prai.g_00070	Pran.g_00362
OG0000184	Prai.g_00073	Pran.g_00359
OG0000185	Prai.g_00077	Pran.g_00355
OG0000186	Prai.g_00078	Pran.g_00354
OG0000187	Prai.g_00079	Pran.g_00353
OG0000188	Prai.g_00080	Pran.g_00352
OG0000189	Prai.g_00081	Pran.g_00351
OG0000190	Prai.g_00082	Pran.g_00350
OG0000191	Prai.g_00083	Pran.g_00349
OG0000192	Prai.g_00084	Pran.g_00348
OG0000193	Prai.g_00085	Pran.g_00347
OG0000194	Prai.g_00086	Pran.g_00346
OG0000195	Prai.g_00088	Pran.g_00344
OG0000196	Prai.g_00089	Pran.g_00343
OG0000197	Prai.g_00090	Pran.g_00342
OG0000198	Prai.g_00091	Pran.g_00341
OG0000199	Prai.g_00094	Pran.g_00339
OG0000200	Prai.g_00095	Pran.g_00338
OG0000201	Prai.g_00096	Pran.g_00337
OG0000202	Prai.g_00097	Pran.g_00336
OG0000203	Prai.g_00098	Pran.g_00335
OG0000204	Prai.g_00099	Pran.g_00334
OG0000205	Prai.g_00100	Pran.g_00333
OG0000206	Prai.g_00101	Pran.g_00332
OG0000207	Prai.g_00102	Pran.g_00331
OG0000208	Prai.g_00103	Pran.g_00330
OG0000209	Prai.g_00104	Pran.g_00329
OG0000210	Prai.g_00106	Pran.g_00327
OG0000211	Prai.g_00107	Pran.g_00326
OG0000212	Prai.g_00108	Pran.g_00325
OG0000213	Prai.g_00109	Pran.g_00324
OG0000214	Prai.g_00111	Pran.g_00322
OG0000215	Prai.g_00112	Pran.g_00321
OG0000216	Prai.g_00114	Pran.g_00319
OG0000217	Prai.g_00115	Pran.g_00318
OG0000218	Prai.g_00116	Pran.g_00317
