Orthogroup	Syac	Prax
OG0000001	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169	Prax.g_01878
OG0000002	Syac.g_01084	Prax.g_01870, Prax.g_00964
OG0000004	Syac.g_00898	Prax.g_00947
OG0000004	Syac.g_00948, Syac.g_01975	Prax.g_00986
OG0000005	Syac.g_00527	Prax.g_01546
OG0000005	Syac.g_00569	Prax.g_01652
OG0000006	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194	Prax.g_01972
OG0000007	Syac.g_01885	Prax.g_00704
OG0000007	Syac.g_00544	Prax.g_01559
OG0000010	Syac.g_01701	Prax.g_01212
OG0000011	Syac.g_00924	Prax.g_00454
OG0000012	Syac.g_00955, Syac.g_00758, Syac.g_01577	Prax.g_00082
OG0000013	Syac.g_02056, Syac.g_02046, Syac.g_02062	Prax.g_00846
OG0000014	Syac.g_00253	Prax.g_00869
OG0000015	Syac.g_01408	Prax.g_00523, Prax.g_00410
OG0000017	Syac.g_01749, Syac.g_01742	Prax.g_00057
OG0000018	Syac.g_01660	Prax.g_00181
OG0000019	Syac.g_02207	Prax.g_00926, Prax.g_00393
OG0000022	Syac.g_01031	Prax.g_00157
OG0000023	Syac.g_00760	Prax.g_00813
OG0000024	Syac.g_00925	Prax.g_00432, Prax.g_00967
OG0000025	Syac.g_00847	Prax.g_00842, Prax.g_00338
OG0000026	Syac.g_00034	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syac.g_01095, Syac.g_01009	Prax.g_01916
OG0000028	Syac.g_00237	Prax.g_00855
OG0000029	Syac.g_01942	Prax.g_00425, Prax.g_00798
OG0000030	Syac.g_00143, Syac.g_00142	Prax.g_01404
OG0000031	Syac.g_00232	Prax.g_01831
OG0000034	Syac.g_00334, Syac.g_00715	Prax.g_01889
OG0000035	Syac.g_01630	Prax.g_01728, Prax.g_01733
OG0000037	Syac.g_01077	Prax.g_01110
OG0000038	Syac.g_02357, Syac.g_02358	Prax.g_01445
OG0000039	Syac.g_00856, Syac.g_02378	Prax.g_00956
OG0000040	Syac.g_01006	Prax.g_01591
OG0000040	Syac.g_02437	Prax.g_00180
OG0000041	Syac.g_00655, Syac.g_00876	Prax.g_01512
OG0000042	Syac.g_00146	Prax.g_01401
OG0000043	Syac.g_00808	Prax.g_01955
OG0000045	Syac.g_01040	Prax.g_00802
OG0000047	Syac.g_02031	Prax.g_00843
OG0000048	Syac.g_02240	Prax.g_00173, Prax.g_00512, Prax.g_00799
OG0000050	Syac.g_01937	Prax.g_01240
OG0000051	Syac.g_01073	Prax.g_01927
OG0000053	Syac.g_01657	Prax.g_01708
OG0000054	Syac.g_00933, Syac.g_01050	Prax.g_00065
OG0000055	Syac.g_01034, Syac.g_00859	Prax.g_00392
OG0000057	Syac.g_00894	Prax.g_00944
OG0000059	Syac.g_02142	Prax.g_01286
OG0000060	Syac.g_01909	Prax.g_00517
OG0000061	Syac.g_00769	Prax.g_00200
OG0000062	Syac.g_00567	Prax.g_01650
OG0000063	Syac.g_00037	Prax.g_00280
OG0000065	Syac.g_00396, Syac.g_00490	Prax.g_01112
OG0000066	Syac.g_01827	Prax.g_00662
OG0000067	Syac.g_01341	Prax.g_00373
OG0000068	Syac.g_01916	Prax.g_01863
OG0000069	Syac.g_01272	Prax.g_01616
OG0000070	Syac.g_00711	Prax.g_00750
OG0000071	Syac.g_01049, Syac.g_00729	Prax.g_01899
OG0000072	Syac.g_00302	Prax.g_01047
OG0000073	Syac.g_01883	Prax.g_00702
OG0000075	Syac.g_00191	Prax.g_01370
OG0000076	Syac.g_00156	Prax.g_01394
OG0000077	Syac.g_00439	Prax.g_00649
OG0000078	Syac.g_01964	Prax.g_00979
OG0000079	Syac.g_02211	Prax.g_00923
OG0000081	Syac.g_01954, Syac.g_00461	Prax.g_00670
OG0000082	Syac.g_01766	Prax.g_00045
OG0000084	Syac.g_00822, Syac.g_01627	Prax.g_01737
OG0000085	Syac.g_00560	Prax.g_01566
OG0000086	Syac.g_00423	Prax.g_00659
OG0000087	Syac.g_00343	Prax.g_01079
