Orthogroup	Syaf	Pral
OG0000001	Syaf.g_01640, Syaf.g_00846, Syaf.g_00845, Syaf.g_01634	Pral.g_01236
OG0000004	Syaf.g_01455	Pral.g_01743
OG0000004	Syaf.g_02351, Syaf.g_02794	Pral.g_00809
OG0000005	Syaf.g_01057	Pral.g_01075
OG0000006	Syaf.g_02288, Syaf.g_00179, Syaf.g_02778	Pral.g_00797
OG0000007	Syaf.g_02702	Pral.g_00593
OG0000007	Syaf.g_01033	Pral.g_00107
OG0000008	Syaf.g_01479	Pral.g_00020
OG0000008	Syaf.g_01480	Pral.g_00021
OG0000010	Syaf.g_02499	Pral.g_01832, Pral.g_01848
OG0000011	Syaf.g_01483	Pral.g_00064
OG0000013	Syaf.g_00056, Syaf.g_00044, Syaf.g_00061	Pral.g_00712
OG0000014	Syaf.g_00280	Pral.g_00732
OG0000015	Syaf.g_02120, Syaf.g_02121	Pral.g_01813
OG0000017	Syaf.g_02561	Pral.g_00491
OG0000017	Syaf.g_02554	Pral.g_00484
OG0000018	Syaf.g_02451	Pral.g_01346
OG0000019	Syaf.g_00193	Pral.g_00790, Pral.g_01344
OG0000020	Syaf.g_02187	Pral.g_01038, Pral.g_00443, Pral.g_01883, Pral.g_01891
OG0000021	Syaf.g_02773	Pral.g_01667, Pral.g_01738
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Pral.g_01687
OG0000024	Syaf.g_01484	Pral.g_01895
OG0000025	Syaf.g_01385	Pral.g_01523
OG0000026	Syaf.g_00461	Pral.g_01012
OG0000027	Syaf.g_02284, Syaf.g_01688	Pral.g_01036, Pral.g_00039
OG0000028	Syaf.g_00297	Pral.g_00053, Pral.g_00719
OG0000029	Syaf.g_01761	Pral.g_01890
OG0000030	Syaf.g_00406, Syaf.g_00407	Pral.g_00316
OG0000031	Syaf.g_01143	Pral.g_01193
OG0000032	Syaf.g_02471	Pral.g_01121
OG0000034	Syaf.g_01241, Syaf.g_00837	Pral.g_01271
OG0000035	Syaf.g_02412	Pral.g_01161, Pral.g_01165
OG0000037	Syaf.g_00899	Pral.g_00938
OG0000038	Syaf.g_00642	Pral.g_00356
OG0000039	Syaf.g_01395	Pral.g_01755
OG0000041	Syaf.g_01171, Syaf.g_01414	Pral.g_00155
OG0000042	Syaf.g_00403	Pral.g_00313
