Orthogroup	Pram	Prag
OG0000000	Pram.g_01511	Prag.g_00721, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Pram.g_01556, Pram.g_01512	Prag.g_00722, Prag.g_01650, Prag.g_01607, Prag.g_01213
OG0000001	Pram.g_00873, Pram.g_00879	Prag.g_01382
OG0000001	Pram.g_00768, Pram.g_01278, Pram.g_01170, Pram.g_01471, Pram.g_01168, Pram.g_01174	Prag.g_00656
OG0000002	Pram.g_00719	Prag.g_01651, Prag.g_00764, Prag.g_01215, Prag.g_01216
OG0000002	Pram.g_01953, Pram.g_01954	Prag.g_01374
OG0000004	Pram.g_01513, Pram.g_01176	Prag.g_01333, Prag.g_01610, Prag.g_01649
OG0000005	Pram.g_01207	Prag.g_00734
OG0000006	Pram.g_01505, Pram.g_00621	Prag.g_01319, Prag.g_01636, Prag.g_00749, Prag.g_01103
OG0000008	Pram.g_00433	Prag.g_00476
OG0000008	Pram.g_01632	Prag.g_01669
OG0000010	Pram.g_01164	Prag.g_00786
OG0000010	Pram.g_00237	Prag.g_00242
OG0000011	Pram.g_01529	Prag.g_00748
OG0000012	Pram.g_00259	Prag.g_01088
OG0000013	Pram.g_00390, Pram.g_01284	Prag.g_01600, Prag.g_00098
OG0000016	Pram.g_01545, Pram.g_00696	Prag.g_00765
OG0000018	Pram.g_00535, Pram.g_00542	Prag.g_00576
OG0000019	Pram.g_00662, Pram.g_00618, Pram.g_01597	Prag.g_00374
OG0000020	Pram.g_01283	Prag.g_01385
OG0000022	Pram.g_00229	Prag.g_01231, Prag.g_00234
OG0000023	Pram.g_00794	Prag.g_01633, Prag.g_00359
OG0000024	Pram.g_00629, Pram.g_01186	Prag.g_01325
OG0000025	Pram.g_01004, Pram.g_00765	Prag.g_00740
OG0000026	Pram.g_01561	Prag.g_01647, Prag.g_01335, Prag.g_00719
OG0000027	Pram.g_01262	Prag.g_01656
OG0000028	Pram.g_01263	Prag.g_01655
OG0000029	Pram.g_01189, Pram.g_01617	Prag.g_00787
OG0000030	Pram.g_01544, Pram.g_00644	Prag.g_00788
OG0000031	Pram.g_01841	Prag.g_01868
OG0000034	Pram.g_01381	Prag.g_01488
OG0000034	Pram.g_01378	Prag.g_01490
OG0000035	Pram.g_00391	Prag.g_01601
OG0000036	Pram.g_01275	Prag.g_01100
OG0000038	Pram.g_01413	Prag.g_01446
OG0000039	Pram.g_01193	Prag.g_01638
OG0000041	Pram.g_00561	Prag.g_00601
OG0000043	Pram.g_00681	Prag.g_01259
OG0000045	Pram.g_01559	Prag.g_00563
OG0000046	Pram.g_01287	Prag.g_00757
OG0000047	Pram.g_01140	Prag.g_01153
OG0000049	Pram.g_01447	Prag.g_01428
OG0000050	Pram.g_00151	Prag.g_00159
OG0000051	Pram.g_00689	Prag.g_00354
OG0000053	Pram.g_00801	Prag.g_00692
OG0000054	Pram.g_01265	Prag.g_01662
OG0000055	Pram.g_01833	Prag.g_01861
OG0000056	Pram.g_00018	Prag.g_00031
OG0000057	Pram.g_00142	Prag.g_00150
OG0000058	Pram.g_00677	Prag.g_00364
OG0000059	Pram.g_01558	Prag.g_00518
OG0000062	Pram.g_00832	Prag.g_00828
OG0000065	Pram.g_00224	Prag.g_00230
OG0000066	Pram.g_00411	Prag.g_00454
OG0000067	Pram.g_00792	Prag.g_00676
OG0000068	Pram.g_00631	Prag.g_00732
OG0000070	Pram.g_00888	Prag.g_01036
OG0000071	Pram.g_01112	Prag.g_01298
OG0000072	Pram.g_01230	Prag.g_01355
OG0000074	Pram.g_01446	Prag.g_01423
OG0000075	Pram.g_01770	Prag.g_01804
OG0000077	Pram.g_01949	Prag.g_00011
OG0000078	Pram.g_00310	Prag.g_00313
OG0000079	Pram.g_01589	Prag.g_00375
OG0000080	Pram.g_01039	Prag.g_00647
OG0000081	Pram.g_00782	Prag.g_00669
OG0000082	Pram.g_00816	Prag.g_00813
OG0000083	Pram.g_01161	Prag.g_00876
OG0000084	Pram.g_00943	Prag.g_00964
OG0000085	Pram.g_01185	Prag.g_01085
OG0000086	Pram.g_01546	Prag.g_01120
OG0000090	Pram.g_01445	Prag.g_01424
OG0000091	Pram.g_01370	Prag.g_01498
OG0000092	Pram.g_01554	Prag.g_01617
OG0000093	Pram.g_01719	Prag.g_01755
OG0000094	Pram.g_01766	Prag.g_01801
OG0000095	Pram.g_01805	Prag.g_01834
OG0000096	Pram.g_01878	Prag.g_01905
OG0000098	Pram.g_01941	Prag.g_00003
OG0000099	Pram.g_00010	Prag.g_00023
OG0000100	Pram.g_01588	Prag.g_00391
OG0000101	Pram.g_00036	Prag.g_00049
OG0000102	Pram.g_00099	Prag.g_00106
OG0000103	Pram.g_00108	Prag.g_00114
OG0000104	Pram.g_00125	Prag.g_00132
OG0000105	Pram.g_00155	Prag.g_00163
OG0000106	Pram.g_00168	Prag.g_00177
OG0000107	Pram.g_00177	Prag.g_00185
OG0000108	Pram.g_00187	Prag.g_00195
OG0000109	Pram.g_00227	Prag.g_00232
OG0000110	Pram.g_00239	Prag.g_00244
OG0000111	Pram.g_00262	Prag.g_00265
OG0000112	Pram.g_00273	Prag.g_00275
OG0000113	Pram.g_00286	Prag.g_00288
OG0000114	Pram.g_00313	Prag.g_00316
OG0000115	Pram.g_00410	Prag.g_00453
OG0000116	Pram.g_00412	Prag.g_00455
OG0000117	Pram.g_00416	Prag.g_00459
OG0000118	Pram.g_00437	Prag.g_00478
OG0000119	Pram.g_00470	Prag.g_00511
OG0000120	Pram.g_00471	Prag.g_00512
OG0000121	Pram.g_00480	Prag.g_00522
OG0000122	Pram.g_00489	Prag.g_00531
OG0000123	Pram.g_00522	Prag.g_00562
OG0000124	Pram.g_01059	Prag.g_00629
OG0000125	Pram.g_01058	Prag.g_00630
OG0000126	Pram.g_01057	Prag.g_00631
OG0000127	Pram.g_00777	Prag.g_00664
OG0000128	Pram.g_00803	Prag.g_00694
OG0000129	Pram.g_01006	Prag.g_00714
OG0000130	Pram.g_00905	Prag.g_00791
OG0000131	Pram.g_00807	Prag.g_00804
OG0000132	Pram.g_00843	Prag.g_00838
OG0000133	Pram.g_00751	Prag.g_00922
OG0000134	Pram.g_01038	Prag.g_00932
OG0000135	Pram.g_00947	Prag.g_00968
OG0000136	Pram.g_00891	Prag.g_01033
OG0000137	Pram.g_01549	Prag.g_01123
OG0000139	Pram.g_01133	Prag.g_01159
OG0000140	Pram.g_00571	Prag.g_01210
OG0000141	Pram.g_01254	Prag.g_01219
OG0000142	Pram.g_01242	Prag.g_01367
OG0000143	Pram.g_01468	Prag.g_01389
OG0000144	Pram.g_01393	Prag.g_01475
OG0000145	Pram.g_01377	Prag.g_01491
OG0000146	Pram.g_01341	Prag.g_01527
OG0000147	Pram.g_01294	Prag.g_01567
OG0000148	Pram.g_01293	Prag.g_01568
OG0000149	Pram.g_01629	Prag.g_01667
OG0000150	Pram.g_01669	Prag.g_01705
OG0000151	Pram.g_01672	Prag.g_01708
OG0000152	Pram.g_01691	Prag.g_01728
OG0000153	Pram.g_01728	Prag.g_01763
OG0000154	Pram.g_01764	Prag.g_01799
OG0000155	Pram.g_01783	Prag.g_01817
OG0000156	Pram.g_01817	Prag.g_01845
OG0000157	Pram.g_01851	Prag.g_01878
OG0000158	Pram.g_01917	Prag.g_01940
OG0000160	Pram.g_01939	Prag.g_00001
OG0000161	Pram.g_01940	Prag.g_00002
OG0000162	Pram.g_01942	Prag.g_00004
OG0000163	Pram.g_01943	Prag.g_00005
OG0000164	Pram.g_01944	Prag.g_00006
OG0000165	Pram.g_01945	Prag.g_00007
OG0000166	Pram.g_01946	Prag.g_00008
OG0000167	Pram.g_01947	Prag.g_00009
OG0000168	Pram.g_01948	Prag.g_00010
OG0000169	Pram.g_01950	Prag.g_00012
OG0000170	Pram.g_00001	Prag.g_00014
OG0000171	Pram.g_00002	Prag.g_00015
OG0000172	Pram.g_00003	Prag.g_00016
OG0000173	Pram.g_00004	Prag.g_00017
OG0000174	Pram.g_00005	Prag.g_00018
OG0000175	Pram.g_00006	Prag.g_00019
OG0000176	Pram.g_00007	Prag.g_00020
OG0000177	Pram.g_00008	Prag.g_00021
OG0000178	Pram.g_00009	Prag.g_00022
OG0000179	Pram.g_00011	Prag.g_00024
OG0000180	Pram.g_00012	Prag.g_00025
OG0000181	Pram.g_00013	Prag.g_00026
OG0000182	Pram.g_00014	Prag.g_00027
OG0000183	Pram.g_00015	Prag.g_00028
OG0000184	Pram.g_00016	Prag.g_00029
OG0000185	Pram.g_00019	Prag.g_00032
OG0000186	Pram.g_00021	Prag.g_00035
OG0000187	Pram.g_00022	Prag.g_00036
OG0000188	Pram.g_00023	Prag.g_00037
OG0000189	Pram.g_00024	Prag.g_00040
OG0000190	Pram.g_00026	Prag.g_00042
OG0000191	Pram.g_00028	Prag.g_00043
