Orthogroup	Praw	Syat
OG0000001	Praw.g_01000, Praw.g_00500, Praw.g_01739, Praw.g_01951, Praw.g_00497	Syat.g_02910, Syat.g_02911
OG0000005	Praw.g_00528	Syat.g_03065
OG0000005	Praw.g_00413	Syat.g_03105
OG0000006	Praw.g_01950	Syat.g_01439, Syat.g_01865
OG0000007	Praw.g_00651	Syat.g_03191
OG0000007	Praw.g_00515	Syat.g_03124
OG0000008	Praw.g_00501	Syat.g_02626
OG0000008	Praw.g_00502	Syat.g_02627
OG0000009	Praw.g_01330	Syat.g_01567
OG0000010	Praw.g_01460, Praw.g_00673	Syat.g_01372
OG0000013	Praw.g_00807	Syat.g_01625, Syat.g_01016, Syat.g_01027
OG0000014	Praw.g_00828	Syat.g_02104
OG0000016	Praw.g_01415	Syat.g_00909
OG0000017	Praw.g_01944	Syat.g_00015
OG0000018	Praw.g_00215, Praw.g_01670	Syat.g_01334
OG0000019	Praw.g_00884, Praw.g_01717	Syat.g_01876
OG0000021	Praw.g_00479, Praw.g_00767	Syat.g_00964
OG0000022	Praw.g_01746, Praw.g_00197	Syat.g_00210
OG0000024	Praw.g_01763, Praw.g_01847	Syat.g_03394
OG0000025	Praw.g_01664, Praw.g_00803	Syat.g_00719
OG0000026	Praw.g_01397, Praw.g_01453	Syat.g_02306
OG0000027	Praw.g_00677, Praw.g_00492, Praw.g_00962	Syat.g_00850
OG0000028	Praw.g_00814, Praw.g_00334	Syat.g_02126
OG0000030	Praw.g_00029	Syat.g_00307, Syat.g_00308
OG0000031	Praw.g_01073	Syat.g_03199, Syat.g_02243
OG0000032	Praw.g_01043	Syat.g_02237
OG0000033	Praw.g_01266	Syat.g_02858
OG0000034	Praw.g_00991	Syat.g_01165, Syat.g_02902
OG0000035	Praw.g_01081, Praw.g_01083	Syat.g_01227, Syat.g_01226
OG0000037	Praw.g_01326	Syat.g_00849, Syat.g_00187
OG0000038	Praw.g_01182	Syat.g_02688, Syat.g_02686
OG0000039	Praw.g_01836	Syat.g_01278
OG0000042	Praw.g_00032	Syat.g_00223, Syat.g_02222
OG0000045	Praw.g_00761	Syat.g_00935
OG0000048	Praw.g_00504, Praw.g_00758	Syat.g_02046
OG0000053	Praw.g_00357	Syat.g_01330
OG0000057	Praw.g_01824	Syat.g_00817
OG0000060	Praw.g_01743	Syat.g_01047
OG0000061	Praw.g_00234	Syat.g_03260
OG0000063	Praw.g_01395	Syat.g_02303
OG0000065	Praw.g_01328	Syat.g_01571
OG0000066	Praw.g_00609	Syat.g_03283
OG0000067	Praw.g_01697	Syat.g_00479
OG0000068	Praw.g_01016	Syat.g_00085, Syat.g_01295
OG0000070	Praw.g_00697	Syat.g_01032, Syat.g_01040
OG0000072	Praw.g_01264	Syat.g_02856, Syat.g_01597
OG0000073	Praw.g_00649	Syat.g_03201
OG0000075	Praw.g_00064	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Praw.g_00039	Syat.g_02206
OG0000078	Praw.g_01196	Syat.g_00184
OG0000081	Praw.g_00617	Syat.g_00980
OG0000082	Praw.g_01932	Syat.g_00035
OG0000085	Praw.g_00508	Syat.g_03113
OG0000086	Praw.g_01346	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Praw.g_01296	Syat.g_02912
OG0000088	Praw.g_01269	Syat.g_02862
OG0000089	Praw.g_00776	Syat.g_02953
OG0000090	Praw.g_00615	Syat.g_03270
OG0000091	Praw.g_01880	Syat.g_00939, Syat.g_00862
OG0000092	Praw.g_01592	Syat.g_00825
OG0000094	Praw.g_01486	Syat.g_00698, Syat.g_01034
OG0000097	Praw.g_00275	Syat.g_00907, Syat.g_00535
OG0000098	Praw.g_00997	Syat.g_03281
OG0000099	Praw.g_01051	Syat.g_02130
OG0000100	Praw.g_00411	Syat.g_00517
OG0000101	Praw.g_00096	Syat.g_01661
OG0000102	Praw.g_00034	Syat.g_00974
OG0000103	Praw.g_01148	Syat.g_02399
OG0000104	Praw.g_01140	Syat.g_02385
OG0000105	Praw.g_00860	Syat.g_02052
OG0000106	Praw.g_00762	Syat.g_00957
OG0000107	Praw.g_00748	Syat.g_01862
OG0000108	Praw.g_00667	Syat.g_03170
OG0000109	Praw.g_00654	Syat.g_03187
OG0000110	Praw.g_01922	Syat.g_00049
OG0000111	Praw.g_01823	Syat.g_00816
OG0000112	Praw.g_01732	Syat.g_00593
OG0000113	Praw.g_01675	Syat.g_00509
OG0000114	Praw.g_01597	Syat.g_00426
OG0000115	Praw.g_00178	Syat.g_01328
OG0000116	Praw.g_00224	Syat.g_02641
OG0000117	Praw.g_00926	Syat.g_00224
OG0000118	Praw.g_00993	Syat.g_01168
OG0000119	Praw.g_01012	Syat.g_00309
OG0000120	Praw.g_01050	Syat.g_02132
OG0000121	Praw.g_01078	Syat.g_01223
OG0000123	Praw.g_00089	Syat.g_01653
OG0000124	Praw.g_00023	Syat.g_02231
OG0000125	Praw.g_01180	Syat.g_02684
OG0000126	Praw.g_01141	Syat.g_00976
OG0000128	Praw.g_01125	Syat.g_02331
OG0000129	Praw.g_01384	Syat.g_02693, Syat.g_02694
OG0000130	Praw.g_01365	Syat.g_01469
OG0000131	Praw.g_01290	Syat.g_02898
OG0000132	Praw.g_01271	Syat.g_02864
OG0000133	Praw.g_00812	Syat.g_00588
