Orthogroup	Prag	Syaj
OG0000001	Prag.g_01374	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prag.g_01382, Prag.g_00656	Syaj.g_02667
OG0000004	Prag.g_00673	Syaj.g_00441
OG0000004	Prag.g_00225	Syaj.g_01314, Syaj.g_02853
OG0000005	Prag.g_01682	Syaj.g_01736
OG0000005	Prag.g_01566	Syaj.g_01698
OG0000006	Prag.g_00234, Prag.g_01231	Syaj.g_02635
OG0000007	Prag.g_00476	Syaj.g_00091
OG0000007	Prag.g_01669	Syaj.g_01721
OG0000008	Prag.g_01655	Syaj.g_00496
OG0000008	Prag.g_01656	Syaj.g_00497
OG0000009	Prag.g_01600	Syaj.g_01069
OG0000009	Prag.g_00098	Syaj.g_01885
OG0000010	Prag.g_01043	Syaj.g_01445
OG0000011	Prag.g_01326	Syaj.g_01133
OG0000012	Prag.g_00601	Syaj.g_01306, Syaj.g_00003, Syaj.g_01793, Syaj.g_00831, Syaj.g_00172
OG0000013	Prag.g_00318	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prag.g_00297	Syaj.g_02522
OG0000015	Prag.g_00765	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prag.g_00013	Syaj.g_02276
OG0000016	Prag.g_01638	Syaj.g_01191
OG0000017	Prag.g_00576	Syaj.g_00248, Syaj.g_00255
OG0000018	Prag.g_01134	Syaj.g_01413
OG0000019	Prag.g_00242, Prag.g_00786	Syaj.g_02613
OG0000021	Prag.g_01633, Prag.g_00359	Syaj.g_00982, Syaj.g_00042
OG0000022	Prag.g_01116	Syaj.g_01220
OG0000023	Prag.g_00354	Syaj.g_00829, Syaj.g_01791
OG0000024	Prag.g_00740, Prag.g_00653	Syaj.g_00500
OG0000025	Prag.g_00322, Prag.g_00839	Syaj.g_00383
OG0000026	Prag.g_00031, Prag.g_01050	Syaj.g_02298
OG0000027	Prag.g_00449, Prag.g_01646, Prag.g_01336	Syaj.g_00396
