Orthogroup	Prau	Prbh
OG0000000	Prau.g_01352	Prbh.g_01853
OG0000000	Prau.g_01665, Prau.g_01648	Prbh.g_01903
OG0000001	Prau.g_01394	Prbh.g_00001
OG0000002	Prau.g_01402	Prbh.g_01016, Prbh.g_01022
OG0000002	Prau.g_00718	Prbh.g_01313, Prbh.g_00006, Prbh.g_01311, Prbh.g_01317, Prbh.g_00199, Prbh.g_00912
OG0000004	Prau.g_00735	Prbh.g_00933
OG0000004	Prau.g_00233	Prbh.g_00548
OG0000005	Prau.g_01607	Prbh.g_00182
OG0000006	Prau.g_01316	Prbh.g_00538
OG0000007	Prau.g_00538	Prbh.g_00334
OG0000007	Prau.g_01732	Prbh.g_01782
OG0000008	Prau.g_00781	Prbh.g_01406
OG0000009	Prau.g_01324	Prbh.g_00377, Prbh.g_00193, Prbh.g_01841
OG0000010	Prau.g_00515	Prbh.g_00357
OG0000010	Prau.g_01698, Prau.g_01096	Prbh.g_00848, Prbh.g_01143
OG0000011	Prau.g_01307, Prau.g_01335	Prbh.g_01835
OG0000012	Prau.g_00663	Prbh.g_01460
OG0000013	Prau.g_00329	Prbh.g_00452
OG0000014	Prau.g_00308	Prbh.g_00472
OG0000015	Prau.g_00817	Prbh.g_00840, Prbh.g_01869
OG0000017	Prau.g_00636	Prbh.g_00232, Prbh.g_00225
OG0000018	Prau.g_00881	Prbh.g_00981
OG0000018	Prau.g_01188	Prbh.g_01305
OG0000019	Prau.g_00251	Prbh.g_00530
OG0000019	Prau.g_00834	Prbh.g_01307
OG0000020	Prau.g_01704	Prbh.g_01898
OG0000021	Prau.g_01680, Prau.g_00367	Prbh.g_00203, Prbh.g_00938
OG0000022	Prau.g_00814	Prbh.g_00190
OG0000023	Prau.g_00362	Prbh.g_00833
OG0000024	Prau.g_00796	Prbh.g_01147
OG0000024	Prau.g_00715	Prbh.g_00909
OG0000025	Prau.g_00333, Prau.g_00888	Prbh.g_00988
OG0000026	Prau.g_01103	Prbh.g_00749
OG0000028	Prau.g_01338	Prbh.g_00404
OG0000028	Prau.g_00322	Prbh.g_00459
OG0000029	Prau.g_00804	Prbh.g_01885
OG0000029	Prau.g_00378	Prbh.g_01691
OG0000030	Prau.g_01935	Prbh.g_01570
OG0000034	Prau.g_01381	Prbh.g_01383
OG0000035	Prau.g_01531, Prau.g_01528	Prbh.g_00096, Prbh.g_00099
OG0000037	Prau.g_00110	Prbh.g_00674
OG0000038	Prau.g_01976	Prbh.g_01530
OG0000039	Prau.g_00726	Prbh.g_00921
OG0000040	Prau.g_01662	Prbh.g_01815
OG0000041	Prau.g_01778	Prbh.g_01734
OG0000042	Prau.g_01932	Prbh.g_01573
OG0000043	Prau.g_01321, Prau.g_00926	Prbh.g_01304
OG0000047	Prau.g_00414	Prbh.g_00408
OG0000048	Prau.g_00377	Prbh.g_00508
OG0000052	Prau.g_01448	Prbh.g_00041
OG0000053	Prau.g_00040, Prau.g_01551	Prbh.g_00120, Prbh.g_01834
OG0000054	Prau.g_00644	Prbh.g_00223
OG0000055	Prau.g_00835	Prbh.g_01332, Prbh.g_01797
OG0000057	Prau.g_00738	Prbh.g_00936
OG0000059	Prau.g_01818	Prbh.g_01695
OG0000061	Prau.g_01206	Prbh.g_01283
OG0000062	Prau.g_01609	Prbh.g_00184
OG0000063	Prau.g_01295	Prbh.g_01401
OG0000065	Prau.g_00108	Prbh.g_00676
OG0000066	Prau.g_00579	Prbh.g_01856
OG0000067	Prau.g_00854	Prbh.g_00953
OG0000068	Prau.g_01409	Prbh.g_00009
OG0000069	Prau.g_01285, Prau.g_01642	Prbh.g_00376
OG0000070	Prau.g_00491	Prbh.g_00382
OG0000071	Prau.g_01371	Prbh.g_01373
OG0000072	Prau.g_00172	Prbh.g_00611
OG0000073	Prau.g_00540	Prbh.g_00051, Prbh.g_00330
OG0000074	Prau.g_00722	Prbh.g_00916, Prbh.g_00859, Prbh.g_00828
OG0000075	Prau.g_01901	Prbh.g_01607
OG0000076	Prau.g_00037, Prau.g_01925	Prbh.g_01581
OG0000077	Prau.g_00079	Prbh.g_00704
OG0000078	Prau.g_00240	Prbh.g_00540
OG0000079	Prau.g_00254	Prbh.g_00527
OG0000080	Prau.g_01440	Prbh.g_00069
OG0000081	Prau.g_00571	Prbh.g_00298
OG0000082	Prau.g_00624	Prbh.g_01855
OG0000084	Prau.g_01524	Prbh.g_00093
OG0000085	Prau.g_01725	Prbh.g_01408
OG0000086	Prau.g_00089	Prbh.g_00695
OG0000087	Prau.g_00140	Prbh.g_00642
OG0000088	Prau.g_00167	Prbh.g_00616
OG0000089	Prau.g_00358	Prbh.g_00415
OG0000090	Prau.g_00573	Prbh.g_00296
OG0000091	Prau.g_00682	Prbh.g_01211
OG0000092	Prau.g_00961	Prbh.g_00883
OG0000093	Prau.g_00983	Prbh.g_01181
OG0000094	Prau.g_01070	Prbh.g_01130
OG0000095	Prau.g_01089	Prbh.g_01031
OG0000096	Prau.g_01156, Prau.g_01331	Prbh.g_01909, Prbh.g_01948
OG0000097	Prau.g_01247	Prbh.g_01236
OG0000098	Prau.g_01391	Prbh.g_01935
OG0000099	Prau.g_01435	Prbh.g_00032
OG0000100	Prau.g_01605	Prbh.g_00179
OG0000101	Prau.g_01869	Prbh.g_01644
OG0000102	Prau.g_01930	Prbh.g_01576
OG0000103	Prau.g_02009	Prbh.g_01489
OG0000104	Prau.g_02018	Prbh.g_01480
OG0000105	Prau.g_00276	Prbh.g_00505
OG0000106	Prau.g_00373	Prbh.g_00821
OG0000107	Prau.g_00389	Prbh.g_01718
OG0000108	Prau.g_00521	Prbh.g_00351
OG0000109	Prau.g_00535	Prbh.g_00337
OG0000110	Prau.g_00614	Prbh.g_00254
OG0000111	Prau.g_00739	Prbh.g_00937
OG0000112	Prau.g_00818	Prbh.g_01078
OG0000113	Prau.g_00876	Prbh.g_00976
OG0000114	Prau.g_00956	Prbh.g_00878
OG0000115	Prau.g_01148	Prbh.g_01344
OG0000116	Prau.g_01197	Prbh.g_01294
OG0000117	Prau.g_01318	Prbh.g_01255
OG0000118	Prau.g_01383	Prbh.g_01385
OG0000119	Prau.g_01405	Prbh.g_01333, Prbh.g_00194
OG0000120	Prau.g_01430	Prbh.g_00031
