Orthogroup	Prap	Pray
OG0000000	Prap.g_00720, Prap.g_00715	Pray.g_01836
OG0000000	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491	Pray.g_01085
OG0000002	Prap.g_01925	Pray.g_01844
OG0000002	Prap.g_00653	Pray.g_00247, Pray.g_00246
OG0000003	Prap.g_00494	Pray.g_01890, Pray.g_01602
OG0000004	Prap.g_00535	Pray.g_00284
OG0000005	Prap.g_01862	Pray.g_01603, Pray.g_01576
OG0000006	Prap.g_01270	Pray.g_00988, Pray.g_00987
OG0000006	Prap.g_01779	Pray.g_01559
OG0000007	Prap.g_01888	Pray.g_01931
OG0000009	Prap.g_00480	Pray.g_00328
OG0000009	Prap.g_01462	Pray.g_00730
OG0000010	Prap.g_00010	Pray.g_00117, Pray.g_01905
OG0000011	Prap.g_01343	Pray.g_00897
OG0000012	Prap.g_01163, Prap.g_01170	Pray.g_01165
OG0000013	Prap.g_01840, Prap.g_01794	Pray.g_00309
OG0000014	Prap.g_01860, Prap.g_01912	Pray.g_01887, Pray.g_00960
OG0000015	Prap.g_01851, Prap.g_01818	Pray.g_00860
OG0000016	Prap.g_00510, Prap.g_00218	Pray.g_01833
OG0000018	Prap.g_01470	Pray.g_00722
OG0000019	Prap.g_00797	Pray.g_01578, Pray.g_00842
OG0000020	Prap.g_01439	Pray.g_00852
OG0000021	Prap.g_01797	Pray.g_00330
OG0000023	Prap.g_00216	Pray.g_01920
OG0000024	Prap.g_01403	Pray.g_00784
OG0000025	Prap.g_00667	Pray.g_00883
OG0000028	Prap.g_00121	Pray.g_01722
OG0000029	Prap.g_01312	Pray.g_01609
OG0000032	Prap.g_00080	Pray.g_01806
OG0000034	Prap.g_00099, Prap.g_00897	Pray.g_01793
OG0000035	Prap.g_00017	Pray.g_00438
OG0000036	Prap.g_01183, Prap.g_01790	Pray.g_01177
OG0000037	Prap.g_01145, Prap.g_00236	Pray.g_01140
OG0000038	Prap.g_00212	Pray.g_00304
OG0000040	Prap.g_00029	Pray.g_00838
OG0000041	Prap.g_01815, Prap.g_01821	Pray.g_00910
OG0000042	Prap.g_00791	Pray.g_01040
OG0000043	Prap.g_00691	Pray.g_00333
OG0000044	Prap.g_00456	Pray.g_00064
OG0000045	Prap.g_00081	Pray.g_01786
OG0000046	Prap.g_01917, Prap.g_01787	Pray.g_01566
OG0000047	Prap.g_01580	Pray.g_01364
OG0000048	Prap.g_01572	Pray.g_01371
OG0000050	Prap.g_00923	Pray.g_01493
OG0000051	Prap.g_01013	Pray.g_00638
OG0000052	Prap.g_00591	Pray.g_00848
OG0000053	Prap.g_01867, Prap.g_01230	Pray.g_01222
OG0000055	Prap.g_00760	Pray.g_00370
OG0000057	Prap.g_01475	Pray.g_00718
OG0000058	Prap.g_01292	Pray.g_00965
OG0000059	Prap.g_00799	Pray.g_01065
OG0000062	Prap.g_01883	Pray.g_00097
OG0000063	Prap.g_00429	Pray.g_01927
OG0000065	Prap.g_00561	Pray.g_01870
OG0000066	Prap.g_00079	Pray.g_01808
OG0000067	Prap.g_00619	Pray.g_00884
OG0000068	Prap.g_01642	Pray.g_01306
OG0000071	Prap.g_00043	Pray.g_01473
OG0000072	Prap.g_01389	Pray.g_00800
OG0000073	Prap.g_00356	Pray.g_01094
OG0000074	Prap.g_00809	Pray.g_01072
OG0000075	Prap.g_00776	Pray.g_00355
OG0000076	Prap.g_00708	Pray.g_00584
OG0000077	Prap.g_01863	Pray.g_01575
OG0000078	Prap.g_00082	Pray.g_01788
OG0000079	Prap.g_00206	Pray.g_01644
OG0000080	Prap.g_00618	Pray.g_01595
OG0000081	Prap.g_01608	Pray.g_01337
OG0000083	Prap.g_00051	Pray.g_01464
OG0000084	Prap.g_00048	Pray.g_01468
OG0000085	Prap.g_00932	Pray.g_01485
OG0000087	Prap.g_00903	Pray.g_00234
OG0000088	Prap.g_01061	Pray.g_00176
OG0000089	Prap.g_01052	Pray.g_00168
OG0000090	Prap.g_01035	Pray.g_00150
OG0000091	Prap.g_01001	Pray.g_00650
OG0000092	Prap.g_01000	Pray.g_00651
OG0000093	Prap.g_00986	Pray.g_00665
OG0000094	Prap.g_00967	Pray.g_00683
OG0000095	Prap.g_00962	Pray.g_00688
OG0000096	Prap.g_01460	Pray.g_00732
OG0000097	Prap.g_01436	Pray.g_00753
OG0000099	Prap.g_01415	Pray.g_00772
OG0000100	Prap.g_01412	Pray.g_00775
OG0000101	Prap.g_01347	Pray.g_00835
OG0000102	Prap.g_00543	Pray.g_00861
OG0000103	Prap.g_01291	Pray.g_00966
OG0000104	Prap.g_01287	Pray.g_00970
OG0000105	Prap.g_01267	Pray.g_00990
OG0000106	Prap.g_01237	Pray.g_01023
OG0000107	Prap.g_01236	Pray.g_01228, Pray.g_01024
OG0000108	Prap.g_01226	Pray.g_01218
OG0000109	Prap.g_01217	Pray.g_01209
OG0000110	Prap.g_01200	Pray.g_01193
OG0000111	Prap.g_00375	Pray.g_01112
OG0000112	Prap.g_00374	Pray.g_01111
OG0000113	Prap.g_00324	Pray.g_00275
OG0000114	Prap.g_00785	Pray.g_00346
OG0000115	Prap.g_00257	Pray.g_00511
OG0000116	Prap.g_00261	Pray.g_00515
OG0000117	Prap.g_00705	Pray.g_00581
OG0000118	Prap.g_00501	Pray.g_00632
OG0000119	Prap.g_01880	Pray.g_00094
OG0000120	Prap.g_00450	Pray.g_00057
OG0000121	Prap.g_00427	Pray.g_00038
OG0000122	Prap.g_00407	Pray.g_00019
OG0000123	Prap.g_01135	Pray.g_00006
OG0000124	Prap.g_00217	Pray.g_00250
OG0000125	Prap.g_00574	Pray.g_01858
OG0000126	Prap.g_00059	Pray.g_01829
OG0000127	Prap.g_00109	Pray.g_01735
OG0000128	Prap.g_00122	Pray.g_01721
OG0000129	Prap.g_00158	Pray.g_01685
OG0000130	Prap.g_01782	Pray.g_01561
OG0000131	Prap.g_01742	Pray.g_01523
OG0000132	Prap.g_01739	Pray.g_01520
OG0000133	Prap.g_01685	Pray.g_01265
OG0000134	Prap.g_01648, Prap.g_01649	Pray.g_01301
OG0000135	Prap.g_01646	Pray.g_01303
OG0000136	Prap.g_01596	Pray.g_01348
OG0000137	Prap.g_01562	Pray.g_01381
OG0000138	Prap.g_01528	Pray.g_01417
OG0000139	Prap.g_01497	Pray.g_01444
OG0000140	Prap.g_00053	Pray.g_01462
OG0000141	Prap.g_00052	Pray.g_01463
