Orthogroup	Prbf	Syam
OG0000001	Prbf.g_00068	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prbf.g_01182, Prbf.g_01177, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883, Prbf.g_00260, Prbf.g_01285	Syam.g_00931
OG0000004	Prbf.g_01264	Syam.g_00787
OG0000004	Prbf.g_01570	Syam.g_01499, Syam.g_00501
OG0000005	Prbf.g_00240	Syam.g_01970
OG0000006	Prbf.g_01580	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prbf.g_01780	Syam.g_00602
OG0000007	Prbf.g_00693	Syam.g_01990
OG0000008	Prbf.g_00793	Syam.g_00810
OG0000008	Prbf.g_00792	Syam.g_00811
OG0000010	Prbf.g_00847, Prbf.g_01056	Syam.g_01669
OG0000012	Prbf.g_01905	Syam.g_01492
OG0000013	Prbf.g_01665	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prbf.g_01647	Syam.g_00191
OG0000015	Prbf.g_00754, Prbf.g_00708	Syam.g_01218, Syam.g_01362
OG0000016	Prbf.g_00860	Syam.g_00876, Syam.g_01011
OG0000017	Prbf.g_01880	Syam.g_01715
OG0000017	Prbf.g_01887	Syam.g_01708
OG0000018	Prbf.g_00896	Syam.g_01640
OG0000019	Prbf.g_01588, Prbf.g_00894	Syam.g_00274
OG0000021	Prbf.g_00265, Prbf.g_01259	Syam.g_00523
OG0000023	Prbf.g_00287	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbf.g_01052, Prbf.g_01288	Syam.g_00815
OG0000025	Prbf.g_01209	Syam.g_00740
OG0000026	Prbf.g_01354	Syam.g_00035
OG0000027	Prbf.g_00817, Prbf.g_00774	Syam.g_01442, Syam.g_00989
OG0000028	Prbf.g_00794	Syam.g_00176
OG0000029	Prbf.g_00804, Prbf.g_00762, Prbf.g_00603	Syam.g_01390, Syam.g_01055
OG0000030	Prbf.g_00484	Syam.g_00104, Syam.g_00103
OG0000031	Prbf.g_00116	Syam.g_00171, Syam.g_00086
OG0000032	Prbf.g_00196	Syam.g_01660
OG0000033	Prbf.g_00123	Syam.g_02217
OG0000034	Prbf.g_00015	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbf.g_00157	Syam.g_01612
OG0000037	Prbf.g_01437	Syam.g_02125
OG0000038	Prbf.g_00445	Syam.g_02317
OG0000039	Prbf.g_01276	Syam.g_00749
