Orthogroup	Prbk	Syaq
OG0000001	Prbk.g_00561, Prbk.g_02701	Syaq.g_01434
OG0000003	Prbk.g_02222, Prbk.g_01375, Prbk.g_00214, Prbk.g_02704, Prbk.g_02705, Prbk.g_00332, Prbk.g_01523, Prbk.g_00695, Prbk.g_01676, Prbk.g_01675, Prbk.g_00349, Prbk.g_00999, Prbk.g_02681, Prbk.g_02121, Prbk.g_00049	Syaq.g_00887
OG0000004	Prbk.g_01760	Syaq.g_02603
OG0000004	Prbk.g_01134	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbk.g_00933	Syaq.g_01692
OG0000006	Prbk.g_02695	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbk.g_00907	Syaq.g_01673
OG0000008	Prbk.g_01819	Syaq.g_02162
OG0000008	Prbk.g_01820	Syaq.g_02575
OG0000009	Prbk.g_01932, Prbk.g_00013	Syaq.g_01489
OG0000010	Prbk.g_02112	Syaq.g_00443
OG0000011	Prbk.g_01851	Syaq.g_01038
OG0000012	Prbk.g_02610	Syaq.g_02059
OG0000013	Prbk.g_00853	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbk.g_00454	Syaq.g_00862
OG0000015	Prbk.g_02558	Syaq.g_02255
OG0000017	Prbk.g_01150	Syaq.g_01999
OG0000017	Prbk.g_01142	Syaq.g_01992
OG0000018	Prbk.g_01227	Syaq.g_00401
OG0000019	Prbk.g_01644	Syaq.g_00717
OG0000022	Prbk.g_00212, Prbk.g_01667	Syaq.g_02126
OG0000023	Prbk.g_02448	Syaq.g_02540
OG0000025	Prbk.g_02531	Syaq.g_02381
OG0000026	Prbk.g_01617	Syaq.g_01114
OG0000028	Prbk.g_00469	Syaq.g_00878
OG0000030	Prbk.g_01532	Syaq.g_01047
OG0000030	Prbk.g_01533	Syaq.g_01048
OG0000031	Prbk.g_00539, Prbk.g_00534	Syaq.g_01009
OG0000032	Prbk.g_01209	Syaq.g_00421
OG0000033	Prbk.g_00776	Syaq.g_01399
OG0000034	Prbk.g_01171	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbk.g_00259	Syaq.g_00371, Syaq.g_00372
OG0000037	Prbk.g_00007	Syaq.g_01483
OG0000038	Prbk.g_02164	Syaq.g_01260
OG0000038	Prbk.g_02166	Syaq.g_01258
OG0000039	Prbk.g_01385	Syaq.g_01601
OG0000039	Prbk.g_00642	Syaq.g_01241
OG0000042	Prbk.g_01495, Prbk.g_00140	Syaq.g_00200, Syaq.g_01044
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syaq.g_00107
OG0000045	Prbk.g_01321	Syaq.g_02047
OG0000046	Prbk.g_00854	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbk.g_00405	Syaq.g_00749
OG0000052	Prbk.g_00499	Syaq.g_00969
OG0000053	Prbk.g_01230	Syaq.g_00397
OG0000054	Prbk.g_01153	Syaq.g_02005
OG0000057	Prbk.g_01765	Syaq.g_02605
OG0000059	Prbk.g_00992, Prbk.g_00533	Syaq.g_00657
OG0000060	Prbk.g_02058	Syaq.g_01770
OG0000061	Prbk.g_01019	Syaq.g_00249
OG0000062	Prbk.g_00931	Syaq.g_01690
OG0000063	Prbk.g_01613	Syaq.g_01110
OG0000065	Prbk.g_00011	Syaq.g_01908, Syaq.g_01487
OG0000066	Prbk.g_01094	Syaq.g_01851
OG0000067	Prbk.g_02468	Syaq.g_02340
OG0000068	Prbk.g_02052	Syaq.g_01763
OG0000070	Prbk.g_00310	Syaq.g_00484
OG0000071	Prbk.g_01183	Syaq.g_00297
OG0000072	Prbk.g_00778	Syaq.g_01397
OG0000073	Prbk.g_01862	Syaq.g_01795
OG0000075	Prbk.g_00514	Syaq.g_00986
OG0000076	Prbk.g_00237	Syaq.g_01028
OG0000077	Prbk.g_01308	Syaq.g_01547
OG0000078	Prbk.g_01515	Syaq.g_01585
OG0000079	Prbk.g_01000	Syaq.g_00721
OG0000081	Prbk.g_00733, Prbk.g_01772	Syaq.g_01893
OG0000082	Prbk.g_01122	Syaq.g_01975
OG0000084	Prbk.g_00255	Syaq.g_00367
OG0000085	Prbk.g_00919	Syaq.g_01683
OG0000086	Prbk.g_01295	Syaq.g_01525
OG0000087	Prbk.g_00559	Syaq.g_01438
OG0000088	Prbk.g_01836, Prbk.g_00773	Syaq.g_01402
OG0000089	Prbk.g_00364	Syaq.g_00529
OG0000090	Prbk.g_01080	Syaq.g_01838
OG0000091	Prbk.g_02639	Syaq.g_02090
OG0000093	Prbk.g_02444	Syaq.g_02323
OG0000094	Prbk.g_02190	Syaq.g_02554
OG0000095	Prbk.g_00056	Syaq.g_02679
OG0000097	Prbk.g_00189	Syaq.g_00167
OG0000098	Prbk.g_01199	Syaq.g_02221
