Orthogroup	Prbl	Prac
OG0000000	Prbl.g_01582	Prac.g_00210
OG0000000	Prbl.g_01092	Prac.g_00693
OG0000002	Prbl.g_00808, Prbl.g_02598, Prbl.g_02578, Prbl.g_00725, Prbl.g_00121	Prac.g_00202
OG0000002	Prbl.g_02599	Prac.g_00925, Prac.g_00924
OG0000003	Prbl.g_00117	Prac.g_00157, Prac.g_00290
OG0000004	Prbl.g_01685, Prbl.g_00628, Prbl.g_00679	Prac.g_01529
OG0000006	Prbl.g_00531	Prac.g_00874
OG0000006	Prbl.g_00394	Prac.g_00625
OG0000007	Prbl.g_01854, Prbl.g_01855	Prac.g_00904, Prac.g_00699
OG0000009	Prbl.g_01509	Prac.g_01496, Prac.g_01681
OG0000011	Prbl.g_01574	Prac.g_01127
OG0000011	Prbl.g_00719	Prac.g_01601
OG0000012	Prbl.g_01755, Prbl.g_01763	Prac.g_00773
OG0000013	Prbl.g_01566	Prac.g_00898
OG0000016	Prbl.g_00007, Prbl.g_00046	Prac.g_00213
OG0000017	Prbl.g_00691	Prac.g_01901
OG0000018	Prbl.g_02601	Prac.g_01689
OG0000019	Prbl.g_01768	Prac.g_01169
OG0000024	Prbl.g_01416	Prac.g_01625
OG0000026	Prbl.g_01981	Prac.g_01914, Prac.g_01913, Prac.g_00908
OG0000028	Prbl.g_00242	Prac.g_00411
OG0000032	Prbl.g_00835, Prbl.g_00830	Prac.g_00249
OG0000036	Prbl.g_01783	Prac.g_00788
OG0000037	Prbl.g_01618	Prac.g_00748
OG0000038	Prbl.g_01072, Prbl.g_01310	Prac.g_01510
OG0000039	Prbl.g_00281, Prbl.g_01838	Prac.g_01764
OG0000040	Prbl.g_02355	Prac.g_01174
OG0000042	Prbl.g_02567, Prbl.g_01839	Prac.g_01560
OG0000043	Prbl.g_01099, Prbl.g_01097	Prac.g_01491
OG0000044	Prbl.g_02084	Prac.g_00985
OG0000045	Prbl.g_00890	Prac.g_00434, Prac.g_00258
OG0000046	Prbl.g_00405	Prac.g_00632
OG0000047	Prbl.g_01285	Prac.g_01904, Prac.g_00041
OG0000048	Prbl.g_01236, Prbl.g_01121	Prac.g_00048
OG0000050	Prbl.g_01977	Prac.g_01916
OG0000051	Prbl.g_00290	Prac.g_01590, Prac.g_01773
OG0000052	Prbl.g_00411	Prac.g_01163
OG0000053	Prbl.g_00752	Prac.g_00833
OG0000054	Prbl.g_01943	Prac.g_01515
OG0000055	Prbl.g_02310	Prac.g_01453
OG0000056	Prbl.g_00138	Prac.g_01029
OG0000058	Prbl.g_01340	Prac.g_01069
OG0000059	Prbl.g_00025	Prac.g_00673
OG0000062	Prbl.g_02204	Prac.g_01018
OG0000063	Prbl.g_01384	Prac.g_01955
OG0000065	Prbl.g_01722	Prac.g_00175
OG0000066	Prbl.g_00892	Prac.g_00248
OG0000068	Prbl.g_01126, Prbl.g_01000	Prac.g_00548
OG0000069	Prbl.g_00889	Prac.g_00242
OG0000071	Prbl.g_02109	Prac.g_01936
