Orthogroup	Prab	Prbn
OG0000000	Prab.g_00683	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000002	Prab.g_01279, Prab.g_01281, Prab.g_00788	Prbn.g_01923
OG0000003	Prab.g_01308, Prab.g_00917, Prab.g_01619	Prbn.g_01151
OG0000004	Prab.g_00747	Prbn.g_01110
OG0000005	Prab.g_01598, Prab.g_01630, Prab.g_00760	Prbn.g_01662
OG0000006	Prab.g_00501	Prbn.g_00617
OG0000006	Prab.g_01669	Prbn.g_01745
OG0000009	Prab.g_00820	Prbn.g_01165
OG0000009	Prab.g_00239	Prbn.g_00015
OG0000010	Prab.g_01596, Prab.g_01165	Prbn.g_01049
OG0000012	Prab.g_00602	Prbn.g_00510, Prbn.g_00517
OG0000013	Prab.g_00789	Prbn.g_01684, Prbn.g_01730
OG0000014	Prab.g_01616, Prab.g_00914	Prbn.g_01664, Prbn.g_00139
OG0000015	Prab.g_00370	Prbn.g_01673, Prbn.g_01706
OG0000016	Prab.g_01356	Prbn.g_01135, Prbn.g_00885
OG0000017	Prab.g_01486	Prbn.g_01690, Prbn.g_00233
OG0000018	Prab.g_00231	Prbn.g_00308
OG0000019	Prab.g_00354	Prbn.g_01560
OG0000020	Prab.g_00411	Prbn.g_01097
OG0000020	Prab.g_00363	Prbn.g_00038
OG0000021	Prab.g_00822	Prbn.g_01727
OG0000024	Prab.g_00294	Prbn.g_00074
OG0000025	Prab.g_01635, Prab.g_00394	Prbn.g_01937
OG0000028	Prab.g_01466	Prbn.g_00212
OG0000029	Prab.g_01585	Prbn.g_00659
OG0000031	Prab.g_01643	Prbn.g_00809
OG0000032	Prab.g_01446	Prbn.g_00171
OG0000033	Prab.g_01579	Prbn.g_01131
OG0000034	Prab.g_01423	Prbn.g_00190, Prbn.g_00724
OG0000035	Prab.g_01082	Prbn.g_01042
OG0000036	Prab.g_00589	Prbn.g_00530, Prbn.g_01734
OG0000037	Prab.g_00627	Prbn.g_00492, Prbn.g_00867
OG0000038	Prab.g_00782	Prbn.g_00891
OG0000039	Prab.g_00157	Prbn.g_01247
OG0000040	Prab.g_00348	Prbn.g_01030
OG0000041	Prab.g_00405	Prbn.g_01709, Prbn.g_01703
OG0000042	Prab.g_00723	Prbn.g_01554
OG0000043	Prab.g_00825	Prbn.g_01454
OG0000044	Prab.g_01219	Prbn.g_01189
OG0000045	Prab.g_01393	Prbn.g_00172
OG0000046	Prab.g_01662	Prbn.g_00144, Prbn.g_01737
OG0000047	Prab.g_01857	Prbn.g_00996
OG0000048	Prab.g_01864	Prbn.g_00988
OG0000050	Prab.g_00031, Prab.g_01629	Prbn.g_00750
OG0000051	Prab.g_00148	Prbn.g_01256
OG0000052	Prab.g_00359	Prbn.g_00829
OG0000053	Prab.g_00543	Prbn.g_01657, Prbn.g_00577
OG0000054	Prab.g_00803	Prbn.g_00475
OG0000055	Prab.g_00862	Prbn.g_01523
OG0000056	Prab.g_01634	Prbn.g_01133
OG0000057	Prab.g_00228	Prbn.g_00313
OG0000058	Prab.g_00479	Prbn.g_00639
OG0000059	Prab.g_00703	Prbn.g_01562
OG0000062	Prab.g_01186	Prbn.g_01650
OG0000063	Prab.g_00717	Prbn.g_00389
OG0000065	Prab.g_01637, Prab.g_01326	Prbn.g_01084
OG0000066	Prab.g_01447	Prbn.g_00170
OG0000068	Prab.g_01802	Prbn.g_01881
OG0000071	Prab.g_00011	Prbn.g_00002, Prbn.g_00003
OG0000072	Prab.g_00310	Prbn.g_00088
OG0000073	Prab.g_00674	Prbn.g_00845
OG0000074	Prab.g_00696	Prbn.g_01572
OG0000075	Prab.g_00847	Prbn.g_01539
OG0000076	Prab.g_00929, Prab.g_01299	Prbn.g_01471
OG0000078	Prab.g_01394	Prbn.g_00173
OG0000079	Prab.g_01544	Prbn.g_00897
OG0000080	Prab.g_01290, Prab.g_00922	Prbn.g_00803
OG0000081	Prab.g_01832	Prbn.g_01915
OG0000082	Prab.g_01920	Prbn.g_00798
OG0000083	Prab.g_00003	Prbn.g_00011
OG0000084	Prab.g_00006	Prbn.g_00008
OG0000085	Prab.g_00023	Prbn.g_00759
OG0000087	Prab.g_00048	Prbn.g_00730
OG0000088	Prab.g_00104	Prbn.g_01304
OG0000089	Prab.g_00112	Prbn.g_01295
OG0000090	Prab.g_00129	Prbn.g_01278
OG0000091	Prab.g_00160	Prbn.g_01244
OG0000092	Prab.g_00161	Prbn.g_00384, Prbn.g_01243
OG0000093	Prab.g_00175	Prbn.g_00370
OG0000094	Prab.g_00193	Prbn.g_00351
OG0000095	Prab.g_00198	Prbn.g_00346
OG0000096	Prab.g_00241	Prbn.g_00017
OG0000097	Prab.g_00262	Prbn.g_00041
OG0000099	Prab.g_00282	Prbn.g_00062
OG0000100	Prab.g_00285	Prbn.g_00065
OG0000101	Prab.g_00344	Prbn.g_00694
OG0000102	Prab.g_00371	Prbn.g_01102
OG0000103	Prab.g_00480	Prbn.g_00638
OG0000104	Prab.g_00484	Prbn.g_00634
OG0000105	Prab.g_00503	Prbn.g_00614
OG0000106	Prab.g_00536	Prbn.g_00584
OG0000107	Prab.g_00537	Prbn.g_00583
OG0000108	Prab.g_00547	Prbn.g_00573
OG0000109	Prab.g_00556	Prbn.g_00564
OG0000110	Prab.g_00573	Prbn.g_00547
OG0000111	Prab.g_00656	Prbn.g_00443
OG0000112	Prab.g_00657	Prbn.g_00444
OG0000113	Prab.g_00745	Prbn.g_01351
OG0000114	Prab.g_00838	Prbn.g_01548
OG0000115	Prab.g_01010	Prbn.g_01418
OG0000116	Prab.g_01006	Prbn.g_01414
OG0000117	Prab.g_00932	Prbn.g_01468
OG0000118	Prab.g_01144	Prbn.g_01144
OG0000119	Prab.g_01189	Prbn.g_01653
OG0000120	Prab.g_01225	Prbn.g_01195
