Orthogroup	Prbf	Prao
OG0000000	Prbf.g_00776	Prao.g_01515
OG0000000	Prbf.g_00760, Prbf.g_00775, Prbf.g_00881	Prao.g_01514, Prao.g_01029
OG0000001	Prbf.g_01182, Prbf.g_01177	Prao.g_01246
OG0000001	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883	Prao.g_00116
OG0000002	Prbf.g_00831	Prao.g_01529, Prao.g_01852
OG0000002	Prbf.g_00068	Prao.g_01254
OG0000004	Prbf.g_00880	Prao.g_01296, Prao.g_01518
OG0000005	Prbf.g_00052	Prao.g_00679
OG0000006	Prbf.g_00306	Prao.g_01316, Prao.g_00691, Prao.g_01142
OG0000008	Prbf.g_01780	Prao.g_00603
OG0000008	Prbf.g_00693	Prao.g_01552
OG0000010	Prbf.g_00894	Prao.g_00720
OG0000010	Prbf.g_01588	Prao.g_00387
OG0000011	Prbf.g_00603	Prao.g_00510
OG0000011	Prbf.g_00762, Prbf.g_00804	Prao.g_00690
OG0000013	Prbf.g_00252	Prao.g_01507
OG0000014	Prbf.g_01647	Prao.g_01213
OG0000016	Prbf.g_00754, Prbf.g_00708	Prao.g_00703
OG0000017	Prbf.g_00774, Prbf.g_00817	Prao.g_01293, Prao.g_00576
OG0000018	Prbf.g_01880, Prbf.g_01887	Prao.g_00036
OG0000019	Prbf.g_00732, Prbf.g_00765	Prao.g_00515
OG0000020	Prbf.g_00864, Prbf.g_00254	Prao.g_01243
OG0000022	Prbf.g_01580	Prao.g_00379
OG0000023	Prbf.g_01259	Prao.g_01346, Prao.g_00500
OG0000024	Prbf.g_00816, Prbf.g_00872	Prao.g_01308
OG0000025	Prbf.g_01052, Prbf.g_01288	Prao.g_00683
OG0000029	Prbf.g_00869, Prbf.g_00719	Prao.g_00721
OG0000030	Prbf.g_00711	Prao.g_00722
OG0000031	Prbf.g_00487	Prao.g_01750
OG0000034	Prbf.g_00157	Prao.g_01397
OG0000035	Prbf.g_01738	Prao.g_01508
OG0000036	Prbf.g_00264	Prao.g_01145
OG0000038	Prbf.g_00116	Prao.g_01355, Prao.g_01364
OG0000041	Prbf.g_01905, Prbf.g_00272	Prao.g_00062
OG0000043	Prbf.g_00299	Prao.g_00831
OG0000045	Prbf.g_00704, Prbf.g_01867	Prao.g_00024
OG0000046	Prbf.g_00248	Prao.g_00699
OG0000047	Prbf.g_00918	Prao.g_01089
OG0000048	Prbf.g_01380	Prao.g_01358
OG0000049	Prbf.g_00117	Prao.g_01191
OG0000050	Prbf.g_01500	Prao.g_00304
OG0000051	Prbf.g_00287	Prao.g_00494
OG0000053	Prbf.g_01253	Prao.g_00648
OG0000054	Prbf.g_00822, Prbf.g_00701	Prao.g_01545
OG0000055	Prbf.g_00496	Prao.g_01743
OG0000056	Prbf.g_01354	Prao.g_00177
OG0000057	Prbf.g_01491	Prao.g_00295
OG0000058	Prbf.g_00320	Prao.g_00505
OG0000062	Prbf.g_01222	Prao.g_00763
OG0000065	Prbf.g_01575	Prao.g_00375, Prao.g_01537
OG0000066	Prbf.g_01758	Prao.g_00581
OG0000067	Prbf.g_01261	Prao.g_00136
OG0000070	Prbf.g_01170	Prao.g_00974
OG0000071	Prbf.g_00945	Prao.g_01332
OG0000072	Prbf.g_00026	Prao.g_01276
OG0000074	Prbf.g_00115	Prao.g_01215
OG0000075	Prbf.g_00558	Prao.g_01687
OG0000077	Prbf.g_00382	Prao.g_00158
OG0000078	Prbf.g_01661	Prao.g_00458
OG0000079	Prbf.g_00044	Prao.g_00516
OG0000080	Prbf.g_01018	Prao.g_00108
OG0000081	Prbf.g_01271	Prao.g_00129
OG0000082	Prbf.g_01238	Prao.g_00748
OG0000083	Prbf.g_00897	Prao.g_00812
OG0000084	Prbf.g_01117	Prao.g_00902
OG0000085	Prbf.g_00873	Prao.g_01025
OG0000086	Prbf.g_00788	Prao.g_01122
OG0000090	Prbf.g_00118	Prao.g_01214
OG0000091	Prbf.g_00165	Prao.g_01405
OG0000092	Prbf.g_00346	Prao.g_01522
OG0000093	Prbf.g_00606	Prao.g_01639
OG0000094	Prbf.g_00562	Prao.g_01684
OG0000095	Prbf.g_00524	Prao.g_01717
OG0000096	Prbf.g_00451	Prao.g_01788
OG0000098	Prbf.g_00390	Prao.g_01844
OG0000099	Prbf.g_01345	Prao.g_00170
OG0000101	Prbf.g_01374	Prao.g_00195
OG0000102	Prbf.g_01443	Prao.g_00251
OG0000103	Prbf.g_01452	Prao.g_00260
OG0000104	Prbf.g_01469	Prao.g_00277
OG0000105	Prbf.g_01504	Prao.g_00308
OG0000106	Prbf.g_01518	Prao.g_00322
OG0000107	Prbf.g_01527	Prao.g_00330
OG0000108	Prbf.g_01537	Prao.g_00340
OG0000109	Prbf.g_01578	Prao.g_00377
OG0000110	Prbf.g_01590	Prao.g_00389
OG0000111	Prbf.g_01614	Prao.g_01378
OG0000113	Prbf.g_01638	Prao.g_00434
OG0000114	Prbf.g_01664	Prao.g_00461
OG0000115	Prbf.g_01757	Prao.g_00580
OG0000116	Prbf.g_01759	Prao.g_00582
OG0000117	Prbf.g_01763	Prao.g_00586
OG0000118	Prbf.g_01783	Prao.g_00605
OG0000119	Prbf.g_01813	Prao.g_01859
OG0000120	Prbf.g_01814	Prao.g_01858
OG0000121	Prbf.g_01824	Prao.g_01162
OG0000122	Prbf.g_01833	Prao.g_01171
OG0000123	Prbf.g_01865	Prao.g_00023
OG0000124	Prbf.g_00999	Prao.g_00090
OG0000125	Prbf.g_01000	Prao.g_00091
OG0000126	Prbf.g_01001	Prao.g_00092
OG0000127	Prbf.g_01276	Prao.g_00124
OG0000128	Prbf.g_01251	Prao.g_00650
OG0000129	Prbf.g_01050	Prao.g_00670
OG0000130	Prbf.g_01153	Prao.g_00725
OG0000131	Prbf.g_01247	Prao.g_00739
OG0000132	Prbf.g_01210	Prao.g_00775
OG0000133	Prbf.g_01303	Prao.g_00861
OG0000134	Prbf.g_01019	Prao.g_00870
OG0000135	Prbf.g_01113	Prao.g_00906
OG0000136	Prbf.g_01167	Prao.g_00971
OG0000137	Prbf.g_00785	Prao.g_01119
OG0000138	Prbf.g_00912	Prao.g_00646
OG0000139	Prbf.g_00924	Prao.g_01083
OG0000140	Prbf.g_01915	Prao.g_01032
OG0000141	Prbf.g_00253	Prao.g_00014
OG0000142	Prbf.g_00013	Prao.g_01264
OG0000143	Prbf.g_00095	Prao.g_01239
OG0000144	Prbf.g_00145	Prao.g_01384
OG0000145	Prbf.g_00158	Prao.g_01398
OG0000146	Prbf.g_00194	Prao.g_01433
OG0000147	Prbf.g_00241	Prao.g_01473
OG0000148	Prbf.g_00242	Prao.g_01474
