Orthogroup	Pras	Prac
OG0000000	Pras.g_00184	Prac.g_00159
OG0000000	Pras.g_00493	Prac.g_00277
OG0000000	Pras.g_00470	Prac.g_00292
OG0000000	Pras.g_00117	Prac.g_00926
OG0000000	Pras.g_00469	Prac.g_00926
OG0000000	Pras.g_00182	Prac.g_00290
OG0000001	Pras.g_00235	Prac.g_00202
OG0000001	Pras.g_00118, Pras.g_00120	Prac.g_00924
OG0000001	Pras.g_00541	Prac.g_00925
OG0000002	Pras.g_00243	Prac.g_00210
OG0000002	Pras.g_01554	Prac.g_00693
OG0000004	Pras.g_01571	Prac.g_00676
OG0000004	Pras.g_01084	Prac.g_01698
OG0000005	Pras.g_00563	Prac.g_00612
OG0000005	Pras.g_00429	Prac.g_00335
OG0000006	Pras.g_00148, Pras.g_01093	Prac.g_01689
OG0000007	Pras.g_01375	Prac.g_00874
OG0000007	Pras.g_00550	Prac.g_00625
OG0000008	Pras.g_01548	Prac.g_00699
OG0000009	Pras.g_00463	Prac.g_00301
OG0000009	Pras.g_00956	Prac.g_01826
OG0000010	Pras.g_00523	Prac.g_01592
OG0000010	Pras.g_01942	Prac.g_01248
OG0000010	Pras.g_01352	Prac.g_01070
OG0000011	Pras.g_00176	Prac.g_00152
OG0000011	Pras.g_00142, Pras.g_00166	Prac.g_00142
OG0000012	Pras.g_01499	Prac.g_00748
OG0000013	Pras.g_01179	Prac.g_01604
OG0000014	Pras.g_01158	Prac.g_01625
OG0000015	Pras.g_00127	Prac.g_00898
OG0000016	Pras.g_00855	Prac.g_01934
OG0000017	Pras.g_01474	Prac.g_00773
OG0000018	Pras.g_00037	Prac.g_01004
OG0000018	Pras.g_01728	Prac.g_01448
OG0000019	Pras.g_01101	Prac.g_01681
OG0000019	Pras.g_01681	Prac.g_01496
OG0000020	Pras.g_00001	Prac.g_01037
OG0000020	Pras.g_00530	Prac.g_00875, Prac.g_01598
OG0000021	Pras.g_01218	Prac.g_01169
OG0000022	Pras.g_01662	Prac.g_01510
OG0000022	Pras.g_00019	Prac.g_01022
OG0000023	Pras.g_01213	Prac.g_01174
OG0000024	Pras.g_01645	Prac.g_01525
OG0000024	Pras.g_01551	Prac.g_00696
OG0000025	Pras.g_01735	Prac.g_01441
OG0000025	Pras.g_01183	Prac.g_01600
OG0000026	Pras.g_00873	Prac.g_01916
OG0000026	Pras.g_01949	Prac.g_01241
OG0000027	Pras.g_01348	Prac.g_01074
OG0000028	Pras.g_01172	Prac.g_01611
OG0000028	Pras.g_00169	Prac.g_00145
OG0000029	Pras.g_01228	Prac.g_01158
OG0000030	Pras.g_00753	Prac.g_00050
OG0000031	Pras.g_00331	Prac.g_00249
OG0000032	Pras.g_00326	Prac.g_00242
OG0000033	Pras.g_01020	Prac.g_01761
OG0000034	Pras.g_00219	Prac.g_00185
OG0000035	Pras.g_00350	Prac.g_00411
OG0000037	Pras.g_00960	Prac.g_01822
OG0000038	Pras.g_00795	Prac.g_00090
OG0000039	Pras.g_01562	Prac.g_00685
OG0000040	Pras.g_00489	Prac.g_00279
OG0000040	Pras.g_00036	Prac.g_01005
OG0000041	Pras.g_00597	Prac.g_00579
OG0000042	Pras.g_00750	Prac.g_00048
OG0000043	Pras.g_01772	Prac.g_01405
OG0000045	Pras.g_00509	Prac.g_01576
OG0000045	Pras.g_01224	Prac.g_01162
OG0000047	Pras.g_01263	Prac.g_01127
OG0000047	Pras.g_01182	Prac.g_01601
OG0000048	Pras.g_01227	Prac.g_01159
OG0000049	Pras.g_01237	Prac.g_01149
OG0000049	Pras.g_00151	Prac.g_01954
OG0000049	Pras.g_01596, Pras.g_00139	Prac.g_00880
OG0000050	Pras.g_01969	Prac.g_01220
OG0000053	Pras.g_00886	Prac.g_01901
OG0000053	Pras.g_00370	Prac.g_00391
OG0000054	Pras.g_01482	Prac.g_00765
OG0000055	Pras.g_01682	Prac.g_01495
OG0000057	Pras.g_01574	Prac.g_00673
OG0000058	Pras.g_00291	Prac.g_00258
OG0000059	Pras.g_00637	Prac.g_00500
OG0000061	Pras.g_00056	Prac.g_00985
OG0000062	Pras.g_00431	Prac.g_00333
OG0000063	Pras.g_00875	Prac.g_01913
OG0000065	Pras.g_00958	Prac.g_01824
OG0000066	Pras.g_01416	Prac.g_00833
OG0000067	Pras.g_00311	Prac.g_01475
OG0000068	Pras.g_00250	Prac.g_00217
OG0000069	Pras.g_00538	Prac.g_00890
OG0000069	Pras.g_00464	Prac.g_00300
OG0000070	Pras.g_01328	Prac.g_01097
OG0000071	Pras.g_00209	Prac.g_00175
OG0000072	Pras.g_01022	Prac.g_01759
OG0000073	Pras.g_01377	Prac.g_00872
OG0000074	Pras.g_01558	Prac.g_00689
OG0000075	Pras.g_00719	Prac.g_00017
OG0000076	Pras.g_00883	Prac.g_01904
OG0000076	Pras.g_00743	Prac.g_00041
OG0000077	Pras.g_00929	Prac.g_01853
OG0000078	Pras.g_01091	Prac.g_01691
OG0000081	Pras.g_01408	Prac.g_00841
OG0000082	Pras.g_01462	Prac.g_00788
OG0000083	Pras.g_01638	Prac.g_01529
OG0000083	Pras.g_01631	Prac.g_01536
OG0000084	Pras.g_00346	Prac.g_00415
OG0000085	Pras.g_00543	Prac.g_00632
OG0000086	Pras.g_00939	Prac.g_01843
OG0000087	Pras.g_00990	Prac.g_01792
OG0000088	Pras.g_01017	Prac.g_01764
OG0000089	Pras.g_01209	Prac.g_01178
OG0000090	Pras.g_01410	Prac.g_00839
OG0000091	Pras.g_01518	Prac.g_00729
OG0000092	Pras.g_01806	Prac.g_01379
OG0000093	Pras.g_01827	Prac.g_01359
OG0000094	Pras.g_01915	Prac.g_01275
OG0000095	Pras.g_01934	Prac.g_01256
OG0000096	Pras.g_00004	Prac.g_01035
OG0000096	Pras.g_00163	Prac.g_00139
OG0000097	Pras.g_00098	Prac.g_00944
OG0000098	Pras.g_00232	Prac.g_00199
OG0000099	Pras.g_00294	Prac.g_00256
OG0000100	Pras.g_00427	Prac.g_00337
OG0000101	Pras.g_00687	Prac.g_00548
OG0000102	Pras.g_00748	Prac.g_00046
OG0000103	Pras.g_00829	Prac.g_00123
OG0000104	Pras.g_00838	Prac.g_00131
OG0000105	Pras.g_01126	Prac.g_01657
OG0000106	Pras.g_01223	Prac.g_01163
OG0000107	Pras.g_01239	Prac.g_01148
OG0000108	Pras.g_01358	Prac.g_01064
OG0000109	Pras.g_01372	Prac.g_01050
OG0000110	Pras.g_01451	Prac.g_00798
OG0000111	Pras.g_01575	Prac.g_00672
OG0000112	Pras.g_01665	Prac.g_01507
OG0000113	Pras.g_01723	Prac.g_01453
