Orthogroup	Syan	Prav
OG0000004	Syan.g_00183	Prav.g_01293
OG0000004	Syan.g_00989	Prav.g_00806
OG0000005	Syan.g_01423	Prav.g_01774
OG0000005	Syan.g_01378	Prav.g_01654
OG0000006	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441	Prav.g_02001
OG0000007	Syan.g_02743	Prav.g_01095
OG0000007	Syan.g_01400	Prav.g_01761
OG0000008	Syan.g_00640, Syan.g_02532	Prav.g_01749
OG0000008	Syan.g_00641, Syan.g_02531	Prav.g_01750
OG0000009	Syan.g_02972	Prav.g_01688, Prav.g_00170
OG0000010	Syan.g_02847	Prav.g_00218, Prav.g_01072
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485	Prav.g_01221
OG0000013	Syan.g_02156, Syan.g_02159, Syan.g_00101	Prav.g_01973
OG0000014	Syan.g_01987	Prav.g_01952
OG0000016	Syan.g_01766	Prav.g_00081
OG0000017	Syan.g_01006	Prav.g_01194
OG0000018	Syan.g_02816	Prav.g_00046, Prav.g_00424
OG0000019	Syan.g_02088	Prav.g_01896, Prav.g_00375
OG0000021	Syan.g_01001	Prav.g_00984
OG0000022	Syan.g_00089	Prav.g_00360, Prav.g_00029
OG0000023	Syan.g_00404	Prav.g_00979
OG0000025	Syan.g_00374	Prav.g_00431, Prav.g_01977
OG0000026	Syan.g_01743	Prav.g_01324, Prav.g_00099, Prav.g_00226
OG0000027	Syan.g_02678	Prav.g_01068, Prav.g_01416
OG0000028	Syan.g_01971	Prav.g_01966, Prav.g_01885
OG0000030	Syan.g_01884, Syan.g_01883	Prav.g_00699
OG0000032	Syan.g_01819, Syan.g_01088, Syan.g_01091, Syan.g_01101	Prav.g_01499
OG0000033	Syan.g_03036	Prav.g_00869
OG0000034	Syan.g_01227, Syan.g_03003	Prav.g_01448
OG0000035	Syan.g_01276	Prav.g_01578
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Prav.g_00174
OG0000038	Syan.g_00064, Syan.g_01569, Syan.g_01571	Prav.g_00739
OG0000039	Syan.g_02771, Syan.g_00535	Prav.g_01284
OG0000041	Syan.g_01465	Prav.g_01808
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Prav.g_00696
OG0000045	Syan.g_00086, Syan.g_00151	Prav.g_00990
OG0000048	Syan.g_02036	Prav.g_00993
OG0000053	Syan.g_02812	Prav.g_01598
OG0000054	Syan.g_02503	Prav.g_01202
OG0000055	Syan.g_00312	Prav.g_00376
OG0000060	Syan.g_00277	Prav.g_00964
OG0000061	Syan.g_02696	Prav.g_00065
OG0000062	Syan.g_00098	Prav.g_01656
OG0000063	Syan.g_01739	Prav.g_00101
OG0000065	Syan.g_02974	Prav.g_00172
OG0000066	Syan.g_01156	Prav.g_01137
OG0000067	Syan.g_00690	Prav.g_00397
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Prav.g_01473
OG0000069	Syan.g_00278	Prav.g_01881, Prav.g_01689
OG0000070	Syan.g_00289	Prav.g_01049
