Orthogroup	Prbf	Praw
OG0000000	Prbf.g_01182, Prbf.g_01177	Praw.g_01009
OG0000000	Prbf.g_01285, Prbf.g_00260, Prbf.g_00888, Prbf.g_00089, Prbf.g_00890, Prbf.g_00883	Praw.g_01844
OG0000002	Prbf.g_00068	Praw.g_01000
OG0000002	Prbf.g_00831	Praw.g_00497, Praw.g_01951, Praw.g_01739
OG0000003	Prbf.g_00880	Praw.g_00959, Praw.g_00457, Praw.g_00495
OG0000004	Prbf.g_00052	Praw.g_01769
OG0000005	Prbf.g_00776	Praw.g_01780, Praw.g_00455, Praw.g_00494, Praw.g_00893, Praw.g_00974
OG0000006	Prbf.g_01780	Praw.g_00651
OG0000006	Prbf.g_00693	Praw.g_00515
OG0000007	Prbf.g_00793	Praw.g_00501
OG0000007	Prbf.g_00792	Praw.g_00502
OG0000009	Prbf.g_00894	Praw.g_01717
OG0000009	Prbf.g_01588	Praw.g_00884
OG0000010	Prbf.g_00306	Praw.g_00482, Praw.g_00184, Praw.g_00945
OG0000012	Prbf.g_01887, Prbf.g_01880	Praw.g_01944
OG0000013	Prbf.g_00754, Prbf.g_00708	Praw.g_01738
OG0000014	Prbf.g_00774, Prbf.g_00817	Praw.g_00962, Praw.g_00492, Praw.g_00677
OG0000015	Prbf.g_00765, Prbf.g_00732	Praw.g_00752
OG0000016	Prbf.g_00864, Prbf.g_00254	Praw.g_01012
OG0000018	Prbf.g_01580	Praw.g_01950
OG0000019	Prbf.g_01259	Praw.g_00479, Praw.g_00767
OG0000020	Prbf.g_01611	Praw.g_00758, Praw.g_00504
OG0000021	Prbf.g_00711	Praw.g_01715
OG0000024	Prbf.g_01647	Praw.g_00828
OG0000028	Prbf.g_00157	Praw.g_01083, Praw.g_01081
OG0000029	Prbf.g_01738	Praw.g_00448
OG0000032	Prbf.g_00116	Praw.g_01073
OG0000033	Prbf.g_00860	Praw.g_00484
OG0000034	Prbf.g_00135, Prbf.g_01380	Praw.g_01071
OG0000035	Prbf.g_00299	Praw.g_00323
OG0000036	Prbf.g_01867, Prbf.g_00704	Praw.g_01932
OG0000037	Prbf.g_01905, Prbf.g_00272	Praw.g_00159
OG0000038	Prbf.g_00248	Praw.g_01746
OG0000039	Prbf.g_01500	Praw.g_01269
OG0000040	Prbf.g_00287	Praw.g_00772
OG0000041	Prbf.g_00729, Prbf.g_00735	Praw.g_00730
OG0000042	Prbf.g_01253	Praw.g_01809
OG0000043	Prbf.g_01153	Praw.g_01712
OG0000044	Prbf.g_00918	Praw.g_00234
OG0000045	Prbf.g_00117	Praw.g_01055
OG0000046	Prbf.g_00822, Prbf.g_00701	Praw.g_00508
OG0000047	Prbf.g_00496	Praw.g_00039
OG0000048	Prbf.g_00487	Praw.g_00032
OG0000050	Prbf.g_01354	Praw.g_01397
OG0000051	Prbf.g_01491	Praw.g_01278
OG0000052	Prbf.g_00320	Praw.g_00762
OG0000053	Prbf.g_00781, Prbf.g_01820	Praw.g_00609
OG0000055	Prbf.g_01222	Praw.g_01675
OG0000057	Prbf.g_01575	Praw.g_01198
OG0000058	Prbf.g_01758	Praw.g_00672
OG0000059	Prbf.g_01261	Praw.g_01824
OG0000062	Prbf.g_00788	Praw.g_00201
OG0000063	Prbf.g_00945	Praw.g_00926
OG0000065	Prbf.g_00026	Praw.g_00981
OG0000066	Prbf.g_00115	Praw.g_01050
OG0000068	Prbf.g_00558	Praw.g_00096
OG0000069	Prbf.g_00196	Praw.g_01043
OG0000071	Prbf.g_00382	Praw.g_01125
OG0000072	Prbf.g_01661	Praw.g_00812
OG0000073	Prbf.g_01018	Praw.g_01853
OG0000074	Prbf.g_01271	Praw.g_01831
OG0000075	Prbf.g_01238	Praw.g_01690
OG0000076	Prbf.g_01170	Praw.g_01467
OG0000078	Prbf.g_00118	Praw.g_01051
OG0000079	Prbf.g_00242	Praw.g_00415
OG0000080	Prbf.g_00346	Praw.g_00464
OG0000081	Prbf.g_00524	Praw.g_00066
OG0000083	Prbf.g_00390	Praw.g_01133
OG0000084	Prbf.g_00387	Praw.g_01130
OG0000085	Prbf.g_01345	Praw.g_01405
OG0000087	Prbf.g_01374	Praw.g_01379
OG0000088	Prbf.g_01443	Praw.g_01322
OG0000089	Prbf.g_01452	Praw.g_01314
OG0000090	Prbf.g_01469	Praw.g_01296
OG0000091	Prbf.g_01503	Praw.g_01266
OG0000092	Prbf.g_01504	Praw.g_01265
OG0000093	Prbf.g_01518	Praw.g_01251
OG0000094	Prbf.g_01537	Praw.g_01233
OG0000095	Prbf.g_01542	Praw.g_01228
OG0000096	Prbf.g_01590	Praw.g_00882
OG0000097	Prbf.g_01614	Praw.g_00860
OG0000098	Prbf.g_01625	Praw.g_00850
OG0000099	Prbf.g_01635	Praw.g_00840
OG0000100	Prbf.g_01638	Praw.g_00837
OG0000101	Prbf.g_01703	Praw.g_00775
OG0000102	Prbf.g_00044	Praw.g_00751
OG0000103	Prbf.g_01759	Praw.g_00671
OG0000104	Prbf.g_01763	Praw.g_00667
OG0000105	Prbf.g_01783	Praw.g_00649
OG0000106	Prbf.g_01813	Praw.g_00616
OG0000107	Prbf.g_01814	Praw.g_00615
OG0000108	Prbf.g_01824	Praw.g_00605
OG0000109	Prbf.g_01833	Praw.g_00596
OG0000110	Prbf.g_01850	Praw.g_00580
OG0000111	Prbf.g_00999	Praw.g_01871
OG0000112	Prbf.g_01000	Praw.g_01870
OG0000113	Prbf.g_01050	Praw.g_01787
OG0000114	Prbf.g_01247	Praw.g_01699
OG0000115	Prbf.g_01117	Praw.g_01539
OG0000116	Prbf.g_01113	Praw.g_01535
OG0000117	Prbf.g_01167	Praw.g_01470
OG0000118	Prbf.g_00873	Praw.g_01418
OG0000119	Prbf.g_00785	Praw.g_00204
OG0000120	Prbf.g_00924	Praw.g_00240
OG0000121	Prbf.g_00947	Praw.g_00259
OG0000122	Prbf.g_00967	Praw.g_00278
OG0000123	Prbf.g_01915	Praw.g_00291
OG0000124	Prbf.g_00253	Praw.g_00904
OG0000125	Prbf.g_00013	Praw.g_00993
OG0000126	Prbf.g_00095	Praw.g_01016
OG0000127	Prbf.g_00145	Praw.g_01096
OG0000128	Prbf.g_00158	Praw.g_01079, Praw.g_01080
OG0000129	Prbf.g_00194	Praw.g_00374
OG0000130	Prbf.g_00696	Praw.g_00513
OG0000131	Prbf.g_00657	Praw.g_00551
OG0000132	Prbf.g_00654	Praw.g_00554
OG0000133	Prbf.g_00600	Praw.g_00137
OG0000134	Prbf.g_00564	Praw.g_00101
OG0000135	Prbf.g_00562	Praw.g_00099
OG0000136	Prbf.g_00512	Praw.g_00055
OG0000137	Prbf.g_00477	Praw.g_00022
OG0000138	Prbf.g_00443	Praw.g_01180
OG0000139	Prbf.g_00412	Praw.g_01153
OG0000140	Prbf.g_00392	Praw.g_01135
OG0000141	Prbf.g_00391	Praw.g_01134
OG0000142	Prbf.g_00389	Praw.g_01132
OG0000143	Prbf.g_00388	Praw.g_01131
OG0000144	Prbf.g_00386	Praw.g_01129
OG0000145	Prbf.g_00385	Praw.g_01128
OG0000146	Prbf.g_00384	Praw.g_01127
OG0000147	Prbf.g_00383	Praw.g_01126
OG0000148	Prbf.g_00381	Praw.g_01124
OG0000149	Prbf.g_01336	Praw.g_01414
OG0000150	Prbf.g_01337	Praw.g_01413
OG0000151	Prbf.g_01338	Praw.g_01412
OG0000152	Prbf.g_01339	Praw.g_01411
OG0000153	Prbf.g_01340	Praw.g_01410
OG0000154	Prbf.g_01341	Praw.g_01409
