Orthogroup	Prbe	Syal
OG0000001	Prbe.g_00400	Syal.g_02193, Syal.g_02215, Syal.g_00874, Syal.g_01184
OG0000004	Prbe.g_01203	Syal.g_01809
OG0000004	Prbe.g_01784	Syal.g_02718, Syal.g_00691
OG0000005	Prbe.g_00228	Syal.g_00565
OG0000006	Prbe.g_01794	Syal.g_02611, Syal.g_00674
OG0000007	Prbe.g_00636	Syal.g_02918
OG0000007	Prbe.g_00985	Syal.g_00587
OG0000008	Prbe.g_00036	Syal.g_02512
OG0000008	Prbe.g_00037	Syal.g_01783
OG0000009	Prbe.g_00216	Syal.g_02089
OG0000010	Prbe.g_00096, Prbe.g_01411	Syal.g_00464
OG0000013	Prbe.g_01879	Syal.g_00315, Syal.g_00322, Syal.g_00310
OG0000014	Prbe.g_01861	Syal.g_01305
OG0000015	Prbe.g_01046, Prbe.g_01000	Syal.g_02210, Syal.g_01183
OG0000016	Prbe.g_01607	Syal.g_01734
OG0000017	Prbe.g_00536	Syal.g_02752
OG0000017	Prbe.g_00529	Syal.g_02745
OG0000018	Prbe.g_01571	Syal.g_00410
OG0000019	Prbe.g_01802, Prbe.g_01573	Syal.g_01209
OG0000023	Prbe.g_00062	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbe.g_01415, Prbe.g_00449	Syal.g_02597
OG0000025	Prbe.g_01258	Syal.g_02459
OG0000026	Prbe.g_00132	Syal.g_00132
OG0000027	Prbe.g_00012, Prbe.g_01121	Syal.g_02543
OG0000028	Prbe.g_00034	Syal.g_01319
OG0000029	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133, Prbe.g_01091	Syal.g_03014
OG0000030	Prbe.g_00763	Syal.g_01511, Syal.g_01512
OG0000031	Prbe.g_00352	Syal.g_01404, Syal.g_01432
OG0000032	Prbe.g_00272	Syal.g_00428
OG0000033	Prbe.g_00345	Syal.g_00912
OG0000034	Prbe.g_00882	Syal.g_00881, Syal.g_01586
OG0000035	Prbe.g_00311	Syal.g_00370, Syal.g_00020
OG0000037	Prbe.g_01651	Syal.g_00601, Syal.g_00824
OG0000038	Prbe.g_01156	Syal.g_01071, Syal.g_01073
OG0000039	Prbe.g_00461	Syal.g_01097
OG0000041	Prbe.g_00938	Syal.g_00649
OG0000042	Prbe.g_00766	Syal.g_01705, Syal.g_01508
OG0000043	Prbe.g_01570	Syal.g_01110, Syal.g_02547, Syal.g_02183
OG0000046	Prbe.g_01880	Syal.g_00316, Syal.g_00321, Syal.g_00309
OG0000047	Prbe.g_01921	Syal.g_01568
OG0000048	Prbe.g_00906	Syal.g_01250
OG0000052	Prbe.g_00158	Syal.g_01338
OG0000053	Prbe.g_00290, Prbe.g_01040	Syal.g_00406
OG0000054	Prbe.g_00527	Syal.g_02739, Syal.g_02098
OG0000057	Prbe.g_01206	Syal.g_01812
