Orthogroup	Prac	Syae
OG0000001	Prac.g_00202, Prac.g_00924, Prac.g_00925	Syae.g_02061
OG0000004	Prac.g_00676	Syae.g_00779
OG0000004	Prac.g_01698	Syae.g_00042, Syae.g_02231
OG0000005	Prac.g_00612	Syae.g_01179
OG0000005	Prac.g_00335	Syae.g_01143
OG0000006	Prac.g_01689	Syae.g_02030, Syae.g_02248
OG0000007	Prac.g_00874	Syae.g_02328
OG0000007	Prac.g_00625	Syae.g_01163
OG0000008	Prac.g_00904	Syae.g_00753
OG0000009	Prac.g_00301	Syae.g_00561, Syae.g_00171
OG0000009	Prac.g_01826	Syae.g_00100, Syae.g_01361
OG0000010	Prac.g_01592, Prac.g_01248, Prac.g_01070	Syae.g_02529
OG0000011	Prac.g_00152	Syae.g_00268
OG0000012	Prac.g_00748	Syae.g_02397, Syae.g_02562, Syae.g_00049
OG0000013	Prac.g_01604	Syae.g_02169, Syae.g_02155, Syae.g_02160
OG0000014	Prac.g_01625	Syae.g_01930
OG0000015	Prac.g_00898	Syae.g_00590
OG0000016	Prac.g_01934	Syae.g_01726
OG0000017	Prac.g_00773	Syae.g_02462
OG0000018	Prac.g_01004, Prac.g_01448	Syae.g_02625
OG0000019	Prac.g_01681, Prac.g_01496	Syae.g_02015
OG0000021	Prac.g_01169	Syae.g_01261
OG0000022	Prac.g_01510, Prac.g_01022	Syae.g_00144
OG0000023	Prac.g_01174	Syae.g_00439, Syae.g_00930
OG0000025	Prac.g_01441, Prac.g_01600	Syae.g_00833
OG0000026	Prac.g_01916, Prac.g_01241	Syae.g_01748
OG0000027	Prac.g_01074	Syae.g_00103, Syae.g_00814
OG0000028	Prac.g_01611, Prac.g_00145	Syae.g_01916
OG0000029	Prac.g_01158	Syae.g_00136
OG0000030	Prac.g_00050	Syae.g_01817, Syae.g_01816
OG0000033	Prac.g_01761	Syae.g_01453
OG0000034	Prac.g_00185	Syae.g_00975, Syae.g_01424
OG0000035	Prac.g_00411	Syae.g_02653
OG0000037	Prac.g_01822	Syae.g_01367
OG0000038	Prac.g_00090	Syae.g_01571
OG0000039	Prac.g_00685	Syae.g_00822, Syae.g_02495
OG0000041	Prac.g_00579	Syae.g_01042
OG0000042	Prac.g_00048	Syae.g_01821
OG0000043	Prac.g_01405	Syae.g_00117
OG0000044	Prac.g_00892	Syae.g_01067
OG0000045	Prac.g_01576	Syae.g_00732
OG0000047	Prac.g_01127, Prac.g_01601	Syae.g_02184
OG0000048	Prac.g_01159	Syae.g_01982
OG0000053	Prac.g_01901, Prac.g_00391	Syae.g_02629
OG0000054	Prac.g_00765	Syae.g_00014
OG0000055	Prac.g_01495	Syae.g_00817
OG0000057	Prac.g_00673	Syae.g_00782
OG0000058	Prac.g_00258, Prac.g_00434	Syae.g_01905
OG0000059	Prac.g_00500	Syae.g_02074
OG0000061	Prac.g_00985	Syae.g_00921
OG0000063	Prac.g_01913, Prac.g_01914, Prac.g_00908	Syae.g_01752
