Orthogroup	Prbk	Syaa
OG0000004	Prbk.g_01760	Syaa.g_00892
OG0000004	Prbk.g_01134	Syaa.g_01667, Syaa.g_02116
OG0000005	Prbk.g_00933	Syaa.g_00573
OG0000006	Prbk.g_02695	Syaa.g_01611, Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prbk.g_00907	Syaa.g_00551
OG0000008	Prbk.g_01819	Syaa.g_00918
OG0000008	Prbk.g_01820	Syaa.g_00919
OG0000009	Prbk.g_01932, Prbk.g_00013	Syaa.g_02378
OG0000010	Prbk.g_02112	Syaa.g_01843
OG0000012	Prbk.g_02610	Syaa.g_01660
OG0000013	Prbk.g_00853	Syaa.g_02212, Syaa.g_02204, Syaa.g_02217
OG0000014	Prbk.g_00454	Syaa.g_00222
OG0000015	Prbk.g_02558	Syaa.g_02739, Syaa.g_01079, Syaa.g_01989
OG0000017	Prbk.g_01142	Syaa.g_01890
OG0000017	Prbk.g_01150	Syaa.g_01883
OG0000018	Prbk.g_01227	Syaa.g_01801
OG0000019	Prbk.g_01644, Prbk.g_01004	Syaa.g_00307
OG0000021	Prbk.g_01960, Prbk.g_01137	Syaa.g_02627
OG0000022	Prbk.g_01667	Syaa.g_01571
OG0000023	Prbk.g_02448	Syaa.g_01529, Syaa.g_01216
OG0000024	Prbk.g_01780	Syaa.g_00922
OG0000025	Prbk.g_02531	Syaa.g_00839
OG0000026	Prbk.g_01617	Syaa.g_00038
OG0000028	Prbk.g_00469	Syaa.g_00205
OG0000029	Prbk.g_00833	Syaa.g_01578
OG0000030	Prbk.g_01532	Syaa.g_00099
OG0000030	Prbk.g_01533	Syaa.g_00098
OG0000031	Prbk.g_00534, Prbk.g_00539	Syaa.g_00200
OG0000032	Prbk.g_01209	Syaa.g_01818
OG0000033	Prbk.g_00776	Syaa.g_02478, Syaa.g_00485
OG0000034	Prbk.g_01171	Syaa.g_00722, Syaa.g_02444
OG0000035	Prbk.g_00259	Syaa.g_01773
OG0000037	Prbk.g_00007	Syaa.g_02384
OG0000038	Prbk.g_02164	Syaa.g_02596
OG0000041	Prbk.g_01406	Syaa.g_00660, Syaa.g_00869
OG0000042	Prbk.g_01495, Prbk.g_00140	Syaa.g_00103
OG0000044	Prbk.g_01462, Prbk.g_01351, Prbk.g_02675, Prbk.g_01732	Syaa.g_00363
OG0000045	Prbk.g_01321	Syaa.g_01518
OG0000046	Prbk.g_00854	Syaa.g_02211, Syaa.g_02205, Syaa.g_02218
OG0000047	Prbk.g_01202, Prbk.g_02565	Syaa.g_02189
OG0000048	Prbk.g_00405	Syaa.g_00275
OG0000052	Prbk.g_00499	Syaa.g_00174
OG0000053	Prbk.g_01230	Syaa.g_01797
OG0000054	Prbk.g_01153	Syaa.g_01691, Syaa.g_01502
OG0000057	Prbk.g_01765	Syaa.g_01466, Syaa.g_00889
OG0000058	Prbk.g_00479	Syaa.g_00193, Syaa.g_00455
OG0000059	Prbk.g_00992	Syaa.g_02315
OG0000060	Prbk.g_02058	Syaa.g_02053
OG0000061	Prbk.g_01019	Syaa.g_00770
OG0000062	Prbk.g_00931	Syaa.g_00571
OG0000063	Prbk.g_01613	Syaa.g_00042
OG0000066	Prbk.g_01094	Syaa.g_01968
OG0000067	Prbk.g_02468	Syaa.g_01154
OG0000068	Prbk.g_02052	Syaa.g_02059
OG0000070	Prbk.g_00310	Syaa.g_00718
OG0000071	Prbk.g_01183	Syaa.g_00735
OG0000072	Prbk.g_00778	Syaa.g_02480
OG0000073	Prbk.g_01862	Syaa.g_02030
