Orthogroup	Syad	Prax
OG0000001	Syad.g_00628	Prax.g_01878, Prax.g_00522
OG0000002	Syad.g_00619	Prax.g_01870, Prax.g_00964
OG0000004	Syad.g_01304	Prax.g_00947
OG0000004	Syad.g_02184, Syad.g_00810	Prax.g_00986
OG0000005	Syad.g_02639	Prax.g_01546
OG0000005	Syad.g_02596	Prax.g_01652
OG0000006	Syad.g_00588, Syad.g_00829	Prax.g_01972
OG0000007	Syad.g_00923	Prax.g_00704
OG0000007	Syad.g_02623	Prax.g_01559
OG0000009	Syad.g_01952, Syad.g_00868	Prax.g_01950, Prax.g_01617
OG0000010	Syad.g_02354	Prax.g_01212, Prax.g_00728
OG0000011	Syad.g_02006	Prax.g_01930, Prax.g_00460
OG0000011	Syad.g_02680	Prax.g_00776
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prax.g_00082
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prax.g_00846
OG0000014	Syad.g_00480	Prax.g_00869
OG0000015	Syad.g_01600, Syad.g_01601	Prax.g_00523, Prax.g_00410
OG0000017	Syad.g_01084	Prax.g_00057
OG0000018	Syad.g_02306	Prax.g_00181, Prax.g_00346
OG0000019	Syad.g_00569	Prax.g_00926, Prax.g_00393
OG0000020	Syad.g_00845	Prax.g_00138
OG0000022	Syad.g_02090	Prax.g_00415, Prax.g_00157
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prax.g_00813
OG0000024	Syad.g_01374	Prax.g_00432, Prax.g_00967
OG0000025	Syad.g_01241	Prax.g_00338, Prax.g_00842
OG0000026	Syad.g_00198	Prax.g_00458, Prax.g_00282, Prax.g_01220
OG0000027	Syad.g_01257	Prax.g_01916
OG0000028	Syad.g_00463	Prax.g_00855
OG0000029	Syad.g_02099	Prax.g_00798, Prax.g_00425
OG0000030	Syad.g_00328, Syad.g_00327	Prax.g_01404
OG0000031	Syad.g_00294	Prax.g_01831
