Orthogroup	Syad	Syaf
OG0000001	Syad.g_00628	Syaf.g_01640
OG0000001	Syad.g_02864	Syaf.g_00846
OG0000001	Syad.g_02865	Syaf.g_00845
OG0000001	Syad.g_01238	Syaf.g_01634
OG0000004	Syad.g_01304	Syaf.g_01455
OG0000004	Syad.g_02184	Syaf.g_02351
OG0000004	Syad.g_00810	Syaf.g_02794
OG0000005	Syad.g_02639	Syaf.g_01017
OG0000005	Syad.g_02596	Syaf.g_01057
OG0000005	Syad.g_02028	Syaf.g_01352, Syaf.g_01732
OG0000006	Syad.g_02130	Syaf.g_02288
OG0000006	Syad.g_00588, Syad.g_00829	Syaf.g_00179, Syaf.g_02778
OG0000007	Syad.g_00923	Syaf.g_02702
OG0000007	Syad.g_02623	Syaf.g_01033
OG0000008	Syad.g_01371	Syaf.g_01480
OG0000009	Syad.g_02799	Syaf.g_00905
OG0000010	Syad.g_02354	Syaf.g_02499
OG0000011	Syad.g_02006	Syaf.g_01532
OG0000012	Syad.g_01579, Syad.g_01008	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693
OG0000013	Syad.g_00729	Syaf.g_00056
OG0000013	Syad.g_00737	Syaf.g_00044
OG0000013	Syad.g_00724	Syaf.g_00061
OG0000014	Syad.g_00480	Syaf.g_00280
OG0000015	Syad.g_01600, Syad.g_01601	Syaf.g_02120
OG0000016	Syad.g_00176	Syaf.g_00484
OG0000016	Syad.g_01460	Syaf.g_01576
OG0000016	Syad.g_02065	Syaf.g_01713
OG0000017	Syad.g_01084	Syaf.g_02561
OG0000017	Syad.g_01091	Syaf.g_02554
OG0000018	Syad.g_02306	Syaf.g_02451
OG0000019	Syad.g_00569	Syaf.g_00193
OG0000020	Syad.g_00845	Syaf.g_02187
OG0000021	Syad.g_00874	Syaf.g_02773
OG0000022	Syad.g_02090	Syaf.g_02256
OG0000023	Syad.g_02337	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731
OG0000023	Syad.g_01583	Syaf.g_01995
OG0000024	Syad.g_01374	Syaf.g_01484
OG0000025	Syad.g_01241	Syaf.g_01385
OG0000026	Syad.g_00198	Syaf.g_00461
OG0000027	Syad.g_01257	Syaf.g_01688
OG0000028	Syad.g_00463	Syaf.g_00297
OG0000029	Syad.g_02099	Syaf.g_01761
OG0000030	Syad.g_00328	Syaf.g_00406
OG0000030	Syad.g_00327	Syaf.g_00407
OG0000031	Syad.g_00458	Syaf.g_00314
OG0000031	Syad.g_00294	Syaf.g_01143
OG0000032	Syad.g_02326	Syaf.g_02471
OG0000033	Syad.g_02903	Syaf.g_00807
OG0000034	Syad.g_02420	Syaf.g_01241, Syaf.g_00837
OG0000034	Syad.g_02872	Syaf.g_01241, Syaf.g_00837
OG0000035	Syad.g_02275	Syaf.g_02412
OG0000037	Syad.g_02805	Syaf.g_00899
OG0000038	Syad.g_03038	Syaf.g_00642
OG0000039	Syad.g_01249	Syaf.g_01395
OG0000040	Syad.g_00104	Syaf.g_00558
OG0000041	Syad.g_02498	Syaf.g_01171
OG0000041	Syad.g_01281	Syaf.g_01414
OG0000042	Syad.g_00333	Syaf.g_00403
OG0000043	Syad.g_02119	Syaf.g_01747
OG0000044	Syad.g_02214	Syaf.g_01358, Syaf.g_01992, Syaf.g_01400
OG0000046	Syad.g_00730	Syaf.g_00055
OG0000046	Syad.g_00736	Syaf.g_00045
