Orthogroup	Syas	Praz
OG0000001	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373	Praz.g_01154
OG0000004	Syas.g_00176	Praz.g_01635
OG0000004	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072	Praz.g_00592
OG0000005	Syas.g_02665	Praz.g_00864
OG0000005	Syas.g_02704	Praz.g_00965
OG0000006	Syas.g_00720, Syas.g_00942, Syas.g_01684, Syas.g_02565	Praz.g_00601
OG0000007	Syas.g_01232	Praz.g_01831
OG0000007	Syas.g_02681	Praz.g_00877
OG0000008	Syas.g_00886	Praz.g_01241
OG0000009	Syas.g_01450	Praz.g_00465
OG0000010	Syas.g_01334	Praz.g_00074
OG0000012	Syas.g_00111, Syas.g_00827	Praz.g_01707
OG0000013	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557	Praz.g_00684
OG0000014	Syas.g_01816	Praz.g_00663
OG0000015	Syas.g_02007, Syas.g_00968	Praz.g_01551
OG0000016	Syas.g_02048	Praz.g_00378
OG0000017	Syas.g_00849, Syas.g_00856	Praz.g_01732
OG0000018	Syas.g_01290	Praz.g_00011
OG0000019	Syas.g_01696	Praz.g_00609, Praz.g_01532
OG0000022	Syas.g_02758	Praz.g_00029
OG0000025	Syas.g_00231	Praz.g_00688, Praz.g_01477
OG0000026	Syas.g_02070	Praz.g_00396, Praz.g_00081
OG0000027	Syas.g_01480	Praz.g_01858, Praz.g_01197
OG0000028	Syas.g_01793	Praz.g_01246, Praz.g_00677
OG0000030	Syas.g_01644, Syas.g_01645	Praz.g_00195
OG0000031	Syas.g_01827	Praz.g_01116
OG0000034	Syas.g_02371, Syas.g_02838	Praz.g_01170
OG0000035	Syas.g_02814, Syas.g_02818	Praz.g_01041
OG0000037	Syas.g_01479, Syas.g_00147, Syas.g_01928	Praz.g_00469
OG0000038	Syas.g_01885, Syas.g_01887	Praz.g_00154
OG0000039	Syas.g_02795	Praz.g_01644
OG0000040	Syas.g_02028	Praz.g_00903
OG0000040	Syas.g_01972	Praz.g_00012
OG0000042	Syas.g_01121, Syas.g_02147	Praz.g_00198
OG0000044	Syas.g_00894, Syas.g_02453	Praz.g_00693
OG0000048	Syas.g_01734	Praz.g_00800
OG0000051	Syas.g_01445	Praz.g_01204
OG0000053	Syas.g_01287	Praz.g_01021
OG0000054	Syas.g_00961, Syas.g_00957	Praz.g_01724
OG0000055	Syas.g_00203	Praz.g_01531
OG0000057	Syas.g_01055, Syas.g_01038	Praz.g_01632
OG0000058	Syas.g_01151	Praz.g_01096
OG0000059	Syas.g_01639	Praz.g_00311
OG0000061	Syas.g_01184	Praz.g_00755
OG0000062	Syas.g_02702	Praz.g_00963
OG0000063	Syas.g_02074	Praz.g_00398
OG0000065	Syas.g_02420	Praz.g_00467
OG0000066	Syas.g_00094	Praz.g_01789
OG0000067	Syas.g_00596, Syas.g_00352, Syas.g_02346	Praz.g_01512
OG0000068	Syas.g_00969, Syas.g_01261	Praz.g_01139
OG0000069	Syas.g_00779, Syas.g_00876	Praz.g_00928
OG0000070	Syas.g_00173	Praz.g_01878
OG0000071	Syas.g_02854	Praz.g_01180
OG0000072	Syas.g_02326, Syas.g_01524	Praz.g_00531
OG0000073	Syas.g_00358, Syas.g_00264, Syas.g_01230	Praz.g_01829
OG0000075	Syas.g_01921, Syas.g_02194	Praz.g_00230
