Orthogroup	Praa	Prai
OG0000000	Praa.g_01359	Prai.g_01363
OG0000000	Praa.g_00678	Prai.g_00707
OG0000002	Praa.g_01351	Prai.g_01235, Prai.g_01356
OG0000003	Praa.g_01599	Prai.g_01596, Prai.g_01314
OG0000004	Praa.g_00735	Prai.g_00441
OG0000004	Praa.g_00742, Praa.g_01294	Prai.g_01313
OG0000005	Praa.g_01235	Prai.g_01612
OG0000005	Praa.g_01598	Prai.g_01592
OG0000006	Praa.g_00497	Prai.g_00527
OG0000006	Praa.g_01635	Prai.g_01638
OG0000007	Praa.g_01241, Praa.g_00672	Prai.g_00701
OG0000008	Praa.g_00382	Prai.g_00394
OG0000008	Praa.g_01256	Prai.g_00437
OG0000009	Praa.g_00782	Prai.g_00867
OG0000009	Praa.g_00249	Prai.g_00262
OG0000011	Praa.g_00330	Prai.g_00343
OG0000012	Praa.g_00598	Prai.g_00626
OG0000013	Praa.g_00765	Prai.g_01243
OG0000014	Praa.g_01301	Prai.g_00904
OG0000016	Praa.g_01362	Prai.g_01366
OG0000017	Praa.g_01496	Prai.g_01483
OG0000018	Praa.g_00241, Praa.g_01245	Prai.g_00252, Prai.g_00254
OG0000019	Praa.g_00364, Praa.g_01623	Prai.g_00378
OG0000022	Praa.g_01300	Prai.g_00905, Prai.g_01772
OG0000023	Praa.g_01264	Prai.g_01578
OG0000024	Praa.g_00306, Praa.g_01409	Prai.g_00319
OG0000025	Praa.g_01075	Prai.g_01093
OG0000026	Praa.g_00033	Prai.g_00033
OG0000027	Praa.g_01564	Prai.g_01266
OG0000028	Praa.g_01476	Prai.g_01463
OG0000029	Praa.g_01590	Prai.g_01579
OG0000033	Praa.g_00013	Prai.g_00013, Prai.g_01573
OG0000034	Praa.g_01447, Praa.g_01407	Prai.g_00154
OG0000036	Praa.g_00585	Prai.g_00613
OG0000037	Praa.g_00623	Prai.g_00652
OG0000038	Praa.g_00763	Prai.g_00885
OG0000039	Praa.g_00166	Prai.g_00177
OG0000040	Praa.g_00359	Prai.g_00373
OG0000041	Praa.g_00417	Prai.g_00448
OG0000042	Praa.g_00711	Prai.g_00748
OG0000043	Praa.g_00787	Prai.g_00862
OG0000044	Praa.g_01415	Prai.g_01171
OG0000045	Praa.g_01425	Prai.g_01859
OG0000046	Praa.g_01628	Prai.g_01631
OG0000047	Praa.g_01832	Prai.g_01838
OG0000048	Praa.g_01839	Prai.g_01845
OG0000050	Praa.g_00031	Prai.g_00031
OG0000051	Praa.g_00157	Prai.g_00168
OG0000052	Praa.g_00369	Prai.g_00383
OG0000053	Praa.g_00539	Prai.g_00567
OG0000054	Praa.g_00757	Prai.g_00909
OG0000055	Praa.g_00826	Prai.g_00825
OG0000056	Praa.g_01117	Prai.g_01132
OG0000057	Praa.g_00237	Prai.g_00248
OG0000058	Praa.g_00475	Prai.g_00505
OG0000059	Praa.g_00698	Prai.g_00727
OG0000060	Praa.g_00740	Prai.g_00431
OG0000061	Praa.g_00984	Prai.g_00969
OG0000062	Praa.g_01127	Prai.g_01143
OG0000063	Praa.g_01255	Prai.g_01273
OG0000064	Praa.g_01620	Prai.g_01594
OG0000065	Praa.g_01318	Prai.g_01335
OG0000066	Praa.g_01387	Prai.g_01443
OG0000068	Praa.g_01775	Prai.g_01782
OG0000071	Praa.g_00011	Prai.g_00011
OG0000072	Praa.g_00322	Prai.g_00335
OG0000073	Praa.g_00669	Prai.g_00698
OG0000074	Praa.g_00691	Prai.g_00720
OG0000075	Praa.g_00811, Praa.g_00810	Prai.g_00840, Prai.g_00841
OG0000076	Praa.g_01039	Prai.g_00918
OG0000077	Praa.g_01236	Prai.g_01613
OG0000078	Praa.g_01394	Prai.g_01393
OG0000079	Praa.g_01555	Prai.g_01540
OG0000080	Praa.g_01606	Prai.g_01270
OG0000081	Praa.g_01806	Prai.g_01812
OG0000082	Praa.g_01894	Prai.g_01901
OG0000083	Praa.g_00003	Prai.g_00003
OG0000084	Praa.g_00006	Prai.g_00006
OG0000085	Praa.g_00023	Prai.g_00023
OG0000086	Praa.g_00409	Prai.g_00046
OG0000087	Praa.g_00049	Prai.g_00056
OG0000088	Praa.g_00113	Prai.g_00113
OG0000089	Praa.g_00121	Prai.g_00121
OG0000090	Praa.g_00139	Prai.g_00139
OG0000091	Praa.g_00169	Prai.g_00180
OG0000092	Praa.g_00170	Prai.g_00181
OG0000093	Praa.g_00184	Prai.g_00195
OG0000094	Praa.g_00202	Prai.g_00213
OG0000095	Praa.g_00207	Prai.g_00218
OG0000096	Praa.g_00251	Prai.g_00264
OG0000097	Praa.g_00274	Prai.g_00286, Prai.g_00287
OG0000098	Praa.g_00284	Prai.g_00297
OG0000099	Praa.g_00294	Prai.g_00307, Prai.g_00741
OG0000100	Praa.g_00297	Prai.g_00310
OG0000101	Praa.g_00356	Prai.g_00369
OG0000102	Praa.g_00381	Prai.g_00393
OG0000103	Praa.g_00476	Prai.g_00506
OG0000104	Praa.g_00480	Prai.g_00510
OG0000105	Praa.g_00499	Prai.g_00529
OG0000106	Praa.g_00532	Prai.g_00560
OG0000107	Praa.g_00533	Prai.g_00561
OG0000108	Praa.g_00544	Prai.g_00571
OG0000109	Praa.g_00553	Prai.g_00580
OG0000110	Praa.g_00569	Prai.g_00597
OG0000111	Praa.g_00651	Prai.g_00680
OG0000112	Praa.g_00652	Prai.g_00681
OG0000113	Praa.g_00733	Prai.g_00770
OG0000114	Praa.g_00801	Prai.g_00850
OG0000115	Praa.g_00964	Prai.g_00989
OG0000116	Praa.g_00968	Prai.g_00985
OG0000117	Praa.g_01036	Prai.g_00921
OG0000118	Praa.g_01089	Prai.g_01107
OG0000119	Praa.g_01130	Prai.g_01146
OG0000120	Praa.g_01165	Prai.g_01177
OG0000121	Praa.g_01184	Prai.g_01197
OG0000122	Praa.g_01203	Prai.g_01217
OG0000123	Praa.g_01216	Prai.g_01230
OG0000124	Praa.g_01224	Prai.g_01238
OG0000125	Praa.g_01330	Prai.g_01347
OG0000126	Praa.g_01366	Prai.g_01370
OG0000127	Praa.g_01463	Prai.g_01450
OG0000128	Praa.g_01477	Prai.g_01464
OG0000129	Praa.g_01513	Prai.g_01499
OG0000130	Praa.g_01633	Prai.g_01636
OG0000131	Praa.g_01672	Prai.g_01674
OG0000132	Praa.g_01675	Prai.g_01677
OG0000133	Praa.g_01734	Prai.g_01735
OG0000134	Praa.g_01770	Prai.g_01777
OG0000135	Praa.g_01772	Prai.g_01779
OG0000136	Praa.g_01817	Prai.g_01823
OG0000137	Praa.g_01849	Prai.g_01855
OG0000138	Praa.g_01885	Prai.g_01892
OG0000139	Praa.g_01911	Prai.g_01918
