Orthogroup	Syab	Praz
OG0000000	Syab.g_01226	Praz.g_01198
OG0000001	Syab.g_01549, Syab.g_02553, Syab.g_02555, Syab.g_01509, Syab.g_01510, Syab.g_00673	Praz.g_01154
OG0000002	Syab.g_02285	Praz.g_01146, Praz.g_01652
OG0000004	Syab.g_00549, Syab.g_01193	Praz.g_01635
OG0000004	Syab.g_01911, Syab.g_02377	Praz.g_00592
OG0000005	Syab.g_02289	Praz.g_00864
OG0000005	Syab.g_02806, Syab.g_02232	Praz.g_00965
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Praz.g_00601
OG0000007	Syab.g_02117	Praz.g_01831
OG0000007	Syab.g_02256	Praz.g_00877
OG0000008	Syab.g_01755	Praz.g_01241
OG0000009	Syab.g_00995	Praz.g_01230, Praz.g_00929
OG0000009	Syab.g_02498	Praz.g_00465
OG0000010	Syab.g_00696	Praz.g_00074
OG0000011	Syab.g_01491	Praz.g_01240
OG0000012	Syab.g_01774, Syab.g_00953	Praz.g_01707
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Praz.g_00684
OG0000014	Syab.g_00249	Praz.g_00663
OG0000014	Syab.g_00178	Praz.g_01102
OG0000015	Syab.g_02889	Praz.g_01551
OG0000016	Syab.g_00014	Praz.g_00378
OG0000017	Syab.g_01953, Syab.g_01945	Praz.g_01732
OG0000018	Syab.g_00742	Praz.g_00011
OG0000019	Syab.g_00344	Praz.g_00609, Praz.g_01532
OG0000020	Syab.g_02230	Praz.g_00048
OG0000022	Syab.g_01825	Praz.g_00029
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Praz.g_00814
OG0000024	Syab.g_01834	Praz.g_01571, Praz.g_01655
OG0000025	Syab.g_01705	Praz.g_00688, Praz.g_01477
OG0000026	Syab.g_00036	Praz.g_00081
OG0000027	Syab.g_01782	Praz.g_01858, Praz.g_01197
OG0000028	Syab.g_00234	Praz.g_01246, Praz.g_00677
OG0000030	Syab.g_00096, Syab.g_00095	Praz.g_00195
OG0000031	Syab.g_00160	Praz.g_01116
OG0000032	Syab.g_00182	Praz.g_01092
OG0000034	Syab.g_00900, Syab.g_02560	Praz.g_01170
OG0000035	Syab.g_00776, Syab.g_00778	Praz.g_01041
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Praz.g_00469
OG0000038	Syab.g_02759, Syab.g_02761	Praz.g_00154
OG0000039	Syab.g_02791	Praz.g_01644
