Orthogroup	Syan	Syaa
OG0000001	Syan.g_02266	Syaa.g_02439
OG0000001	Syan.g_01149	Syaa.g_02329
OG0000004	Syan.g_00183	Syaa.g_00892
OG0000004	Syan.g_00989	Syaa.g_01667
OG0000005	Syan.g_01423	Syaa.g_00534
OG0000005	Syan.g_01378	Syaa.g_00573
OG0000005	Syan.g_00449	Syaa.g_01449
OG0000006	Syan.g_00791	Syaa.g_01611
OG0000006	Syan.g_01505, Syan.g_02101, Syan.g_02441	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Syan.g_02743	Syaa.g_02032
OG0000007	Syan.g_01400	Syaa.g_00551
OG0000008	Syan.g_00640, Syan.g_02532	Syaa.g_00918
OG0000008	Syan.g_00641, Syan.g_02531	Syaa.g_00919
OG0000009	Syan.g_02972	Syaa.g_02378
OG0000010	Syan.g_02847	Syaa.g_01843
OG0000012	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485, Syan.g_00008, Syan.g_00942	Syaa.g_02304
OG0000014	Syan.g_01987	Syaa.g_00222
OG0000015	Syan.g_01691	Syaa.g_02739
OG0000016	Syan.g_01766	Syaa.g_00014
OG0000016	Syan.g_02598	Syaa.g_00981
OG0000017	Syan.g_01013	Syaa.g_01883
OG0000018	Syan.g_02816	Syaa.g_01801
OG0000019	Syan.g_02088	Syaa.g_00307
OG0000021	Syan.g_01001	Syaa.g_02627
OG0000022	Syan.g_00089	Syaa.g_01571
OG0000023	Syan.g_00404	Syaa.g_01529, Syaa.g_01216
OG0000025	Syan.g_00374	Syaa.g_00839
OG0000026	Syan.g_01743	Syaa.g_00038
OG0000028	Syan.g_01971	Syaa.g_00205
OG0000030	Syan.g_01884	Syaa.g_00099
OG0000030	Syan.g_01883	Syaa.g_00098
OG0000031	Syan.g_01967	Syaa.g_00200
OG0000032	Syan.g_02835	Syaa.g_01818
OG0000033	Syan.g_03036	Syaa.g_02478, Syaa.g_00485
OG0000034	Syan.g_01227, Syan.g_03003	Syaa.g_00722, Syaa.g_02444
OG0000035	Syan.g_01279, Syan.g_01276	Syaa.g_01773
OG0000037	Syan.g_00136, Syan.g_02978, Syan.g_00917	Syaa.g_02384
OG0000038	Syan.g_01569	Syaa.g_02596
OG0000039	Syan.g_00535	Syaa.g_00846
OG0000040	Syan.g_01651	Syaa.g_02690
OG0000042	Syan.g_00991, Syan.g_02643, Syan.g_01888	Syaa.g_00103
OG0000044	Syan.g_00431, Syan.g_00435	Syaa.g_00363
OG0000044	Syan.g_01065	Syaa.g_00851
OG0000045	Syan.g_00151	Syaa.g_01560
OG0000045	Syan.g_00086	Syaa.g_01518
OG0000046	Syan.g_02157, Syan.g_02160	Syaa.g_02218
OG0000048	Syan.g_02036	Syaa.g_00275, Syaa.g_02719
OG0000052	Syan.g_01954, Syan.g_01953	Syaa.g_00174
OG0000053	Syan.g_02812	Syaa.g_01797
OG0000054	Syan.g_02503, Syan.g_00231, Syan.g_00506	Syaa.g_01502
OG0000055	Syan.g_00312	Syaa.g_01564
OG0000057	Syan.g_00643, Syan.g_02514	Syaa.g_01466
OG0000058	Syan.g_01964	Syaa.g_00193, Syaa.g_00455
OG0000059	Syan.g_02255	Syaa.g_02315
OG0000060	Syan.g_02856	Syaa.g_02053
OG0000060	Syan.g_00277	Syaa.g_01007
OG0000061	Syan.g_02696	Syaa.g_00770
OG0000062	Syan.g_01380	Syaa.g_00571
OG0000063	Syan.g_01739	Syaa.g_00042
OG0000064	Syan.g_00785	Syaa.g_01284
OG0000064	Syan.g_02518	Syaa.g_02666
OG0000066	Syan.g_01156	Syaa.g_01968
OG0000067	Syan.g_00690	Syaa.g_01154
OG0000068	Syan.g_00845, Syan.g_00257, Syan.g_02773	Syaa.g_02059
OG0000069	Syan.g_00459	Syaa.g_01497
OG0000070	Syan.g_00289	Syaa.g_00718
OG0000071	Syan.g_01213	Syaa.g_00735
OG0000072	Syan.g_03038	Syaa.g_02480
OG0000073	Syan.g_02741	Syaa.g_02030
OG0000075	Syan.g_00981, Syan.g_01937	Syaa.g_00157
OG0000076	Syan.g_01896	Syaa.g_00123
OG0000078	Syan.g_01509, Syan.g_01510, Syan.g_02437	Syaa.g_02103
OG0000079	Syan.g_02079, Syan.g_02067, Syan.g_02085	Syaa.g_00303
OG0000080	Syan.g_01083, Syan.g_01962	Syaa.g_00487
OG0000082	Syan.g_00952	Syaa.g_01905
OG0000084	Syan.g_01283	Syaa.g_01827, Syaa.g_02302, Syaa.g_01770
OG0000085	Syan.g_01387	Syaa.g_00564
OG0000086	Syan.g_02946, Syan.g_02515, Syan.g_00114	Syaa.g_00324
OG0000087	Syan.g_02268	Syaa.g_02433
OG0000088	Syan.g_03031	Syaa.g_02474
OG0000089	Syan.g_02316	Syaa.g_02149
OG0000090	Syan.g_01166	Syaa.g_01980
OG0000091	Syan.g_00235, Syan.g_00808	Syaa.g_01625
OG0000093	Syan.g_00708	Syaa.g_01139
OG0000094	Syan.g_00353	Syaa.g_01288
OG0000095	Syan.g_00290	Syaa.g_00879
OG0000098	Syan.g_00043	Syaa.g_01970
OG0000099	Syan.g_01968	Syaa.g_00202
OG0000100	Syan.g_00658	Syaa.g_01201
OG0000102	Syan.g_01891	Syaa.g_00118
OG0000104	Syan.g_01792	Syaa.g_02754
OG0000105	Syan.g_02031	Syaa.g_00270
OG0000106	Syan.g_00076	Syaa.g_01439
OG0000107	Syan.g_02106	Syaa.g_02351
OG0000108	Syan.g_02764	Syaa.g_02051
OG0000109	Syan.g_02748	Syaa.g_02036
OG0000110	Syan.g_00171, Syan.g_00882	Syaa.g_01918
OG0000112	Syan.g_00556, Syan.g_00252	Syaa.g_01366
OG0000113	Syan.g_00664	Syaa.g_01196
OG0000114	Syan.g_00741	Syaa.g_01094
OG0000115	Syan.g_02810	Syaa.g_01795
OG0000116	Syan.g_02710, Syan.g_00460	Syaa.g_00757
OG0000117	Syan.g_02644	Syaa.g_01009
OG0000118	Syan.g_01241, Syan.g_01237	Syaa.g_01874
OG0000119	Syan.g_02672	Syaa.g_00785
OG0000120	Syan.g_01966	Syaa.g_00201
OG0000121	Syan.g_01273	Syaa.g_01777
OG0000123	Syan.g_02190	Syaa.g_02242
OG0000124	Syan.g_01873	Syaa.g_00092
OG0000125	Syan.g_01573	Syaa.g_02598
OG0000126	Syan.g_01705	Syaa.g_02752
OG0000128	Syan.g_01768	Syaa.g_00012
OG0000129	Syan.g_01563	Syaa.g_02586
OG0000130	Syan.g_02906, Syan.g_02907	Syaa.g_00354
OG0000131	Syan.g_03008	Syaa.g_02448
OG0000132	Syan.g_03029	Syaa.g_02472
OG0000133	Syan.g_00561	Syaa.g_01361
OG0000134	Syan.g_02319	Syaa.g_02146
OG0000135	Syan.g_01616	Syaa.g_02649
OG0000136	Syan.g_01342	Syaa.g_00708
OG0000137	Syan.g_02846	Syaa.g_01842
OG0000138	Syan.g_02747	Syaa.g_02035
OG0000139	Syan.g_01160	Syaa.g_01974
OG0000140	Syan.g_00042	Syaa.g_01971
OG0000141	Syan.g_01032	Syaa.g_01689
OG0000142	Syan.g_00816	Syaa.g_01633
OG0000143	Syan.g_00812	Syaa.g_01629
OG0000144	Syan.g_00782	Syaa.g_01446
OG0000145	Syan.g_02740	Syaa.g_02029
OG0000146	Syan.g_00555, Syan.g_00253	Syaa.g_01367
OG0000147	Syan.g_00254, Syan.g_00554	Syaa.g_01368
OG0000148	Syan.g_00670	Syaa.g_01190
OG0000149	Syan.g_00393	Syaa.g_00826
OG0000150	Syan.g_01031	Syaa.g_01688
OG0000151	Syan.g_00731	Syaa.g_01107
OG0000152	Syan.g_00565	Syaa.g_01357
OG0000153	Syan.g_00601	Syaa.g_01324
OG0000154	Syan.g_00363	Syaa.g_01298
OG0000155	Syan.g_02654	Syaa.g_00804
OG0000156	Syan.g_02717	Syaa.g_00751
OG0000157	Syan.g_02718	Syaa.g_00750
OG0000158	Syan.g_01078, Syan.g_01926	Syaa.g_00148
OG0000159	Syan.g_01126	Syaa.g_00456
OG0000160	Syan.g_01274	Syaa.g_01776
OG0000161	Syan.g_01268	Syaa.g_01782
OG0000162	Syan.g_01059, Syan.g_01254, Syan.g_01330	Syaa.g_01788
OG0000163	Syan.g_02405	Syaa.g_00624
OG0000165	Syan.g_01448	Syaa.g_00681
OG0000166	Syan.g_02239	Syaa.g_02289
OG0000167	Syan.g_01941	Syaa.g_00160
OG0000168	Syan.g_01924, Syan.g_01121, Syan.g_01925	Syaa.g_00145
OG0000169	Syan.g_01912	Syaa.g_00134
OG0000170	Syan.g_01901	Syaa.g_00128
OG0000171	Syan.g_01875	Syaa.g_00093
OG0000172	Syan.g_01810	Syaa.g_00079
OG0000173	Syan.g_01720	Syaa.g_00060
OG0000174	Syan.g_01619	Syaa.g_02651
OG0000175	Syan.g_01678, Syan.g_00258	Syaa.g_02726
OG0000176	Syan.g_01801	Syaa.g_00004
OG0000177	Syan.g_01775	Syaa.g_00005
OG0000178	Syan.g_01774	Syaa.g_00006
OG0000179	Syan.g_01759	Syaa.g_00023
OG0000180	Syan.g_01758	Syaa.g_00024
OG0000181	Syan.g_01757	Syaa.g_00025
OG0000182	Syan.g_01756	Syaa.g_00026
OG0000183	Syan.g_01752	Syaa.g_00030
OG0000184	Syan.g_01549	Syaa.g_02578
OG0000185	Syan.g_01540	Syaa.g_02575
OG0000186	Syan.g_02902	Syaa.g_00359
OG0000187	Syan.g_02904	Syaa.g_00358
OG0000188	Syan.g_02926	Syaa.g_00334
OG0000189	Syan.g_02966	Syaa.g_02367
