Orthogroup	Pray	Praw
OG0000000	Pray.g_01888	Praw.g_00493, Praw.g_01782, Praw.g_00961
OG0000000	Pray.g_01603	Praw.g_00455
OG0000000	Pray.g_00003	Praw.g_00294
OG0000000	Pray.g_01604	Praw.g_00294
OG0000000	Pray.g_00003	Praw.g_00454
OG0000000	Pray.g_01604	Praw.g_00454
OG0000000	Pray.g_00003	Praw.g_00496
OG0000000	Pray.g_01604	Praw.g_00496
OG0000000	Pray.g_01890	Praw.g_00959
OG0000000	Pray.g_01602	Praw.g_00495, Praw.g_00457
OG0000001	Pray.g_01844	Praw.g_01000
OG0000001	Pray.g_00246	Praw.g_01951
OG0000002	Pray.g_01836	Praw.g_01009
OG0000002	Pray.g_01085	Praw.g_01844
OG0000004	Pray.g_01068	Praw.g_01827
OG0000004	Pray.g_00713	Praw.g_01203
OG0000005	Pray.g_01546	Praw.g_00528
OG0000005	Pray.g_01646	Praw.g_00413
OG0000006	Pray.g_00722	Praw.g_01950
OG0000007	Pray.g_00988, Pray.g_00987	Praw.g_00651
OG0000007	Pray.g_01559	Praw.g_00515
OG0000008	Pray.g_01931	Praw.g_00501
OG0000008	Pray.g_01091	Praw.g_01850
OG0000009	Pray.g_01610	Praw.g_00447
OG0000009	Pray.g_00184	Praw.g_01330
OG0000010	Pray.g_00592	Praw.g_01460
OG0000010	Pray.g_00964	Praw.g_00673
OG0000011	Pray.g_01897	Praw.g_00952
OG0000012	Pray.g_01140	Praw.g_00159
OG0000013	Pray.g_00805	Praw.g_00807
OG0000014	Pray.g_00784	Praw.g_00828
OG0000015	Pray.g_00309	Praw.g_01738
OG0000017	Pray.g_01165	Praw.g_01944
OG0000018	Pray.g_00083	Praw.g_00215
OG0000018	Pray.g_00375	Praw.g_01670
OG0000019	Pray.g_00730	Praw.g_00884
OG0000019	Pray.g_00328	Praw.g_01717
OG0000020	Pray.g_00120	Praw.g_00181
OG0000021	Pray.g_01578	Praw.g_00479
OG0000021	Pray.g_00842	Praw.g_00767
OG0000022	Pray.g_00304	Praw.g_01746
OG0000022	Pray.g_00101	Praw.g_00197
OG0000023	Pray.g_00838	Praw.g_00772
OG0000024	Pray.g_00289	Praw.g_01763
OG0000024	Pray.g_01088	Praw.g_01847
OG0000025	Pray.g_00383	Praw.g_01664
OG0000025	Pray.g_00809	Praw.g_00803
OG0000026	Pray.g_01493	Praw.g_01397
OG0000026	Pray.g_00599	Praw.g_01453
OG0000027	Pray.g_00960	Praw.g_00677
OG0000027	Pray.g_01887	Praw.g_00962
OG0000028	Pray.g_00798	Praw.g_00814
OG0000028	Pray.g_01935	Praw.g_00334
OG0000029	Pray.g_00296	Praw.g_01755
OG0000030	Pray.g_01374	Praw.g_00029
OG0000031	Pray.g_01806	Praw.g_01073
OG0000032	Pray.g_01782	Praw.g_01043
OG0000033	Pray.g_00650	Praw.g_01266
OG0000034	Pray.g_01860	Praw.g_00991
OG0000035	Pray.g_01722	Praw.g_01081, Praw.g_01083
OG0000037	Pray.g_00180	Praw.g_01326
OG0000038	Pray.g_01415	Praw.g_01182
OG0000039	Pray.g_01077	Praw.g_01836
OG0000040	Pray.g_01585	Praw.g_00476
OG0000040	Pray.g_00084	Praw.g_00214
OG0000042	Pray.g_01371	Praw.g_00032
OG0000043	Pray.g_00420	Praw.g_01627
OG0000045	Pray.g_00849	Praw.g_00761
OG0000047	Pray.g_00808	Praw.g_00804
OG0000048	Pray.g_00852	Praw.g_00758
OG0000049	Pray.g_00862	Praw.g_00750
OG0000049	Pray.g_00265	Praw.g_00328
OG0000049	Pray.g_00885	Praw.g_00928
OG0000050	Pray.g_00619	Praw.g_01432
OG0000051	Pray.g_01894	Praw.g_00955
OG0000052	Pray.g_01793	Praw.g_01071
OG0000053	Pray.g_01702	Praw.g_00357
OG0000054	Pray.g_01157	Praw.g_00142
OG0000055	Pray.g_00329	Praw.g_01716
OG0000057	Pray.g_01065	Praw.g_01824
OG0000058	Pray.g_01786	Praw.g_01055
OG0000059	Pray.g_01258	Praw.g_01894
OG0000061	Pray.g_00064	Praw.g_00234
OG0000062	Pray.g_01644	Praw.g_00415
OG0000063	Pray.g_01495	Praw.g_01395
OG0000065	Pray.g_00182	Praw.g_01328
OG0000066	Pray.g_01222	Praw.g_00609
