Orthogroup	Prac	Prav
OG0000000	Prac.g_00159	Prav.g_01736, Prav.g_01415
OG0000000	Prac.g_00292	Prav.g_01695
OG0000000	Prac.g_00926	Prav.g_01694
OG0000000	Prac.g_00926	Prav.g_01821
OG0000000	Prac.g_00290	Prav.g_01413
OG0000001	Prac.g_00202	Prav.g_01458
OG0000001	Prac.g_00925	Prav.g_01734
OG0000002	Prac.g_00210	Prav.g_01466
OG0000002	Prac.g_00693	Prav.g_01276
OG0000004	Prac.g_00676	Prav.g_01293
OG0000004	Prac.g_01698	Prav.g_00806
OG0000005	Prac.g_00612	Prav.g_01774
OG0000005	Prac.g_00335	Prav.g_01654
OG0000006	Prac.g_01689	Prav.g_02001
OG0000007	Prac.g_00874	Prav.g_01095
OG0000007	Prac.g_00625	Prav.g_01761
OG0000008	Prac.g_00904	Prav.g_01749
OG0000008	Prac.g_00699	Prav.g_01270
OG0000009	Prac.g_00301	Prav.g_01688
OG0000009	Prac.g_01826	Prav.g_00170
OG0000010	Prac.g_01070	Prav.g_01072
OG0000010	Prac.g_01248	Prav.g_00218
OG0000011	Prac.g_00152	Prav.g_01407
OG0000011	Prac.g_00142	Prav.g_01334
OG0000012	Prac.g_00748	Prav.g_01221
OG0000013	Prac.g_01604	Prav.g_01973
OG0000014	Prac.g_01625	Prav.g_01952
OG0000015	Prac.g_00898	Prav.g_00961
OG0000016	Prac.g_01934	Prav.g_00081
OG0000017	Prac.g_00773	Prav.g_01194
OG0000018	Prac.g_01448	Prav.g_00424
OG0000018	Prac.g_01004	Prav.g_00046
OG0000019	Prac.g_01681	Prav.g_01896
OG0000019	Prac.g_01496	Prav.g_00375
OG0000020	Prac.g_01037	Prav.g_00014
OG0000020	Prac.g_00875, Prac.g_01598	Prav.g_01386
OG0000021	Prac.g_01169	Prav.g_00984
OG0000022	Prac.g_01022	Prav.g_00029
OG0000022	Prac.g_01510	Prav.g_00360
OG0000023	Prac.g_01174	Prav.g_00979
OG0000024	Prac.g_01525	Prav.g_00343
OG0000024	Prac.g_00696	Prav.g_01273
OG0000025	Prac.g_01600	Prav.g_01977
OG0000025	Prac.g_01441	Prav.g_00431
OG0000026	Prac.g_01916	Prav.g_00099
OG0000026	Prac.g_01241	Prav.g_00226
OG0000027	Prac.g_01074	Prav.g_01068
OG0000028	Prac.g_00145	Prav.g_01885
OG0000028	Prac.g_01611	Prav.g_01966
OG0000030	Prac.g_00050	Prav.g_00699
OG0000032	Prac.g_00242	Prav.g_01499
OG0000033	Prac.g_01761	Prav.g_00869
OG0000034	Prac.g_00185	Prav.g_01448
OG0000035	Prac.g_00411	Prav.g_01578
OG0000037	Prac.g_01822	Prav.g_00174
OG0000038	Prac.g_00090	Prav.g_00739
OG0000039	Prac.g_00685	Prav.g_01284
OG0000040	Prac.g_00279	Prav.g_01720
OG0000040	Prac.g_01005	Prav.g_00045
OG0000041	Prac.g_00579	Prav.g_01808
OG0000042	Prac.g_00048	Prav.g_00696
OG0000043	Prac.g_01405	Prav.g_00467
OG0000045	Prac.g_01162	Prav.g_00990
OG0000047	Prac.g_01601	Prav.g_01976
OG0000048	Prac.g_01159	Prav.g_00993
OG0000049	Prac.g_01149	Prav.g_01000
OG0000049	Prac.g_01954	Prav.g_01016
OG0000050	Prac.g_01220	Prav.g_00247
OG0000053	Prac.g_00391	Prav.g_01598
OG0000054	Prac.g_00765	Prav.g_01202
OG0000055	Prac.g_01495	Prav.g_00376
OG0000057	Prac.g_00673	Prav.g_01296
OG0000058	Prac.g_00258	Prav.g_01512
OG0000059	Prac.g_00500	Prav.g_00292
OG0000061	Prac.g_00985	Prav.g_00065
