Orthogroup	Species	Prbe	Orthologs
OG0000000	Prbb	Prbe.g_01587	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbm	Prbe.g_01587	Prbm.g_01140, Prbm.g_01814, Prbm.g_01313, Prbm.g_00433, Prbm.g_01231, Prbm.g_01384
OG0000000	Praj	Prbe.g_01587	Praj.g_01099, Praj.g_01737, Praj.g_00415, Praj.g_01204, Praj.g_01274, Praj.g_01311
OG0000000	Prbc	Prbe.g_01587	Prbc.g_00609, Prbc.g_00812
OG0000000	Pral	Prbe.g_01587	Pral.g_00040
OG0000000	Pram	Prbe.g_01587	Pram.g_01513
OG0000000	Prbh	Prbe.g_01587	Prbh.g_01901
OG0000000	Prat	Prbe.g_01587	Prat.g_01190
OG0000000	Prak	Prbe.g_01587	Prak.g_01210
OG0000000	Prap	Prbe.g_01587	Prap.g_00494
OG0000000	Prbf	Prbe.g_01587	Prbf.g_00880
OG0000000	Prbg	Prbe.g_01587	Prbg.g_01524
OG0000000	Prbn	Prbe.g_01587	Prbn.g_01151
OG0000000	Pras	Prbe.g_01119	Pras.g_00493, Pras.g_00470
OG0000000	Prai	Prbe.g_01119	Prai.g_01612, Prai.g_01592
OG0000000	Prac	Prbe.g_01119	Prac.g_00277, Prac.g_00292
OG0000000	Praq	Prbe.g_01119	Praq.g_01956, Praq.g_00026
OG0000000	Prar	Prbe.g_01119	Prar.g_00713, Prar.g_00729
OG0000000	Prau	Prbe.g_01119	Prau.g_01665, Prau.g_01648
OG0000000	Praa	Prbe.g_01119	Praa.g_01235, Praa.g_01598, Praa.g_01244
OG0000000	Prbd	Prbe.g_01119	Prbd.g_01914, Prbd.g_01568
OG0000000	Pray	Prbe.g_01119	Pray.g_01576, Pray.g_01603
OG0000000	Praz	Prbe.g_01119	Praz.g_00894, Praz.g_00921
OG0000000	Prba	Prbe.g_01119	Prba.g_00243, Prba.g_00269
OG0000000	Prad	Prbe.g_01119	Prad.g_01982, Prad.g_00392
OG0000000	Prbc	Prbe.g_01119	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165
OG0000000	Prbb	Prbe.g_01119	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbm	Prbe.g_01119	Prbm.g_00435, Prbm.g_01116, Prbm.g_01406, Prbm.g_01808, Prbm.g_01117, Prbm.g_01229, Prbm.g_01382, Prbm.g_01407, Prbm.g_00436
OG0000000	Praj	Prbe.g_01119	Praj.g_00418, Praj.g_01077, Praj.g_01357, Praj.g_01730, Praj.g_01272, Praj.g_01309, Praj.g_01078, Praj.g_00417, Praj.g_01202
OG0000000	Prab	Prbe.g_01119	Prab.g_00760, Prab.g_01630, Prab.g_01598
OG0000000	Pran	Prbe.g_01119	Pran.g_01423, Pran.g_00931, Pran.g_00601
OG0000000	Prag	Prbe.g_01119	Prag.g_00721, Prag.g_01648, Prag.g_01608, Prag.g_01230, Prag.g_01348
OG0000000	Praw	Prbe.g_01119	Praw.g_01780, Praw.g_00494, Praw.g_00455, Praw.g_00893, Praw.g_00974
OG0000000	Prae	Prbe.g_01119	Prae.g_01580
OG0000000	Prbi	Prbe.g_01119	Prbi.g_01709
OG0000000	Prax	Prbe.g_01119	Prax.g_01608, Prax.g_00496
OG0000000	Prao	Prbe.g_01119	Prao.g_01515
OG0000000	Prav	Prbe.g_01119	Prav.g_01695, Prav.g_00973
OG0000000	Prat	Prbe.g_01119	Prat.g_01549
OG0000000	Praf	Prbe.g_01119	Praf.g_00813
OG0000000	Prah	Prbe.g_01119	Prah.g_01348
OG0000000	Prbj	Prbe.g_01119	Prbj.g_00164
OG0000000	Prbk	Prbe.g_01119	Prbk.g_00165
OG0000000	Prbl	Prbe.g_01119	Prbl.g_00116
OG0000000	Pral	Prbe.g_01119	Pral.g_00037
OG0000000	Pram	Prbe.g_01119	Pram.g_01511
OG0000000	Prbh	Prbe.g_01119	Prbh.g_01903
OG0000000	Prak	Prbe.g_01119	Prak.g_01562
OG0000000	Prap	Prbe.g_01119	Prap.g_01862
OG0000000	Prbf	Prbe.g_01119	Prbf.g_00776
OG0000000	Prbg	Prbe.g_01119	Prbg.g_01567
OG0000000	Prbn	Prbe.g_01119	Prbn.g_01662
OG0000000	Praa	Prbe.g_01586, Prbe.g_01120, Prbe.g_01052	Praa.g_01597
OG0000000	Prad	Prbe.g_01586, Prbe.g_01120, Prbe.g_01052	Prad.g_01297
OG0000000	Prbc	Prbe.g_01586	Prbc.g_00106
OG0000000	Praj	Prbe.g_01120	Praj.g_01307
OG0000000	Praj	Prbe.g_01120	Praj.g_01359
OG0000000	Praj	Prbe.g_01120	Praj.g_01732
OG0000000	Prak	Prbe.g_01120	Prak.g_01209
OG0000000	Prak	Prbe.g_01120	Prak.g_01563
OG0000000	Pral	Prbe.g_01120	Pral.g_00038
OG0000000	Pral	Prbe.g_01120	Pral.g_01333
OG0000000	Pram	Prbe.g_01120	Pram.g_01512
OG0000000	Prap	Prbe.g_01120	Prap.g_00493
OG0000000	Prap	Prbe.g_01120	Prap.g_01861
OG0000000	Prbb	Prbe.g_01120	Prbb.g_01123
OG0000000	Prbb	Prbe.g_01120	Prbb.g_01352
OG0000000	Prbb	Prbe.g_01120	Prbb.g_01403
OG0000000	Prbb	Prbe.g_01120	Prbb.g_01787
OG0000000	Prbc	Prbe.g_01120	Prbc.g_00618
OG0000000	Prbc	Prbe.g_01120	Prbc.g_02167
OG0000000	Prbf	Prbe.g_01120	Prbf.g_00775
OG0000000	Prbf	Prbe.g_01120	Prbf.g_00881
OG0000000	Prbg	Prbe.g_01120	Prbg.g_01523
OG0000000	Prbg	Prbe.g_01120	Prbg.g_01568
OG0000000	Prbh	Prbe.g_01120	Prbh.g_01902
OG0000000	Prbm	Prbe.g_01120	Prbm.g_01119
OG0000000	Prbm	Prbe.g_01120	Prbm.g_01404
OG0000000	Prbm	Prbe.g_01120	Prbm.g_01810
OG0000000	Prbn	Prbe.g_01120	Prbn.g_01152
OG0000000	Prbn	Prbe.g_01120	Prbn.g_01663
OG0000000	Prat	Prbe.g_01052	Prat.g_01189
OG0000000	Praj	Prbe.g_01052	Praj.g_01100
OG0000000	Prbc	Prbe.g_01052	Prbc.g_00608
OG0000000	Prbb	Prbe.g_01052	Prbb.g_01145
