Orthogroup	Praa	Prbk
OG0000000	Praa.g_01598, Praa.g_01244	Prbk.g_00165
OG0000000	Praa.g_01597, Praa.g_01297	Prbk.g_00167
OG0000001	Praa.g_01359	Prbk.g_02574
OG0000001	Praa.g_00678	Prbk.g_01649
OG0000002	Praa.g_01351	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000004	Praa.g_01298, Praa.g_01599, Praa.g_00413	Prbk.g_00166
OG0000005	Praa.g_00742	Prbk.g_01701, Prbk.g_00355
OG0000008	Praa.g_01635	Prbk.g_00907
OG0000010	Praa.g_00782, Praa.g_00249	Prbk.g_01004
OG0000011	Praa.g_00374, Praa.g_00754	Prbk.g_00833
OG0000013	Praa.g_01589, Praa.g_00105	Prbk.g_01932, Prbk.g_00013
OG0000015	Praa.g_00330	Prbk.g_01202
OG0000016	Praa.g_00765	Prbk.g_02558
OG0000018	Praa.g_00598	Prbk.g_01142, Prbk.g_01150
OG0000020	Praa.g_01362	Prbk.g_01746, Prbk.g_01786
OG0000022	Praa.g_00241, Praa.g_01245	Prbk.g_02695
OG0000023	Praa.g_01623, Praa.g_00364	Prbk.g_01137
OG0000024	Praa.g_01287	Prbk.g_01737
OG0000025	Praa.g_00747	Prbk.g_01780
OG0000027	Praa.g_00672	Prbk.g_01820
OG0000028	Praa.g_01241	Prbk.g_01819
OG0000031	Praa.g_01839	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215
OG0000032	Praa.g_00033	Prbk.g_01613
OG0000034	Praa.g_01476	Prbk.g_00259
OG0000037	Praa.g_01291	Prbk.g_01709
OG0000040	Praa.g_01288, Praa.g_00396	Prbk.g_01851
OG0000041	Praa.g_00623	Prbk.g_02610
OG0000045	Praa.g_00585	Prbk.g_01122
OG0000046	Praa.g_00763	Prbk.g_01667, Prbk.g_00212
OG0000047	Praa.g_01159, Praa.g_01415	Prbk.g_01019
OG0000049	Praa.g_01425	Prbk.g_00479
OG0000050	Praa.g_00166	Prbk.g_01836, Prbk.g_00773
OG0000051	Praa.g_00359	Prbk.g_02448
OG0000053	Praa.g_00711	Prbk.g_01835, Prbk.g_00619
OG0000054	Praa.g_01628	Prbk.g_00919
OG0000055	Praa.g_01832	Prbk.g_00237
OG0000056	Praa.g_00031	Prbk.g_01617
OG0000057	Praa.g_00157	Prbk.g_00764
OG0000058	Praa.g_00369	Prbk.g_00925
OG0000059	Praa.g_00539	Prbk.g_01094
OG0000061	Praa.g_00757	Prbk.g_01468
OG0000062	Praa.g_00826	Prbk.g_02493
OG0000063	Praa.g_01117	Prbk.g_00694
OG0000066	Praa.g_01414, Praa.g_00475	Prbk.g_02113
OG0000067	Praa.g_00698	Prbk.g_01765
OG0000070	Praa.g_01039	Prbk.g_00056
OG0000071	Praa.g_01255	Prbk.g_01496
OG0000072	Praa.g_01318	Prbk.g_01183
OG0000074	Praa.g_01387	Prbk.g_00477
OG0000075	Praa.g_01775	Prbk.g_00796, Prbk.g_00944
OG0000077	Praa.g_00011	Prbk.g_02290
OG0000078	Praa.g_00322	Prbk.g_00472
OG0000079	Praa.g_00381	Prbk.g_02209
OG0000080	Praa.g_00669	Prbk.g_00709
OG0000081	Praa.g_00691	Prbk.g_01815
OG0000082	Praa.g_00810, Praa.g_00811	Prbk.g_02475
OG0000084	Praa.g_00964	Prbk.g_02324
OG0000085	Praa.g_01089	Prbk.g_02271
OG0000086	Praa.g_01127	Prbk.g_02195
OG0000090	Praa.g_01394	Prbk.g_00476
OG0000091	Praa.g_01484	Prbk.g_00275
OG0000092	Praa.g_01606	Prbk.g_02012
OG0000093	Praa.g_01723	Prbk.g_00992
OG0000094	Praa.g_01772	Prbk.g_00948
OG0000095	Praa.g_01806	Prbk.g_00512
OG0000096	Praa.g_01877	Prbk.g_01603
OG0000098	Praa.g_00003	Prbk.g_02281
OG0000099	Praa.g_00023	Prbk.g_01626
OG0000101	Praa.g_00049	Prbk.g_02126
OG0000102	Praa.g_00113	Prbk.g_00191
OG0000103	Praa.g_00121	Prbk.g_00206
OG0000104	Praa.g_00139	Prbk.g_00559
OG0000105	Praa.g_00170	Prbk.g_00777
OG0000106	Praa.g_00184	Prbk.g_01280
OG0000107	Praa.g_00192	Prbk.g_01261
OG0000108	Praa.g_00202	Prbk.g_01251
OG0000109	Praa.g_00239	Prbk.g_01515
OG0000110	Praa.g_00251	Prbk.g_01001
OG0000111	Praa.g_00274	Prbk.g_00409
OG0000113	Praa.g_00297	Prbk.g_00438
OG0000114	Praa.g_00325	Prbk.g_00492
OG0000115	Praa.g_00474	Prbk.g_02112
OG0000116	Praa.g_00476	Prbk.g_02114
OG0000117	Praa.g_00480	Prbk.g_02061
OG0000118	Praa.g_00499	Prbk.g_01862
OG0000119	Praa.g_00532	Prbk.g_01078
OG0000120	Praa.g_00533	Prbk.g_01080
OG0000121	Praa.g_00544	Prbk.g_02684
OG0000122	Praa.g_00553	Prbk.g_01890
OG0000123	Praa.g_00584	Prbk.g_01121
OG0000124	Praa.g_00651	Prbk.g_00740
OG0000125	Praa.g_00652	Prbk.g_00739
OG0000126	Praa.g_00653	Prbk.g_00738
OG0000127	Praa.g_00686	Prbk.g_01385
OG0000128	Praa.g_00713	Prbk.g_00616
OG0000129	Praa.g_00733	Prbk.g_02370
