Orthogroup	Prah	Prap
OG0000000	Prah.g_00562	Prap.g_00720, Prap.g_00715
OG0000000	Prah.g_01226	Prap.g_00823, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224
OG0000002	Prah.g_00324, Prah.g_01159, Prah.g_01343, Prah.g_02270, Prah.g_00896	Prap.g_01925
OG0000003	Prah.g_01347	Prap.g_00494
OG0000004	Prah.g_01175, Prah.g_00215	Prap.g_00535
OG0000006	Prah.g_01546	Prap.g_01270
OG0000006	Prah.g_01676	Prap.g_01779
OG0000007	Prah.g_00970	Prap.g_01888
OG0000007	Prah.g_00969	Prap.g_01887
OG0000009	Prah.g_02086	Prap.g_00480, Prap.g_01462
OG0000011	Prah.g_00321, Prah.g_00322	Prap.g_01343
OG0000013	Prah.g_01155, Prah.g_00576	Prap.g_01840, Prap.g_01794
OG0000016	Prah.g_01007	Prap.g_00510
OG0000016	Prah.g_01048	Prap.g_00218
OG0000017	Prah.g_00381	Prap.g_00142, Prap.g_01834
OG0000018	Prah.g_00475, Prah.g_01767	Prap.g_01470
OG0000019	Prah.g_01410	Prap.g_00797
OG0000020	Prah.g_02122	Prap.g_00548, Prap.g_01439
OG0000024	Prah.g_02171	Prap.g_01403
OG0000025	Prah.g_01120	Prap.g_00667
OG0000026	Prah.g_00042	Prap.g_01903
OG0000028	Prah.g_00408	Prap.g_00121
OG0000031	Prah.g_01166	Prap.g_00611
OG0000032	Prah.g_00091	Prap.g_00080
OG0000033	Prah.g_01270	Prap.g_00514
OG0000034	Prah.g_02219	Prap.g_00897
OG0000036	Prah.g_01427	Prap.g_01183
OG0000037	Prah.g_00524	Prap.g_00236, Prap.g_01145
OG0000038	Prah.g_01209, Prah.g_00170	Prap.g_00212
OG0000039	Prah.g_00957, Prah.g_02304	Prap.g_01004
OG0000040	Prah.g_00688	Prap.g_00029
OG0000042	Prah.g_00958, Prah.g_00887	Prap.g_00791
OG0000043	Prah.g_01231, Prah.g_01233	Prap.g_00691
OG0000044	Prah.g_01322	Prap.g_00456
OG0000045	Prah.g_02195	Prap.g_00081
OG0000046	Prah.g_01666	Prap.g_01787, Prap.g_01917
OG0000047	Prah.g_00150	Prap.g_01580
OG0000048	Prah.g_01256, Prah.g_00135	Prap.g_01572
OG0000050	Prah.g_00038	Prap.g_00923
OG0000051	Prah.g_02295	Prap.g_01013
OG0000052	Prah.g_01660	Prap.g_00591
OG0000053	Prah.g_01485	Prap.g_01230, Prap.g_01867
OG0000054	Prah.g_01812	Prap.g_01128
OG0000055	Prah.g_00641	Prap.g_00760
OG0000056	Prah.g_02425	Prap.g_00512
