Orthogroup	Prae	Syao
OG0000001	Prae.g_01353	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000004	Prae.g_00669	Syao.g_02374
OG0000004	Prae.g_00235	Syao.g_01271, Syao.g_01007
OG0000005	Prae.g_01636	Syao.g_01680
OG0000005	Prae.g_01535	Syao.g_01578
OG0000006	Prae.g_00244	Syao.g_00919, Syao.g_01518
OG0000007	Prae.g_00471	Syao.g_00105
OG0000007	Prae.g_01623	Syao.g_01554
OG0000010	Prae.g_01048	Syao.g_02683
OG0000011	Prae.g_01245	Syao.g_01282
OG0000012	Prae.g_00597	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201
OG0000013	Prae.g_00328	Syao.g_01910, Syao.g_01222, Syao.g_01844
OG0000014	Prae.g_00307	Syao.g_02027
OG0000015	Prae.g_00769, Prae.g_01235	Syao.g_02339, Syao.g_00302
OG0000016	Prae.g_00013	Syao.g_01955
OG0000017	Prae.g_00572	Syao.g_00997, Syao.g_01064
OG0000018	Prae.g_01144	Syao.g_00071
OG0000019	Prae.g_00252, Prae.g_00786	Syao.g_02108
OG0000021	Prae.g_01600, Prae.g_00364	Syao.g_01002
OG0000022	Prae.g_01125	Syao.g_01218
OG0000023	Prae.g_00359	Syao.g_01266
OG0000025	Prae.g_00332, Prae.g_00840	Syao.g_00436, Syao.g_00437
OG0000026	Prae.g_00031, Prae.g_01056	Syao.g_02234
OG0000027	Prae.g_00444, Prae.g_01311	Syao.g_01286, Syao.g_00202
OG0000028	Prae.g_00321	Syao.g_02012
OG0000030	Prae.g_01825	Syao.g_02189, Syao.g_02188
OG0000031	Prae.g_01402, Prae.g_01391	Syao.g_01083
OG0000033	Prae.g_01396	Syao.g_02507
OG0000035	Prae.g_01459	Syao.g_01483, Syao.g_01486
OG0000037	Prae.g_00108	Syao.g_00374
OG0000038	Prae.g_01865	Syao.g_02440, Syao.g_02442
OG0000039	Prae.g_00660	Syao.g_00704
OG0000040	Prae.g_01143	Syao.g_00711
OG0000041	Prae.g_01669	Syao.g_00509, Syao.g_01637
OG0000042	Prae.g_01822	Syao.g_00019, Syao.g_01941
OG0000045	Prae.g_00371	Syao.g_00148
OG0000048	Prae.g_00374	Syao.g_02077
OG0000052	Prae.g_01416	Syao.g_01085
OG0000053	Prae.g_01479	Syao.g_00067
OG0000054	Prae.g_00580	Syao.g_00295, Syao.g_00625
OG0000055	Prae.g_00787	Syao.g_00498
OG0000057	Prae.g_00672	Syao.g_00377
OG0000058	Prae.g_01406	Syao.g_01080
OG0000059	Prae.g_01710	Syao.g_01801
OG0000060	Prae.g_01238	Syao.g_00312
OG0000061	Prae.g_01163	Syao.g_00123
OG0000062	Prae.g_01537	Syao.g_01576
OG0000063	Prae.g_00033	Syao.g_02230
OG0000065	Prae.g_00106	Syao.g_02600
OG0000066	Prae.g_00514	Syao.g_01422
OG0000067	Prae.g_00806	Syao.g_00756
OG0000068	Prae.g_01368	Syao.g_00868, Syao.g_00036
OG0000069	Prae.g_01573	Syao.g_01265, Syao.g_01460, Syao.g_00313
OG0000070	Prae.g_00424	Syao.g_00330
OG0000071	Prae.g_01329	Syao.g_01433
OG0000072	Prae.g_00174	Syao.g_02509, Syao.g_01749
OG0000073	Prae.g_00473	Syao.g_00103
OG0000075	Prae.g_01791	Syao.g_02257
OG0000076	Prae.g_01815	Syao.g_01949
OG0000077	Prae.g_00078	Syao.g_02629
OG0000078	Prae.g_00242	Syao.g_01709
OG0000079	Prae.g_00255	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105
OG0000082	Prae.g_00559	Syao.g_01035
OG0000084	Prae.g_01455	Syao.g_01509, Syao.g_02606
OG0000085	Prae.g_01616	Syao.g_01569
OG0000086	Prae.g_00088	Syao.g_02653, Syao.g_01240
OG0000087	Prae.g_00139	Syao.g_02555
OG0000088	Prae.g_00169	Syao.g_02503
OG0000089	Prae.g_00355	Syao.g_01716
OG0000090	Prae.g_00508	Syao.g_01412
OG0000091	Prae.g_00616	Syao.g_00902
OG0000093	Prae.g_00933	Syao.g_00739
OG0000094	Prae.g_01021	Syao.g_00458
OG0000095	Prae.g_01040	Syao.g_00331
OG0000097	Prae.g_01204	Syao.g_00973
OG0000098	Prae.g_01350	Syao.g_01374
OG0000099	Prae.g_01390	Syao.g_02019
OG0000100	Prae.g_01533	Syao.g_00787
OG0000101	Prae.g_01758	Syao.g_01840
OG0000102	Prae.g_01820	Syao.g_01945
OG0000103	Prae.g_01899	Syao.g_02340
OG0000104	Prae.g_01907	Syao.g_02157
OG0000105	Prae.g_01440	Syao.g_02071, Syao.g_02072
OG0000106	Prae.g_00370	Syao.g_01385
OG0000107	Prae.g_00385	Syao.g_01935
OG0000108	Prae.g_00454	Syao.g_00028
OG0000109	Prae.g_00468	Syao.g_00110
OG0000110	Prae.g_00549	Syao.g_01051
OG0000111	Prae.g_00673	Syao.g_00378
OG0000112	Prae.g_00770	Syao.g_00683, Syao.g_00303
OG0000113	Prae.g_00828	Syao.g_00782
OG0000114	Prae.g_00908	Syao.g_00965
OG0000115	Prae.g_01102	Syao.g_01464, Syao.g_00065
OG0000116	Prae.g_01153	Syao.g_00137
OG0000117	Prae.g_01263	Syao.g_00169
OG0000118	Prae.g_01341	Syao.g_01475
OG0000120	Prae.g_01389	Syao.g_02009
OG0000121	Prae.g_01461	Syao.g_01489
OG0000122	Prae.g_01499	Syao.g_01247
OG0000123	Prae.g_01766	Syao.g_01832
OG0000124	Prae.g_01831	Syao.g_02179
OG0000125	Prae.g_01867	Syao.g_02444
OG0000126	Prae.g_01906	Syao.g_02198
OG0000128	Prae.g_00011	Syao.g_02149
OG0000129	Prae.g_00046	Syao.g_02434
OG0000130	Prae.g_00069	Syao.g_02617
OG0000131	Prae.g_00148	Syao.g_02480
OG0000132	Prae.g_00167	Syao.g_02501
OG0000133	Prae.g_00323	Syao.g_00678
OG0000134	Prae.g_00356	Syao.g_01719
OG0000135	Prae.g_00382	Syao.g_00147
OG0000136	Prae.g_00415	Syao.g_01614, Syao.g_01613
OG0000137	Prae.g_00449	Syao.g_02682
OG0000138	Prae.g_00469	Syao.g_00108
OG0000139	Prae.g_00512	Syao.g_01418, Syao.g_02005
OG0000140	Prae.g_00513	Syao.g_01373, Syao.g_01372
OG0000141	Prae.g_00581	Syao.g_01202
OG0000142	Prae.g_00609	Syao.g_00894
OG0000143	Prae.g_00613	Syao.g_00898
OG0000145	Prae.g_00766	Syao.g_00102
OG0000146	Prae.g_00771	Syao.g_00684, Syao.g_00304
OG0000147	Prae.g_00772	Syao.g_00305, Syao.g_00685
OG0000148	Prae.g_00822	Syao.g_00776
OG0000149	Prae.g_00852	Syao.g_00534
OG0000150	Prae.g_00860	Syao.g_01203
OG0000151	Prae.g_00918	Syao.g_00975
OG0000152	Prae.g_00964	Syao.g_00674
OG0000153	Prae.g_00983	Syao.g_00818, Syao.g_01176
OG0000154	Prae.g_01014	Syao.g_00447
OG0000155	Prae.g_01183	Syao.g_00178
OG0000156	Prae.g_01317	Syao.g_00151
OG0000157	Prae.g_01318	Syao.g_00152
OG0000158	Prae.g_01426	Syao.g_01141, Syao.g_02267
OG0000159	Prae.g_01438	Syao.g_02276
OG0000160	Prae.g_01460	Syao.g_01488
OG0000161	Prae.g_01466	Syao.g_01494
OG0000162	Prae.g_01472	Syao.g_01515
OG0000163	Prae.g_01506	Syao.g_01745
OG0000164	Prae.g_01647	Syao.g_01663
OG0000165	Prae.g_01654	Syao.g_01655
OG0000166	Prae.g_01722	Syao.g_01790
OG0000167	Prae.g_01789	Syao.g_01960
OG0000168	Prae.g_01799	Syao.g_02128
OG0000169	Prae.g_01809	Syao.g_02139
OG0000170	Prae.g_01811	Syao.g_02148
OG0000171	Prae.g_01830	Syao.g_02181
OG0000172	Prae.g_01838	Syao.g_02170
OG0000173	Prae.g_01853	Syao.g_02212
OG0000174	Prae.g_01881	Syao.g_02364, Syao.g_02355
OG0000175	Prae.g_01891	Syao.g_02327, Syao.g_00308
OG0000176	Prae.g_00004	Syao.g_02165
OG0000177	Prae.g_00005	Syao.g_02156
OG0000178	Prae.g_00006	Syao.g_02155
OG0000179	Prae.g_00016	Syao.g_02250
OG0000180	Prae.g_00017	Syao.g_02249
OG0000181	Prae.g_00018	Syao.g_02248
OG0000182	Prae.g_00019	Syao.g_02247
OG0000183	Prae.g_00023	Syao.g_02243
OG0000184	Prae.g_00048	Syao.g_02423
OG0000185	Prae.g_00051	Syao.g_02410
OG0000186	Prae.g_00064	Syao.g_02613
OG0000187	Prae.g_00065	Syao.g_02615
OG0000188	Prae.g_00082	Syao.g_02637
OG0000189	Prae.g_00096	Syao.g_02672
OG0000190	Prae.g_00097	Syao.g_01015
OG0000191	Prae.g_00117	Syao.g_02573
OG0000192	Prae.g_00121	Syao.g_02579
OG0000193	Prae.g_00149	Syao.g_02481
OG0000194	Prae.g_00152	Syao.g_02484
OG0000195	Prae.g_00154	Syao.g_02486
OG0000196	Prae.g_00164	Syao.g_02498
OG0000197	Prae.g_00165	Syao.g_02499
OG0000198	Prae.g_00166	Syao.g_02500
OG0000199	Prae.g_00173	Syao.g_02508
OG0000200	Prae.g_00187	Syao.g_02524
OG0000201	Prae.g_00195	Syao.g_02540
OG0000202	Prae.g_00196	Syao.g_02454
OG0000203	Prae.g_00197	Syao.g_02455
OG0000204	Prae.g_00198	Syao.g_02456
OG0000205	Prae.g_00205	Syao.g_02464
OG0000206	Prae.g_00210	Syao.g_02469
OG0000207	Prae.g_00212	Syao.g_02471
OG0000208	Prae.g_00213	Syao.g_02472
OG0000209	Prae.g_00222	Syao.g_02394
OG0000210	Prae.g_00223	Syao.g_02395
OG0000211	Prae.g_00236	Syao.g_01700
OG0000212	Prae.g_00243	Syao.g_01710
OG0000213	Prae.g_00260	Syao.g_02098
OG0000214	Prae.g_00270	Syao.g_02081
OG0000215	Prae.g_00293	Syao.g_02050
OG0000216	Prae.g_00295	Syao.g_02045
OG0000217	Prae.g_00298	Syao.g_02041
OG0000218	Prae.g_00300	Syao.g_02039
OG0000219	Prae.g_00301	Syao.g_02038
OG0000220	Prae.g_00302	Syao.g_02037
OG0000221	Prae.g_00303	Syao.g_02034
OG0000222	Prae.g_00311	Syao.g_02023
OG0000223	Prae.g_00324	Syao.g_00291
OG0000224	Prae.g_00326	Syao.g_01973
OG0000225	Prae.g_00345	Syao.g_01751
OG0000226	Prae.g_00349	Syao.g_01758
OG0000227	Prae.g_00351	Syao.g_01760
OG0000228	Prae.g_00354	Syao.g_01715
OG0000229	Prae.g_00410	Syao.g_01736
OG0000230	Prae.g_00412	Syao.g_01738
OG0000231	Prae.g_00423	Syao.g_01513
OG0000232	Prae.g_00432	Syao.g_00057
OG0000233	Prae.g_00437	Syao.g_02698
OG0000234	Prae.g_00450	Syao.g_02680
OG0000235	Prae.g_00453	Syao.g_00029
OG0000236	Prae.g_00467	Syao.g_00111
OG0000237	Prae.g_00480	Syao.g_00166
OG0000238	Prae.g_00486	Syao.g_00161
OG0000239	Prae.g_00499	Syao.g_01398
OG0000240	Prae.g_00500	Syao.g_01399
OG0000241	Prae.g_00504	Syao.g_00887
OG0000242	Prae.g_00506	Syao.g_01410
OG0000243	Prae.g_00518	Syao.g_00873
OG0000244	Prae.g_00521	Syao.g_00865
OG0000245	Prae.g_00523	Syao.g_00863
OG0000246	Prae.g_00527	Syao.g_00859
OG0000247	Prae.g_00537	Syao.g_00847
OG0000248	Prae.g_00539	Syao.g_00844
OG0000249	Prae.g_00541	Syao.g_00842
OG0000250	Prae.g_00546	Syao.g_00835
OG0000251	Prae.g_00565	Syao.g_01026
OG0000252	Prae.g_00568	Syao.g_01020
OG0000253	Prae.g_00569	Syao.g_01003
OG0000254	Prae.g_00585	Syao.g_01053
OG0000255	Prae.g_00591	Syao.g_01009
OG0000256	Prae.g_00601	Syao.g_01328
OG0000257	Prae.g_00604	Syao.g_00884
OG0000258	Prae.g_00617	Syao.g_00907
OG0000259	Prae.g_00634	Syao.g_00933, Syao.g_00932
OG0000260	Prae.g_00637	Syao.g_00936
OG0000261	Prae.g_00639	Syao.g_00941
OG0000262	Prae.g_00643	Syao.g_00946
OG0000263	Prae.g_00655	Syao.g_00247
OG0000264	Prae.g_00665	Syao.g_00699
OG0000265	Prae.g_00711	Syao.g_00049
OG0000266	Prae.g_00721	Syao.g_00480
OG0000267	Prae.g_00732	Syao.g_00589
OG0000268	Prae.g_00733	Syao.g_00588
OG0000269	Prae.g_00801	Syao.g_00751
OG0000270	Prae.g_00804	Syao.g_00754
OG0000271	Prae.g_00812	Syao.g_00762
OG0000272	Prae.g_00813	Syao.g_00763
OG0000273	Prae.g_00836	Syao.g_00791
OG0000274	Prae.g_00837	Syao.g_00792
OG0000275	Prae.g_00839	Syao.g_00438
OG0000276	Prae.g_00844	Syao.g_00558
OG0000277	Prae.g_00845	Syao.g_00557
OG0000278	Prae.g_00848	Syao.g_00554
OG0000279	Prae.g_00855	Syao.g_00529
OG0000280	Prae.g_00856	Syao.g_00608
OG0000281	Prae.g_00861	Syao.g_01377
OG0000282	Prae.g_00910	Syao.g_00967
OG0000283	Prae.g_00941	Syao.g_00640
OG0000284	Prae.g_00946	Syao.g_00634
OG0000285	Prae.g_00951	Syao.g_00706
OG0000286	Prae.g_00963	Syao.g_00675
OG0000287	Prae.g_00980	Syao.g_00825
OG0000288	Prae.g_01013	Syao.g_00446
OG0000289	Prae.g_01024	Syao.g_00461
OG0000290	Prae.g_01037	Syao.g_00428
OG0000291	Prae.g_01039	Syao.g_00333
OG0000292	Prae.g_01090	Syao.g_02196
OG0000293	Prae.g_01154	Syao.g_00136
OG0000294	Prae.g_01155	Syao.g_00135
OG0000295	Prae.g_01175	Syao.g_00186
OG0000296	Prae.g_01177	Syao.g_00184
OG0000297	Prae.g_01185	Syao.g_00171
OG0000298	Prae.g_01186	Syao.g_00170
OG0000299	Prae.g_01203	Syao.g_00231
OG0000300	Prae.g_01206	Syao.g_00274
OG0000301	Prae.g_01207	Syao.g_00272, Syao.g_00273
OG0000302	Prae.g_01209	Syao.g_00271
OG0000303	Prae.g_01216	Syao.g_00262
OG0000304	Prae.g_01220	Syao.g_00256
OG0000305	Prae.g_01360	Syao.g_00388
OG0000306	Prae.g_01363	Syao.g_01216
OG0000307	Prae.g_01377	Syao.g_00045
OG0000308	Prae.g_01378	Syao.g_00047
OG0000309	Prae.g_01382	Syao.g_02705
OG0000310	Prae.g_01444	Syao.g_01530
OG0000311	Prae.g_01446	Syao.g_01533
OG0000312	Prae.g_01449	Syao.g_01538
OG0000313	Prae.g_01463	Syao.g_01491
OG0000314	Prae.g_01486	Syao.g_00078
OG0000315	Prae.g_01496	Syao.g_00088
OG0000316	Prae.g_01516	Syao.g_01602
OG0000317	Prae.g_01621	Syao.g_01560
OG0000318	Prae.g_01624	Syao.g_01553
