Orthogroup	Prap	Syad
OG0000001	Prap.g_01925	Syad.g_00628, Syad.g_02863, Syad.g_02862, Syad.g_02864, Syad.g_02865, Syad.g_01238, Syad.g_00611
OG0000002	Prap.g_00720, Prap.g_00715, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491, Prap.g_00224, Prap.g_00823	Syad.g_00619
OG0000004	Prap.g_00802	Syad.g_01304
OG0000004	Prap.g_01480	Syad.g_02184, Syad.g_00810
OG0000005	Prap.g_00204	Syad.g_02596
OG0000006	Prap.g_01470	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Prap.g_01270	Syad.g_00923
OG0000007	Prap.g_01779	Syad.g_02623
OG0000008	Prap.g_01887	Syad.g_01371
OG0000009	Prap.g_00216	Syad.g_01952, Syad.g_00868
OG0000010	Prap.g_00669, Prap.g_00318	Syad.g_02354
OG0000012	Prap.g_01145	Syad.g_02176
OG0000012	Prap.g_00236	Syad.g_01702
OG0000013	Prap.g_01385	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Prap.g_01403	Syad.g_00480
OG0000015	Prap.g_01840, Prap.g_01794	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Prap.g_00514	Syad.g_01460, Syad.g_02065
OG0000017	Prap.g_01170	Syad.g_01084
OG0000017	Prap.g_01163	Syad.g_01091
OG0000018	Prap.g_00478	Syad.g_02306
OG0000019	Prap.g_01462, Prap.g_00480	Syad.g_00569
OG0000020	Prap.g_00228, Prap.g_01906	Syad.g_00845
OG0000021	Prap.g_00229, Prap.g_00797	Syad.g_01835, Syad.g_00874
OG0000023	Prap.g_00029	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Prap.g_00322, Prap.g_00826	Syad.g_01374
OG0000025	Prap.g_00747	Syad.g_01241
OG0000026	Prap.g_00923	Syad.g_00198
OG0000027	Prap.g_01912, Prap.g_01860	Syad.g_01257
OG0000028	Prap.g_01889	Syad.g_00463
OG0000029	Prap.g_01899, Prap.g_01848, Prap.g_01688	Syad.g_02099
OG0000030	Prap.g_01569	Syad.g_00328, Syad.g_00327
OG0000031	Prap.g_00080	Syad.g_00458, Syad.g_00294
OG0000032	Prap.g_00160	Syad.g_02326
OG0000033	Prap.g_00087	Syad.g_02903
OG0000034	Prap.g_00572	Syad.g_02420, Syad.g_02872
OG0000035	Prap.g_00121	Syad.g_02275
OG0000037	Prap.g_01067	Syad.g_02805
OG0000038	Prap.g_01530	Syad.g_03038
OG0000039	Prap.g_00814	Syad.g_01249, Syad.g_01111
OG0000041	Prap.g_01731	Syad.g_02498, Syad.g_01281
OG0000042	Prap.g_01572	Syad.g_00333
OG0000043	Prap.g_00477	Syad.g_02119
OG0000046	Prap.g_01384	Syad.g_00730, Syad.g_00736, Syad.g_00723
OG0000047	Prap.g_01343	Syad.g_00754
OG0000048	Prap.g_00548	Syad.g_00534
OG0000050	Prap.g_00667	Syad.g_02114
OG0000052	Prap.g_00897	Syad.g_00434
OG0000053	Prap.g_00142, Prap.g_01834	Syad.g_02302
OG0000054	Prap.g_01161	Syad.g_02209
