Orthogroup	Syal	Other
OG0000013	Syal.g_00310	Syar.g_03167
OG0000017	Syal.g_02752	Praj.g_00585
OG0000017	Syal.g_02752	Prbb.g_00598
OG0000017	Syal.g_02752	Prbc.g_01674
OG0000017	Syal.g_02752	Prbm.g_00628
OG0000017	Syal.g_02752	Syar.g_03181
OG0000027	Syal.g_02543	Syao.g_01286
OG0000037	Syal.g_00601	Syae.g_01367
OG0000037	Syal.g_00601	Syat.g_00849, Syat.g_00187
OG0000037	Syal.g_00601	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000037	Syal.g_00601	Syan.g_02978, Syan.g_00917
OG0000037	Syal.g_00601	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000037	Syal.g_00601	Syap.g_02492
OG0000037	Syal.g_00601	Syab.g_02280
OG0000037	Syal.g_00601	Syab.g_02280
OG0000037	Syal.g_00601	Syai.g_02815
OG0000037	Syal.g_00601	Syac.g_01077
OG0000037	Syal.g_00601	Syaj.g_02902
OG0000037	Syal.g_00824	Syat.g_01575
OG0000052	Syal.g_01396	Syar.g_02742, Syar.g_02751
OG0000052	Syal.g_01396	Pram.g_01436
OG0000052	Syal.g_01396	Prbh.g_00041
OG0000052	Syal.g_01396	Syag.g_02491
OG0000052	Syal.g_01396	Syaa.g_00461
OG0000052	Syal.g_01396	Prau.g_01489
OG0000052	Syal.g_01396	Prae.g_01416
OG0000052	Syal.g_01396	Prbi.g_01478
OG0000052	Syal.g_01396	Prag.g_01444
OG0000052	Syal.g_01396	Praw.g_01071
OG0000052	Syal.g_01396	Syag.g_02491
OG0000052	Syal.g_01396	Syaa.g_00461
OG0000052	Syal.g_01396	Prai.g_00154
OG0000052	Syal.g_01396	Prav.g_01533
OG0000052	Syal.g_01396	Prab.g_01423
OG0000052	Syal.g_01396	Pran.g_00777
OG0000052	Syal.g_01396	Pray.g_01793
OG0000052	Syal.g_01396	Praz.g_01103
OG0000052	Syal.g_01396	Prba.g_00160
OG0000052	Syal.g_01396	Pras.g_00285
OG0000052	Syal.g_01396	Praa.g_01447
OG0000052	Syal.g_01396	Prak.g_01369
OG0000052	Syal.g_01396	Prap.g_00099
OG0000052	Syal.g_01396	Prbe.g_00333
OG0000052	Syal.g_01396	Prbf.g_00135
OG0000052	Syal.g_01396	Prbg.g_00569
OG0000052	Syal.g_01396	Prbn.g_00190
OG0000052	Syal.g_01396	Praa.g_01407
OG0000052	Syal.g_01396	Praa.g_01407
OG0000052	Syal.g_01396	Syao.g_01085
OG0000052	Syal.g_01396	Syae.g_01224
OG0000052	Syal.g_01396	Syaq.g_00935
OG0000052	Syal.g_01396	Syae.g_01224
OG0000052	Syal.g_01396	Syaq.g_00935
OG0000059	Syal.g_01332	Syaa.g_02315
OG0000059	Syal.g_01332	Syaf.g_00143
OG0000059	Syal.g_01332	Syai.g_00351
OG0000059	Syal.g_01332	Syam.g_00320
OG0000059	Syal.g_01332	Syae.g_02074
OG0000059	Syal.g_01332	Syad.g_00642
OG0000059	Syal.g_01332	Syaj.g_02686
OG0000059	Syal.g_01332	Syac.g_02142
OG0000059	Syal.g_01332	Syah.g_00737
OG0000059	Syal.g_01332	Prbb.g_01946
OG0000059	Syal.g_01332	Prbc.g_00958
OG0000059	Syal.g_01332	Praj.g_01892
OG0000059	Syal.g_01332	Prbm.g_01973
OG0000059	Syal.g_01332	Pral.g_00195
OG0000059	Syal.g_01332	Prat.g_01679
OG0000059	Syal.g_01332	Prak.g_01732
OG0000059	Syal.g_01332	Prap.g_01691
OG0000059	Syal.g_01332	Prbe.g_01094
OG0000059	Syal.g_01332	Prbf.g_00606
OG0000059	Syal.g_01332	Prbg.g_01737
OG0000059	Syal.g_01332	Prbn.g_01833
OG0000059	Syal.g_01332	Pram.g_01719
OG0000059	Syal.g_01332	Prbh.g_01695
OG0000059	Syal.g_01332	Syap.g_01082, Syap.g_02478
OG0000059	Syal.g_01332	Prbj.g_01521
OG0000059	Syal.g_01332	Prbk.g_00533
OG0000059	Syal.g_01332	Prbl.g_00836
OG0000059	Syal.g_01332	Syao.g_01959
