Orthogroup	Syap	Syaq
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syaq.g_01434
OG0000003	Syap.g_00679	Syaq.g_01566
OG0000004	Syap.g_01987	Syaq.g_01567
OG0000005	Syap.g_01773	Syaq.g_01658
OG0000005	Syap.g_01218	Syaq.g_01692
OG0000006	Syap.g_02770	Syaq.g_02108
OG0000007	Syap.g_00275	Syaq.g_01793
OG0000007	Syap.g_00621	Syaq.g_01673
OG0000009	Syap.g_02081	Syaq.g_01489
OG0000010	Syap.g_02757	Syaq.g_00443
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syap.g_01675	Syaq.g_00862
OG0000015	Syap.g_02606	Syaq.g_00121, Syaq.g_01171
OG0000016	Syap.g_00071	Syaq.g_01136
OG0000017	Syap.g_00449	Syaq.g_01992
OG0000018	Syap.g_02708, Syap.g_02010	Syaq.g_00401
OG0000019	Syap.g_01586	Syaq.g_00717
OG0000025	Syap.g_01846	Syaq.g_02381
OG0000028	Syap.g_01658	Syaq.g_00878
OG0000030	Syap.g_00787	Syaq.g_01047
OG0000030	Syap.g_00788	Syaq.g_01048
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Syaq.g_01009
OG0000033	Syap.g_01198	Syaq.g_01399
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syaq.g_00312, Syaq.g_01431
OG0000035	Syap.g_02465	Syaq.g_00371, Syaq.g_00372
OG0000037	Syap.g_02492	Syaq.g_01483
OG0000038	Syap.g_00139	Syaq.g_01258
OG0000041	Syap.g_01510	Syaq.g_01612
OG0000042	Syap.g_01891, Syap.g_01120	Syaq.g_00200, Syaq.g_01044
OG0000043	Syap.g_01998	Syaq.g_01920
OG0000044	Syap.g_00378	Syaq.g_02701, Syaq.g_00107
OG0000045	Syap.g_02525	Syaq.g_02047
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syaq.g_00570, Syaq.g_00573
OG0000048	Syap.g_02340	Syaq.g_00749
OG0000053	Syap.g_02006	Syaq.g_00397
OG0000054	Syap.g_00678	Syaq.g_02005
OG0000057	Syap.g_01569	Syaq.g_02541
OG0000059	Syap.g_01918, Syap.g_01082, Syap.g_02478	Syaq.g_00657
OG0000060	Syap.g_00795	Syaq.g_00201
OG0000061	Syap.g_00228	Syaq.g_00249
OG0000062	Syap.g_01220	Syaq.g_01690
OG0000063	Syap.g_01796	Syaq.g_01110
OG0000066	Syap.g_01972	Syaq.g_01851
OG0000067	Syap.g_00194	Syaq.g_02340
OG0000068	Syap.g_00108, Syap.g_00144	Syaq.g_01763
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syaq.g_00484
OG0000073	Syap.g_00273	Syaq.g_01795
OG0000075	Syap.g_01064, Syap.g_00664	Syaq.g_00986
OG0000076	Syap.g_01111	Syaq.g_01028
OG0000079	Syap.g_01589	Syaq.g_00721
OG0000085	Syap.g_00611	Syaq.g_01683
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syaq.g_01438
OG0000088	Syap.g_01202	Syaq.g_01402
OG0000089	Syap.g_00115, Syap.g_02042	Syaq.g_00529
OG0000090	Syap.g_01451	Syaq.g_01838
OG0000091	Syap.g_01861	Syaq.g_02090
OG0000094	Syap.g_02781	Syaq.g_00056
OG0000095	Syap.g_01556	Syaq.g_02679
OG0000098	Syap.g_01975	Syaq.g_02221, Syaq.g_01849
OG0000099	Syap.g_01385	Syaq.g_00882
OG0000102	Syap.g_01116	Syaq.g_01033
OG0000103	Syap.g_02607, Syap.g_02608	Syaq.g_01170
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Syaq.g_01154
OG0000105	Syap.g_01369, Syap.g_01368	Syaq.g_00754
OG0000107	Syap.g_02496	Syaq.g_00694
OG0000108	Syap.g_00733, Syap.g_02255, Syap.g_02256	Syaq.g_01772
OG0000109	Syap.g_00279, Syap.g_02237	Syaq.g_01788
OG0000110	Syap.g_01313	Syaq.g_01962
OG0000111	Syap.g_01566, Syap.g_01568	Syaq.g_02606
OG0000112	Syap.g_02023	Syaq.g_02476
OG0000114	Syap.g_01255	Syaq.g_02269
OG0000115	Syap.g_02004	Syaq.g_00395
OG0000116	Syap.g_00241	Syaq.g_00263
OG0000117	Syap.g_01889	Syaq.g_00203
OG0000118	Syap.g_02286	Syaq.g_00325, Syaq.g_00316
OG0000120	Syap.g_02075	Syaq.g_00883
OG0000121	Syap.g_02471	Syaq.g_00375
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syaq.g_00599
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syaq.g_01055
OG0000125	Syap.g_01046, Syap.g_01047	Syaq.g_01256
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Syaq.g_01156
OG0000128	Syap.g_00069	Syaq.g_01138
OG0000129	Syap.g_00130, Syap.g_00129	Syaq.g_01269
OG0000130	Syap.g_01688, Syap.g_01689	Syaq.g_01559
OG0000131	Syap.g_02189	Syaq.g_01427, Syaq.g_01424
OG0000132	Syap.g_01205	Syaq.g_01036, Syaq.g_01404
OG0000133	Syap.g_02017	Syaq.g_02481
OG0000134	Syap.g_02047	Syaq.g_00526
OG0000135	Syap.g_02090	Syaq.g_01227
OG0000136	Syap.g_00089	Syaq.g_00496
OG0000137	Syap.g_02756	Syaq.g_00442
OG0000138	Syap.g_00278	Syaq.g_01789
OG0000139	Syap.g_00410	Syaq.g_01844
OG0000140	Syap.g_01976	Syaq.g_01848
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syaq.g_02010
OG0000142	Syap.g_00895, Syap.g_00894	Syaq.g_02082
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syaq.g_02086
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syaq.g_02152
OG0000145	Syap.g_01860, Syap.g_01859	Syaq.g_01796
OG0000146	Syap.g_02024	Syaq.g_02475
OG0000147	Syap.g_02025	Syaq.g_02474
OG0000148	Syap.g_02720	Syaq.g_02359
OG0000149	Syap.g_00824	Syaq.g_02395
OG0000150	Syap.g_01540	Syaq.g_02011
OG0000151	Syap.g_00142	Syaq.g_02283
OG0000152	Syap.g_02012	Syaq.g_02485
OG0000153	Syap.g_02682	Syaq.g_02518
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Syaq.g_00066
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Syaq.g_00212
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Syaq.g_00281
OG0000157	Syap.g_00249, Syap.g_00286	Syaq.g_00282
OG0000158	Syap.g_01075	Syaq.g_01003
OG0000159	Syap.g_00852	Syaq.g_00918, Syaq.g_00941
OG0000160	Syap.g_02470, Syap.g_02469	Syaq.g_00374
OG0000161	Syap.g_02476	Syaq.g_00382
OG0000162	Syap.g_02531	Syaq.g_00389
OG0000164	Syap.g_01391, Syap.g_01392	Syaq.g_01642
OG0000165	Syap.g_01381, Syap.g_01382	Syaq.g_01630
OG0000166	Syap.g_00512, Syap.g_01238	Syaq.g_00647
OG0000167	Syap.g_02080	Syaq.g_00983
OG0000168	Syap.g_01076	Syaq.g_01004
OG0000169	Syap.g_01049, Syap.g_01093	Syaq.g_01016
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Syaq.g_01023
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Syaq.g_01052
OG0000172	Syap.g_01143, Syap.g_00635	Syaq.g_01074
OG0000173	Syap.g_00982, Syap.g_00983, Syap.g_01213	Syaq.g_01092
OG0000174	Syap.g_02092	Syaq.g_01224
OG0000175	Syap.g_02654	Syaq.g_01183
OG0000176	Syap.g_00059	Syaq.g_01146
OG0000177	Syap.g_00061, Syap.g_00060	Syaq.g_01145
OG0000178	Syap.g_00062	Syaq.g_01144
OG0000179	Syap.g_00077, Syap.g_02638	Syaq.g_01129
OG0000180	Syap.g_00078, Syap.g_02640	Syaq.g_01128
OG0000181	Syap.g_00079, Syap.g_02641	Syaq.g_01127
OG0000182	Syap.g_00080, Syap.g_02642	Syaq.g_01126
OG0000183	Syap.g_00084	Syaq.g_01122
OG0000184	Syap.g_01337	Syaq.g_01277
OG0000185	Syap.g_01322	Syaq.g_01290
OG0000186	Syap.g_01684	Syaq.g_01563
OG0000187	Syap.g_01686	Syaq.g_01561
OG0000188	Syap.g_02547	Syaq.g_01539
OG0000191	Syap.g_02233	Syaq.g_01467
OG0000192	Syap.g_02224	Syaq.g_01462
OG0000193	Syap.g_02187, Syap.g_02188	Syaq.g_01423
OG0000194	Syap.g_02183	Syaq.g_01420
OG0000195	Syap.g_02180	Syaq.g_01418
OG0000196	Syap.g_01208, Syap.g_02167	Syaq.g_01407
OG0000197	Syap.g_01207, Syap.g_02166	Syaq.g_01406
OG0000198	Syap.g_01206	Syaq.g_01405
OG0000199	Syap.g_01197	Syaq.g_01398
OG0000200	Syap.g_01181	Syaq.g_01382
OG0000201	Syap.g_02265	Syaq.g_01365
OG0000202	Syap.g_02264	Syaq.g_01364
OG0000203	Syap.g_01601	Syaq.g_01363
OG0000204	Syap.g_01602	Syaq.g_01362
OG0000205	Syap.g_01616	Syaq.g_01355
OG0000206	Syap.g_01628	Syaq.g_01345
OG0000207	Syap.g_01426, Syap.g_00424	Syaq.g_01338
OG0000208	Syap.g_00426, Syap.g_01425	Syaq.g_01337
OG0000209	Syap.g_01906	Syaq.g_01310
OG0000210	Syap.g_01905	Syaq.g_01309
OG0000211	Syap.g_01160	Syaq.g_01570
OG0000212	Syap.g_02664	Syaq.g_01586
OG0000213	Syap.g_00107, Syap.g_01599	Syaq.g_00729
OG0000214	Syap.g_02344, Syap.g_02345	Syaq.g_00745
OG0000215	Syap.g_01347, Syap.g_01629	Syaq.g_00777
OG0000216	Syap.g_01634	Syaq.g_00781
OG0000217	Syap.g_01638	Syaq.g_00844
OG0000218	Syap.g_01641, Syap.g_01640	Syaq.g_00846
OG0000219	Syap.g_01642, Syap.g_01643	Syaq.g_00847
OG0000220	Syap.g_01645	Syaq.g_00848
OG0000221	Syap.g_01646	Syaq.g_00856
