Orthogroup	Praj	Syad
OG0000001	Praj.g_01549, Praj.g_01828, Praj.g_00463, Praj.g_01861, Praj.g_01112	Syad.g_00628
OG0000002	Praj.g_00832, Praj.g_01489, Praj.g_01488, Praj.g_01493, Praj.g_01487, Praj.g_01492, Praj.g_00670	Syad.g_00619
OG0000004	Praj.g_01396	Syad.g_01304
OG0000004	Praj.g_00271	Syad.g_02184, Syad.g_00810
OG0000005	Praj.g_01349	Syad.g_02639
OG0000005	Praj.g_01712	Syad.g_02596
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syad.g_00588, Syad.g_00829
OG0000007	Praj.g_00489	Syad.g_00923
OG0000007	Praj.g_01768	Syad.g_02623
OG0000008	Praj.g_01830	Syad.g_01371
OG0000010	Praj.g_01026, Praj.g_00466	Syad.g_02354
OG0000011	Praj.g_01187	Syad.g_02006
OG0000011	Praj.g_01323	Syad.g_02680
OG0000012	Praj.g_01066	Syad.g_01702
OG0000013	Praj.g_00362	Syad.g_00737, Syad.g_00724, Syad.g_00729
OG0000014	Praj.g_00341	Syad.g_00480
OG0000015	Praj.g_01113	Syad.g_01600, Syad.g_01601
OG0000016	Praj.g_00013	Syad.g_00176
OG0000016	Praj.g_01865	Syad.g_01460, Syad.g_02065
OG0000017	Praj.g_00592	Syad.g_01084
OG0000018	Praj.g_01482, Praj.g_00798	Syad.g_02306
OG0000019	Praj.g_00747	Syad.g_00569
OG0000020	Praj.g_01025, Praj.g_01139	Syad.g_00845
OG0000021	Praj.g_00084	Syad.g_00874
OG0000022	Praj.g_01189, Praj.g_01216	Syad.g_02090
OG0000023	Praj.g_01365, Praj.g_01329	Syad.g_01701, Syad.g_02337, Syad.g_01583
OG0000024	Praj.g_01134, Praj.g_00666	Syad.g_01374
OG0000025	Praj.g_00805	Syad.g_01241
OG0000026	Praj.g_00031	Syad.g_00198
OG0000027	Praj.g_01331	Syad.g_01257
OG0000028	Praj.g_01571	Syad.g_00463
OG0000029	Praj.g_01745	Syad.g_02099
OG0000030	Praj.g_02024	Syad.g_00328, Syad.g_00327
OG0000031	Praj.g_00371	Syad.g_00294
OG0000032	Praj.g_01669	Syad.g_02326
OG0000033	Praj.g_00209	Syad.g_02903
OG0000034	Praj.g_01538	Syad.g_02420, Syad.g_02872
OG0000035	Praj.g_01632	Syad.g_02275
OG0000037	Praj.g_00147	Syad.g_02805
OG0000038	Praj.g_02089	Syad.g_03038
OG0000039	Praj.g_00679	Syad.g_01249, Syad.g_01111
OG0000041	Praj.g_01813	Syad.g_02498
OG0000042	Praj.g_02020	Syad.g_00333
OG0000043	Praj.g_00864, Praj.g_01157	Syad.g_02119
OG0000045	Praj.g_01303	Syad.g_00964
OG0000046	Praj.g_00363	Syad.g_00723, Syad.g_00730, Syad.g_00736
OG0000047	Praj.g_00408, Praj.g_00370	Syad.g_00754
OG0000048	Praj.g_00308	Syad.g_00534
OG0000053	Praj.g_01651	Syad.g_02302
OG0000054	Praj.g_00594	Syad.g_02209
OG0000055	Praj.g_00733	Syad.g_01255
OG0000057	Praj.g_00691, Praj.g_01313	Syad.g_01301
OG0000058	Praj.g_00839	Syad.g_00452
OG0000059	Praj.g_01892	Syad.g_00642
OG0000060	Praj.g_01108	Syad.g_01508
OG0000061	Praj.g_01461	Syad.g_01152
OG0000063	Praj.g_01867	Syad.g_00202
OG0000065	Praj.g_00145	Syad.g_02574, Syad.g_02801
OG0000066	Praj.g_00530	Syad.g_00992
OG0000067	Praj.g_00769	Syad.g_01889
OG0000068	Praj.g_01575	Syad.g_00891
OG0000070	Praj.g_00444	Syad.g_02424
OG0000071	Praj.g_01528	Syad.g_02405
OG0000072	Praj.g_00211	Syad.g_02905
OG0000073	Praj.g_00491	Syad.g_00926
OG0000075	Praj.g_01987	Syad.g_00416
OG0000076	Praj.g_02012	Syad.g_00348
OG0000077	Praj.g_00116	Syad.g_02741
OG0000078	Praj.g_00280	Syad.g_00824
OG0000079	Praj.g_00291	Syad.g_00565
OG0000081	Praj.g_00522	Syad.g_00833
OG0000082	Praj.g_01827	Syad.g_01063
OG0000084	Praj.g_01628	Syad.g_02272
OG0000085	Praj.g_01762	Syad.g_02612
