HOG	OG	Gene Tree Parent Clade	Praa	Prab	Prac	Prad	Prae	Praf	Prag	Prah	Prai	Praj	Prak	Pral	Pram	Pran	Prao	Prap	Praq	Prar	Pras	Prat	Prau	Prav	Praw	Prax	Pray	Praz	Prba	Prbb	Prbc	Prbd	Prbe	Prbf	Prbg	Prbh	Prbi	Prbj	Prbk	Prbl	Prbm	Prbn	Syaa	Syab	Syac	Syad	Syae	Syaf	Syag	Syah	Syai	Syaj	Syak	Syal	Syam	Syan	Syao	Syap	Syaq	Syar	Syas	Syat
N14.HOG0000000	OG0000000	n1							Prag.g_01647, Prag.g_00719, Prag.g_01335															Prav.g_01736, Prav.g_01415	Praw.g_00493, Praw.g_01782, Praw.g_00961																																					
N14.HOG0000001	OG0000000	n99							Prag.g_00721, Prag.g_01648, Prag.g_01608															Prav.g_01695	Praw.g_01780, Praw.g_00494, Praw.g_00455																																					
N14.HOG0000002	OG0000000	n125							Prag.g_01230, Prag.g_01348															Prav.g_00973	Praw.g_00893, Praw.g_00974																																					
N14.HOG0000003	OG0000000	n176							Prag.g_00722, Prag.g_01213, Prag.g_01607, Prag.g_01650															Prav.g_01694, Prav.g_01821	Praw.g_01779, Praw.g_00294, Praw.g_00454, Praw.g_00496																																					
N14.HOG0000004	OG0000000	n179							Prag.g_01626															Prav.g_01730, Prav.g_01715	Praw.g_00472																																					
N14.HOG0000005	OG0000000	n204							Prag.g_01333															Prav.g_01413	Praw.g_00959																																					
N14.HOG0000006	OG0000000	n218							Prag.g_01649, Prag.g_01610															Prav.g_01698	Praw.g_00495, Praw.g_00457																																					
N14.HOG0000007	OG0000001	n2							Prag.g_01654															Prav.g_01748	Praw.g_00500																																					
N14.HOG0000008	OG0000001	n11							Prag.g_01374															Prav.g_01458	Praw.g_01000																																					
N14.HOG0000009	OG0000001	n194							Prag.g_00764															Prav.g_00962	Praw.g_01739																																					
N14.HOG0000010	OG0000001	n208							Prag.g_01216, Prag.g_01215															Prav.g_01820, Prav.g_02007	Praw.g_01951																																					
N14.HOG0000011	OG0000001	n223							Prag.g_01651															Prav.g_01734	Praw.g_00497																																					
N14.HOG0000012	OG0000002	n8							Prag.g_01382															Prav.g_01466	Praw.g_01009																																					
N14.HOG0000013	OG0000002	n42							Prag.g_00656															Prav.g_01276	Praw.g_01844																																					
N14.HOG0000014	OG0000004	n1							Prag.g_00673															Prav.g_01293	Praw.g_01827																																					
N14.HOG0000015	OG0000004	n53							Prag.g_00225															Prav.g_00806	Praw.g_01203																																					
N14.HOG0000016	OG0000005	n1							Prag.g_01682															Prav.g_01774	Praw.g_00528																																					
N14.HOG0000017	OG0000005	n41							Prag.g_01566															Prav.g_01654	Praw.g_00413																																					
N14.HOG0000018	OG0000006	n0							Prag.g_00234, Prag.g_01231															Prav.g_02001	Praw.g_01950																																					
N14.HOG0000019	OG0000007	n1							Prag.g_00476															Prav.g_01095	Praw.g_00651																																					
N14.HOG0000020	OG0000007	n56							Prag.g_01669															Prav.g_01761	Praw.g_00515																																					
N14.HOG0000021	OG0000008	n2							Prag.g_01655															Prav.g_01749	Praw.g_00501																																					
N14.HOG0000022	OG0000008	n46							Prag.g_01656															Prav.g_01750	Praw.g_00502																																					
N14.HOG0000023	OG0000008	n86							Prag.g_00650															Prav.g_01270	Praw.g_01850																																					
N14.HOG0000024	OG0000009	n31							Prag.g_01600															Prav.g_01688	Praw.g_00447																																					
N14.HOG0000025	OG0000009	n56							Prag.g_00098															Prav.g_00170	Praw.g_01330																																					
N14.HOG0000026	OG0000010	n1							Prag.g_00453															Prav.g_01072	Praw.g_00673																																					
N14.HOG0000027	OG0000010	n57							Prag.g_01043															Prav.g_00218	Praw.g_01460																																					
N14.HOG0000028	OG0000011	n9																						Prav.g_01014																																						
N14.HOG0000029	OG0000011	n18							Prag.g_01326															Prav.g_01407	Praw.g_00952																																					
N14.HOG0000030	OG0000011	n49																						Prav.g_01334																																						
N14.HOG0000031	OG0000012	n0							Prag.g_00601															Prav.g_01221	Praw.g_00159																																					
N14.HOG0000032	OG0000013	n0							Prag.g_00318															Prav.g_01973	Praw.g_00807																																					
N14.HOG0000033	OG0000014	n2							Prag.g_00297															Prav.g_01952	Praw.g_00828																																					
