Orthogroup	Syai	Syab
OG0000001	Syai.g_01716	Syab.g_01549
OG0000001	Syai.g_02595	Syab.g_02553, Syab.g_02555
OG0000001	Syai.g_01729	Syab.g_01509, Syab.g_01510
OG0000002	Syai.g_01728	Syab.g_02285
OG0000004	Syai.g_01994	Syab.g_00549, Syab.g_01193
OG0000004	Syai.g_01062	Syab.g_01911
OG0000004	Syai.g_00530	Syab.g_02377
OG0000005	Syai.g_02393	Syab.g_02289
OG0000005	Syai.g_02356	Syab.g_02232
OG0000005	Syai.g_02068, Syai.g_01611	Syab.g_00981
OG0000006	Syai.g_00317, Syai.g_00547	Syab.g_00365, Syab.g_01847, Syab.g_02361
OG0000006	Syai.g_01126	Syab.g_01849
OG0000007	Syai.g_00657	Syab.g_02117
OG0000007	Syai.g_02378	Syab.g_02256
OG0000008	Syai.g_01956	Syab.g_01755
OG0000008	Syai.g_01955	Syab.g_01168
OG0000009	Syai.g_01626	Syab.g_00995
OG0000009	Syai.g_02541	Syab.g_02498
OG0000010	Syai.g_00864	Syab.g_00696
OG0000012	Syai.g_01529, Syai.g_01650	Syab.g_01774, Syab.g_00953
OG0000013	Syai.g_00450	Syab.g_00497
OG0000013	Syai.g_00436	Syab.g_00482
OG0000013	Syai.g_00442	Syab.g_00487
OG0000014	Syai.g_00220	Syab.g_00249
OG0000016	Syai.g_00014	Syab.g_00014
OG0000016	Syai.g_01785	Syab.g_01049
OG0000017	Syai.g_00808	Syab.g_01945
OG0000017	Syai.g_00801	Syab.g_01953
OG0000018	Syai.g_00915	Syab.g_00742
OG0000019	Syai.g_00304	Syab.g_00344
OG0000020	Syai.g_00476	Syab.g_02230
OG0000022	Syai.g_01159	Syab.g_01825
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syab.g_00708
OG0000023	Syai.g_02318	Syab.g_02058, Syab.g_01294
OG0000024	Syai.g_01951	Syab.g_01834
OG0000025	Syai.g_02044	Syab.g_01705
OG0000026	Syai.g_00038	Syab.g_00036
OG0000027	Syai.g_01654	Syab.g_01782
OG0000028	Syai.g_00205	Syab.g_00234
OG0000030	Syai.g_00096	Syab.g_00096
OG0000030	Syai.g_00095	Syab.g_00095
OG0000031	Syai.g_00197	Syab.g_00160
OG0000032	Syai.g_00895	Syab.g_00724
OG0000033	Syai.g_02634	Syab.g_02590
OG0000034	Syai.g_02192, Syai.g_02604	Syab.g_00900, Syab.g_02560
OG0000035	Syai.g_00955	Syab.g_00776
OG0000036	Syai.g_01848	Syab.g_00846
OG0000037	Syai.g_02544, Syai.g_02815	Syab.g_02504
OG0000038	Syai.g_02780	Syab.g_02759
OG0000040	Syai.g_02876	Syab.g_02853
OG0000041	Syai.g_02265	Syab.g_02333
OG0000042	Syai.g_00099	Syab.g_01019, Syab.g_00099
OG0000043	Syai.g_01599	Syab.g_01785
OG0000044	Syai.g_00833	Syab.g_01262
OG0000045	Syai.g_02432	Syab.g_01787
OG0000046	Syai.g_00435	Syab.g_00481
OG0000046	Syai.g_00443	Syab.g_00488
OG0000046	Syai.g_00449	Syab.g_00496
OG0000047	Syai.g_00462	Syab.g_00876
OG0000048	Syai.g_00272	Syab.g_00308
OG0000051	Syai.g_01773	Syab.g_01073
OG0000052	Syai.g_00176	Syab.g_00214
OG0000053	Syai.g_00930	Syab.g_00746
OG0000054	Syai.g_01040	Syab.g_01932
OG0000055	Syai.g_02029	Syab.g_01255
OG0000057	Syai.g_01997	Syab.g_01200
OG0000058	Syai.g_00195	Syab.g_00227
OG0000059	Syai.g_00351	Syab.g_00397
OG0000060	Syai.g_00635	Syab.g_02094
OG0000061	Syai.g_02144	Syab.g_00171, Syab.g_00969
OG0000062	Syai.g_02358	Syab.g_02234
OG0000063	Syai.g_00042	Syab.g_00040
OG0000064	Syai.g_02844, Syai.g_01162	Syab.g_01783
OG0000064	Syai.g_01163, Syai.g_01668	Syab.g_00997
OG0000064	Syai.g_02350	Syab.g_00824
OG0000066	Syai.g_01709, Syai.g_00719	Syab.g_02031
OG0000067	Syai.g_01321	Syab.g_01659
OG0000068	Syai.g_00628	Syab.g_02087
OG0000070	Syai.g_02196	Syab.g_00614
OG0000071	Syai.g_02179	Syab.g_00915
OG0000072	Syai.g_02636	Syab.g_02593
OG0000073	Syai.g_00659	Syab.g_02119
OG0000075	Syai.g_00161	Syab.g_00202
OG0000076	Syai.g_00111	Syab.g_00113
OG0000077	Syai.g_02486	Syab.g_02446
OG0000078	Syai.g_00543	Syab.g_02366
OG0000079	Syai.g_00300	Syab.g_00340
OG0000081	Syai.g_02292, Syai.g_00553	Syab.g_01793
OG0000082	Syai.g_00781	Syab.g_01971
OG0000084	Syai.g_00958	Syab.g_00781
OG0000085	Syai.g_02365	Syab.g_02243
OG0000086	Syai.g_02507	Syab.g_02468
OG0000087	Syai.g_02592	Syab.g_02551
OG0000088	Syai.g_02630	Syab.g_02586
OG0000089	Syai.g_00517	Syab.g_00551
OG0000090	Syai.g_00707	Syab.g_02041
OG0000091	Syai.g_01112	Syab.g_01866
OG0000092	Syai.g_01358	Syab.g_01242, Syab.g_00690
OG0000093	Syai.g_01306	Syab.g_01582
OG0000094	Syai.g_01424	Syab.g_01306
OG0000095	Syai.g_02007	Syab.g_01210
OG0000097	Syai.g_01787	Syab.g_01051
OG0000098	Syai.g_01718	Syab.g_01553
OG0000099	Syai.g_00199	Syab.g_00230
OG0000100	Syai.g_01372	Syab.g_01694
OG0000101	Syai.g_00404	Syab.g_00446
OG0000102	Syai.g_00106	Syab.g_00104
OG0000103	Syai.g_02912	Syab.g_02895
OG0000104	Syai.g_02929	Syab.g_02910
OG0000105	Syai.g_00267	Syab.g_00303
OG0000106	Syai.g_01601	Syab.g_01817
OG0000107	Syai.g_00319	Syab.g_00367
OG0000108	Syai.g_00638	Syab.g_02096
OG0000109	Syai.g_00653	Syab.g_02112
OG0000110	Syai.g_00766	Syab.g_01984
OG0000111	Syai.g_00884	Syab.g_01201
OG0000112	Syai.g_01512	Syab.g_01392
OG0000113	Syai.g_01367	Syab.g_01689
OG0000114	Syai.g_01261	Syab.g_01633, Syab.g_02656
OG0000115	Syai.g_00932	Syab.g_00748
OG0000116	Syai.g_02156	Syab.g_00945
OG0000117	Syai.g_01756	Syab.g_01018
OG0000118	Syai.g_00818	Syab.g_00897
OG0000120	Syai.g_00198	Syab.g_00229
OG0000121	Syai.g_00951	Syab.g_00772
OG0000122	Syai.g_01143	Syab.g_01839
OG0000123	Syai.g_00411	Syab.g_00454
OG0000124	Syai.g_00089	Syab.g_00088
OG0000125	Syai.g_02782	Syab.g_02763
OG0000126	Syai.g_02927	Syab.g_02908
OG0000128	Syai.g_00012	Syab.g_00012
OG0000129	Syai.g_02771	Syab.g_02749
OG0000130	Syai.g_02474	Syab.g_02434
OG0000131	Syai.g_02608	Syab.g_02564
OG0000132	Syai.g_02628	Syab.g_02584
OG0000133	Syai.g_01507	Syab.g_01387
OG0000134	Syai.g_00520	Syab.g_00554
OG0000135	Syai.g_02826	Syab.g_02815
OG0000136	Syai.g_02217	Syab.g_00588
OG0000137	Syai.g_00865	Syab.g_00697
OG0000138	Syai.g_00654	Syab.g_02113
OG0000139	Syai.g_00714	Syab.g_02035
OG0000140	Syai.g_00716	Syab.g_02033
OG0000141	Syai.g_01041	Syab.g_01931
OG0000142	Syai.g_01104	Syab.g_01524, Syab.g_01873
OG0000143	Syai.g_01108	Syab.g_01870
OG0000144	Syai.g_01608	Syab.g_01757
OG0000145	Syai.g_00660	Syab.g_02120
OG0000146	Syai.g_01513	Syab.g_01393
OG0000147	Syai.g_01514	Syab.g_01394
OG0000148	Syai.g_01361	Syab.g_01683, Syab.g_01682
OG0000149	Syai.g_02059	Syab.g_01720
OG0000150	Syai.g_00717	Syab.g_01930
OG0000151	Syai.g_01280	Syab.g_01612
OG0000152	Syai.g_01503	Syab.g_01383
OG0000153	Syai.g_01461	Syab.g_01343
OG0000154	Syai.g_01434	Syab.g_01317
OG0000155	Syai.g_02109	Syab.g_01009
OG0000156	Syai.g_02162	Syab.g_00933
OG0000157	Syai.g_02163	Syab.g_00932
OG0000158	Syai.g_00135	Syab.g_00161
OG0000160	Syai.g_00952	Syab.g_00774
OG0000161	Syai.g_00946	Syab.g_00766
OG0000162	Syai.g_00939	Syab.g_00755
OG0000163	Syai.g_02300	Syab.g_02173
OG0000164	Syai.g_02411	Syab.g_02307
OG0000165	Syai.g_02244	Syab.g_02316
OG0000166	Syai.g_00364	Syab.g_00407
OG0000167	Syai.g_00164	Syab.g_00205
OG0000168	Syai.g_00134	Syab.g_00136
OG0000169	Syai.g_00123	Syab.g_00125
OG0000170	Syai.g_00116	Syab.g_00118
OG0000171	Syai.g_00090	Syab.g_00089
OG0000172	Syai.g_00083	Syab.g_00080
OG0000173	Syai.g_00064	Syab.g_00061
OG0000174	Syai.g_02828	Syab.g_02819
OG0000175	Syai.g_02901	Syab.g_02876
OG0000176	Syai.g_00004	Syab.g_00004
OG0000177	Syai.g_00005	Syab.g_00005
OG0000178	Syai.g_00006	Syab.g_00006
OG0000179	Syai.g_00023	Syab.g_00022
OG0000180	Syai.g_00024	Syab.g_00023
OG0000181	Syai.g_00025	Syab.g_00024
OG0000182	Syai.g_00026	Syab.g_00025
OG0000183	Syai.g_00030	Syab.g_00029
OG0000184	Syai.g_02756	Syab.g_02738
OG0000185	Syai.g_02734	Syab.g_02715
OG0000186	Syai.g_02469	Syab.g_02430
OG0000187	Syai.g_02471	Syab.g_02431
OG0000188	Syai.g_02494, Syai.g_00696	Syab.g_02454
OG0000189	Syai.g_02530	Syab.g_02487
OG0000190	Syai.g_02532	Syab.g_00190, Syab.g_00139
OG0000191	Syai.g_02562	Syab.g_02522
OG0000192	Syai.g_02569	Syab.g_02528
OG0000193	Syai.g_02609	Syab.g_02565
OG0000194	Syai.g_02612	Syab.g_02568
OG0000195	Syai.g_02614	Syab.g_02570
OG0000196	Syai.g_02625	Syab.g_02581
OG0000197	Syai.g_02626	Syab.g_02582
OG0000198	Syai.g_02627	Syab.g_02583
OG0000199	Syai.g_02635	Syab.g_02591
OG0000200	Syai.g_02651	Syab.g_02611
OG0000202	Syai.g_02668	Syab.g_02629
OG0000203	Syai.g_02669	Syab.g_02630
OG0000204	Syai.g_02670	Syab.g_02631
OG0000205	Syai.g_02677	Syab.g_02638
OG0000206	Syai.g_02684	Syab.g_02674
OG0000207	Syai.g_02686	Syab.g_02677
OG0000208	Syai.g_02687	Syab.g_02678
OG0000209	Syai.g_02699	Syab.g_02698
OG0000210	Syai.g_02700	Syab.g_02699
OG0000211	Syai.g_00533	Syab.g_02374
OG0000212	Syai.g_00544	Syab.g_02365
OG0000213	Syai.g_00292	Syab.g_00332
OG0000214	Syai.g_00276	Syab.g_00312
OG0000215	Syai.g_00245	Syab.g_00281
OG0000216	Syai.g_00241	Syab.g_00277
OG0000217	Syai.g_00237	Syab.g_00273
OG0000218	Syai.g_00235	Syab.g_00271
OG0000219	Syai.g_00234	Syab.g_00270
OG0000220	Syai.g_00233	Syab.g_00269
OG0000221	Syai.g_00227	Syab.g_00257
OG0000222	Syai.g_00215	Syab.g_00244
OG0000223	Syai.g_00194	Syab.g_00226
OG0000224	Syai.g_00186	Syab.g_00223
OG0000225	Syai.g_00502	Syab.g_00538
OG0000226	Syai.g_00506	Syab.g_00542
OG0000227	Syai.g_00508	Syab.g_00544
OG0000228	Syai.g_00516	Syab.g_00550
OG0000229	Syai.g_02228	Syab.g_00583
OG0000230	Syai.g_02226	Syab.g_00585
OG0000231	Syai.g_02208	Syab.g_00613
OG0000232	Syai.g_00846	Syab.g_00631
OG0000233	Syai.g_00855	Syab.g_00645
OG0000234	Syai.g_00866	Syab.g_00699
OG0000235	Syai.g_00637	Syab.g_02095
OG0000236	Syai.g_00652	Syab.g_02111
OG0000237	Syai.g_00669	Syab.g_02129
OG0000238	Syai.g_00674	Syab.g_02134
OG0000239	Syai.g_00691	Syab.g_02151
OG0000240	Syai.g_00692	Syab.g_02152
OG0000241	Syai.g_01089, Syai.g_01085	Syab.g_01884
OG0000242	Syai.g_00705	Syab.g_02043
OG0000243	Syai.g_00726	Syab.g_02025
OG0000244	Syai.g_00731	Syab.g_02017
OG0000245	Syai.g_00733	Syab.g_02015
