Orthogroup	Praa	Syar
OG0000001	Praa.g_01351	Syar.g_00069, Syar.g_00070, Syar.g_02229
OG0000004	Praa.g_00695	Syar.g_02051
OG0000004	Praa.g_00232	Syar.g_02225, Syar.g_00842
OG0000005	Praa.g_01648	Syar.g_02952
OG0000005	Praa.g_01553	Syar.g_02909
OG0000006	Praa.g_00241, Praa.g_01245	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Praa.g_00497	Syar.g_01491
OG0000007	Praa.g_01635	Syar.g_02929
OG0000008	Praa.g_01241	Syar.g_02097
OG0000008	Praa.g_00672	Syar.g_00419, Syar.g_02048
OG0000009	Praa.g_00105	Syar.g_03116
OG0000010	Praa.g_01047	Syar.g_01272
OG0000012	Praa.g_00623	Syar.g_00690, Syar.g_02860
OG0000013	Praa.g_00327	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Praa.g_00306	Syar.g_00825
OG0000014	Praa.g_01409	Syar.g_02736
OG0000015	Praa.g_00765	Syar.g_00451, Syar.g_00180
OG0000016	Praa.g_00013	Syar.g_02859
OG0000017	Praa.g_00598	Syar.g_03181, Syar.g_02188, Syar.g_02180
OG0000018	Praa.g_01141	Syar.g_01409
OG0000019	Praa.g_00249, Praa.g_00782	Syar.g_00163
OG0000022	Praa.g_01124	Syar.g_00835
OG0000025	Praa.g_00331, Praa.g_00839	Syar.g_01811
OG0000026	Praa.g_00031, Praa.g_01054	Syar.g_00505
OG0000027	Praa.g_00470, Praa.g_01301	Syar.g_02055, Syar.g_02835
OG0000028	Praa.g_01248, Praa.g_00320	Syar.g_00718
OG0000033	Praa.g_01437	Syar.g_00105
OG0000034	Praa.g_01328	Syar.g_00074, Syar.g_02790
OG0000035	Praa.g_01476	Syar.g_02809
OG0000037	Praa.g_00109	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Praa.g_01883	Syar.g_00334, Syar.g_00336
OG0000039	Praa.g_00686	Syar.g_00007, Syar.g_02827, Syar.g_02151, Syar.g_02044
OG0000040	Praa.g_01618	Syar.g_02831
OG0000040	Praa.g_01140	Syar.g_00858
OG0000041	Praa.g_01683	Syar.g_01370, Syar.g_02014, Syar.g_02993
OG0000042	Praa.g_01839	Syar.g_00595, Syar.g_01970
OG0000048	Praa.g_00373	Syar.g_00213
OG0000051	Praa.g_01291	Syar.g_01597
OG0000053	Praa.g_01496	Syar.g_01413
OG0000054	Praa.g_00606	Syar.g_02265
OG0000055	Praa.g_00783	Syar.g_01386
OG0000057	Praa.g_00698	Syar.g_01941, Syar.g_00006
OG0000058	Praa.g_01425	Syar.g_00648
OG0000059	Praa.g_01723	Syar.g_01024
OG0000061	Praa.g_01159	Syar.g_01539
OG0000062	Praa.g_01555	Syar.g_02911
OG0000063	Praa.g_00033	Syar.g_00509
OG0000065	Praa.g_00107	Syar.g_03119
OG0000066	Praa.g_00539	Syar.g_03187, Syar.g_02228
OG0000067	Praa.g_00803	Syar.g_02639
OG0000068	Praa.g_01366	Syar.g_02329, Syar.g_01461
OG0000069	Praa.g_01590	Syar.g_01716
OG0000070	Praa.g_00449	Syar.g_02223, Syar.g_03150
OG0000071	Praa.g_01318	Syar.g_02777
OG0000072	Praa.g_00171	Syar.g_00107, Syar.g_01140
OG0000073	Praa.g_00499	Syar.g_01364, Syar.g_01493
OG0000075	Praa.g_01808	Syar.g_03065, Syar.g_00659
OG0000076	Praa.g_01832	Syar.g_00608
OG0000077	Praa.g_00078	Syar.g_03051
OG0000078	Praa.g_00239	Syar.g_03265, Syar.g_03018, Syar.g_01366
OG0000079	Praa.g_00252	Syar.g_00166
OG0000080	Praa.g_01392, Praa.g_01390	Syar.g_00585
OG0000081	Praa.g_00531	Syar.g_01898
OG0000082	Praa.g_00585	Syar.g_02202
OG0000085	Praa.g_01628	Syar.g_02919
OG0000086	Praa.g_00088	Syar.g_03085
OG0000087	Praa.g_00139	Syar.g_03192, Syar.g_00068
OG0000088	Praa.g_00166	Syar.g_00101
OG0000089	Praa.g_00355	Syar.g_01162
OG0000090	Praa.g_00533	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Praa.g_00642	Syar.g_01891, Syar.g_02426
OG0000093	Praa.g_00932	Syar.g_02623
OG0000094	Praa.g_01020	Syar.g_01789
OG0000095	Praa.g_01039	Syar.g_01932
OG0000097	Praa.g_01200	Syar.g_01706, Syar.g_00364
OG0000098	Praa.g_01348	Syar.g_02343
OG0000099	Praa.g_01394	Syar.g_00715
OG0000100	Praa.g_01551	Syar.g_02477
OG0000101	Praa.g_01775	Syar.g_01073, Syar.g_03154
OG0000102	Praa.g_01837	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Praa.g_01916	Syar.g_00014, Syar.g_00452
OG0000104	Praa.g_01924	Syar.g_00466
OG0000105	Praa.g_00274	Syar.g_00218
OG0000106	Praa.g_00369	Syar.g_01748
OG0000107	Praa.g_00383	Syar.g_03290, Syar.g_00149
OG0000108	Praa.g_00480	Syar.g_01469
OG0000109	Praa.g_00494	Syar.g_03310, Syar.g_01485
OG0000110	Praa.g_00575	Syar.g_02295
OG0000111	Praa.g_00699	Syar.g_01940, Syar.g_00005
OG0000112	Praa.g_00766	Syar.g_03195, Syar.g_02548
OG0000113	Praa.g_00826	Syar.g_02664
OG0000114	Praa.g_00907	Syar.g_01616
OG0000115	Praa.g_01101	Syar.g_02854, Syar.g_01415
OG0000116	Praa.g_01150	Syar.g_01525, Syar.g_02255
OG0000117	Praa.g_01255	Syar.g_01969
OG0000118	Praa.g_01330	Syar.g_02793
OG0000120	Praa.g_01387	Syar.g_00713
OG0000121	Praa.g_01478	Syar.g_02806
OG0000123	Praa.g_01782	Syar.g_01079
OG0000124	Praa.g_01848	Syar.g_00586
OG0000125	Praa.g_01885	Syar.g_00338
OG0000126	Praa.g_01923	Syar.g_00887, Syar.g_00888
OG0000128	Praa.g_00011	Syar.g_00482
OG0000129	Praa.g_00044	Syar.g_00324
OG0000130	Praa.g_00069	Syar.g_03040
OG0000131	Praa.g_00145	Syar.g_02216, Syar.g_00078
OG0000132	Praa.g_00164	Syar.g_00099
OG0000133	Praa.g_00322	Syar.g_02543
OG0000134	Praa.g_00356	Syar.g_02009, Syar.g_01165
OG0000135	Praa.g_00381	Syar.g_00698
OG0000136	Praa.g_00440	Syar.g_02874
OG0000137	Praa.g_00475	Syar.g_01273
OG0000138	Praa.g_00495	Syar.g_01486
OG0000139	Praa.g_00537	Syar.g_03245, Syar.g_02348
OG0000140	Praa.g_00538	Syar.g_02344, Syar.g_03246
OG0000141	Praa.g_00607	Syar.g_02129
OG0000142	Praa.g_00635	Syar.g_02418
OG0000143	Praa.g_00639	Syar.g_02422
OG0000144	Praa.g_00652	Syar.g_02441
OG0000145	Praa.g_00764	Syar.g_01494, Syar.g_03205
OG0000146	Praa.g_00767	Syar.g_02549
OG0000147	Praa.g_00768	Syar.g_02550
OG0000148	Praa.g_00820	Syar.g_02658
OG0000149	Praa.g_00851	Syar.g_01830, Syar.g_03289, Syar.g_03288
OG0000150	Praa.g_00859	Syar.g_02130
OG0000151	Praa.g_00917	Syar.g_02038
OG0000152	Praa.g_00964	Syar.g_02539
OG0000153	Praa.g_00983	Syar.g_03283, Syar.g_02503
OG0000154	Praa.g_01013	Syar.g_01800
OG0000155	Praa.g_01179	Syar.g_01959
OG0000156	Praa.g_01307	Syar.g_01517
OG0000157	Praa.g_01308	Syar.g_01516
OG0000158	Praa.g_01395	Syar.g_00650
OG0000160	Praa.g_01477	Syar.g_02807
OG0000161	Praa.g_01483	Syar.g_02801
OG0000162	Praa.g_01489	Syar.g_02863
OG0000163	Praa.g_01523	Syar.g_00639, Syar.g_01186
OG0000164	Praa.g_01659	Syar.g_03168, Syar.g_02969
OG0000165	Praa.g_01667	Syar.g_02976
OG0000166	Praa.g_01739	Syar.g_01034
OG0000167	Praa.g_01806	Syar.g_00662
OG0000168	Praa.g_01816	Syar.g_00246
OG0000169	Praa.g_01826	Syar.g_00262
OG0000170	Praa.g_01828	Syar.g_00613
OG0000171	Praa.g_01847	Syar.g_00587
OG0000172	Praa.g_01856	Syar.g_00547
OG0000173	Praa.g_01871	Syar.g_00528
OG0000174	Praa.g_01898	Syar.g_00701
OG0000175	Praa.g_01908	Syar.g_00438
OG0000176	Praa.g_00004	Syar.g_00474
OG0000177	Praa.g_00005	Syar.g_00475
OG0000178	Praa.g_00006	Syar.g_00476
OG0000179	Praa.g_00016	Syar.g_00489
OG0000180	Praa.g_00017	Syar.g_00490
OG0000181	Praa.g_00018	Syar.g_00491
OG0000182	Praa.g_00019	Syar.g_00492
OG0000183	Praa.g_00023	Syar.g_00496
OG0000184	Praa.g_00046	Syar.g_00897
OG0000185	Praa.g_00049	Syar.g_00909
OG0000186	Praa.g_00064	Syar.g_03036
OG0000187	Praa.g_00065	Syar.g_03038
OG0000188	Praa.g_00082	Syar.g_03058
OG0000189	Praa.g_00096	Syar.g_03104
OG0000190	Praa.g_00097	Syar.g_03107, Syar.g_02374
OG0000191	Praa.g_00117	Syar.g_00039
OG0000192	Praa.g_00121	Syar.g_00046
OG0000193	Praa.g_00146	Syar.g_00079
OG0000194	Praa.g_00149	Syar.g_03236, Syar.g_00082
OG0000195	Praa.g_00151	Syar.g_00023, Syar.g_00084
OG0000196	Praa.g_00161	Syar.g_00096
OG0000197	Praa.g_00162	Syar.g_00097
OG0000198	Praa.g_00163	Syar.g_00098
OG0000199	Praa.g_00170	Syar.g_00106
OG0000200	Praa.g_00184	Syar.g_00124
OG0000201	Praa.g_00192	Syar.g_01000
OG0000202	Praa.g_00193	Syar.g_00998, Syar.g_00021
OG0000203	Praa.g_00194	Syar.g_00020, Syar.g_00997
OG0000204	Praa.g_00195	Syar.g_00996
OG0000205	Praa.g_00202	Syar.g_00988
OG0000206	Praa.g_00207	Syar.g_00963
OG0000207	Praa.g_00209	Syar.g_00957
OG0000208	Praa.g_00210	Syar.g_00956
