Orthogroup	Pral	Prbf
OG0000000	Pral.g_01549	Prbf.g_01182
OG0000000	Pral.g_01554	Prbf.g_01177
OG0000000	Pral.g_01764	Prbf.g_01285
OG0000000	Pral.g_01052	Prbf.g_00260
OG0000000	Pral.g_01340	Prbf.g_00888
OG0000000	Pral.g_00430	Prbf.g_00089
OG0000000	Pral.g_01342	Prbf.g_00890
OG0000000	Pral.g_01337	Prbf.g_00883
OG0000001	Pral.g_00038	Prbf.g_00775
OG0000002	Pral.g_01236	Prbf.g_00068
OG0000002	Pral.g_01296, Pral.g_01671	Prbf.g_00831
OG0000003	Pral.g_01332	Prbf.g_00880
OG0000004	Pral.g_01898	Prbf.g_00052
OG0000005	Pral.g_00037	Prbf.g_00776
OG0000006	Pral.g_00593	Prbf.g_01780
OG0000006	Pral.g_00107	Prbf.g_00693
OG0000007	Pral.g_00020	Prbf.g_00793
OG0000007	Pral.g_00021	Prbf.g_00792
OG0000009	Pral.g_01344	Prbf.g_00894
OG0000009	Pral.g_00790	Prbf.g_01588
OG0000010	Pral.g_00444	Prbf.g_00306
OG0000011	Pral.g_00672	Prbf.g_01707
OG0000012	Pral.g_00484	Prbf.g_01887
OG0000012	Pral.g_00491	Prbf.g_01880
OG0000013	Pral.g_01813	Prbf.g_00754
OG0000014	Pral.g_00039	Prbf.g_00774
OG0000014	Pral.g_01036	Prbf.g_00817
OG0000015	Pral.g_00062	Prbf.g_00765, Prbf.g_00732
OG0000016	Pral.g_01861	Prbf.g_00864
OG0000016	Pral.g_01063	Prbf.g_00254
OG0000017	Pral.g_00066	Prbf.g_00748
OG0000018	Pral.g_00797	Prbf.g_01580
OG0000019	Pral.g_01738	Prbf.g_01259
OG0000020	Pral.g_00768	Prbf.g_00039
OG0000021	Pral.g_00090	Prbf.g_00711
OG0000023	Pral.g_01065	Prbf.g_00252
OG0000024	Pral.g_00732	Prbf.g_01647
OG0000025	Pral.g_01829	Prbf.g_00845
OG0000026	Pral.g_00435	Prbf.g_00808
OG0000028	Pral.g_01165, Pral.g_01161	Prbf.g_00157
OG0000029	Pral.g_01164, Pral.g_01114	Prbf.g_01738
OG0000032	Pral.g_01193	Prbf.g_00116
OG0000034	Pral.g_00987	Prbf.g_01380
OG0000035	Pral.g_01853	Prbf.g_00299
OG0000036	Pral.g_00057	Prbf.g_00704
OG0000037	Pral.g_00015	Prbf.g_01905, Prbf.g_00272
OG0000038	Pral.g_00044	Prbf.g_00248
OG0000039	Pral.g_00878	Prbf.g_01500
OG0000040	Pral.g_01687	Prbf.g_00287
OG0000042	Pral.g_01729	Prbf.g_01253
OG0000043	Pral.g_01665	Prbf.g_01153
OG0000044	Pral.g_01367	Prbf.g_00918
OG0000045	Pral.g_01202	Prbf.g_00117
OG0000046	Pral.g_00099	Prbf.g_00701
OG0000047	Pral.g_00305	Prbf.g_00496
OG0000048	Pral.g_00313	Prbf.g_00487
OG0000050	Pral.g_01012	Prbf.g_01354
OG0000051	Pral.g_00887	Prbf.g_01491
OG0000052	Pral.g_01859	Prbf.g_00320
OG0000053	Pral.g_00551	Prbf.g_01820
OG0000054	Pral.g_00043	Prbf.g_01922
OG0000055	Pral.g_01511	Prbf.g_01222
OG0000056	Pral.g_00019	Prbf.g_00862
OG0000057	Pral.g_00803	Prbf.g_01575
OG0000058	Pral.g_00617	Prbf.g_01758
OG0000059	Pral.g_01740	Prbf.g_01261
OG0000062	Pral.g_00056, Pral.g_00078	Prbf.g_00788
OG0000063	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbf.g_00945
OG0000065	Pral.g_01281	Prbf.g_00026
OG0000066	Pral.g_00702	Prbf.g_00115
OG0000067	Pral.g_00064	Prbf.g_00347
OG0000068	Pral.g_00243	Prbf.g_00558
OG0000069	Pral.g_01121	Prbf.g_00196
OG0000071	Pral.g_00421	Prbf.g_00382
OG0000072	Pral.g_00717	Prbf.g_01661
OG0000073	Pral.g_01471	Prbf.g_01018
OG0000074	Pral.g_01750	Prbf.g_01271
OG0000075	Pral.g_01495	Prbf.g_01238
OG0000076	Pral.g_01561	Prbf.g_01170
OG0000078	Pral.g_01201	Prbf.g_00118
OG0000079	Pral.g_01073	Prbf.g_00242
OG0000080	Pral.g_00065	Prbf.g_00346
OG0000081	Pral.g_00277	Prbf.g_00524
OG0000082	Pral.g_00370	Prbf.g_00351
OG0000083	Pral.g_00413	Prbf.g_00390
OG0000084	Pral.g_00416	Prbf.g_00387
OG0000085	Pral.g_01021	Prbf.g_01345
OG0000087	Pral.g_00993	Prbf.g_01374
OG0000088	Pral.g_00932	Prbf.g_01443
OG0000089	Pral.g_00923	Prbf.g_01452
OG0000090	Pral.g_00906	Prbf.g_01469
OG0000091	Pral.g_00874	Prbf.g_01503
OG0000092	Pral.g_00873	Prbf.g_01504
OG0000093	Pral.g_00860	Prbf.g_01518
OG0000094	Pral.g_00842	Prbf.g_01537
OG0000095	Pral.g_00837	Prbf.g_01542
OG0000096	Pral.g_00788	Prbf.g_01590
OG0000097	Pral.g_00765	Prbf.g_01614
OG0000098	Pral.g_00754	Prbf.g_01625
OG0000099	Pral.g_00744	Prbf.g_01635
OG0000100	Pral.g_00741	Prbf.g_01638
OG0000101	Pral.g_00674	Prbf.g_01703
OG0000102	Pral.g_01034	Prbf.g_00044
OG0000103	Pral.g_00616	Prbf.g_01759
OG0000104	Pral.g_00611	Prbf.g_01763
OG0000105	Pral.g_00591	Prbf.g_01783
OG0000106	Pral.g_00558	Prbf.g_01813
OG0000107	Pral.g_00557	Prbf.g_01814
OG0000108	Pral.g_00547	Prbf.g_01824
OG0000109	Pral.g_00538	Prbf.g_01833
OG0000110	Pral.g_00520	Prbf.g_01850
OG0000111	Pral.g_01452	Prbf.g_00999
OG0000112	Pral.g_01453	Prbf.g_01000
OG0000113	Pral.g_01705	Prbf.g_01050
OG0000114	Pral.g_01486	Prbf.g_01247
OG0000115	Pral.g_01627	Prbf.g_01117
OG0000116	Pral.g_01623	Prbf.g_01113
OG0000117	Pral.g_01564	Prbf.g_01167
OG0000118	Pral.g_01316	Prbf.g_00873
OG0000119	Pral.g_00075	Prbf.g_00785
OG0000120	Pral.g_01373	Prbf.g_00924
OG0000121	Pral.g_01400	Prbf.g_00947
OG0000122	Pral.g_01420	Prbf.g_00967
OG0000123	Pral.g_00455	Prbf.g_01915
OG0000124	Pral.g_01064	Prbf.g_00253
OG0000125	Pral.g_01269	Prbf.g_00013
OG0000126	Pral.g_01222	Prbf.g_00095
OG0000127	Pral.g_01179	Prbf.g_00145
OG0000128	Pral.g_01160	Prbf.g_00158
OG0000129	Pral.g_01123	Prbf.g_00194
OG0000130	Pral.g_00104	Prbf.g_00696
OG0000131	Pral.g_00143	Prbf.g_00657
OG0000132	Pral.g_00146	Prbf.g_00654
OG0000133	Pral.g_00201	Prbf.g_00600
OG0000134	Pral.g_00237	Prbf.g_00564
OG0000135	Pral.g_00239	Prbf.g_00562
OG0000136	Pral.g_00289	Prbf.g_00512
OG0000137	Pral.g_00323	Prbf.g_00477
OG0000138	Pral.g_00358	Prbf.g_00443
OG0000139	Pral.g_00390	Prbf.g_00412
OG0000140	Pral.g_00411	Prbf.g_00392
OG0000141	Pral.g_00412	Prbf.g_00391
OG0000142	Pral.g_00414	Prbf.g_00389
OG0000143	Pral.g_00415	Prbf.g_00388
OG0000144	Pral.g_00417	Prbf.g_00386
OG0000145	Pral.g_00418	Prbf.g_00385
OG0000146	Pral.g_00419	Prbf.g_00384
OG0000147	Pral.g_00420	Prbf.g_00383
OG0000148	Pral.g_00422	Prbf.g_00381
OG0000149	Pral.g_01030	Prbf.g_01336
OG0000150	Pral.g_01029	Prbf.g_01337
OG0000151	Pral.g_01028	Prbf.g_01338
OG0000152	Pral.g_01027	Prbf.g_01339
OG0000153	Pral.g_01026	Prbf.g_01340
OG0000154	Pral.g_01025	Prbf.g_01341
OG0000155	Pral.g_01024	Prbf.g_01342
OG0000156	Pral.g_01023	Prbf.g_01343
OG0000157	Pral.g_01022	Prbf.g_01344
OG0000158	Pral.g_01020	Prbf.g_01346
OG0000159	Pral.g_01019	Prbf.g_01347
OG0000160	Pral.g_01018	Prbf.g_01348
OG0000161	Pral.g_01017	Prbf.g_01349
OG0000162	Pral.g_01016	Prbf.g_01350
OG0000163	Pral.g_01014	Prbf.g_01352
OG0000164	Pral.g_01011	Prbf.g_01355
OG0000165	Pral.g_01009	Prbf.g_01358
OG0000166	Pral.g_01008	Prbf.g_01359
OG0000167	Pral.g_01007	Prbf.g_01360
OG0000168	Pral.g_01005	Prbf.g_01362
OG0000169	Pral.g_01003	Prbf.g_01364
OG0000170	Pral.g_01001	Prbf.g_01366
OG0000171	Pral.g_01000	Prbf.g_01367
OG0000172	Pral.g_00999	Prbf.g_01368
OG0000173	Pral.g_00996	Prbf.g_01371
OG0000174	Pral.g_00995	Prbf.g_01372
OG0000175	Pral.g_00994	Prbf.g_01373
OG0000176	Pral.g_00992	Prbf.g_01375
OG0000177	Pral.g_00991	Prbf.g_01376
OG0000178	Pral.g_00990	Prbf.g_01378
OG0000179	Pral.g_00984	Prbf.g_01390
OG0000180	Pral.g_00983	Prbf.g_01391
OG0000181	Pral.g_00982	Prbf.g_01392
OG0000182	Pral.g_00978	Prbf.g_01396
OG0000183	Pral.g_00977	Prbf.g_01397
OG0000184	Pral.g_00974	Prbf.g_01400
OG0000185	Pral.g_00970	Prbf.g_01404
OG0000186	Pral.g_00969	Prbf.g_01405
OG0000187	Pral.g_00048	Prbf.g_00291
OG0000188	Pral.g_00968	Prbf.g_01406
OG0000189	Pral.g_00966	Prbf.g_01407
OG0000190	Pral.g_00965	Prbf.g_01408
OG0000191	Pral.g_00964	Prbf.g_01409
OG0000192	Pral.g_00963	Prbf.g_01410
OG0000193	Pral.g_00962	Prbf.g_01411
OG0000194	Pral.g_00961	Prbf.g_01412
OG0000195	Pral.g_00959	Prbf.g_01414
OG0000196	Pral.g_00958	Prbf.g_01415
OG0000197	Pral.g_00957	Prbf.g_01416
OG0000198	Pral.g_00956	Prbf.g_01417
OG0000199	Pral.g_00953	Prbf.g_01420
OG0000200	Pral.g_00952	Prbf.g_01421
OG0000201	Pral.g_00951	Prbf.g_01422
OG0000202	Pral.g_00950	Prbf.g_01424
OG0000203	Pral.g_00949	Prbf.g_01425
OG0000204	Pral.g_00948	Prbf.g_01426
OG0000205	Pral.g_00946	Prbf.g_01428
OG0000206	Pral.g_00945	Prbf.g_01429
OG0000207	Pral.g_00944	Prbf.g_01430
OG0000208	Pral.g_00943	Prbf.g_01431
OG0000209	Pral.g_00942	Prbf.g_01432
OG0000210	Pral.g_00941	Prbf.g_01433
OG0000211	Pral.g_00940	Prbf.g_01435
OG0000212	Pral.g_00939	Prbf.g_01436
OG0000213	Pral.g_00938	Prbf.g_01437
OG0000214	Pral.g_00934	Prbf.g_01441
OG0000215	Pral.g_00933	Prbf.g_01442
OG0000216	Pral.g_00931	Prbf.g_01444
OG0000217	Pral.g_00930	Prbf.g_01445
OG0000218	Pral.g_00929	Prbf.g_01446
OG0000219	Pral.g_00928	Prbf.g_01447
OG0000220	Pral.g_00925	Prbf.g_01450
OG0000221	Pral.g_00922	Prbf.g_01453
OG0000222	Pral.g_00921	Prbf.g_01454
OG0000223	Pral.g_00920	Prbf.g_01455
OG0000224	Pral.g_00918	Prbf.g_01457
OG0000225	Pral.g_00916	Prbf.g_01459
OG0000226	Pral.g_00914	Prbf.g_01461
OG0000227	Pral.g_00913	Prbf.g_01462
OG0000228	Pral.g_00912	Prbf.g_01463
OG0000229	Pral.g_00911	Prbf.g_01464
OG0000230	Pral.g_00910	Prbf.g_01465
OG0000231	Pral.g_00450	Prbf.g_01055
OG0000232	Pral.g_00908	Prbf.g_01467
OG0000233	Pral.g_00905	Prbf.g_01470
OG0000234	Pral.g_00903	Prbf.g_01472
OG0000235	Pral.g_00900	Prbf.g_01478
OG0000236	Pral.g_00899	Prbf.g_01479
OG0000237	Pral.g_00898	Prbf.g_01480
OG0000238	Pral.g_00897	Prbf.g_01481
OG0000239	Pral.g_00896	Prbf.g_01482
OG0000240	Pral.g_00894	Prbf.g_01484
OG0000241	Pral.g_00893	Prbf.g_01485
OG0000242	Pral.g_00892	Prbf.g_01486
OG0000243	Pral.g_00891	Prbf.g_01487
OG0000244	Pral.g_00890	Prbf.g_01488
OG0000245	Pral.g_00888	Prbf.g_01490
OG0000246	Pral.g_00886	Prbf.g_01492
OG0000247	Pral.g_00885	Prbf.g_01493
OG0000248	Pral.g_00884	Prbf.g_01494
OG0000249	Pral.g_00883	Prbf.g_01495
OG0000250	Pral.g_00882	Prbf.g_01496
OG0000251	Pral.g_00881	Prbf.g_01497
OG0000252	Pral.g_00880	Prbf.g_01498
OG0000253	Pral.g_00879	Prbf.g_01499
OG0000254	Pral.g_00877	Prbf.g_01501
OG0000255	Pral.g_00875	Prbf.g_01502
OG0000256	Pral.g_00872	Prbf.g_01505
OG0000257	Pral.g_00871	Prbf.g_01507
OG0000258	Pral.g_00870	Prbf.g_01508
OG0000259	Pral.g_00869	Prbf.g_01509
OG0000260	Pral.g_00868	Prbf.g_01510
OG0000261	Pral.g_00867	Prbf.g_01511
OG0000262	Pral.g_00866	Prbf.g_01512
OG0000263	Pral.g_00865	Prbf.g_01513
OG0000264	Pral.g_00863	Prbf.g_01515
OG0000265	Pral.g_00862	Prbf.g_01516
OG0000266	Pral.g_00861	Prbf.g_01517
OG0000267	Pral.g_00859	Prbf.g_01519
OG0000268	Pral.g_00857	Prbf.g_01521
OG0000269	Pral.g_00856	Prbf.g_01522
OG0000270	Pral.g_00855	Prbf.g_01523
OG0000271	Pral.g_00854	Prbf.g_01524
OG0000272	Pral.g_00853	Prbf.g_01525
OG0000273	Pral.g_00852	Prbf.g_01526
OG0000274	Pral.g_00851	Prbf.g_01527
OG0000275	Pral.g_00850	Prbf.g_01528
OG0000276	Pral.g_00849	Prbf.g_01529
OG0000277	Pral.g_00848	Prbf.g_01530
OG0000278	Pral.g_00847	Prbf.g_01531
OG0000279	Pral.g_00846	Prbf.g_01532
OG0000280	Pral.g_00845	Prbf.g_01533
OG0000281	Pral.g_00844	Prbf.g_01535
OG0000282	Pral.g_00843	Prbf.g_01536
OG0000283	Pral.g_00840	Prbf.g_01539
OG0000284	Pral.g_00839	Prbf.g_01540
OG0000285	Pral.g_00838	Prbf.g_01541
OG0000286	Pral.g_00836	Prbf.g_01543
OG0000287	Pral.g_00835	Prbf.g_01545
OG0000288	Pral.g_00834	Prbf.g_01546
OG0000289	Pral.g_00833	Prbf.g_01547
OG0000290	Pral.g_00832	Prbf.g_01548
OG0000291	Pral.g_00831	Prbf.g_01549
OG0000292	Pral.g_00830	Prbf.g_01550
OG0000293	Pral.g_00829	Prbf.g_01551
OG0000294	Pral.g_00828	Prbf.g_01552
OG0000295	Pral.g_00827	Prbf.g_01553
OG0000296	Pral.g_00826	Prbf.g_01554
OG0000297	Pral.g_00825	Prbf.g_01555
OG0000298	Pral.g_00824	Prbf.g_01556
OG0000299	Pral.g_00823	Prbf.g_01557
OG0000300	Pral.g_00822	Prbf.g_01558
OG0000301	Pral.g_00821	Prbf.g_01559
OG0000302	Pral.g_00820	Prbf.g_01560
OG0000303	Pral.g_00819	Prbf.g_01561
OG0000304	Pral.g_00817	Prbf.g_01563
OG0000305	Pral.g_00816	Prbf.g_01564
OG0000306	Pral.g_00815	Prbf.g_01565
OG0000307	Pral.g_00812	Prbf.g_01567
OG0000308	Pral.g_00811	Prbf.g_01568
OG0000309	Pral.g_00810	Prbf.g_01569
OG0000310	Pral.g_00809	Prbf.g_01570
OG0000311	Pral.g_00807	Prbf.g_01571
OG0000312	Pral.g_00805	Prbf.g_01573
OG0000313	Pral.g_00804	Prbf.g_01574
OG0000314	Pral.g_00800	Prbf.g_01578
OG0000315	Pral.g_00799	Prbf.g_01579
OG0000316	Pral.g_00796	Prbf.g_01581
OG0000317	Pral.g_00795	Prbf.g_01583
OG0000318	Pral.g_00794	Prbf.g_01584
OG0000319	Pral.g_00793	Prbf.g_01585
OG0000320	Pral.g_00792	Prbf.g_01586
OG0000321	Pral.g_00789	Prbf.g_01589
OG0000322	Pral.g_00785	Prbf.g_01593
OG0000323	Pral.g_00784	Prbf.g_01594
OG0000324	Pral.g_00781	Prbf.g_01597
OG0000325	Pral.g_00780	Prbf.g_01598
OG0000326	Pral.g_00779	Prbf.g_01599
OG0000327	Pral.g_00777	Prbf.g_01601
OG0000328	Pral.g_00776	Prbf.g_01602
OG0000329	Pral.g_00775	Prbf.g_01603
OG0000330	Pral.g_00774	Prbf.g_01604
OG0000331	Pral.g_00773	Prbf.g_01606
OG0000332	Pral.g_00772	Prbf.g_01607
OG0000333	Pral.g_00771	Prbf.g_01608
OG0000334	Pral.g_00770	Prbf.g_01609
OG0000335	Pral.g_00769	Prbf.g_01610
OG0000336	Pral.g_00767	Prbf.g_01612
OG0000337	Pral.g_00764	Prbf.g_01615
OG0000338	Pral.g_00763	Prbf.g_01616
OG0000339	Pral.g_00762	Prbf.g_01617
OG0000340	Pral.g_00761	Prbf.g_01618
OG0000341	Pral.g_00756	Prbf.g_01622
OG0000342	Pral.g_00755	Prbf.g_01623
OG0000343	Pral.g_00753	Prbf.g_01626
OG0000344	Pral.g_00752	Prbf.g_01627
OG0000345	Pral.g_00751	Prbf.g_01628
OG0000346	Pral.g_00750	Prbf.g_01629
OG0000347	Pral.g_00749	Prbf.g_01630
OG0000348	Pral.g_00748	Prbf.g_01632
OG0000349	Pral.g_00747	Prbf.g_01633
OG0000350	Pral.g_00746	Prbf.g_01634
OG0000351	Pral.g_00743	Prbf.g_01636
OG0000352	Pral.g_00740	Prbf.g_01639
OG0000353	Pral.g_00739	Prbf.g_01640
OG0000354	Pral.g_00738	Prbf.g_01641
OG0000355	Pral.g_00737	Prbf.g_01642
OG0000356	Pral.g_00736	Prbf.g_01643
OG0000357	Pral.g_00735	Prbf.g_01644
OG0000358	Pral.g_00734	Prbf.g_01645
OG0000359	Pral.g_00733	Prbf.g_01646
OG0000360	Pral.g_00731	Prbf.g_01648
OG0000361	Pral.g_00730	Prbf.g_01649
OG0000362	Pral.g_00729	Prbf.g_01650
OG0000363	Pral.g_00728	Prbf.g_01651
OG0000364	Pral.g_00727	Prbf.g_01652
OG0000365	Pral.g_00726	Prbf.g_01653
OG0000366	Pral.g_00725	Prbf.g_01654
OG0000367	Pral.g_00724	Prbf.g_01655
OG0000368	Pral.g_00723	Prbf.g_01656
OG0000369	Pral.g_00722	Prbf.g_01657
OG0000370	Pral.g_00721	Prbf.g_01658
OG0000371	Pral.g_00720	Prbf.g_01659
OG0000372	Pral.g_00718	Prbf.g_01660
OG0000373	Pral.g_00716	Prbf.g_01662
OG0000374	Pral.g_00715	Prbf.g_01663
OG0000375	Pral.g_00714	Prbf.g_01664
OG0000376	Pral.g_00712	Prbf.g_01665
OG0000377	Pral.g_00706	Prbf.g_01671
OG0000378	Pral.g_00705	Prbf.g_01672
OG0000379	Pral.g_00698	Prbf.g_01678
OG0000380	Pral.g_00696	Prbf.g_01680
OG0000381	Pral.g_00695	Prbf.g_01681
OG0000382	Pral.g_00694	Prbf.g_01682
OG0000383	Pral.g_00691	Prbf.g_01685
OG0000384	Pral.g_00690	Prbf.g_01686
OG0000385	Pral.g_00687	Prbf.g_01689
OG0000386	Pral.g_00686	Prbf.g_01690
OG0000387	Pral.g_00685	Prbf.g_01691
OG0000388	Pral.g_00684	Prbf.g_01692
OG0000389	Pral.g_00683	Prbf.g_01693
OG0000390	Pral.g_00682	Prbf.g_01694
OG0000391	Pral.g_00681	Prbf.g_01695
OG0000392	Pral.g_00680	Prbf.g_01696
OG0000393	Pral.g_00677	Prbf.g_01700
OG0000394	Pral.g_00676	Prbf.g_01701
OG0000395	Pral.g_00673	Prbf.g_01704
OG0000396	Pral.g_01541	Prbf.g_01190
OG0000397	Pral.g_01322	Prbf.g_00874
OG0000398	Pral.g_01039	Prbf.g_00741
OG0000399	Pral.g_01840	Prbf.g_00879
OG0000400	Pral.g_00171	Prbf.g_00629
OG0000401	Pral.g_00663	Prbf.g_01715
OG0000402	Pral.g_00662	Prbf.g_01716
OG0000403	Pral.g_00661	Prbf.g_01717
OG0000404	Pral.g_00659	Prbf.g_01719
OG0000405	Pral.g_00658	Prbf.g_01720
OG0000406	Pral.g_00656	Prbf.g_01722
OG0000407	Pral.g_00655	Prbf.g_01723
OG0000408	Pral.g_00654	Prbf.g_01724
OG0000409	Pral.g_00653	Prbf.g_01725
OG0000410	Pral.g_00651	Prbf.g_01726
OG0000411	Pral.g_00650	Prbf.g_01727
OG0000412	Pral.g_00649	Prbf.g_01728
OG0000413	Pral.g_00648	Prbf.g_01729
OG0000414	Pral.g_00647	Prbf.g_01730
OG0000415	Pral.g_00646	Prbf.g_01731
OG0000416	Pral.g_00645	Prbf.g_01732
OG0000417	Pral.g_00644	Prbf.g_01733
OG0000418	Pral.g_00643	Prbf.g_01734
OG0000419	Pral.g_00642	Prbf.g_01735
OG0000420	Pral.g_00641	Prbf.g_01736
OG0000421	Pral.g_00635	Prbf.g_01740
OG0000422	Pral.g_00633	Prbf.g_01742
OG0000423	Pral.g_00632	Prbf.g_01743
OG0000424	Pral.g_00631	Prbf.g_01744
OG0000425	Pral.g_00627	Prbf.g_01748
OG0000426	Pral.g_00626	Prbf.g_01749
OG0000427	Pral.g_00625	Prbf.g_01750
OG0000428	Pral.g_00623	Prbf.g_01752
OG0000429	Pral.g_00622	Prbf.g_01753
OG0000430	Pral.g_00621	Prbf.g_01754
OG0000431	Pral.g_00619	Prbf.g_01756
OG0000432	Pral.g_00618	Prbf.g_01757
