Orthogroup	Syad	Prba
OG0000001	Syad.g_00628	Prba.g_00211, Prba.g_01081, Prba.g_01080
OG0000002	Syad.g_00619	Prba.g_00203, Prba.g_01639
OG0000004	Syad.g_01304	Prba.g_01622
OG0000004	Syad.g_02184, Syad.g_00810	Prba.g_00451
OG0000005	Syad.g_02639	Prba.g_00607
OG0000005	Syad.g_02596	Prba.g_00312
OG0000006	Syad.g_00588, Syad.g_00829	Prba.g_00460
OG0000007	Syad.g_00923	Prba.g_00964
OG0000007	Syad.g_02623	Prba.g_00226
OG0000009	Syad.g_01952, Syad.g_00868	Prba.g_01142, Prba.g_00276
OG0000009	Syad.g_02799	Prba.g_01893
OG0000010	Syad.g_02354	Prba.g_01256, Prba.g_00987
OG0000011	Syad.g_02006	Prba.g_00900, Prba.g_01165
OG0000012	Syad.g_01702, Syad.g_01136, Syad.g_01579, Syad.g_01008, Syad.g_02176	Prba.g_01694
OG0000013	Syad.g_00737, Syad.g_00724, Syad.g_00729	Prba.g_00543
OG0000014	Syad.g_00480	Prba.g_00522
OG0000015	Syad.g_01600, Syad.g_01601	Prba.g_01538
OG0000016	Syad.g_00176	Prba.g_01806
OG0000017	Syad.g_01084	Prba.g_01719
OG0000018	Syad.g_02306	Prba.g_00083, Prba.g_01472
OG0000019	Syad.g_00569	Prba.g_00468, Prba.g_01519
OG0000020	Syad.g_00845	Prba.g_00737
OG0000022	Syad.g_02090	Prba.g_01543, Prba.g_00101
OG0000023	Syad.g_01701, Syad.g_02337, Syad.g_01583	Prba.g_00854
OG0000024	Syad.g_01374	Prba.g_01558, Prba.g_01642
OG0000025	Syad.g_01241	Prba.g_01464, Prba.g_00547
OG0000026	Syad.g_00198	Prba.g_01824, Prba.g_01249
OG0000027	Syad.g_01257	Prba.g_00991, Prba.g_01175
OG0000028	Syad.g_00463	Prba.g_00536, Prba.g_01126
OG0000029	Syad.g_02099	Prba.g_00869, Prba.g_01551
OG0000030	Syad.g_00328, Syad.g_00327	Prba.g_00778
OG0000031	Syad.g_00294	Prba.g_00173
OG0000033	Syad.g_02903	Prba.g_00625
OG0000034	Syad.g_02420, Syad.g_02872	Prba.g_01202
OG0000035	Syad.g_02275	Prba.g_00713
OG0000037	Syad.g_02805	Prba.g_01897
OG0000038	Syad.g_03038	Prba.g_00819
OG0000039	Syad.g_01249, Syad.g_01111	Prba.g_01631
OG0000042	Syad.g_00333	Prba.g_00775
OG0000043	Syad.g_02119	Prba.g_01427, Prba.g_01138
OG0000044	Syad.g_02214	Prba.g_00002
OG0000047	Syad.g_00754	Prba.g_00913, Prba.g_00546
OG0000048	Syad.g_00534	Prba.g_00868
OG0000050	Syad.g_02114	Prba.g_00899
OG0000051	Syad.g_00842	Prba.g_01168
OG0000052	Syad.g_00434	Prba.g_00160
OG0000053	Syad.g_02302	Prba.g_00693
OG0000054	Syad.g_02209	Prba.g_01711
OG0000055	Syad.g_01255	Prba.g_01518
OG0000057	Syad.g_01301	Prba.g_01619
OG0000058	Syad.g_00452	Prba.g_00153
OG0000059	Syad.g_00642	Prba.g_00381, Prba.g_00127
OG0000061	Syad.g_01152	Prba.g_00064
OG0000063	Syad.g_00202	Prba.g_01826
OG0000065	Syad.g_02574, Syad.g_02801	Prba.g_01895
OG0000066	Syad.g_00992	Prba.g_00922
OG0000067	Syad.g_01889	Prba.g_01499
OG0000068	Syad.g_00891	Prba.g_00196
OG0000070	Syad.g_02424	Prba.g_01011
OG0000071	Syad.g_02405	Prba.g_01192
OG0000072	Syad.g_02905	Prba.g_00627
OG0000073	Syad.g_00926	Prba.g_00962
OG0000075	Syad.g_00416	Prba.g_01071
OG0000076	Syad.g_00348	Prba.g_00768
OG0000077	Syad.g_02741	Prba.g_01866
OG0000078	Syad.g_00824	Prba.g_00458
OG0000079	Syad.g_00565	Prba.g_00471
OG0000081	Syad.g_00833	Prba.g_00930
OG0000082	Syad.g_01063	Prba.g_01731
OG0000084	Syad.g_02272	Prba.g_00717
OG0000085	Syad.g_02612	Prba.g_00233
OG0000086	Syad.g_02770	Prba.g_01876
OG0000087	Syad.g_02860	Prba.g_01927
OG0000088	Syad.g_02899	Prba.g_00622
OG0000089	Syad.g_00785, Syad.g_02829	Prba.g_00850
OG0000090	Syad.g_00977	Prba.g_00928
OG0000091	Syad.g_02144	Prba.g_01675
OG0000092	Syad.g_01190	Prba.g_01390, Prba.g_01057
OG0000094	Syad.g_01676	Prba.g_01283
OG0000097	Syad.g_01458	Prba.g_00022
OG0000098	Syad.g_00625	Prba.g_00214
OG0000099	Syad.g_00460	Prba.g_00155
OG0000100	Syad.g_01846	Prba.g_00314
OG0000101	Syad.g_00694	Prba.g_00429
OG0000102	Syad.g_00343	Prba.g_00773
OG0000103	Syad.g_00143	Prba.g_01781
OG0000104	Syad.g_00158	Prba.g_01789
OG0000105	Syad.g_00530	Prba.g_00491
OG0000106	Syad.g_01993	Prba.g_00864
OG0000107	Syad.g_00590	Prba.g_00880
OG0000108	Syad.g_00904	Prba.g_00981
OG0000109	Syad.g_00919	Prba.g_00967
OG0000110	Syad.g_01048	Prba.g_01741
OG0000111	Syad.g_01300	Prba.g_01618
OG0000112	Syad.g_01766	Prba.g_01534
OG0000113	Syad.g_01851	Prba.g_01477
OG0000114	Syad.g_01617	Prba.g_01395
OG0000115	Syad.g_02300	Prba.g_00743
OG0000116	Syad.g_01123	Prba.g_00074
OG0000117	Syad.g_01510	Prba.g_01135
OG0000118	Syad.g_01104	Prba.g_01204
OG0000119	Syad.g_01168	Prba.g_00200
OG0000120	Syad.g_00459	Prba.g_00175
OG0000121	Syad.g_02280	Prba.g_00711
OG0000122	Syad.g_02122	Prba.g_00348
OG0000123	Syad.g_00701	Prba.g_00436
OG0000124	Syad.g_00320	Prba.g_00784
OG0000125	Syad.g_03040	Prba.g_01089, Prba.g_00821
OG0000126	Syad.g_00156	Prba.g_01788
OG0000127	Syad.g_02710, Syad.g_00058, Syad.g_00383	Prba.g_01118
OG0000128	Syad.g_00174	Prba.g_01804
OG0000129	Syad.g_03028	Prba.g_01838
OG0000130	Syad.g_02728	Prba.g_01857
OG0000131	Syad.g_02876	Prba.g_01933
OG0000132	Syad.g_02897	Prba.g_01952
OG0000133	Syad.g_01761	Prba.g_00538
OG0000134	Syad.g_00788	Prba.g_00851
OG0000135	Syad.g_00063	Prba.g_00877
OG0000136	Syad.g_02445	Prba.g_01020
OG0000137	Syad.g_02353	Prba.g_00986
OG0000138	Syad.g_00920	Prba.g_00966
OG0000139	Syad.g_00983	Prba.g_00924
OG0000140	Syad.g_00987	Prba.g_00923
OG0000141	Syad.g_02208	Prba.g_01710
OG0000142	Syad.g_02152	Prba.g_01682
OG0000143	Syad.g_02148	Prba.g_01678
OG0000144	Syad.g_02024	Prba.g_01665
OG0000145	Syad.g_00927	Prba.g_01541
OG0000146	Syad.g_01767	Prba.g_01533
OG0000147	Syad.g_01768	Prba.g_01532
OG0000148	Syad.g_01861	Prba.g_01483
OG0000149	Syad.g_01221	Prba.g_01452
OG0000150	Syad.g_02207, Syad.g_00989	Prba.g_01444
OG0000151	Syad.g_01956	Prba.g_01385
OG0000152	Syad.g_01757	Prba.g_01337
OG0000153	Syad.g_01713	Prba.g_01318
OG0000154	Syad.g_01686	Prba.g_01290
OG0000155	Syad.g_01189	Prba.g_00043
OG0000156	Syad.g_01116	Prba.g_01181
OG0000157	Syad.g_01115	Prba.g_01182
OG0000158	Syad.g_00374	Prba.g_00154
OG0000160	Syad.g_02279	Prba.g_00712
OG0000161	Syad.g_02287	Prba.g_00706
OG0000162	Syad.g_02293	Prba.g_00700
OG0000163	Syad.g_02542	Prba.g_00341
OG0000164	Syad.g_02659	Prba.g_00596
OG0000165	Syad.g_02476	Prba.g_00589
OG0000166	Syad.g_00654	Prba.g_00393
OG0000167	Syad.g_00419	Prba.g_01069
OG0000168	Syad.g_00371	Prba.g_01079
OG0000169	Syad.g_00360	Prba.g_00761
OG0000170	Syad.g_00353	Prba.g_00763
OG0000171	Syad.g_00321	Prba.g_00783
OG0000172	Syad.g_00244	Prba.g_00792
OG0000173	Syad.g_00220	Prba.g_00807
OG0000174	Syad.g_00065	Prba.g_00835
OG0000175	Syad.g_00129	Prba.g_00845
OG0000176	Syad.g_00166	Prba.g_01797
OG0000177	Syad.g_00167	Prba.g_01798
OG0000178	Syad.g_00168	Prba.g_01799
OG0000179	Syad.g_00183	Prba.g_01809
OG0000180	Syad.g_00184	Prba.g_01810
OG0000181	Syad.g_00185	Prba.g_01811
OG0000182	Syad.g_00186	Prba.g_01812
OG0000183	Syad.g_00190	Prba.g_01816
OG0000184	Syad.g_03018	Prba.g_01840
OG0000185	Syad.g_03006	Prba.g_01843
OG0000186	Syad.g_02722	Prba.g_01852
OG0000187	Syad.g_02724	Prba.g_01853
OG0000188	Syad.g_02759	Prba.g_01870
OG0000189	Syad.g_02788	Prba.g_01884
OG0000190	Syad.g_02790	Prba.g_01885
OG0000191	Syad.g_02824	Prba.g_01905
OG0000192	Syad.g_02834	Prba.g_01909
OG0000193	Syad.g_02877	Prba.g_01934
OG0000194	Syad.g_02880	Prba.g_01937
OG0000195	Syad.g_02884	Prba.g_01939
OG0000196	Syad.g_02894	Prba.g_01949
OG0000197	Syad.g_02895	Prba.g_01950
OG0000198	Syad.g_02896	Prba.g_01951
OG0000199	Syad.g_02904	Prba.g_00626
OG0000200	Syad.g_02921	Prba.g_00640
OG0000201	Syad.g_02937	Prba.g_00648
OG0000202	Syad.g_02938	Prba.g_00649
OG0000203	Syad.g_02939	Prba.g_00650
OG0000204	Syad.g_02940	Prba.g_00651
OG0000205	Syad.g_02948	Prba.g_00658
OG0000206	Syad.g_02955	Prba.g_00663
OG0000207	Syad.g_02957	Prba.g_00665
OG0000208	Syad.g_02958	Prba.g_00666
OG0000209	Syad.g_02981	Prba.g_00675
OG0000210	Syad.g_02982	Prba.g_00439
OG0000212	Syad.g_00825	Prba.g_00459
OG0000213	Syad.g_00556	Prba.g_00476
OG0000214	Syad.g_00538	Prba.g_00485
OG0000215	Syad.g_00508	Prba.g_00509
OG0000216	Syad.g_00504, Syad.g_00285	Prba.g_00510
OG0000217	Syad.g_00500	Prba.g_00513
OG0000218	Syad.g_00498	Prba.g_00515
OG0000219	Syad.g_00497	Prba.g_00516
OG0000220	Syad.g_00496	Prba.g_00517
OG0000221	Syad.g_00488	Prba.g_00518
OG0000222	Syad.g_00473	Prba.g_00526
OG0000223	Syad.g_00451	Prba.g_00539
OG0000224	Syad.g_00444	Prba.g_00541
OG0000225	Syad.g_00777	Prba.g_00562
OG0000226	Syad.g_00781	Prba.g_00221
OG0000227	Syad.g_00783	Prba.g_00223
OG0000228	Syad.g_00784	Prba.g_00849
OG0000229	Syad.g_02450	Prba.g_01025
OG0000230	Syad.g_02448	Prba.g_01023
OG0000231	Syad.g_02436	Prba.g_01012
OG0000232	Syad.g_02392	Prba.g_01003
OG0000233	Syad.g_02382	Prba.g_00998
OG0000234	Syad.g_02351	Prba.g_00985
OG0000235	Syad.g_00903	Prba.g_00982
OG0000236	Syad.g_00918	Prba.g_00968
OG0000237	Syad.g_00936	Prba.g_00955
OG0000238	Syad.g_00941	Prba.g_00949
OG0000239	Syad.g_00957	Prba.g_00936
OG0000240	Syad.g_00958	Prba.g_00935
OG0000241	Syad.g_02160	Prba.g_00931
OG0000242	Syad.g_00975	Prba.g_00929
OG0000243	Syad.g_01000	Prba.g_01772
OG0000244	Syad.g_01012	Prba.g_01769
OG0000245	Syad.g_01014	Prba.g_01767
OG0000246	Syad.g_01017	Prba.g_01763
OG0000247	Syad.g_01029	Prba.g_01753
OG0000248	Syad.g_01032	Prba.g_01751
OG0000249	Syad.g_01034	Prba.g_01749
OG0000250	Syad.g_01044	Prba.g_01744
OG0000251	Syad.g_01071	Prba.g_01726
OG0000252	Syad.g_01078	Prba.g_01723
OG0000253	Syad.g_01081	Prba.g_01722
OG0000254	Syad.g_02203	Prba.g_01706
OG0000255	Syad.g_02185	Prba.g_01700
OG0000256	Syad.g_02167	Prba.g_01690
OG0000257	Syad.g_02161	Prba.g_01687
OG0000258	Syad.g_02143	Prba.g_01674
OG0000259	Syad.g_01576	Prba.g_01657
OG0000260	Syad.g_01587	Prba.g_01654
OG0000261	Syad.g_01590	Prba.g_01652
OG0000262	Syad.g_01595	Prba.g_01648
OG0000263	Syad.g_01475	Prba.g_01636
OG0000264	Syad.g_01360	Prba.g_01626
OG0000265	Syad.g_01383	Prba.g_01594
OG0000266	Syad.g_01804	Prba.g_01584
OG0000267	Syad.g_01645	Prba.g_01573
OG0000268	Syad.g_01646	Prba.g_01572
OG0000269	Syad.g_01894	Prba.g_01504
OG0000270	Syad.g_01891	Prba.g_01501
OG0000271	Syad.g_01883	Prba.g_01493
OG0000272	Syad.g_01882	Prba.g_01492
OG0000273	Syad.g_01247	Prba.g_01469
OG0000274	Syad.g_01246	Prba.g_01468
OG0000275	Syad.g_01242	Prba.g_01465
OG0000276	Syad.g_01229	Prba.g_01460
OG0000277	Syad.g_01228	Prba.g_01459
OG0000278	Syad.g_01225	Prba.g_01456
OG0000279	Syad.g_01208	Prba.g_01449
OG0000280	Syad.g_01198	Prba.g_01448
OG0000281	Syad.g_00624	Prba.g_01443
OG0000282	Syad.g_01619	Prba.g_01393
OG0000283	Syad.g_01661	Prba.g_01360
OG0000284	Syad.g_01787	Prba.g_01355
OG0000285	Syad.g_01776	Prba.g_01350
OG0000286	Syad.g_01758	Prba.g_01338
OG0000288	Syad.g_01687	Prba.g_01291
OG0000289	Syad.g_01672	Prba.g_01280
OG0000290	Syad.g_01287	Prba.g_01267
OG0000291	Syad.g_01289	Prba.g_01265
OG0000292	Syad.g_00155	Prba.g_01216
OG0000293	Syad.g_01124	Prba.g_00073
OG0000294	Syad.g_01125	Prba.g_00072
OG0000295	Syad.g_01181	Prba.g_00051
OG0000296	Syad.g_01183	Prba.g_00049
OG0000297	Syad.g_01512	Prba.g_00041
OG0000298	Syad.g_01511	Prba.g_00040
OG0000299	Syad.g_01462	Prba.g_00023
OG0000300	Syad.g_01455	Prba.g_00020
OG0000301	Syad.g_01454	Prba.g_00019
OG0000302	Syad.g_01453	Prba.g_00017
OG0000303	Syad.g_01442	Prba.g_00010
OG0000304	Syad.g_01436	Prba.g_00006
OG0000305	Syad.g_01292	Prba.g_00204
OG0000306	Syad.g_01989	Prba.g_00201
OG0000307	Syad.g_00883	Prba.g_00187
OG0000308	Syad.g_00881	Prba.g_00186
OG0000309	Syad.g_00876	Prba.g_00182
OG0000310	Syad.g_02250	Prba.g_00112
OG0000311	Syad.g_02254	Prba.g_00110
OG0000312	Syad.g_02265	Prba.g_00107
OG0000313	Syad.g_02284	Prba.g_00709
OG0000314	Syad.g_02313	Prba.g_00686
OG0000315	Syad.g_02323	Prba.g_00351, Prba.g_00676
OG0000316	Syad.g_02564	Prba.g_00331
OG0000317	Syad.g_02620	Prba.g_00228
