Orthogroup	Syao	Praz
OG0000001	Syao.g_00314, Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558	Praz.g_01154
OG0000004	Syao.g_02374	Praz.g_01635
OG0000004	Syao.g_01271, Syao.g_01007	Praz.g_00592
OG0000005	Syao.g_01680	Praz.g_00864
OG0000005	Syao.g_01578	Praz.g_00965
OG0000006	Syao.g_00919, Syao.g_01518	Praz.g_00601
OG0000007	Syao.g_00105	Praz.g_01831
OG0000007	Syao.g_01554	Praz.g_00877
OG0000009	Syao.g_02598	Praz.g_00465
OG0000010	Syao.g_02683	Praz.g_00074
OG0000011	Syao.g_01282	Praz.g_01240
OG0000012	Syao.g_01193, Syao.g_01335, Syao.g_01045, Syao.g_00201	Praz.g_01707
OG0000013	Syao.g_01910, Syao.g_01222, Syao.g_01844	Praz.g_00684
OG0000014	Syao.g_02027	Praz.g_00663
OG0000015	Syao.g_02339, Syao.g_00302	Praz.g_01551
OG0000016	Syao.g_01955	Praz.g_00378
OG0000017	Syao.g_00997, Syao.g_01064	Praz.g_01732
OG0000018	Syao.g_00071	Praz.g_00011
OG0000019	Syao.g_02108	Praz.g_00609, Praz.g_01532
OG0000021	Syao.g_01002	Praz.g_00896, Praz.g_00810
OG0000022	Syao.g_01218	Praz.g_00029
OG0000023	Syao.g_01266	Praz.g_00814
OG0000025	Syao.g_00436, Syao.g_00437	Praz.g_00688, Praz.g_01477
OG0000026	Syao.g_02234	Praz.g_00396, Praz.g_00081
OG0000027	Syao.g_01286, Syao.g_00202	Praz.g_01858, Praz.g_01197
OG0000028	Syao.g_02012	Praz.g_01246, Praz.g_00677
OG0000030	Syao.g_02189, Syao.g_02188	Praz.g_00195
OG0000031	Syao.g_02008, Syao.g_01083	Praz.g_01116
OG0000032	Syao.g_01135	Praz.g_01092
OG0000035	Syao.g_01483, Syao.g_01486	Praz.g_01041
OG0000037	Syao.g_00374	Praz.g_00469
OG0000038	Syao.g_02440, Syao.g_02442	Praz.g_00154
OG0000039	Syao.g_00704	Praz.g_01644
OG0000040	Syao.g_00711	Praz.g_00012
OG0000042	Syao.g_00019, Syao.g_01941	Praz.g_00198
OG0000045	Syao.g_00148	Praz.g_00803
OG0000047	Syao.g_01899	Praz.g_01921
OG0000048	Syao.g_02077	Praz.g_00800
OG0000052	Syao.g_01085	Praz.g_01103
OG0000053	Syao.g_00067	Praz.g_01021
OG0000054	Syao.g_00295, Syao.g_00625	Praz.g_01724
OG0000055	Syao.g_00498	Praz.g_01531
OG0000057	Syao.g_00377	Praz.g_01632
OG0000058	Syao.g_01978, Syao.g_01080	Praz.g_01096
OG0000059	Syao.g_01959	Praz.g_01071
OG0000059	Syao.g_01801	Praz.g_00311
OG0000061	Syao.g_00123	Praz.g_00755
OG0000062	Syao.g_01576	Praz.g_00963
OG0000063	Syao.g_02230	Praz.g_00398
OG0000065	Syao.g_02600	Praz.g_00467
OG0000066	Syao.g_01422	Praz.g_01789
OG0000067	Syao.g_00756	Praz.g_01512
OG0000068	Syao.g_00868, Syao.g_00036	Praz.g_01139
OG0000069	Syao.g_01265, Syao.g_01460, Syao.g_00313	Praz.g_00928
OG0000070	Syao.g_00330	Praz.g_01878
OG0000071	Syao.g_01433	Praz.g_01180
OG0000072	Syao.g_02509, Syao.g_01749	Praz.g_00531
OG0000073	Syao.g_00103	Praz.g_01829
OG0000075	Syao.g_02257	Praz.g_00230
OG0000076	Syao.g_01949	Praz.g_00205
OG0000077	Syao.g_02629	Praz.g_00438
OG0000078	Syao.g_01709	Praz.g_00599
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Praz.g_00612
OG0000082	Syao.g_01035	Praz.g_01744
OG0000084	Syao.g_01509, Syao.g_02606	Praz.g_01045
OG0000085	Syao.g_01569	Praz.g_00884
OG0000086	Syao.g_02653, Syao.g_01240	Praz.g_00448
OG0000087	Syao.g_02555	Praz.g_00499
OG0000088	Syao.g_02503	Praz.g_00526
OG0000089	Syao.g_01716	Praz.g_00818
OG0000090	Syao.g_01412	Praz.g_01795
OG0000091	Syao.g_00902	Praz.g_01688
