Orthogroup	Prbb	Prag
OG0000000	Prbb.g_00844	Prag.g_01382
OG0000000	Prbb.g_00683, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549	Prag.g_00656
OG0000001	Prbb.g_01313	Prag.g_01626
OG0000002	Prbb.g_01611	Prag.g_01374
OG0000002	Prbb.g_00474, Prbb.g_01915	Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000003	Prbb.g_01144, Prbb.g_00429, Prbb.g_01321, Prbb.g_01356, Prbb.g_01246, Prbb.g_01792	Prag.g_01333
OG0000004	Prbb.g_00425, Prbb.g_01814	Prag.g_00726, Prag.g_00734, Prag.g_01332
OG0000005	Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_01354, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prag.g_00721
OG0000006	Prbb.g_00501	Prag.g_00476
OG0000006	Prbb.g_01823	Prag.g_01669
OG0000007	Prbb.g_01884	Prag.g_01655
OG0000007	Prbb.g_01885	Prag.g_01656
OG0000009	Prbb.g_00761	Prag.g_00786
OG0000010	Prbb.g_01294	Prag.g_01636, Prag.g_01103, Prag.g_01319
OG0000011	Prbb.g_00386	Prag.g_00321
OG0000012	Prbb.g_00598, Prbb.g_00605	Prag.g_00576
OG0000013	Prbb.g_01158	Prag.g_00765
OG0000014	Prbb.g_01375	Prag.g_00449, Prag.g_01336, Prag.g_01646
OG0000015	Prbb.g_01189	Prag.g_00374
OG0000016	Prbb.g_01632	Prag.g_01385
OG0000017	Prbb.g_01705	Prag.g_01510
OG0000018	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prag.g_00234, Prag.g_01231
OG0000019	Prbb.g_00099	Prag.g_01633
OG0000020	Prbb.g_00325	Prag.g_00368, Prag.g_01658
OG0000021	Prbb.g_01362, Prbb.g_01096, Prbb.g_01626, Prbb.g_01379, Prbb.g_01020, Prbb.g_01019	Prag.g_00788
OG0000022	Prbb.g_01119, Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01243, Prbb.g_01400	Prag.g_01647
OG0000024	Prbb.g_00357	Prag.g_00297
OG0000025	Prbb.g_00116, Prbb.g_01452	Prag.g_01071
OG0000026	Prbb.g_01921	Prag.g_00033
OG0000028	Prbb.g_01686	Prag.g_01488
OG0000029	Prbb.g_01324, Prbb.g_01729	Prag.g_01601
OG0000030	Prbb.g_01808, Prbb.g_01663, Prbb.g_01954, Prbb.g_00046, Prbb.g_01806, Prbb.g_01562, Prbb.g_01563, Prbb.g_01570, Prbb.g_00045	Prag.g_00038
OG0000031	Prbb.g_01391	Prag.g_01645
OG0000032	Prbb.g_00387	Prag.g_01446
OG0000033	Prbb.g_01919	Prag.g_01638
OG0000035	Prbb.g_01449	Prag.g_01259
OG0000036	Prbb.g_01882	Prag.g_00563
OG0000037	Prbb.g_01111	Prag.g_00601
OG0000038	Prbb.g_01231	Prag.g_00757
OG0000039	Prbb.g_00223	Prag.g_00159
OG0000040	Prbb.g_01411, Prbb.g_01373	Prag.g_00354
OG0000042	Prbb.g_00713	Prag.g_00692
OG0000043	Prbb.g_00954	Prag.g_00791
OG0000046	Prbb.g_01816	Prag.g_01662
OG0000047	Prbb.g_02061	Prag.g_01861
OG0000048	Prbb.g_02069	Prag.g_01868
OG0000050	Prbb.g_00032	Prag.g_00031
OG0000051	Prbb.g_00214	Prag.g_00150
OG0000052	Prbb.g_01197, Prbb.g_01329	Prag.g_00364
OG0000053	Prbb.g_00542	Prag.g_00518
OG0000054	Prbb.g_00053	Prag.g_00751
OG0000055	Prbb.g_00807, Prbb.g_01218	Prag.g_00828
OG0000056	Prbb.g_00054	Prag.g_01108
OG0000057	Prbb.g_00294	Prag.g_00230
OG0000058	Prbb.g_00873, Prbb.g_00478	Prag.g_00454
OG0000059	Prbb.g_01359, Prbb.g_00706	Prag.g_00676
OG0000060	Prbb.g_01212	Prag.g_00732
OG0000061	Prbb.g_01627	Prag.g_00984
OG0000062	Prbb.g_01887	Prag.g_01120
OG0000063	Prbb.g_01399	Prag.g_01298
OG0000065	Prbb.g_01586	Prag.g_01355
OG0000066	Prbb.g_00678	Prag.g_01423
OG0000068	Prbb.g_02001	Prag.g_01804
OG0000069	Prbb.g_01723	Prag.g_01416
OG0000071	Prbb.g_00012	Prag.g_00011
OG0000072	Prbb.g_00373	Prag.g_00313
OG0000073	Prbb.g_00673	Prag.g_00647
OG0000074	Prbb.g_00697, Prbb.g_00698	Prag.g_00669
OG0000075	Prbb.g_00790	Prag.g_00813
OG0000076	Prbb.g_01070	Prag.g_01036
OG0000078	Prbb.g_00388	Prag.g_01424
OG0000079	Prbb.g_01768	Prag.g_01568
OG0000080	Prbb.g_01208	Prag.g_01617
OG0000081	Prbb.g_02034	Prag.g_01834
OG0000082	Prbb.g_02143	Prag.g_01923
OG0000083	Prbb.g_00003	Prag.g_00003
OG0000084	Prbb.g_00006, Prbb.g_00007	Prag.g_00006
OG0000085	Prbb.g_00024	Prag.g_00023
OG0000086	Prbb.g_01195	Prag.g_00391
OG0000087	Prbb.g_00064	Prag.g_00049
OG0000088	Prbb.g_00170	Prag.g_00106
OG0000089	Prbb.g_00179	Prag.g_00114
OG0000090	Prbb.g_00196	Prag.g_00132
OG0000091	Prbb.g_00226	Prag.g_00162
OG0000092	Prbb.g_00227	Prag.g_00163
OG0000093	Prbb.g_00240	Prag.g_00177
OG0000094	Prbb.g_00259	Prag.g_00195
OG0000095	Prbb.g_00263	Prag.g_00200
