Orthogroup	Prbc	Pral
OG0000000	Prbc.g_02163, Prbc.g_00103	Pral.g_01331
OG0000000	Prbc.g_00609, Prbc.g_00812	Pral.g_00040, Pral.g_01332
OG0000000	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806, Prbc.g_02165	Pral.g_00037
OG0000000	Prbc.g_00618	Pral.g_00038
OG0000000	Prbc.g_02167	Pral.g_00038
OG0000000	Prbc.g_00618	Pral.g_01333
OG0000000	Prbc.g_02167	Pral.g_01333
OG0000001	Prbc.g_00588	Pral.g_01236
OG0000001	Prbc.g_01530, Prbc.g_00925	Pral.g_01671
OG0000002	Prbc.g_01920	Pral.g_01549
OG0000002	Prbc.g_01475	Pral.g_01340
OG0000002	Prbc.g_01474	Pral.g_00430, Pral.g_01342
OG0000002	Prbc.g_01479, Prbc.g_01473	Pral.g_01337
OG0000002	Prbc.g_01478	Pral.g_01052
OG0000002	Prbc.g_01759	Pral.g_01764
OG0000004	Prbc.g_01381	Pral.g_01743
OG0000004	Prbc.g_00339	Pral.g_00809
OG0000005	Prbc.g_00788	Pral.g_01075
OG0000006	Prbc.g_02202	Pral.g_00797
OG0000007	Prbc.g_01556	Pral.g_00593
OG0000007	Prbc.g_00832	Pral.g_00107
OG0000008	Prbc.g_00893	Pral.g_00020
OG0000008	Prbc.g_00894	Pral.g_00021
OG0000009	Prbc.g_01344	Pral.g_01065, Pral.g_01163
OG0000010	Prbc.g_01533	Pral.g_00618
OG0000010	Prbc.g_02115	Pral.g_01832, Pral.g_01848
OG0000011	Prbc.g_00136	Pral.g_00064
OG0000012	Prbc.g_02155	Pral.g_00015
OG0000013	Prbc.g_01219	Pral.g_00712
OG0000014	Prbc.g_01198	Pral.g_00732
OG0000014	Prbc.g_00680	Pral.g_00637, Pral.g_01261
OG0000015	Prbc.g_00599	Pral.g_01813
OG0000018	Prbc.g_01887	Pral.g_01516
OG0000018	Prbc.g_01468	Pral.g_01346
OG0000019	Prbc.g_01836	Pral.g_01344
OG0000020	Prbc.g_00054	Pral.g_00443, Pral.g_01883
OG0000020	Prbc.g_00116	Pral.g_01891
OG0000021	Prbc.g_00924	Pral.g_01667
OG0000021	Prbc.g_02189	Pral.g_01738
OG0000022	Prbc.g_00166	Pral.g_00044
OG0000023	Prbc.g_00006, Prbc.g_00047, Prbc.g_00071	Pral.g_01687
OG0000024	Prbc.g_00598	Pral.g_01895
OG0000025	Prbc.g_01115, Prbc.g_00528, Prbc.g_01894	Pral.g_01523
OG0000026	Prbc.g_01101	Pral.g_01012
OG0000027	Prbc.g_00072	Pral.g_01036, Pral.g_00039
OG0000028	Prbc.g_00653	Pral.g_00053
OG0000030	Prbc.g_00199	Pral.g_00316
OG0000031	Prbc.g_01228	Pral.g_01193
OG0000032	Prbc.g_00746	Pral.g_01121
OG0000033	Prbc.g_00402	Pral.g_00874
OG0000034	Prbc.g_00575	Pral.g_01271
OG0000035	Prbc.g_00709	Pral.g_01161, Pral.g_01165
OG0000037	Prbc.g_00464	Pral.g_00938
OG0000038	Prbc.g_00995	Pral.g_00356
OG0000039	Prbc.g_01768	Pral.g_01755
OG0000041	Prbc.g_00877	Pral.g_00155
OG0000042	Prbc.g_00203	Pral.g_00313
OG0000043	Prbc.g_00135, Prbc.g_01953	Pral.g_01347
OG0000044	Prbc.g_00533	Pral.g_01888
OG0000045	Prbc.g_02137	Pral.g_01322
OG0000046	Prbc.g_01220	Pral.g_00711
OG0000047	Prbc.g_01273	Pral.g_00672
OG0000048	Prbc.g_01165	Pral.g_00768
OG0000051	Prbc.g_00095	Pral.g_00095
OG0000052	Prbc.g_00518, Prbc.g_00517	Pral.g_00987
OG0000053	Prbc.g_00728	Pral.g_01139, Pral.g_00066
OG0000054	Prbc.g_01683	Pral.g_00482
OG0000055	Prbc.g_00907	Pral.g_00082
OG0000056	Prbc.g_00532, Prbc.g_00011, Prbc.g_01108	Pral.g_01041
OG0000057	Prbc.g_00055, Prbc.g_01780	Pral.g_01740
OG0000058	Prbc.g_01928	Pral.g_01202
OG0000059	Prbc.g_00958	Pral.g_00195
OG0000061	Prbc.g_01446	Pral.g_01367
OG0000062	Prbc.g_00790	Pral.g_01073
OG0000063	Prbc.g_00932	Pral.g_00435
OG0000065	Prbc.g_00466	Pral.g_00940
OG0000066	Prbc.g_01618	Pral.g_00551
OG0000067	Prbc.g_01858	Pral.g_01488
OG0000068	Prbc.g_00657	Pral.g_01222
OG0000069	Prbc.g_02181	Pral.g_01164
OG0000069	Prbc.g_00752	Pral.g_01114
OG0000070	Prbc.g_01511	Pral.g_00643
OG0000071	Prbc.g_00566	Pral.g_01281
