Orthogroup	Praf	Syad
OG0000001	Praf.g_01031	Syad.g_02864
OG0000001	Praf.g_02422	Syad.g_02865
OG0000002	Praf.g_01631, Praf.g_00948	Syad.g_00619
OG0000003	Praf.g_02727	Syad.g_01931, Syad.g_01926, Syad.g_02599
OG0000003	Praf.g_02523, Praf.g_01086, Praf.g_02530, Praf.g_01260, Praf.g_02464, Praf.g_01101, Praf.g_01162, Praf.g_00199, Praf.g_00383, Praf.g_01762, Praf.g_02595, Praf.g_01088, Praf.g_01104, Praf.g_01995, Praf.g_00381, Praf.g_00343, Praf.g_00382, Praf.g_00473	Syad.g_01998, Syad.g_02748, Syad.g_02240, Syad.g_01927, Syad.g_01929, Syad.g_02601, Syad.g_01996
OG0000003	Praf.g_01103	Syad.g_01327, Syad.g_01331
OG0000004	Praf.g_01121	Syad.g_01304
OG0000004	Praf.g_00743	Syad.g_02184, Syad.g_00810
OG0000005	Praf.g_00503	Syad.g_02596
OG0000006	Praf.g_00396, Praf.g_01719	Syad.g_02130, Syad.g_00588, Syad.g_00829
OG0000007	Praf.g_00614	Syad.g_00923
OG0000007	Praf.g_00480	Syad.g_02623
OG0000008	Praf.g_01224	Syad.g_01371
OG0000009	Praf.g_01768, Praf.g_00246	Syad.g_02799
OG0000010	Praf.g_01908	Syad.g_02354
OG0000011	Praf.g_01188, Praf.g_01190	Syad.g_02006
OG0000012	Praf.g_01668	Syad.g_02176
OG0000013	Praf.g_02073	Syad.g_00729, Syad.g_00737, Syad.g_00724
OG0000014	Praf.g_02319	Syad.g_00480
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syad.g_00142, Syad.g_01600, Syad.g_01601
OG0000016	Praf.g_00014	Syad.g_00176
OG0000016	Praf.g_00906	Syad.g_01460
OG0000017	Praf.g_00752	Syad.g_01084
OG0000017	Praf.g_00760	Syad.g_01091
OG0000018	Praf.g_01832	Syad.g_02306
OG0000019	Praf.g_02214	Syad.g_00569
OG0000020	Praf.g_01095	Syad.g_00845
OG0000021	Praf.g_00946, Praf.g_01089, Praf.g_00746	Syad.g_01835, Syad.g_00874
OG0000022	Praf.g_00965	Syad.g_02090
OG0000024	Praf.g_01139	Syad.g_01374
OG0000025	Praf.g_01591	Syad.g_01241
OG0000026	Praf.g_00037	Syad.g_00198
OG0000028	Praf.g_02333	Syad.g_00463
OG0000029	Praf.g_02091, Praf.g_02647	Syad.g_02099
OG0000030	Praf.g_00160	Syad.g_00328
OG0000030	Praf.g_00159	Syad.g_00327
OG0000031	Praf.g_02400	Syad.g_00458
OG0000031	Praf.g_00101	Syad.g_00294
OG0000032	Praf.g_01851	Syad.g_02326
OG0000033	Praf.g_02457	Syad.g_02903, Syad.g_00289
OG0000034	Praf.g_00783	Syad.g_02420, Syad.g_02872
OG0000035	Praf.g_01794	Syad.g_02275
OG0000037	Praf.g_00240	Syad.g_02805
OG0000038	Praf.g_02660	Syad.g_03038
OG0000039	Praf.g_02541	Syad.g_01111
OG0000041	Praf.g_00426	Syad.g_02498, Syad.g_01281
OG0000042	Praf.g_00164, Praf.g_00920	Syad.g_00333
OG0000044	Praf.g_00356, Praf.g_01078	Syad.g_02214
OG0000045	Praf.g_00322	Syad.g_00964
OG0000046	Praf.g_02072	Syad.g_00730, Syad.g_00736, Syad.g_00723
OG0000047	Praf.g_01864, Praf.g_01898	Syad.g_00754
OG0000048	Praf.g_02267	Syad.g_00534
OG0000050	Praf.g_01105	Syad.g_02478
OG0000051	Praf.g_01479	Syad.g_01967
OG0000052	Praf.g_02366	Syad.g_00434
OG0000053	Praf.g_01828	Syad.g_02302
OG0000054	Praf.g_00763	Syad.g_02209
OG0000055	Praf.g_01257	Syad.g_01255
OG0000057	Praf.g_01125	Syad.g_01301
OG0000058	Praf.g_02345	Syad.g_00452
OG0000059	Praf.g_02172	Syad.g_00642
OG0000060	Praf.g_00592	Syad.g_00899
OG0000061	Praf.g_00854	Syad.g_01152
OG0000062	Praf.g_00501	Syad.g_02598
OG0000063	Praf.g_00041	Syad.g_00202
OG0000066	Praf.g_00672	Syad.g_00992
OG0000067	Praf.g_01530	Syad.g_01889
OG0000068	Praf.g_00585, Praf.g_00583	Syad.g_00891
OG0000070	Praf.g_01962	Syad.g_02424
OG0000071	Praf.g_00796	Syad.g_02405
OG0000073	Praf.g_00616	Syad.g_00926
OG0000075	Praf.g_02384	Syad.g_00416
OG0000076	Praf.g_00178	Syad.g_00348
OG0000078	Praf.g_00391	Syad.g_00824
OG0000079	Praf.g_02225	Syad.g_00565
OG0000081	Praf.g_01131	Syad.g_00833
OG0000082	Praf.g_00731	Syad.g_01063
OG0000084	Praf.g_01790	Syad.g_02272
OG0000085	Praf.g_00491	Syad.g_02612
OG0000086	Praf.g_00297	Syad.g_02770
OG0000087	Praf.g_02420	Syad.g_02860
OG0000088	Praf.g_02454, Praf.g_01239	Syad.g_02899
OG0000089	Praf.g_02015	Syad.g_00785, Syad.g_02829
OG0000090	Praf.g_00660	Syad.g_00977
OG0000091	Praf.g_01700	Syad.g_02144
OG0000093	Praf.g_01503	Syad.g_01905
OG0000094	Praf.g_02685	Syad.g_01676
OG0000095	Praf.g_01274	Syad.g_01290
OG0000097	Praf.g_00905	Syad.g_01458
OG0000098	Praf.g_01886	Syad.g_00625
OG0000099	Praf.g_02342	Syad.g_00460
OG0000100	Praf.g_00370, Praf.g_01561	Syad.g_01846
OG0000101	Praf.g_02119	Syad.g_00694
OG0000102	Praf.g_00173	Syad.g_00343
OG0000103	Praf.g_02765	Syad.g_00143
OG0000104	Praf.g_02779	Syad.g_00158
OG0000105	Praf.g_02271	Syad.g_00530
OG0000106	Praf.g_00496	Syad.g_01993
OG0000107	Praf.g_02201	Syad.g_00590
OG0000108	Praf.g_00595	Syad.g_00904
OG0000109	Praf.g_00611	Syad.g_00919
OG0000110	Praf.g_00718	Syad.g_01048
OG0000111	Praf.g_01126	Syad.g_01300
OG0000112	Praf.g_01400	Syad.g_01766
OG0000113	Praf.g_01556	Syad.g_01851
OG0000114	Praf.g_01461	Syad.g_01617
OG0000115	Praf.g_01825	Syad.g_02300
OG0000116	Praf.g_00825	Syad.g_01123
OG0000117	Praf.g_00919	Syad.g_01510
OG0000118	Praf.g_00779	Syad.g_01104
OG0000119	Praf.g_01108, Praf.g_01143	Syad.g_01168
OG0000120	Praf.g_02343	Syad.g_00459
OG0000121	Praf.g_01796	Syad.g_02280
OG0000122	Praf.g_00976	Syad.g_02122
OG0000123	Praf.g_02108	Syad.g_00701
OG0000124	Praf.g_00153	Syad.g_00320
OG0000125	Praf.g_02664	Syad.g_03040
OG0000126	Praf.g_02777	Syad.g_00156
OG0000127	Praf.g_00338	Syad.g_02710
OG0000128	Praf.g_00012	Syad.g_00174
OG0000129	Praf.g_02652	Syad.g_03028
OG0000130	Praf.g_00321	Syad.g_02728
OG0000131	Praf.g_02432	Syad.g_02876
OG0000132	Praf.g_02452	Syad.g_02897
OG0000133	Praf.g_02336	Syad.g_01761
OG0000134	Praf.g_02012	Syad.g_00788
OG0000135	Praf.g_02715	Syad.g_00063
OG0000136	Praf.g_01984	Syad.g_02445
OG0000137	Praf.g_01907	Syad.g_02353
OG0000138	Praf.g_00612	Syad.g_00920
OG0000139	Praf.g_00666	Syad.g_00983
OG0000140	Praf.g_00670	Syad.g_00987
OG0000141	Praf.g_00764	Syad.g_02208
OG0000142	Praf.g_01692	Syad.g_02152
OG0000143	Praf.g_01696	Syad.g_02148
OG0000144	Praf.g_01721	Syad.g_02024
OG0000145	Praf.g_00617	Syad.g_00927
OG0000146	Praf.g_01401	Syad.g_01767
OG0000147	Praf.g_01402	Syad.g_01768
OG0000148	Praf.g_01548	Syad.g_01861
OG0000149	Praf.g_01604	Syad.g_01221
OG0000150	Praf.g_01625	Syad.g_02207, Syad.g_00989
OG0000151	Praf.g_01478	Syad.g_01956
OG0000152	Praf.g_01392	Syad.g_01757
OG0000153	Praf.g_01362	Syad.g_01713
OG0000154	Praf.g_01337	Syad.g_01686
OG0000155	Praf.g_00886	Syad.g_01189
OG0000156	Praf.g_00810	Syad.g_01116
OG0000157	Praf.g_00809	Syad.g_01115
OG0000158	Praf.g_02394	Syad.g_00374
OG0000160	Praf.g_01795	Syad.g_02279
OG0000161	Praf.g_01805	Syad.g_02287
OG0000162	Praf.g_01817	Syad.g_02293
OG0000163	Praf.g_00538	Syad.g_02542
OG0000164	Praf.g_00453	Syad.g_02659
OG0000165	Praf.g_00444	Syad.g_02476
OG0000166	Praf.g_02157	Syad.g_00654
OG0000167	Praf.g_02382, Praf.g_02378, Praf.g_02380	Syad.g_00419
OG0000168	Praf.g_02395	Syad.g_00371
OG0000169	Praf.g_00191	Syad.g_00360
OG0000170	Praf.g_00183	Syad.g_00353
OG0000171	Praf.g_00154	Syad.g_00321
OG0000172	Praf.g_00087	Syad.g_00244
OG0000173	Praf.g_00062	Syad.g_00220
OG0000174	Praf.g_02717	Syad.g_00065
OG0000175	Praf.g_02754	Syad.g_00129
OG0000176	Praf.g_00004	Syad.g_00166
OG0000177	Praf.g_00005	Syad.g_00167
OG0000178	Praf.g_00006	Syad.g_00168
OG0000179	Praf.g_00021	Syad.g_00183
OG0000180	Praf.g_00022	Syad.g_00184
OG0000181	Praf.g_00023	Syad.g_00185
OG0000182	Praf.g_00024	Syad.g_00186
OG0000183	Praf.g_00028	Syad.g_00190
OG0000184	Praf.g_02611	Syad.g_03018
OG0000185	Praf.g_00333	Syad.g_03006
OG0000186	Praf.g_00328	Syad.g_02722
OG0000187	Praf.g_00326	Syad.g_02724
OG0000188	Praf.g_00303	Syad.g_02759
OG0000189	Praf.g_00257	Syad.g_02788
OG0000190	Praf.g_00255	Syad.g_02790
OG0000191	Praf.g_00218	Syad.g_02824
OG0000192	Praf.g_00212	Syad.g_02834
OG0000193	Praf.g_02433	Syad.g_02877
OG0000194	Praf.g_02436	Syad.g_02880
OG0000195	Praf.g_02438	Syad.g_02884
OG0000196	Praf.g_02449	Syad.g_02894
OG0000197	Praf.g_02450	Syad.g_02895
OG0000198	Praf.g_02451	Syad.g_02896
OG0000199	Praf.g_02468	Syad.g_02904
OG0000200	Praf.g_02492	Syad.g_02921
OG0000201	Praf.g_02511	Syad.g_02937
OG0000202	Praf.g_02512	Syad.g_02938
OG0000203	Praf.g_02513	Syad.g_02939
OG0000204	Praf.g_02514	Syad.g_02940
OG0000205	Praf.g_02521	Syad.g_02948
OG0000206	Praf.g_02532	Syad.g_02955
OG0000207	Praf.g_02582	Syad.g_02957
OG0000208	Praf.g_02581	Syad.g_02958
OG0000209	Praf.g_02557	Syad.g_02981
OG0000210	Praf.g_02556	Syad.g_02982
OG0000211	Praf.g_00378	Syad.g_00813
OG0000212	Praf.g_00392	Syad.g_00825
OG0000213	Praf.g_02245	Syad.g_00556
OG0000214	Praf.g_02263	Syad.g_00538
OG0000215	Praf.g_02293	Syad.g_00508
OG0000216	Praf.g_02296	Syad.g_00285
OG0000217	Praf.g_02300	Syad.g_00500
OG0000218	Praf.g_02302	Syad.g_00498
OG0000219	Praf.g_02303	Syad.g_00497
OG0000220	Praf.g_02304	Syad.g_00496
OG0000221	Praf.g_02314	Syad.g_00488
OG0000222	Praf.g_02323	Syad.g_00473
OG0000223	Praf.g_02347	Syad.g_00451
OG0000224	Praf.g_02358	Syad.g_00444
OG0000225	Praf.g_02030	Syad.g_00777
OG0000226	Praf.g_02026	Syad.g_00781
OG0000227	Praf.g_02024	Syad.g_00783
OG0000228	Praf.g_02016	Syad.g_00784
OG0000229	Praf.g_01989	Syad.g_02450
OG0000230	Praf.g_01987	Syad.g_02448
OG0000231	Praf.g_01963	Syad.g_02436
OG0000232	Praf.g_01952	Syad.g_02392
OG0000233	Praf.g_01938	Syad.g_02382
OG0000234	Praf.g_01905	Syad.g_02351
OG0000235	Praf.g_00594	Syad.g_00903
OG0000236	Praf.g_00610	Syad.g_00918
OG0000237	Praf.g_00627	Syad.g_00936
OG0000238	Praf.g_00631	Syad.g_00941
OG0000239	Praf.g_00647	Syad.g_00957
OG0000240	Praf.g_00648	Syad.g_00958
OG0000241	Praf.g_01177	Syad.g_02160
OG0000242	Praf.g_00658	Syad.g_00975
OG0000243	Praf.g_00681	Syad.g_01000
