Orthogroup	Pray	Syac
OG0000001	Pray.g_01844	Syac.g_02154, Syac.g_00341, Syac.g_00340, Syac.g_02169
OG0000002	Pray.g_01836, Pray.g_01085	Syac.g_01084
OG0000004	Pray.g_01068	Syac.g_00898
OG0000004	Pray.g_00713	Syac.g_00948, Syac.g_01975
OG0000005	Pray.g_01546	Syac.g_00527
OG0000005	Pray.g_01646	Syac.g_00569
OG0000006	Pray.g_00722	Syac.g_01002, Syac.g_01958, Syac.g_01961, Syac.g_02194
OG0000007	Pray.g_00988, Pray.g_00987	Syac.g_01885
OG0000007	Pray.g_01559	Syac.g_00544
OG0000008	Pray.g_01931	Syac.g_00921
OG0000009	Pray.g_00184	Syac.g_01004, Syac.g_00398
OG0000010	Pray.g_00592	Syac.g_01701
OG0000011	Pray.g_01930	Syac.g_00924
OG0000012	Pray.g_01140	Syac.g_00955, Syac.g_00758, Syac.g_01577
OG0000013	Pray.g_00805	Syac.g_02056, Syac.g_02046, Syac.g_02062
OG0000014	Pray.g_00784	Syac.g_00253
OG0000015	Pray.g_00309	Syac.g_01408
OG0000016	Pray.g_01475	Syac.g_00014
OG0000017	Pray.g_01165	Syac.g_01749, Syac.g_01742
OG0000018	Pray.g_00083	Syac.g_01660
OG0000019	Pray.g_00730, Pray.g_00328	Syac.g_02207
OG0000022	Pray.g_00101	Syac.g_01031
OG0000023	Pray.g_00838	Syac.g_00760
OG0000024	Pray.g_00289, Pray.g_01088	Syac.g_00925
OG0000025	Pray.g_00809, Pray.g_00383	Syac.g_00847
OG0000026	Pray.g_01493, Pray.g_00599	Syac.g_00034
OG0000027	Pray.g_00960, Pray.g_01887	Syac.g_01095, Syac.g_01009
OG0000028	Pray.g_01935, Pray.g_00798	Syac.g_00237
OG0000029	Pray.g_00296, Pray.g_00853	Syac.g_01942
OG0000030	Pray.g_01374	Syac.g_00143, Syac.g_00142
OG0000031	Pray.g_01806	Syac.g_00232
OG0000034	Pray.g_01860	Syac.g_00334, Syac.g_00715
OG0000035	Pray.g_01722	Syac.g_01630
OG0000037	Pray.g_00180	Syac.g_01077
OG0000038	Pray.g_01415	Syac.g_02357, Syac.g_02358
OG0000039	Pray.g_01077	Syac.g_00856, Syac.g_02378
OG0000040	Pray.g_01585	Syac.g_01006
OG0000040	Pray.g_00084	Syac.g_02437
OG0000042	Pray.g_01371	Syac.g_00146
OG0000043	Pray.g_01924	Syac.g_00808
OG0000044	Pray.g_00002	Syac.g_00477, Syac.g_00858
OG0000045	Pray.g_00849	Syac.g_01040
OG0000047	Pray.g_00808, Pray.g_00897	Syac.g_02031
OG0000048	Pray.g_00852	Syac.g_02240
OG0000050	Pray.g_00619	Syac.g_01937
OG0000051	Pray.g_01894	Syac.g_01073
OG0000053	Pray.g_01702	Syac.g_01657
OG0000054	Pray.g_01157	Syac.g_00933, Syac.g_01050
OG0000055	Pray.g_00329	Syac.g_01034, Syac.g_00859
OG0000057	Pray.g_01065	Syac.g_00894
OG0000058	Pray.g_01786	Syac.g_00226
OG0000059	Pray.g_01258	Syac.g_02142
OG0000061	Pray.g_00064	Syac.g_00769
OG0000062	Pray.g_01644	Syac.g_00567
OG0000063	Pray.g_01495	Syac.g_00037
OG0000065	Pray.g_00182	Syac.g_00396, Syac.g_00490
OG0000066	Pray.g_01222	Syac.g_01827
OG0000067	Pray.g_00348	Syac.g_01341
OG0000068	Pray.g_01829	Syac.g_01916
