Orthogroup	Prbl	Syaq
OG0000001	Prbl.g_00808, Prbl.g_02598	Syaq.g_01434
OG0000004	Prbl.g_00021	Syaq.g_02603
OG0000004	Prbl.g_01771	Syaq.g_02042, Syaq.g_01567
OG0000005	Prbl.g_00419	Syaq.g_01692
OG0000006	Prbl.g_02601	Syaq.g_02108, Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prbl.g_00531	Syaq.g_01793
OG0000007	Prbl.g_00394	Syaq.g_01673
OG0000008	Prbl.g_01855	Syaq.g_02162
OG0000008	Prbl.g_01854	Syaq.g_02575
OG0000009	Prbl.g_00155, Prbl.g_00554	Syaq.g_01489
OG0000010	Prbl.g_01341	Syaq.g_00443
OG0000012	Prbl.g_01618	Syaq.g_02059
OG0000013	Prbl.g_01183	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prbl.g_01416	Syaq.g_00862
OG0000015	Prbl.g_01566	Syaq.g_00121, Syaq.g_01171, Syaq.g_02255
OG0000017	Prbl.g_01763	Syaq.g_01992
OG0000017	Prbl.g_01755	Syaq.g_01999
OG0000018	Prbl.g_00694	Syaq.g_00401
OG0000019	Prbl.g_01097, Prbl.g_01509	Syaq.g_00717
OG0000022	Prbl.g_01072	Syaq.g_02126
OG0000023	Prbl.g_02355	Syaq.g_02540
OG0000025	Prbl.g_01539	Syaq.g_02381
OG0000026	Prbl.g_01977	Syaq.g_01114
OG0000028	Prbl.g_00900	Syaq.g_00878
OG0000030	Prbl.g_02061	Syaq.g_01047
OG0000030	Prbl.g_02060	Syaq.g_01048
OG0000031	Prbl.g_00835, Prbl.g_00830	Syaq.g_01009
OG0000032	Prbl.g_00712	Syaq.g_00421
OG0000033	Prbl.g_00278	Syaq.g_01399
OG0000034	Prbl.g_01734	Syaq.g_00312, Syaq.g_01431
OG0000035	Prbl.g_00242	Syaq.g_00371
OG0000037	Prbl.g_00548	Syaq.g_01483
OG0000038	Prbl.g_02235	Syaq.g_01260
OG0000038	Prbl.g_02233	Syaq.g_01258
OG0000039	Prbl.g_00318	Syaq.g_01601
OG0000039	Prbl.g_01272	Syaq.g_01241
OG0000041	Prbl.g_00339	Syaq.g_02688
OG0000042	Prbl.g_01236, Prbl.g_01121	Syaq.g_00200, Syaq.g_01044
OG0000044	Prbl.g_01937, Prbl.g_01006, Prbl.g_02631, Prbl.g_02612	Syaq.g_00107
OG0000045	Prbl.g_00609	Syaq.g_02047
OG0000046	Prbl.g_01184	Syaq.g_00570, Syaq.g_00573
OG0000048	Prbl.g_01465	Syaq.g_00749
OG0000052	Prbl.g_00870	Syaq.g_00969
OG0000053	Prbl.g_00691	Syaq.g_00397
OG0000054	Prbl.g_01752	Syaq.g_02005
OG0000057	Prbl.g_00025	Syaq.g_02541, Syaq.g_02605
OG0000058	Prbl.g_00890	Syaq.g_00944
OG0000059	Prbl.g_00952	Syaq.g_00657
OG0000060	Prbl.g_00508	Syaq.g_01770
OG0000061	Prbl.g_02084	Syaq.g_00249
OG0000062	Prbl.g_00417	Syaq.g_01690
OG0000063	Prbl.g_01981	Syaq.g_01110
OG0000065	Prbl.g_00552	Syaq.g_01487
OG0000066	Prbl.g_00752	Syaq.g_01851
OG0000067	Prbl.g_02335	Syaq.g_02340
OG0000068	Prbl.g_00502	Syaq.g_01763
OG0000070	Prbl.g_00634	Syaq.g_00484
OG0000071	Prbl.g_01722	Syaq.g_00297
OG0000072	Prbl.g_00276	Syaq.g_01397
OG0000073	Prbl.g_00533	Syaq.g_01795
OG0000075	Prbl.g_00855	Syaq.g_00986
OG0000076	Prbl.g_01285	Syaq.g_01028
OG0000077	Prbl.g_00631, Prbl.g_00596	Syaq.g_01547
OG0000078	Prbl.g_00193	Syaq.g_01585
OG0000079	Prbl.g_01505	Syaq.g_00721
OG0000081	Prbl.g_01036	Syaq.g_01893
OG0000082	Prbl.g_01783	Syaq.g_01975
OG0000084	Prbl.g_00246	Syaq.g_00367
OG0000085	Prbl.g_00405	Syaq.g_01683
OG0000086	Prbl.g_00583	Syaq.g_01525
OG0000087	Prbl.g_00810	Syaq.g_01438
OG0000088	Prbl.g_00281, Prbl.g_01838	Syaq.g_01402
OG0000089	Prbl.g_02674	Syaq.g_00529
OG0000090	Prbl.g_00766	Syaq.g_01838
OG0000091	Prbl.g_01647	Syaq.g_02090
OG0000093	Prbl.g_02359	Syaq.g_02323
OG0000094	Prbl.g_02209	Syaq.g_00056, Syaq.g_02554
OG0000095	Prbl.g_00927	Syaq.g_02679
OG0000097	Prbl.g_02579	Syaq.g_00167
OG0000098	Prbl.g_00722	Syaq.g_02221, Syaq.g_01849
OG0000099	Prbl.g_00893	Syaq.g_00882
OG0000100	Prbl.g_01914, Prbl.g_02305	Syaq.g_02371
OG0000101	Prbl.g_01000	Syaq.g_00607
OG0000102	Prbl.g_02636	Syaq.g_01033
OG0000103	Prbl.g_02139	Syaq.g_01170
OG0000104	Prbl.g_02125	Syaq.g_01154
OG0000105	Prbl.g_01461	Syaq.g_00754
OG0000106	Prbl.g_00411	Syaq.g_01863
OG0000107	Prbl.g_02681	Syaq.g_00694
OG0000108	Prbl.g_00511	Syaq.g_01772
OG0000109	Prbl.g_00527	Syaq.g_01788
OG0000110	Prbl.g_01795	Syaq.g_01962
OG0000111	Prbl.g_00026	Syaq.g_02606
OG0000112	Prbl.g_02470	Syaq.g_02476
OG0000114	Prbl.g_02407	Syaq.g_02269
OG0000115	Prbl.g_00687	Syaq.g_00395
OG0000116	Prbl.g_02069	Syaq.g_00263
OG0000117	Prbl.g_01384	Syaq.g_00203
OG0000118	Prbl.g_01736	Syaq.g_00325, Syaq.g_00316
OG0000120	Prbl.g_00892	Syaq.g_00883
OG0000121	Prbl.g_00234, Prbl.g_00240	Syaq.g_00375
OG0000122	Prbl.g_01808	Syaq.g_02118
OG0000123	Prbl.g_01135	Syaq.g_00599
OG0000124	Prbl.g_02054	Syaq.g_01055
OG0000125	Prbl.g_02231	Syaq.g_01256
OG0000126	Prbl.g_02127	Syaq.g_01156
OG0000128	Prbl.g_02109	Syaq.g_01138
OG0000129	Prbl.g_02243	Syaq.g_01269
OG0000130	Prbl.g_00608	Syaq.g_01559
OG0000131	Prbl.g_00303	Syaq.g_01427, Syaq.g_01424
OG0000132	Prbl.g_00283	Syaq.g_01404
OG0000133	Prbl.g_00897	Syaq.g_02481
OG0000134	Prbl.g_02677	Syaq.g_00526
OG0000135	Prbl.g_02190	Syaq.g_01227
OG0000136	Prbl.g_00647	Syaq.g_00496
OG0000137	Prbl.g_01340	Syaq.g_00442
OG0000138	Prbl.g_00528	Syaq.g_01789
OG0000139	Prbl.g_00760	Syaq.g_01844
OG0000140	Prbl.g_00754	Syaq.g_01848
OG0000141	Prbl.g_01751	Syaq.g_02010
OG0000142	Prbl.g_01639	Syaq.g_02082
OG0000143	Prbl.g_01643	Syaq.g_02086
OG0000144	Prbl.g_01042	Syaq.g_02152
OG0000145	Prbl.g_00534	Syaq.g_01796
OG0000146	Prbl.g_02469	Syaq.g_02475
OG0000147	Prbl.g_02468	Syaq.g_02474
OG0000148	Prbl.g_02316	Syaq.g_02359
OG0000149	Prbl.g_01552	Syaq.g_02395
OG0000150	Prbl.g_01576	Syaq.g_02011
OG0000151	Prbl.g_02386	Syaq.g_02283
OG0000152	Prbl.g_02478	Syaq.g_02485
OG0000153	Prbl.g_02505	Syaq.g_02518
OG0000154	Prbl.g_02532	Syaq.g_00066
OG0000155	Prbl.g_00185	Syaq.g_00212
OG0000156	Prbl.g_00115	Syaq.g_00281
OG0000157	Prbl.g_00114	Syaq.g_00282
OG0000158	Prbl.g_00843	Syaq.g_01003
OG0000160	Prbl.g_00241	Syaq.g_00374
OG0000161	Prbl.g_00227	Syaq.g_00382
OG0000162	Prbl.g_00221	Syaq.g_00389
OG0000163	Prbl.g_00452	Syaq.g_02373, Syaq.g_01730
OG0000164	Prbl.g_00365	Syaq.g_01642
OG0000165	Prbl.g_00356	Syaq.g_01630
OG0000166	Prbl.g_00962	Syaq.g_00647
OG0000167	Prbl.g_00857	Syaq.g_00983
OG0000168	Prbl.g_00842	Syaq.g_01004
OG0000169	Prbl.g_01302	Syaq.g_01016
