Orthogroup	Praj	Syan
OG0000004	Praj.g_01396	Syan.g_00183
OG0000004	Praj.g_00271	Syan.g_00989
OG0000005	Praj.g_01349	Syan.g_01423
OG0000005	Praj.g_01712	Syan.g_01378
OG0000006	Praj.g_00282, Praj.g_01281, Praj.g_01505	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Praj.g_00489	Syan.g_02743
OG0000007	Praj.g_01768	Syan.g_01400
OG0000008	Praj.g_01829	Syan.g_00640, Syan.g_02532
OG0000008	Praj.g_01830	Syan.g_00641, Syan.g_02531
OG0000010	Praj.g_01026, Praj.g_00466	Syan.g_02847
OG0000012	Praj.g_01066	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Praj.g_00362	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Praj.g_00341	Syan.g_01987
OG0000016	Praj.g_00013	Syan.g_01766
OG0000016	Praj.g_01865	Syan.g_02598, Syan.g_00440
OG0000017	Praj.g_00592	Syan.g_01006
OG0000018	Praj.g_01482, Praj.g_00798	Syan.g_02816
OG0000019	Praj.g_00747	Syan.g_02088
OG0000021	Praj.g_01859, Praj.g_00084	Syan.g_01001
OG0000022	Praj.g_01189, Praj.g_01216	Syan.g_00089
OG0000023	Praj.g_01365, Praj.g_01329	Syan.g_00404
OG0000025	Praj.g_00805	Syan.g_00374
OG0000026	Praj.g_00031	Syan.g_01743
OG0000027	Praj.g_01331	Syan.g_02678
OG0000028	Praj.g_01571	Syan.g_01971
OG0000030	Praj.g_02024	Syan.g_01884, Syan.g_01883
OG0000032	Praj.g_01669	Syan.g_02835
OG0000033	Praj.g_00209	Syan.g_03036
OG0000034	Praj.g_01538	Syan.g_01227, Syan.g_03003
OG0000035	Praj.g_01632	Syan.g_01276
OG0000037	Praj.g_00147	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Praj.g_02089	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Praj.g_00679	Syan.g_02771, Syan.g_00535
OG0000041	Praj.g_01813	Syan.g_01465
OG0000042	Praj.g_02020	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Praj.g_01049	Syan.g_00086, Syan.g_00151
OG0000046	Praj.g_00363	Syan.g_02157, Syan.g_02160
OG0000048	Praj.g_00308	Syan.g_02036
OG0000052	Praj.g_00095	Syan.g_01954, Syan.g_01953
OG0000053	Praj.g_01651	Syan.g_02812
OG0000054	Praj.g_00594	Syan.g_02503
OG0000055	Praj.g_00733, Praj.g_01842	Syan.g_00312
OG0000058	Praj.g_00839	Syan.g_01128, Syan.g_01124
OG0000060	Praj.g_01108	Syan.g_00277
OG0000061	Praj.g_01461	Syan.g_02696
OG0000062	Praj.g_01714	Syan.g_00098
OG0000063	Praj.g_01867	Syan.g_01739
OG0000065	Praj.g_00145	Syan.g_02974
OG0000066	Praj.g_00530	Syan.g_01156
OG0000067	Praj.g_00769	Syan.g_00690
OG0000068	Praj.g_01575	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Praj.g_01276, Praj.g_01675	Syan.g_00278
OG0000070	Praj.g_00444	Syan.g_00289
OG0000071	Praj.g_01528	Syan.g_01213
OG0000072	Praj.g_00211	Syan.g_03038, Syan.g_02999
OG0000073	Praj.g_00491	Syan.g_02741
OG0000075	Praj.g_01987	Syan.g_00981, Syan.g_01937
OG0000076	Praj.g_02012	Syan.g_01896
OG0000077	Praj.g_00116	Syan.g_02919, Syan.g_02579
OG0000079	Praj.g_00291	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Praj.g_01827	Syan.g_00952
OG0000085	Praj.g_01762	Syan.g_01387
OG0000086	Praj.g_00126	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Praj.g_00179	Syan.g_02268
OG0000088	Praj.g_00206	Syan.g_03031
OG0000089	Praj.g_00403	Syan.g_02316
OG0000090	Praj.g_00524	Syan.g_01166
OG0000091	Praj.g_00630	Syan.g_00235, Syan.g_00808
OG0000092	Praj.g_00892	Syan.g_02502
OG0000093	Praj.g_00754	Syan.g_02934
OG0000094	Praj.g_00846	Syan.g_00065
OG0000097	Praj.g_01416	Syan.g_00160, Syan.g_00733
OG0000098	Praj.g_01546	Syan.g_00043
OG0000099	Praj.g_00372	Syan.g_01968
OG0000100	Praj.g_01709	Syan.g_00658
OG0000101	Praj.g_01952	Syan.g_02199
OG0000102	Praj.g_02017	Syan.g_01891
OG0000103	Praj.g_02135	Syan.g_01692
OG0000104	Praj.g_02145	Syan.g_01792
OG0000105	Praj.g_00310	Syan.g_02031
OG0000106	Praj.g_01156, Praj.g_01282	Syan.g_00076
OG0000107	Praj.g_01869	Syan.g_02106
OG0000108	Praj.g_00473	Syan.g_02764
OG0000109	Praj.g_00486	Syan.g_02748
OG0000110	Praj.g_00565	Syan.g_00882
OG0000111	Praj.g_00692	Syan.g_00187
OG0000112	Praj.g_00938	Syan.g_00556, Syan.g_00252
OG0000113	Praj.g_00793, Praj.g_01176	Syan.g_00664
OG0000114	Praj.g_00887	Syan.g_00741
OG0000115	Praj.g_01725	Syan.g_02810
OG0000116	Praj.g_01471	Syan.g_02710, Syan.g_00460
OG0000117	Praj.g_01355	Syan.g_02644
OG0000118	Praj.g_01540	Syan.g_01241, Syan.g_01237
OG0000119	Praj.g_01568	Syan.g_02672
OG0000120	Praj.g_00664	Syan.g_01966
OG0000121	Praj.g_01634	Syan.g_01273
OG0000123	Praj.g_01959	Syan.g_02190
OG0000124	Praj.g_02031	Syan.g_01873
OG0000125	Praj.g_02091	Syan.g_01573
OG0000126	Praj.g_02144	Syan.g_01705
OG0000128	Praj.g_00011	Syan.g_01768
OG0000129	Praj.g_00048	Syan.g_01563
OG0000130	Praj.g_00107	Syan.g_02906, Syan.g_02907
OG0000131	Praj.g_00185	Syan.g_03008
OG0000132	Praj.g_00204	Syan.g_03029
OG0000133	Praj.g_00357	Syan.g_00561
OG0000134	Praj.g_00405	Syan.g_02319
OG0000135	Praj.g_01279	Syan.g_01616
OG0000136	Praj.g_00435	Syan.g_01342
OG0000137	Praj.g_00467	Syan.g_02846
OG0000138	Praj.g_00487	Syan.g_02747
OG0000140	Praj.g_00529	Syan.g_00042
