Orthogroup	Syab	Prbk
OG0000000	Syab.g_01226	Prbk.g_00167, Prbk.g_00166
OG0000001	Syab.g_02553, Syab.g_02555	Prbk.g_00561, Prbk.g_02701
OG0000001	Syab.g_00673	Prbk.g_00630
OG0000002	Syab.g_02285	Prbk.g_02574, Prbk.g_01649
OG0000003	Syab.g_01580	Prbk.g_02121, Prbk.g_00049
OG0000004	Syab.g_00549, Syab.g_01193	Prbk.g_01760
OG0000004	Syab.g_01911, Syab.g_02377	Prbk.g_01134
OG0000005	Syab.g_02806, Syab.g_02232	Prbk.g_00933
OG0000006	Syab.g_01849, Syab.g_00365, Syab.g_01847, Syab.g_02361	Prbk.g_02695
OG0000007	Syab.g_02256	Prbk.g_00907
OG0000008	Syab.g_01755	Prbk.g_01819
OG0000008	Syab.g_01168	Prbk.g_01820
OG0000009	Syab.g_02498	Prbk.g_01932, Prbk.g_00013
OG0000010	Syab.g_00696	Prbk.g_02112
OG0000013	Syab.g_00487, Syab.g_00497, Syab.g_00482	Prbk.g_00853
OG0000014	Syab.g_00249	Prbk.g_00454
OG0000015	Syab.g_02889	Prbk.g_02558
OG0000017	Syab.g_01953	Prbk.g_01142
OG0000017	Syab.g_01945	Prbk.g_01150
OG0000018	Syab.g_00742	Prbk.g_01227
OG0000019	Syab.g_00344	Prbk.g_01644, Prbk.g_01004
OG0000020	Syab.g_02230	Prbk.g_01331, Prbk.g_02697
OG0000022	Syab.g_01825	Prbk.g_01667
OG0000023	Syab.g_00708, Syab.g_02058, Syab.g_01294	Prbk.g_02448
OG0000024	Syab.g_01834	Prbk.g_01780
OG0000025	Syab.g_01705	Prbk.g_02531
OG0000026	Syab.g_00036	Prbk.g_01617
OG0000028	Syab.g_00234	Prbk.g_00469
OG0000030	Syab.g_00096	Prbk.g_01532
OG0000030	Syab.g_00095	Prbk.g_01533
OG0000031	Syab.g_00160	Prbk.g_00534, Prbk.g_00539
OG0000032	Syab.g_00724	Prbk.g_01209
OG0000032	Syab.g_00149	Prbk.g_00480
OG0000033	Syab.g_02590	Prbk.g_00776
OG0000034	Syab.g_00900, Syab.g_02560	Prbk.g_01171
OG0000035	Syab.g_00778	Prbk.g_00259
OG0000036	Syab.g_00846, Syab.g_00839, Syab.g_01108, Syab.g_01109, Syab.g_02412, Syab.g_01247	Prbk.g_01948
OG0000037	Syab.g_02060, Syab.g_01241, Syab.g_02280, Syab.g_02205, Syab.g_02504	Prbk.g_00007
OG0000038	Syab.g_02759	Prbk.g_02164
OG0000038	Syab.g_02761	Prbk.g_02166
OG0000039	Syab.g_02791	Prbk.g_00642
OG0000041	Syab.g_01086, Syab.g_02804	Prbk.g_01406
OG0000042	Syab.g_01019, Syab.g_00099	Prbk.g_01495, Prbk.g_00140
OG0000045	Syab.g_00871	Prbk.g_01321
OG0000046	Syab.g_00488, Syab.g_00496, Syab.g_00481	Prbk.g_00854
OG0000047	Syab.g_00876	Prbk.g_01202, Prbk.g_02565
OG0000048	Syab.g_00308	Prbk.g_00405
OG0000051	Syab.g_01073	Prbk.g_01709
OG0000051	Syab.g_02216	Prbk.g_02418
OG0000052	Syab.g_00214	Prbk.g_00499
OG0000053	Syab.g_00746	Prbk.g_01230
OG0000054	Syab.g_01932	Prbk.g_01153
OG0000057	Syab.g_01200	Prbk.g_01765
OG0000058	Syab.g_00227	Prbk.g_00479
OG0000059	Syab.g_00397	Prbk.g_00992
OG0000060	Syab.g_02094	Prbk.g_02058
OG0000060	Syab.g_00707	Prbk.g_01286
OG0000061	Syab.g_00969	Prbk.g_01019
OG0000062	Syab.g_02234	Prbk.g_00931
OG0000063	Syab.g_00040	Prbk.g_01613
OG0000065	Syab.g_02500	Prbk.g_00011
OG0000066	Syab.g_01516, Syab.g_02031	Prbk.g_01094
OG0000067	Syab.g_01659	Prbk.g_02468
OG0000068	Syab.g_02087	Prbk.g_02052
OG0000070	Syab.g_00614	Prbk.g_00310
OG0000071	Syab.g_00915	Prbk.g_01183
OG0000072	Syab.g_02593	Prbk.g_00778
OG0000073	Syab.g_02119	Prbk.g_01862
OG0000075	Syab.g_00202	Prbk.g_00514
OG0000076	Syab.g_00113	Prbk.g_00237
OG0000077	Syab.g_02446	Prbk.g_00307
OG0000078	Syab.g_02366	Prbk.g_01515
OG0000079	Syab.g_00340	Prbk.g_01000
OG0000081	Syab.g_01793	Prbk.g_00733, Prbk.g_01772
OG0000082	Syab.g_01971	Prbk.g_01122
OG0000084	Syab.g_00781	Prbk.g_00255
OG0000085	Syab.g_02243	Prbk.g_00919
OG0000086	Syab.g_02468	Prbk.g_01295
OG0000087	Syab.g_02551	Prbk.g_00559
OG0000088	Syab.g_02586	Prbk.g_00773, Prbk.g_01836
OG0000089	Syab.g_00551	Prbk.g_00364
OG0000090	Syab.g_02041	Prbk.g_01080
OG0000091	Syab.g_01866	Prbk.g_02639
OG0000093	Syab.g_01582	Prbk.g_02444
OG0000094	Syab.g_01306	Prbk.g_02190
OG0000095	Syab.g_01210	Prbk.g_00056
OG0000097	Syab.g_01051	Prbk.g_00189
OG0000098	Syab.g_01553	Prbk.g_01199
OG0000099	Syab.g_00230	Prbk.g_00476
OG0000100	Syab.g_01694	Prbk.g_01360, Prbk.g_02498
OG0000101	Syab.g_00446	Prbk.g_00944
OG0000102	Syab.g_00104	Prbk.g_01484
OG0000103	Syab.g_02895, Syab.g_01296	Prbk.g_02260
OG0000104	Syab.g_02910	Prbk.g_02274
OG0000105	Syab.g_00303	Prbk.g_00409
OG0000106	Syab.g_01817	Prbk.g_00925
OG0000107	Syab.g_00367	Prbk.g_01902
OG0000108	Syab.g_02096	Prbk.g_02061
OG0000109	Syab.g_02112	Prbk.g_02077
OG0000110	Syab.g_01984	Prbk.g_01110
OG0000111	Syab.g_01201	Prbk.g_01766
OG0000112	Syab.g_01392	Prbk.g_02332
OG0000113	Syab.g_01689	Prbk.g_02493
OG0000114	Syab.g_02656, Syab.g_01633	Prbk.g_02396
OG0000115	Syab.g_00748	Prbk.g_01234
OG0000116	Syab.g_00945	Prbk.g_01034
OG0000117	Syab.g_01018	Prbk.g_01496
OG0000118	Syab.g_00897	Prbk.g_01169
OG0000120	Syab.g_00229	Prbk.g_00477
OG0000121	Syab.g_00772	Prbk.g_00267, Prbk.g_00261
OG0000122	Syab.g_01839	Prbk.g_02664
OG0000123	Syab.g_00454	Prbk.g_00805
OG0000124	Syab.g_00088	Prbk.g_01539
OG0000125	Syab.g_02763	Prbk.g_02168
OG0000126	Syab.g_02908	Prbk.g_02272
OG0000128	Syab.g_00012	Prbk.g_02290
OG0000129	Syab.g_02749	Prbk.g_02156
OG0000130	Syab.g_02434	Prbk.g_01320
OG0000131	Syab.g_02564	Prbk.g_00751
OG0000132	Syab.g_02584	Prbk.g_00771
OG0000133	Syab.g_01387	Prbk.g_00472
OG0000134	Syab.g_00554	Prbk.g_00361
OG0000135	Syab.g_02815	Prbk.g_02209
OG0000136	Syab.g_00588	Prbk.g_00323
OG0000137	Syab.g_00697	Prbk.g_02113
OG0000138	Syab.g_02113	Prbk.g_02078
OG0000139	Syab.g_02035	Prbk.g_01086
OG0000140	Syab.g_02033	Prbk.g_01092
OG0000141	Syab.g_01931	Prbk.g_01154
OG0000142	Syab.g_01524, Syab.g_01873	Prbk.g_02631
OG0000143	Syab.g_01870	Prbk.g_02635
OG0000144	Syab.g_01757	Prbk.g_00739
OG0000145	Syab.g_02120	Prbk.g_01863
OG0000146	Syab.g_01393	Prbk.g_02333
OG0000147	Syab.g_01394	Prbk.g_02334
OG0000148	Syab.g_01682	Prbk.g_02487
OG0000149	Syab.g_01720	Prbk.g_02544
OG0000150	Syab.g_01930	Prbk.g_02567
OG0000151	Syab.g_01612	Prbk.g_02417
OG0000152	Syab.g_01383	Prbk.g_02324
OG0000153	Syab.g_01343	Prbk.g_02297
OG0000154	Syab.g_01317	Prbk.g_00584
OG0000155	Syab.g_01009	Prbk.g_00099
OG0000156	Syab.g_00933	Prbk.g_00164
OG0000157	Syab.g_00932	Prbk.g_00163
OG0000158	Syab.g_00161	Prbk.g_00526
OG0000160	Syab.g_00774	Prbk.g_00260
OG0000161	Syab.g_00766	Prbk.g_00274
OG0000162	Syab.g_00755	Prbk.g_00280
OG0000163	Syab.g_02173	Prbk.g_02002
OG0000164	Syab.g_02307	Prbk.g_01432
OG0000165	Syab.g_02316	Prbk.g_01423
OG0000166	Syab.g_00407	Prbk.g_00982
OG0000167	Syab.g_00205	Prbk.g_00512
OG0000168	Syab.g_00136	Prbk.g_00527
OG0000169	Syab.g_00125	Prbk.g_00220
OG0000170	Syab.g_00118	Prbk.g_00232
OG0000171	Syab.g_00089	Prbk.g_01538
OG0000172	Syab.g_00080	Prbk.g_01573
OG0000173	Syab.g_00061	Prbk.g_01594
OG0000174	Syab.g_02819	Prbk.g_02211
OG0000175	Syab.g_02876	Prbk.g_02249
OG0000176	Syab.g_00004	Prbk.g_02282
OG0000177	Syab.g_00005	Prbk.g_02283
OG0000178	Syab.g_00006	Prbk.g_02284
OG0000179	Syab.g_00022	Prbk.g_01633
OG0000180	Syab.g_00023	Prbk.g_01632
OG0000181	Syab.g_00024	Prbk.g_01631
OG0000182	Syab.g_00025	Prbk.g_01630
OG0000183	Syab.g_00029	Prbk.g_01626
OG0000184	Syab.g_02738	Prbk.g_02148
OG0000186	Syab.g_02430	Prbk.g_01326
OG0000187	Syab.g_02431	Prbk.g_01324
OG0000188	Syab.g_02454	Prbk.g_01303
OG0000189	Syab.g_02487	Prbk.g_00024
OG0000190	Syab.g_00190, Syab.g_00139	Prbk.g_00022
OG0000191	Syab.g_02522	Prbk.g_00197
OG0000192	Syab.g_02528	Prbk.g_00206
OG0000193	Syab.g_02565	Prbk.g_00752
OG0000194	Syab.g_02568	Prbk.g_00755
OG0000195	Syab.g_02570	Prbk.g_00757
OG0000196	Syab.g_02581	Prbk.g_00768
OG0000197	Syab.g_02582	Prbk.g_00769
OG0000198	Syab.g_02583	Prbk.g_00770
OG0000199	Syab.g_02591	Prbk.g_00777
OG0000200	Syab.g_02611	Prbk.g_01280
OG0000201	Syab.g_02628	Prbk.g_01261
OG0000202	Syab.g_02629	Prbk.g_01260
OG0000203	Syab.g_02630	Prbk.g_01259
OG0000204	Syab.g_02631	Prbk.g_01258
OG0000205	Syab.g_02638	Prbk.g_01251
OG0000206	Syab.g_02674	Prbk.g_00632
OG0000207	Syab.g_02677	Prbk.g_00686
OG0000208	Syab.g_02678	Prbk.g_00685
OG0000209	Syab.g_02698	Prbk.g_00658
OG0000210	Syab.g_02699	Prbk.g_00657
OG0000211	Syab.g_02374	Prbk.g_01368
OG0000212	Syab.g_02365	Prbk.g_01514
OG0000213	Syab.g_00332	Prbk.g_00374
OG0000214	Syab.g_00312	Prbk.g_00401
OG0000215	Syab.g_00281	Prbk.g_00431
OG0000216	Syab.g_00277	Prbk.g_00434
OG0000217	Syab.g_00273	Prbk.g_00438
OG0000218	Syab.g_00271	Prbk.g_00442
OG0000219	Syab.g_00270	Prbk.g_00443
OG0000220	Syab.g_00269	Prbk.g_00444
OG0000221	Syab.g_00257	Prbk.g_00449
OG0000222	Syab.g_00244	Prbk.g_00458
OG0000223	Syab.g_00226	Prbk.g_00481
OG0000224	Syab.g_00223	Prbk.g_00492
OG0000225	Syab.g_00538	Prbk.g_00889
OG0000226	Syab.g_00542	Prbk.g_00893
OG0000227	Syab.g_00544	Prbk.g_00895
OG0000228	Syab.g_00550	Prbk.g_00365
OG0000229	Syab.g_00583	Prbk.g_00328
OG0000230	Syab.g_00585	Prbk.g_00326
