Orthogroup	Prbb	Syal
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356, Prbb.g_01791, Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244, Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787, Prbb.g_01145, Prbb.g_00103, Prbb.g_01313	Syal.g_01111, Syal.g_01832
OG0000001	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157	Syal.g_02193
OG0000004	Prbb.g_01450	Syal.g_01809
OG0000004	Prbb.g_00288	Syal.g_02718, Syal.g_00691
OG0000005	Prbb.g_01393	Syal.g_00606
OG0000005	Prbb.g_01766	Syal.g_00565
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syal.g_00674
OG0000007	Prbb.g_00501	Syal.g_02918
OG0000007	Prbb.g_01823	Syal.g_00587
OG0000008	Prbb.g_01884	Syal.g_02512
OG0000008	Prbb.g_01885	Syal.g_01783
OG0000010	Prbb.g_01072, Prbb.g_00477	Syal.g_00464
OG0000011	Prbb.g_01368	Syal.g_00702
OG0000013	Prbb.g_00378	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prbb.g_00357	Syal.g_01305
OG0000016	Prbb.g_00014	Syal.g_00111
OG0000016	Prbb.g_01919	Syal.g_01734
OG0000017	Prbb.g_00605	Syal.g_02752
OG0000018	Prbb.g_01539, Prbb.g_00812	Syal.g_00410
OG0000019	Prbb.g_00761	Syal.g_01209
OG0000022	Prbb.g_01231, Prbb.g_01258	Syal.g_02587
OG0000023	Prbb.g_01411, Prbb.g_01373	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prbb.g_01175, Prbb.g_00680	Syal.g_02597
OG0000025	Prbb.g_00052, Prbb.g_00818	Syal.g_02459
OG0000026	Prbb.g_00032	Syal.g_00132
OG0000027	Prbb.g_01375	Syal.g_02543
OG0000028	Prbb.g_01635	Syal.g_01319
OG0000029	Prbb.g_01800	Syal.g_03014
OG0000030	Prbb.g_02073	Syal.g_01511, Syal.g_01512
OG0000032	Prbb.g_01723	Syal.g_00428
OG0000033	Prbb.g_00226	Syal.g_00912
OG0000034	Prbb.g_01596	Syal.g_00881, Syal.g_01586
OG0000035	Prbb.g_01686	Syal.g_00370
OG0000037	Prbb.g_00164	Syal.g_00824
OG0000038	Prbb.g_02129	Syal.g_01071, Syal.g_01073
OG0000039	Prbb.g_00692	Syal.g_01097
OG0000040	Prbb.g_01899, Prbb.g_01790	Syal.g_01187
OG0000041	Prbb.g_01868	Syal.g_00649
OG0000042	Prbb.g_02069	Syal.g_01705, Syal.g_01508
OG0000043	Prbb.g_00909	Syal.g_02183
OG0000043	Prbb.g_01198	Syal.g_02547
OG0000044	Prbb.g_00079	Syal.g_01853
OG0000045	Prbb.g_01347	Syal.g_01563
OG0000046	Prbb.g_00379	Syal.g_00309, Syal.g_00316, Syal.g_00321
OG0000047	Prbb.g_00421, Prbb.g_00386	Syal.g_01568
OG0000048	Prbb.g_00325	Syal.g_01250
OG0000053	Prbb.g_01705	Syal.g_00406
OG0000054	Prbb.g_00607	Syal.g_02739
OG0000055	Prbb.g_00747	Syal.g_01845
OG0000056	Prbb.g_00078	Syal.g_02054
OG0000057	Prbb.g_00706, Prbb.g_01359	Syal.g_01812
OG0000058	Prbb.g_00851	Syal.g_01326
OG0000059	Prbb.g_01946	Syal.g_00225
OG0000060	Prbb.g_01153	Syal.g_02214
OG0000061	Prbb.g_01517, Prbb.g_00874	Syal.g_01653
OG0000062	Prbb.g_01768	Syal.g_02113
OG0000063	Prbb.g_01921	Syal.g_00136
OG0000065	Prbb.g_00162	Syal.g_00820, Syal.g_02528
OG0000066	Prbb.g_00542	Syal.g_02828
OG0000067	Prbb.g_00783	Syal.g_02414
OG0000068	Prbb.g_01639	Syal.g_02888
OG0000070	Prbb.g_00455	Syal.g_00509
OG0000071	Prbb.g_01586	Syal.g_01601
OG0000072	Prbb.g_00228	Syal.g_00914
OG0000073	Prbb.g_00503	Syal.g_02920
OG0000075	Prbb.g_02036	Syal.g_01350
OG0000076	Prbb.g_02061	Syal.g_01459
OG0000077	Prbb.g_00133	Syal.g_00763, Syal.g_00506
OG0000078	Prbb.g_00297	Syal.g_00680
OG0000079	Prbb.g_00308	Syal.g_01213
OG0000081	Prbb.g_00534	Syal.g_02555
OG0000082	Prbb.g_01882	Syal.g_02769
OG0000084	Prbb.g_01683	Syal.g_00023
OG0000085	Prbb.g_01816	Syal.g_00575
OG0000086	Prbb.g_00143	Syal.g_00784
OG0000087	Prbb.g_00196	Syal.g_00871
OG0000088	Prbb.g_00223	Syal.g_00908
OG0000089	Prbb.g_00416	Syal.g_00555
OG0000090	Prbb.g_00536	Syal.g_02838
OG0000091	Prbb.g_00643	Syal.g_02628
OG0000092	Prbb.g_00937	Syal.g_00470
OG0000097	Prbb.g_01470	Syal.g_01735, Syal.g_01553
OG0000098	Prbb.g_01608	Syal.g_02196
OG0000099	Prbb.g_00388	Syal.g_01323
OG0000100	Prbb.g_01763	Syal.g_02448
OG0000101	Prbb.g_02001	Syal.g_00275
OG0000102	Prbb.g_02066	Syal.g_01488
OG0000103	Prbb.g_02174	Syal.g_01897, Syal.g_00077
OG0000104	Prbb.g_02185	Syal.g_00092
OG0000105	Prbb.g_00327	Syal.g_01255
OG0000106	Prbb.g_01197, Prbb.g_01329	Syal.g_02577
OG0000107	Prbb.g_01923	Syal.g_00194
OG0000108	Prbb.g_00484, Prbb.g_00485	Syal.g_02897
OG0000109	Prbb.g_00498	Syal.g_02913
OG0000110	Prbb.g_00578	Syal.g_02782
OG0000111	Prbb.g_00707	Syal.g_01813
OG0000112	Prbb.g_00983	Syal.g_02000
OG0000113	Prbb.g_00807, Prbb.g_01218	Syal.g_02443
OG0000114	Prbb.g_00932	Syal.g_02286
OG0000115	Prbb.g_01780	Syal.g_00404
OG0000116	Prbb.g_01528	Syal.g_01630
OG0000117	Prbb.g_01399	Syal.g_01704
OG0000118	Prbb.g_01598	Syal.g_01583
OG0000119	Prbb.g_01632	Syal.g_02056
OG0000120	Prbb.g_00678	Syal.g_01324
OG0000121	Prbb.g_01688	Syal.g_00374
OG0000122	Prbb.g_01727	Syal.g_02602
OG0000123	Prbb.g_02008	Syal.g_00283
OG0000124	Prbb.g_02079	Syal.g_01519
OG0000125	Prbb.g_02131	Syal.g_01075
OG0000126	Prbb.g_02183	Syal.g_00090
OG0000128	Prbb.g_00012	Syal.g_00109
OG0000129	Prbb.g_00059	Syal.g_01062
OG0000130	Prbb.g_00124	Syal.g_00751
OG0000131	Prbb.g_00202	Syal.g_00886
OG0000132	Prbb.g_00221	Syal.g_00906
OG0000133	Prbb.g_00373	Syal.g_01995
OG0000134	Prbb.g_00418	Syal.g_00552
OG0000135	Prbb.g_01326	Syal.g_01119
OG0000136	Prbb.g_00446	Syal.g_00520
OG0000137	Prbb.g_00478	Syal.g_00463
OG0000138	Prbb.g_00499	Syal.g_02914
OG0000139	Prbb.g_00540	Syal.g_02832
OG0000140	Prbb.g_00541	Syal.g_02830
OG0000141	Prbb.g_00608	Syal.g_02738
OG0000142	Prbb.g_00636	Syal.g_02636
OG0000143	Prbb.g_00640	Syal.g_02632
OG0000144	Prbb.g_00653	Syal.g_02515
OG0000145	Prbb.g_01099	Syal.g_02921
OG0000146	Prbb.g_00982	Syal.g_02001
OG0000147	Prbb.g_00981	Syal.g_02002
OG0000148	Prbb.g_00801	Syal.g_02437
OG0000149	Prbb.g_00832	Syal.g_02475
OG0000150	Prbb.g_00840	Syal.g_02737
OG0000151	Prbb.g_00943	Syal.g_02263
OG0000152	Prbb.g_00991	Syal.g_01991
OG0000153	Prbb.g_01009	Syal.g_01958
OG0000154	Prbb.g_01040	Syal.g_01918
OG0000155	Prbb.g_01495	Syal.g_01695
OG0000156	Prbb.g_01575	Syal.g_01620
OG0000157	Prbb.g_01576	Syal.g_01619
OG0000158	Prbb.g_02044	Syal.g_01431
OG0000160	Prbb.g_01687	Syal.g_00372
OG0000161	Prbb.g_01693	Syal.g_00384
OG0000162	Prbb.g_01699	Syal.g_00396
OG0000163	Prbb.g_01735	Syal.g_02971
OG0000164	Prbb.g_01845	Syal.g_00623
OG0000165	Prbb.g_01853	Syal.g_00632
OG0000166	Prbb.g_01964	Syal.g_00236
OG0000167	Prbb.g_02034	Syal.g_01347
OG0000168	Prbb.g_02045	Syal.g_01433
OG0000169	Prbb.g_02055	Syal.g_01447
OG0000170	Prbb.g_02057	Syal.g_01454
OG0000171	Prbb.g_02078	Syal.g_01518
OG0000172	Prbb.g_02101	Syal.g_00174, Syal.g_00173
OG0000173	Prbb.g_02116	Syal.g_00155
OG0000174	Prbb.g_02147	Syal.g_01121
OG0000175	Prbb.g_02165	Syal.g_01172
OG0000176	Prbb.g_00004	Syal.g_00101
OG0000177	Prbb.g_00005	Syal.g_00102
OG0000178	Prbb.g_00007, Prbb.g_00006	Syal.g_00103
OG0000179	Prbb.g_00017	Syal.g_00118
OG0000180	Prbb.g_00018	Syal.g_00119
OG0000181	Prbb.g_00019	Syal.g_00120
OG0000182	Prbb.g_00020	Syal.g_00121
OG0000183	Prbb.g_00024	Syal.g_00125
OG0000184	Prbb.g_00061	Syal.g_01050
OG0000185	Prbb.g_00064	Syal.g_01025
OG0000186	Prbb.g_00119	Syal.g_02684, Syal.g_00747
OG0000187	Prbb.g_00120	Syal.g_02685, Syal.g_00748
OG0000188	Prbb.g_00137	Syal.g_00771
OG0000189	Prbb.g_00151	Syal.g_00807
OG0000190	Prbb.g_00152	Syal.g_01364
OG0000191	Prbb.g_00175	Syal.g_00841
OG0000192	Prbb.g_00179	Syal.g_00847
OG0000193	Prbb.g_00203	Syal.g_00887
OG0000194	Prbb.g_00206	Syal.g_00890
OG0000195	Prbb.g_00208	Syal.g_00892
OG0000196	Prbb.g_00218	Syal.g_00903
OG0000197	Prbb.g_00219	Syal.g_00904
OG0000198	Prbb.g_00220	Syal.g_00905
OG0000199	Prbb.g_00227	Syal.g_00913
OG0000200	Prbb.g_00240	Syal.g_00932
OG0000201	Prbb.g_00249	Syal.g_00949
OG0000202	Prbb.g_00250	Syal.g_00950
OG0000203	Prbb.g_00251	Syal.g_00951
OG0000204	Prbb.g_00252	Syal.g_00952
OG0000205	Prbb.g_00259	Syal.g_00959
OG0000206	Prbb.g_00263	Syal.g_00971
OG0000207	Prbb.g_00265	Syal.g_00974
OG0000208	Prbb.g_00266	Syal.g_00975
OG0000209	Prbb.g_00275	Syal.g_01000
OG0000210	Prbb.g_00276	Syal.g_01001
OG0000212	Prbb.g_00298	Syal.g_00679
OG0000213	Prbb.g_00313	Syal.g_01229
OG0000214	Prbb.g_00321	Syal.g_01246
OG0000215	Prbb.g_00344	Syal.g_01277
OG0000216	Prbb.g_00345	Syal.g_01281
OG0000217	Prbb.g_00348	Syal.g_01285
OG0000218	Prbb.g_00350	Syal.g_01287
OG0000219	Prbb.g_00351	Syal.g_01288
OG0000220	Prbb.g_00352	Syal.g_01289
OG0000221	Prbb.g_00353	Syal.g_01297
OG0000222	Prbb.g_00361	Syal.g_01309
OG0000223	Prbb.g_00374	Syal.g_01327
OG0000224	Prbb.g_00376	Syal.g_01329
OG0000225	Prbb.g_00405	Syal.g_00363
OG0000226	Prbb.g_00409	Syal.g_00367
OG0000227	Prbb.g_00411	Syal.g_00369
OG0000228	Prbb.g_00415	Syal.g_00556
OG0000229	Prbb.g_00441	Syal.g_00525
