Orthogroup	Prad	Pral
OG0000000	Prad.g_01982, Prad.g_00392	Pral.g_00037
OG0000000	Prad.g_01297, Prad.g_01435, Prad.g_00393	Pral.g_01333, Pral.g_00038
OG0000001	Prad.g_00601	Pral.g_01549, Pral.g_01554
OG0000001	Prad.g_01252	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337
OG0000002	Prad.g_01994, Prad.g_01434	Pral.g_01296, Pral.g_01671
OG0000002	Prad.g_00609	Pral.g_01236
OG0000003	Prad.g_01995	Pral.g_01006
OG0000004	Prad.g_00350, Prad.g_00389	Pral.g_00040, Pral.g_01332
OG0000005	Prad.g_01082	Pral.g_01898
OG0000006	Prad.g_00330, Prad.g_01097, Prad.g_00650	Pral.g_00444
OG0000008	Prad.g_00132	Pral.g_00593
OG0000008	Prad.g_00941	Pral.g_00107
OG0000010	Prad.g_01125	Pral.g_01344
OG0000010	Prad.g_01742	Pral.g_00790
OG0000011	Prad.g_01096	Pral.g_01890
OG0000013	Prad.g_00401, Prad.g_01888	Pral.g_01065, Pral.g_01163
OG0000015	Prad.g_00683	Pral.g_00672
OG0000016	Prad.g_01108	Pral.g_01813
OG0000017	Prad.g_01298, Prad.g_00353	Pral.g_00039, Pral.g_01036
OG0000018	Prad.g_01387	Pral.g_00491, Pral.g_00484
OG0000019	Prad.g_00728, Prad.g_00951	Pral.g_00062, Pral.g_01887
OG0000020	Prad.g_00598	Pral.g_01861, Pral.g_01063
OG0000022	Prad.g_01750	Pral.g_00797
OG0000023	Prad.g_01981, Prad.g_00745	Pral.g_01738
OG0000024	Prad.g_00338	Pral.g_00046
OG0000025	Prad.g_01088	Pral.g_01895
OG0000026	Prad.g_00352	Pral.g_01331
OG0000029	Prad.g_01126	Pral.g_01670, Pral.g_00082
OG0000030	Prad.g_01127	Pral.g_00090
OG0000031	Prad.g_01624	Pral.g_00313
OG0000032	Prad.g_00081	Pral.g_00435
OG0000034	Prad.g_00515	Pral.g_01165, Pral.g_01161
OG0000035	Prad.g_00400, Prad.g_00952	Pral.g_01164, Pral.g_01114
OG0000036	Prad.g_00647	Pral.g_01038
OG0000041	Prad.g_01412	Pral.g_00015
OG0000043	Prad.g_00258	Pral.g_01853
OG0000045	Prad.g_01374	Pral.g_00057
OG0000046	Prad.g_01105	Pral.g_00044
OG0000047	Prad.g_01496	Pral.g_01367
OG0000048	Prad.g_00571	Pral.g_00987
OG0000049	Prad.g_00565	Pral.g_01202
OG0000050	Prad.g_01825	Pral.g_00878
OG0000051	Prad.g_00751	Pral.g_01687
OG0000053	Prad.g_01049	Pral.g_01729
OG0000054	Prad.g_00948	Pral.g_00099
OG0000055	Prad.g_01631	Pral.g_00305
OG0000056	Prad.g_01955	Pral.g_01012
OG0000057	Prad.g_01834	Pral.g_00887
OG0000058	Prad.g_00739	Pral.g_01859
OG0000059	Prad.g_00090	Pral.g_00551
OG0000062	Prad.g_01168	Pral.g_01511
OG0000063	Prad.g_00657	Pral.g_00019
OG0000065	Prad.g_01754, Prad.g_00965	Pral.g_00803
OG0000066	Prad.g_00032	Pral.g_00617
OG0000067	Prad.g_01272	Pral.g_01740
OG0000068	Prad.g_01080, Prad.g_01300	Pral.g_00445
OG0000070	Prad.g_01018	Pral.g_01561
OG0000071	Prad.g_01214	Pral.g_01396, Pral.g_01398, Pral.g_01397
OG0000072	Prad.g_00628	Pral.g_01281
OG0000073	Prad.g_01195	Pral.g_00060
OG0000074	Prad.g_00564	Pral.g_00702
OG0000075	Prad.g_00807	Pral.g_00243
OG0000076	Prad.g_00572	Pral.g_01121
OG0000077	Prad.g_01975	Pral.g_00421
OG0000078	Prad.g_01669	Pral.g_00717
OG0000079	Prad.g_00727	Pral.g_01034
OG0000080	Prad.g_01243	Pral.g_01471
OG0000081	Prad.g_01265	Pral.g_01750
OG0000082	Prad.g_01153	Pral.g_01495
OG0000083	Prad.g_00276	Pral.g_01347
OG0000084	Prad.g_00186	Pral.g_01627
OG0000085	Prad.g_00972	Pral.g_01316
OG0000086	Prad.g_01989	Pral.g_00078, Pral.g_00056
OG0000090	Prad.g_00566	Pral.g_01201
OG0000091	Prad.g_00507	Pral.g_01153
OG0000092	Prad.g_00383	Pral.g_00065
OG0000093	Prad.g_00855	Pral.g_00195
OG0000094	Prad.g_00810	Pral.g_00239
OG0000095	Prad.g_00777	Pral.g_00277
OG0000096	Prad.g_01588	Pral.g_00350
OG0000098	Prad.g_01533	Pral.g_00413
OG0000099	Prad.g_01963	Pral.g_01021
OG0000100	Prad.g_01948, Prad.g_00675	Pral.g_01886
OG0000101	Prad.g_01937	Pral.g_00993
OG0000102	Prad.g_01880	Pral.g_00932
OG0000103	Prad.g_01872	Pral.g_00923
OG0000104	Prad.g_01854	Pral.g_00906
OG0000105	Prad.g_01821	Pral.g_00873
OG0000106	Prad.g_01807	Pral.g_00860
OG0000107	Prad.g_01799	Pral.g_00851
OG0000108	Prad.g_01789	Pral.g_00842
OG0000109	Prad.g_01752	Pral.g_00800
OG0000110	Prad.g_01740	Pral.g_00788
