Orthogroup	Prad	Prbn
OG0000000	Prad.g_00601	Prbn.g_01483, Prbn.g_01478
OG0000000	Prad.g_01252	Prbn.g_01586, Prbn.g_00879, Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154
OG0000001	Prad.g_01297	Prbn.g_01678, Prbn.g_01663, Prbn.g_01152
OG0000002	Prad.g_00609	Prbn.g_01213
OG0000002	Prad.g_01434, Prad.g_01994	Prbn.g_01923
OG0000003	Prad.g_00350, Prad.g_00389	Prbn.g_01151
OG0000004	Prad.g_01082	Prbn.g_01110
OG0000005	Prad.g_00392, Prad.g_01982	Prbn.g_01662
OG0000006	Prad.g_00132	Prbn.g_00617
OG0000006	Prad.g_00941	Prbn.g_01745
OG0000009	Prad.g_01125	Prbn.g_01165
OG0000009	Prad.g_01742	Prbn.g_00015
OG0000010	Prad.g_00650, Prad.g_00330	Prbn.g_01049
OG0000011	Prad.g_00683	Prbn.g_00690
OG0000012	Prad.g_01387	Prbn.g_00510, Prbn.g_00517
OG0000013	Prad.g_01108	Prbn.g_01684, Prbn.g_01730
OG0000014	Prad.g_00353, Prad.g_01298	Prbn.g_01664, Prbn.g_00139
OG0000015	Prad.g_00951, Prad.g_00728	Prbn.g_01673, Prbn.g_01706
OG0000016	Prad.g_00598	Prbn.g_01135, Prbn.g_00885
OG0000018	Prad.g_01750	Prbn.g_00308
OG0000019	Prad.g_01981, Prad.g_00745	Prbn.g_01560
OG0000020	Prad.g_00735	Prbn.g_00038
OG0000021	Prad.g_01127	Prbn.g_01727
OG0000023	Prad.g_00317	Prbn.g_00887
OG0000024	Prad.g_01685	Prbn.g_00074
OG0000026	Prad.g_00081	Prbn.g_00130
OG0000028	Prad.g_00515	Prbn.g_00212
OG0000029	Prad.g_00400, Prad.g_00952	Prbn.g_00659
OG0000034	Prad.g_00571	Prbn.g_00724
OG0000035	Prad.g_00258	Prbn.g_01042
OG0000036	Prad.g_01374	Prbn.g_00530, Prbn.g_01734
OG0000037	Prad.g_01412	Prbn.g_00492, Prbn.g_00867
OG0000038	Prad.g_01105	Prbn.g_00891
OG0000039	Prad.g_01825	Prbn.g_01247
OG0000040	Prad.g_00751	Prbn.g_01030
OG0000041	Prad.g_00697	Prbn.g_01709, Prbn.g_01703
OG0000042	Prad.g_01049	Prbn.g_01554
OG0000043	Prad.g_01130	Prbn.g_01454
OG0000044	Prad.g_01496	Prbn.g_01189
OG0000045	Prad.g_00565	Prbn.g_00172
OG0000046	Prad.g_00948	Prbn.g_00144, Prbn.g_01737
OG0000047	Prad.g_01631	Prbn.g_00996
OG0000048	Prad.g_01624	Prbn.g_00988
OG0000050	Prad.g_01955	Prbn.g_00750
OG0000051	Prad.g_01834	Prbn.g_01256
OG0000052	Prad.g_00739	Prbn.g_00829
OG0000053	Prad.g_00090	Prbn.g_01657, Prbn.g_00577
OG0000055	Prad.g_01168	Prbn.g_01523
OG0000057	Prad.g_01754, Prad.g_00965	Prbn.g_00313
OG0000058	Prad.g_00032	Prbn.g_00639
OG0000059	Prad.g_01272	Prbn.g_01562
OG0000062	Prad.g_01989	Prbn.g_01650
OG0000063	Prad.g_01214	Prbn.g_00389
OG0000065	Prad.g_00628	Prbn.g_01084
OG0000066	Prad.g_00564	Prbn.g_00170
OG0000067	Prad.g_01218	Prbn.g_00802
OG0000068	Prad.g_00807	Prbn.g_01881
OG0000069	Prad.g_00572	Prbn.g_00251
OG0000071	Prad.g_01975	Prbn.g_00002, Prbn.g_00003
OG0000072	Prad.g_01669	Prbn.g_00088
OG0000073	Prad.g_01243	Prbn.g_00845
OG0000074	Prad.g_01265	Prbn.g_01572
OG0000075	Prad.g_01153	Prbn.g_01539
OG0000076	Prad.g_01018	Prbn.g_01471
OG0000077	Prad.g_01983	Prbn.g_01661
OG0000078	Prad.g_00566	Prbn.g_00173
OG0000079	Prad.g_00436	Prbn.g_00897
OG0000080	Prad.g_00383	Prbn.g_00803
OG0000081	Prad.g_00777	Prbn.g_01915
OG0000083	Prad.g_01533	Prbn.g_00011
OG0000084	Prad.g_01530	Prbn.g_00008
OG0000085	Prad.g_01963	Prbn.g_00759
OG0000087	Prad.g_01937	Prbn.g_00730
OG0000088	Prad.g_01880	Prbn.g_01304
OG0000089	Prad.g_01872	Prbn.g_01295
OG0000090	Prad.g_01854	Prbn.g_01278
OG0000091	Prad.g_01822	Prbn.g_01244
OG0000092	Prad.g_01821	Prbn.g_00384, Prbn.g_01243
OG0000093	Prad.g_01807	Prbn.g_00370
OG0000094	Prad.g_01789	Prbn.g_00351
OG0000095	Prad.g_01784	Prbn.g_00346
OG0000096	Prad.g_01740	Prbn.g_00017
OG0000097	Prad.g_01717	Prbn.g_00041
OG0000099	Prad.g_01697	Prbn.g_00062
OG0000100	Prad.g_01694	Prbn.g_00065
OG0000101	Prad.g_00754	Prbn.g_00694
OG0000102	Prad.g_00727	Prbn.g_01102
OG0000103	Prad.g_00031	Prbn.g_00638
OG0000104	Prad.g_00027	Prbn.g_00634
OG0000105	Prad.g_00130	Prbn.g_00614
OG0000106	Prad.g_00097	Prbn.g_00584
OG0000107	Prad.g_00096	Prbn.g_00583
OG0000108	Prad.g_01333	Prbn.g_00573
OG0000109	Prad.g_01342	Prbn.g_00564
OG0000110	Prad.g_01358	Prbn.g_00547
OG0000111	Prad.g_01225	Prbn.g_00443
OG0000112	Prad.g_01226	Prbn.g_00444
OG0000113	Prad.g_01071	Prbn.g_01351
OG0000114	Prad.g_01144	Prbn.g_01548
OG0000115	Prad.g_00186	Prbn.g_01418
OG0000116	Prad.g_00182	Prbn.g_01414
OG0000117	Prad.g_01021	Prbn.g_01468
OG0000118	Prad.g_00972	Prbn.g_01144
OG0000119	Prad.g_01526	Prbn.g_01653
OG0000120	Prad.g_01490	Prbn.g_01195
OG0000121	Prad.g_01471, Prad.g_01470	Prbn.g_00391
OG0000122	Prad.g_01451	Prbn.g_00411
OG0000123	Prad.g_01438	Prbn.g_00482
OG0000124	Prad.g_00076	Prbn.g_00886
OG0000125	Prad.g_00616	Prbn.g_01071
OG0000126	Prad.g_00594	Prbn.g_01240
OG0000127	Prad.g_00528	Prbn.g_00200
OG0000128	Prad.g_00514	Prbn.g_00213
OG0000129	Prad.g_00477	Prbn.g_00249
OG0000130	Prad.g_00943	Prbn.g_01742
OG0000131	Prad.g_00905	Prbn.g_01782
OG0000132	Prad.g_00902	Prbn.g_01785
OG0000133	Prad.g_00848	Prbn.g_01839
OG0000134	Prad.g_00812	Prbn.g_01875
OG0000135	Prad.g_00810	Prbn.g_01877
OG0000136	Prad.g_00766, Prad.g_01294	Prbn.g_01012
OG0000137	Prad.g_01615	Prbn.g_00978
OG0000138	Prad.g_01580	Prbn.g_00944
OG0000139	Prad.g_01553	Prbn.g_00913
OG0000140	Prad.g_01535	Prbn.g_00301
OG0000141	Prad.g_01534	Prbn.g_00302
OG0000142	Prad.g_01532	Prbn.g_00010
OG0000143	Prad.g_01531	Prbn.g_00009
OG0000144	Prad.g_01529	Prbn.g_00007
OG0000145	Prad.g_01528	Prbn.g_00006
OG0000146	Prad.g_01527	Prbn.g_00005
OG0000147	Prad.g_01976	Prbn.g_00004
OG0000148	Prad.g_01974	Prbn.g_00001
OG0000149	Prad.g_01972	Prbn.g_00768
OG0000150	Prad.g_01971	Prbn.g_00767
OG0000151	Prad.g_01970	Prbn.g_00766
OG0000152	Prad.g_01969	Prbn.g_00765
OG0000153	Prad.g_01968	Prbn.g_00764
OG0000154	Prad.g_01967	Prbn.g_00763
OG0000155	Prad.g_01966	Prbn.g_00762
OG0000156	Prad.g_01965	Prbn.g_00761
OG0000157	Prad.g_01964	Prbn.g_00760
OG0000158	Prad.g_01962	Prbn.g_00758
OG0000159	Prad.g_01961	Prbn.g_00757
OG0000160	Prad.g_01960	Prbn.g_00756
OG0000161	Prad.g_01959	Prbn.g_00755
OG0000162	Prad.g_01958	Prbn.g_00754
OG0000163	Prad.g_01957	Prbn.g_00752
OG0000164	Prad.g_01954	Prbn.g_00749
OG0000165	Prad.g_01951	Prbn.g_00746
OG0000166	Prad.g_01950	Prbn.g_00745
OG0000167	Prad.g_01949	Prbn.g_00744
OG0000168	Prad.g_01947	Prbn.g_00742
OG0000169	Prad.g_01945	Prbn.g_00740
OG0000170	Prad.g_01944	Prbn.g_00738
OG0000171	Prad.g_01943	Prbn.g_00737
OG0000172	Prad.g_01941	Prbn.g_00736
OG0000173	Prad.g_01940	Prbn.g_00733
OG0000174	Prad.g_01939	Prbn.g_00732
OG0000175	Prad.g_01938	Prbn.g_00731
OG0000176	Prad.g_01936	Prbn.g_00729
OG0000177	Prad.g_01935	Prbn.g_00728
OG0000178	Prad.g_01934	Prbn.g_00726
OG0000179	Prad.g_01929	Prbn.g_00714
OG0000180	Prad.g_01928	Prbn.g_00713
OG0000181	Prad.g_01927	Prbn.g_00712
OG0000182	Prad.g_01924	Prbn.g_00708
OG0000183	Prad.g_01923	Prbn.g_00707
OG0000184	Prad.g_01920	Prbn.g_00704
OG0000185	Prad.g_01916	Prbn.g_01343
OG0000186	Prad.g_01915	Prbn.g_01342
OG0000187	Prad.g_01914	Prbn.g_01034
OG0000188	Prad.g_01913	Prbn.g_01341
OG0000189	Prad.g_01912	Prbn.g_01340
OG0000190	Prad.g_01911	Prbn.g_01339
OG0000191	Prad.g_01910	Prbn.g_01338
OG0000192	Prad.g_01909	Prbn.g_01337
OG0000193	Prad.g_01908	Prbn.g_01336
OG0000194	Prad.g_01907	Prbn.g_01335
OG0000195	Prad.g_01905	Prbn.g_01333
