Orthogroup	Syao	Prao
OG0000001	Syao.g_00314	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000004	Syao.g_02374	Prao.g_00133
OG0000004	Syao.g_01271, Syao.g_01007	Prao.g_00370
OG0000005	Syao.g_01680	Prao.g_01565
OG0000005	Syao.g_01578	Prao.g_01472
OG0000006	Syao.g_01518	Prao.g_00379
OG0000007	Syao.g_00105	Prao.g_00603
OG0000007	Syao.g_01554	Prao.g_01552
OG0000010	Syao.g_02683	Prao.g_00985, Prao.g_00580
OG0000011	Syao.g_01282	Prao.g_01307, Prao.g_00529
OG0000012	Syao.g_01193	Prao.g_00062
OG0000013	Syao.g_01222, Syao.g_01844, Syao.g_01910	Prao.g_00463
OG0000014	Syao.g_02027, Syao.g_01136	Prao.g_01213
OG0000015	Syao.g_00302	Prao.g_00703
OG0000016	Syao.g_01955	Prao.g_00160
OG0000017	Syao.g_00997	Prao.g_00036
OG0000018	Syao.g_00071	Prao.g_01108, Prao.g_00768
OG0000019	Syao.g_02108	Prao.g_00387, Prao.g_00720
OG0000021	Syao.g_01002	Prao.g_01346, Prao.g_00500
OG0000022	Syao.g_01218	Prao.g_00699, Prao.g_01126
OG0000023	Syao.g_01266	Prao.g_00494
OG0000025	Syao.g_00436, Syao.g_00437	Prao.g_00776, Prao.g_00467
OG0000026	Syao.g_02234	Prao.g_00177, Prao.g_00992
OG0000027	Syao.g_00202	Prao.g_00576, Prao.g_01293
OG0000028	Syao.g_02012	Prao.g_00456, Prao.g_01348
OG0000030	Syao.g_02189, Syao.g_02188	Prao.g_01753
OG0000031	Syao.g_01083	Prao.g_01355, Prao.g_01364
OG0000032	Syao.g_01135	Prao.g_01362
OG0000033	Syao.g_02507	Prao.g_00307
OG0000035	Syao.g_01486	Prao.g_01397
OG0000037	Syao.g_00374	Prao.g_00247
OG0000038	Syao.g_02440, Syao.g_02442	Prao.g_01794
OG0000039	Syao.g_00704	Prao.g_00124
OG0000042	Syao.g_00019, Syao.g_01941	Prao.g_01750
OG0000045	Syao.g_01214, Syao.g_00148	Prao.g_00506
OG0000047	Syao.g_01899	Prao.g_00466
OG0000048	Syao.g_02077	Prao.g_00509
OG0000051	Syao.g_01261	Prao.g_01304
OG0000052	Syao.g_01972, Syao.g_01085, Syao.g_02520	Prao.g_01358
OG0000053	Syao.g_00067	Prao.g_01417
OG0000059	Syao.g_01959	Prao.g_01639
OG0000061	Syao.g_00123	Prao.g_01089
OG0000063	Syao.g_02230	Prao.g_00179
OG0000065	Syao.g_02600	Prao.g_00245
OG0000067	Syao.g_00756	Prao.g_00741
OG0000068	Syao.g_00868, Syao.g_00036	Prao.g_01239
OG0000069	Syao.g_00313	Prao.g_01508
OG0000070	Syao.g_00330	Prao.g_00554
OG0000071	Syao.g_01433	Prao.g_01276
OG0000072	Syao.g_02509, Syao.g_01749	Prao.g_00309
OG0000073	Syao.g_00103	Prao.g_00605
OG0000075	Syao.g_02257	Prao.g_01719
OG0000076	Syao.g_01949	Prao.g_01743
OG0000079	Syao.g_00574, Syao.g_00010, Syao.g_00581, Syao.g_01145, Syao.g_02105	Prao.g_00390
OG0000082	Syao.g_01035	Prao.g_00024
OG0000084	Syao.g_02606	Prao.g_01393
OG0000085	Syao.g_01569	Prao.g_01545
OG0000086	Syao.g_02653, Syao.g_01240	Prao.g_00227
OG0000087	Syao.g_02555	Prao.g_00277
OG0000088	Syao.g_02503	Prao.g_00304
OG0000089	Syao.g_01716	Prao.g_00490
OG0000090	Syao.g_01412	Prao.g_01858
OG0000091	Syao.g_00902	Prao.g_00081
OG0000092	Syao.g_00656	Prao.g_00850
OG0000094	Syao.g_00458	Prao.g_00955
OG0000097	Syao.g_00973	Prao.g_01048
OG0000098	Syao.g_01374	Prao.g_01257
OG0000099	Syao.g_02019	Prao.g_01214
OG0000100	Syao.g_00787	Prao.g_01470
OG0000101	Syao.g_01840	Prao.g_01687
OG0000102	Syao.g_01945	Prao.g_01748
OG0000103	Syao.g_02340	Prao.g_01828
OG0000104	Syao.g_02157	Prao.g_01837
OG0000105	Syao.g_02071, Syao.g_02072	Prao.g_01378
OG0000106	Syao.g_01385	Prao.g_00505
OG0000107	Syao.g_01935	Prao.g_00518
OG0000108	Syao.g_00028	Prao.g_00586
OG0000109	Syao.g_00110	Prao.g_00600
OG0000110	Syao.g_01051	Prao.g_01867
OG0000111	Syao.g_00378	Prao.g_00137
OG0000112	Syao.g_00683, Syao.g_00303	Prao.g_00704
OG0000113	Syao.g_00782	Prao.g_00763
OG0000114	Syao.g_00965	Prao.g_00845
OG0000115	Syao.g_00065, Syao.g_01464	Prao.g_01150
OG0000116	Syao.g_00137	Prao.g_01099
