Orthogroup	Prba	Prbe
OG0000000	Prba.g_00203	Prbe.g_01285, Prbe.g_01290
OG0000000	Prba.g_01639	Prbe.g_00452, Prbe.g_00208, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584
OG0000002	Prba.g_00211	Prbe.g_00400
OG0000002	Prba.g_01081, Prba.g_01080	Prbe.g_00112
OG0000003	Prba.g_01172, Prba.g_00268	Prbe.g_01587
OG0000004	Prba.g_01563	Prbe.g_01628
OG0000005	Prba.g_00269, Prba.g_00243	Prbe.g_01119
OG0000006	Prba.g_00964	Prbe.g_00636
OG0000006	Prba.g_00226	Prbe.g_00985
OG0000007	Prba.g_01131	Prbe.g_00036
OG0000009	Prba.g_01519	Prbe.g_01573
OG0000009	Prba.g_00468	Prbe.g_01802
OG0000010	Prba.g_00734, Prba.g_01157	Prbe.g_00081
OG0000011	Prba.g_00913	Prbe.g_01921
OG0000012	Prba.g_01719	Prbe.g_00529, Prbe.g_00536
OG0000013	Prba.g_01538	Prbe.g_01046, Prbe.g_01000
OG0000014	Prba.g_01175, Prba.g_00991	Prbe.g_01121, Prbe.g_00012
OG0000015	Prba.g_00876	Prbe.g_01130, Prbe.g_01024
OG0000016	Prba.g_00200	Prbe.g_01603, Prbe.g_00214
OG0000018	Prba.g_00460	Prbe.g_01794
OG0000019	Prba.g_00245, Prba.g_00858	Prbe.g_01208
OG0000020	Prba.g_00868	Prbe.g_01825
OG0000021	Prba.g_01517	Prbe.g_01003
OG0000023	Prba.g_01142	Prbe.g_00216
OG0000024	Prba.g_00522	Prbe.g_01861
OG0000025	Prba.g_00899	Prbe.g_00098
OG0000028	Prba.g_00713	Prbe.g_00311
OG0000029	Prba.g_00275	Prbe.g_00678
OG0000032	Prba.g_00173	Prbe.g_00352
OG0000034	Prba.g_00160	Prbe.g_00333, Prbe.g_00158
OG0000035	Prba.g_01409	Prbe.g_00074
OG0000036	Prba.g_01731	Prbe.g_00549, Prbe.g_00996
OG0000037	Prba.g_01694	Prbe.g_00511, Prbe.g_00196
OG0000038	Prba.g_01543	Prbe.g_00220
OG0000040	Prba.g_00854	Prbe.g_00062
OG0000041	Prba.g_01041	Prbe.g_01021, Prbe.g_01027
OG0000042	Prba.g_01594	Prbe.g_01214
OG0000043	Prba.g_01514	Prbe.g_01314
OG0000044	Prba.g_00064	Prbe.g_01549
OG0000045	Prba.g_00153	Prbe.g_00351
OG0000046	Prba.g_00233	Prbe.g_00007, Prbe.g_00993
OG0000047	Prba.g_00768	Prbe.g_00774
OG0000048	Prba.g_00775	Prbe.g_00766
OG0000050	Prba.g_01824	Prbe.g_00132
OG0000051	Prba.g_01945	Prbe.g_01705
OG0000052	Prba.g_00864	Prbe.g_00740
OG0000053	Prba.g_00922	Prbe.g_01114, Prbe.g_00596
OG0000055	Prba.g_01477	Prbe.g_01245
OG0000057	Prba.g_00456	Prbe.g_01789
OG0000058	Prba.g_00986	Prbe.g_00658
OG0000059	Prba.g_01619	Prbe.g_01206
OG0000062	Prba.g_00097	Prbe.g_00041
OG0000063	Prba.g_01135	Prbe.g_01522
OG0000065	Prba.g_01192	Prbe.g_00893
OG0000066	Prba.g_00175	Prbe.g_00353
OG0000067	Prba.g_00900	Prbe.g_00713
OG0000068	Prba.g_00429	Prbe.g_00836
OG0000071	Prba.g_01804	Prbe.g_01076
OG0000072	Prba.g_00538	Prbe.g_01875
OG0000073	Prba.g_01648	Prbe.g_01449
OG0000074	Prba.g_01626	Prbe.g_00466
OG0000075	Prba.g_01492	Prbe.g_01229
OG0000076	Prba.g_01264	Prbe.g_01297
OG0000077	Prba.g_00242	Prbe.g_01118
OG0000078	Prba.g_00155	Prbe.g_00350
OG0000079	Prba.g_00310	Prbe.g_00226
OG0000080	Prba.g_00261	Prbe.g_00714
OG0000081	Prba.g_01069	Prbe.g_00802
OG0000083	Prba.g_01796	Prbe.g_01068
OG0000084	Prba.g_01799	Prbe.g_01071
OG0000085	Prba.g_01816	Prbe.g_00123
OG0000087	Prba.g_01843	Prbe.g_00152
OG0000088	Prba.g_01901	Prbe.g_01657
OG0000089	Prba.g_01909	Prbe.g_01666
OG0000090	Prba.g_01927	Prbe.g_01683
OG0000091	Prba.g_00625	Prbe.g_01717
OG0000092	Prba.g_00626	Prbe.g_01718
OG0000093	Prba.g_00640	Prbe.g_01732
OG0000094	Prba.g_00658	Prbe.g_01751
OG0000095	Prba.g_00663	Prbe.g_01756
OG0000096	Prba.g_00470	Prbe.g_01804
OG0000097	Prba.g_00491	Prbe.g_01828
OG0000099	Prba.g_00510	Prbe.g_01849
OG0000100	Prba.g_00513	Prbe.g_01852
OG0000101	Prba.g_00851	Prbe.g_01917
OG0000102	Prba.g_00877	Prbe.g_00911
OG0000103	Prba.g_00985	Prbe.g_00657
OG0000104	Prba.g_00981	Prbe.g_00653
OG0000105	Prba.g_00962	Prbe.g_00633
OG0000106	Prba.g_00929	Prbe.g_00603
OG0000107	Prba.g_00928	Prbe.g_00602
OG0000108	Prba.g_01772	Prbe.g_00592
OG0000109	Prba.g_01763	Prbe.g_00583
OG0000110	Prba.g_01747	Prbe.g_00566
OG0000111	Prba.g_01666	Prbe.g_01468
OG0000112	Prba.g_01665	Prbe.g_01467
OG0000113	Prba.g_01572	Prbe.g_01417
OG0000114	Prba.g_01501	Prbe.g_01220
OG0000115	Prba.g_01337	Prbe.g_01350
OG0000116	Prba.g_01333	Prbe.g_01354
OG0000117	Prba.g_01267	Prbe.g_01300
OG0000118	Prba.g_01216	Prbe.g_01594
OG0000119	Prba.g_00094	Prbe.g_00044
OG0000120	Prba.g_00057	Prbe.g_01543
OG0000121	Prba.g_00038	Prbe.g_01520
OG0000122	Prba.g_00019	Prbe.g_01500
OG0000123	Prba.g_00006	Prbe.g_00501
OG0000124	Prba.g_01084	Prbe.g_00215
OG0000125	Prba.g_01204	Prbe.g_00880
OG0000126	Prba.g_00196	Prbe.g_00373
OG0000127	Prba.g_00110	Prbe.g_00323
OG0000128	Prba.g_00712	Prbe.g_00310
OG0000129	Prba.g_00351, Prba.g_00676	Prbe.g_00274
