Orthogroup	Prbb	Syam
OG0000001	Prbb.g_01611	Syam.g_00946, Syam.g_02177, Syam.g_02178, Syam.g_00929
OG0000002	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Syam.g_00931
OG0000004	Prbb.g_01450	Syam.g_00787
OG0000004	Prbb.g_00288	Syam.g_01499, Syam.g_00501
OG0000005	Prbb.g_01393	Syam.g_02004
OG0000005	Prbb.g_01766	Syam.g_01970
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syam.g_01446, Syam.g_00286, Syam.g_00518
OG0000007	Prbb.g_00501	Syam.g_00602
OG0000007	Prbb.g_01823	Syam.g_01990
OG0000008	Prbb.g_01884	Syam.g_00810
OG0000008	Prbb.g_01885	Syam.g_00811
OG0000010	Prbb.g_01072	Syam.g_01669
OG0000011	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syam.g_00814
OG0000013	Prbb.g_00378	Syam.g_00409, Syam.g_00421, Syam.g_00404
OG0000014	Prbb.g_00357	Syam.g_00191
OG0000015	Prbb.g_01158	Syam.g_01218, Syam.g_01362
OG0000016	Prbb.g_00014	Syam.g_00014
OG0000016	Prbb.g_01919	Syam.g_00876, Syam.g_01011
OG0000018	Prbb.g_01539	Syam.g_01640
OG0000019	Prbb.g_00761	Syam.g_00274
OG0000021	Prbb.g_01914, Prbb.g_00099	Syam.g_00523
OG0000022	Prbb.g_01258	Syam.g_01418
OG0000023	Prbb.g_01411, Prbb.g_01373	Syam.g_01217, Syam.g_01553, Syam.g_01583, Syam.g_01075, Syam.g_01943
OG0000024	Prbb.g_01175, Prbb.g_00680	Syam.g_00815
OG0000025	Prbb.g_00052, Prbb.g_00818	Syam.g_00740
OG0000026	Prbb.g_00032	Syam.g_00035
OG0000027	Prbb.g_01375	Syam.g_01442, Syam.g_00989
OG0000028	Prbb.g_01635	Syam.g_00176
OG0000029	Prbb.g_01800	Syam.g_01390, Syam.g_01055
OG0000030	Prbb.g_02073	Syam.g_00104, Syam.g_00103
OG0000031	Prbb.g_00387	Syam.g_00171, Syam.g_00086
OG0000032	Prbb.g_01723	Syam.g_01660
OG0000033	Prbb.g_00226	Syam.g_02217
OG0000034	Prbb.g_01596	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Prbb.g_01686	Syam.g_01612
OG0000037	Prbb.g_00164	Syam.g_02125
OG0000038	Prbb.g_02129	Syam.g_02317
OG0000039	Prbb.g_00692	Syam.g_00749
OG0000041	Prbb.g_01868	Syam.g_01899, Syam.g_00765
OG0000042	Prbb.g_02069	Syam.g_00107
OG0000043	Prbb.g_00909	Syam.g_01041
OG0000044	Prbb.g_00079	Syam.g_02052, Syam.g_01562
OG0000046	Prbb.g_00379	Syam.g_00410, Syam.g_00420, Syam.g_00403
OG0000047	Prbb.g_00386, Prbb.g_00421	Syam.g_00434
OG0000048	Prbb.g_00325	Syam.g_00243
OG0000052	Prbb.g_00112	Syam.g_00161
OG0000053	Prbb.g_01705	Syam.g_01636
OG0000054	Prbb.g_00607	Syam.g_01515
OG0000057	Prbb.g_01359, Prbb.g_00706	Syam.g_00784
OG0000058	Prbb.g_00851	Syam.g_00169
OG0000059	Prbb.g_01946	Syam.g_00320
OG0000060	Prbb.g_01153	Syam.g_00902
OG0000061	Prbb.g_01517	Syam.g_01795
OG0000062	Prbb.g_01768	Syam.g_01972
OG0000063	Prbb.g_01921	Syam.g_00039
OG0000065	Prbb.g_00162	Syam.g_02121
OG0000066	Prbb.g_00542	Syam.g_00552, Syam.g_00662
OG0000067	Prbb.g_00783	Syam.g_01290
OG0000068	Prbb.g_01639	Syam.g_00575
OG0000069	Prbb.g_01324, Prbb.g_01729	Syam.g_01521
OG0000070	Prbb.g_00455	Syam.g_01847
OG0000071	Prbb.g_01586	Syam.g_01830
OG0000072	Prbb.g_00228	Syam.g_02219
OG0000073	Prbb.g_00503	Syam.g_00604
OG0000074	Prbb.g_01104	Syam.g_00533
OG0000075	Prbb.g_02036	Syam.g_00148
OG0000076	Prbb.g_02061	Syam.g_00115
OG0000077	Prbb.g_00133	Syam.g_02074
OG0000078	Prbb.g_00297	Syam.g_00514
OG0000079	Prbb.g_00308	Syam.g_00270
OG0000081	Prbb.g_00534	Syam.g_00520, Syam.g_01918
OG0000082	Prbb.g_01882	Syam.g_01730
OG0000084	Prbb.g_01683	Syam.g_00441
OG0000085	Prbb.g_01816	Syam.g_01979
OG0000086	Prbb.g_00143	Syam.g_02092
OG0000087	Prbb.g_00196	Syam.g_02175
OG0000088	Prbb.g_00223	Syam.g_02213
OG0000089	Prbb.g_00416	Syam.g_00489
OG0000090	Prbb.g_00536	Syam.g_00651
OG0000091	Prbb.g_00643	Syam.g_01460
OG0000093	Prbb.g_00768	Syam.g_01305
OG0000094	Prbb.g_00892	Syam.g_01198
OG0000095	Prbb.g_01070	Syam.g_00774
OG0000097	Prbb.g_01470	Syam.g_00874
OG0000098	Prbb.g_01608	Syam.g_00944
OG0000099	Prbb.g_00388	Syam.g_00173
OG0000100	Prbb.g_01763	Syam.g_01259
OG0000101	Prbb.g_02001	Syam.g_00371
OG0000102	Prbb.g_02066	Syam.g_00110
OG0000103	Prbb.g_02174	Syam.g_02428
OG0000104	Prbb.g_02185	Syam.g_02442
OG0000105	Prbb.g_00327	Syam.g_00238
