Orthogroup	Praf	Syar
OG0000001	Praf.g_01031	Syar.g_00069
OG0000001	Praf.g_02422	Syar.g_00070
OG0000001	Praf.g_01293	Syar.g_02229
OG0000004	Praf.g_01121	Syar.g_02051
OG0000004	Praf.g_00743	Syar.g_02225, Syar.g_00842
OG0000005	Praf.g_00503	Syar.g_02909
OG0000006	Praf.g_00396, Praf.g_01719	Syar.g_02439, Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000007	Praf.g_00614	Syar.g_01491
OG0000007	Praf.g_00480	Syar.g_02929
OG0000008	Praf.g_01223	Syar.g_02097
OG0000008	Praf.g_01224	Syar.g_02098
OG0000009	Praf.g_01768, Praf.g_00246	Syar.g_03116
OG0000010	Praf.g_01908	Syar.g_01272
OG0000013	Praf.g_02073	Syar.g_03281, Syar.g_02032, Syar.g_01103, Syar.g_01106, Syar.g_03167
OG0000014	Praf.g_02319	Syar.g_00825
OG0000014	Praf.g_00112	Syar.g_02736
OG0000015	Praf.g_01030, Praf.g_01033, Praf.g_01618	Syar.g_00451, Syar.g_00180
OG0000016	Praf.g_00014, Praf.g_00906	Syar.g_02859
OG0000017	Praf.g_00752	Syar.g_03181
OG0000017	Praf.g_00760	Syar.g_02180
OG0000018	Praf.g_01832	Syar.g_01409
OG0000019	Praf.g_02214	Syar.g_00163
OG0000022	Praf.g_00965	Syar.g_00835
OG0000025	Praf.g_01591	Syar.g_01811
OG0000026	Praf.g_00037	Syar.g_00505
OG0000028	Praf.g_02333	Syar.g_00718
OG0000031	Praf.g_02400	Syar.g_00714
OG0000032	Praf.g_01851	Syar.g_01390
OG0000032	Praf.g_02346	Syar.g_00543
OG0000033	Praf.g_02457	Syar.g_00105
OG0000034	Praf.g_00783	Syar.g_00074, Syar.g_02790
OG0000035	Praf.g_01794	Syar.g_02809
OG0000037	Praf.g_00240	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Praf.g_02660	Syar.g_00334
OG0000038	Praf.g_02662	Syar.g_00336
OG0000039	Praf.g_00406	Syar.g_02827
OG0000039	Praf.g_02541	Syar.g_02151
OG0000041	Praf.g_00426	Syar.g_01370, Syar.g_02014
OG0000042	Praf.g_00164, Praf.g_00920	Syar.g_00595, Syar.g_01970
OG0000044	Praf.g_00356, Praf.g_01078	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Praf.g_00322	Syar.g_02592
OG0000046	Praf.g_02072	Syar.g_03233, Syar.g_01102, Syar.g_01105
OG0000048	Praf.g_02267	Syar.g_00213
OG0000051	Praf.g_01022, Praf.g_01479	Syar.g_01597
OG0000052	Praf.g_02366	Syar.g_02742, Syar.g_02751, Syar.g_00281
OG0000053	Praf.g_01828	Syar.g_01413
OG0000054	Praf.g_00763	Syar.g_02265
OG0000055	Praf.g_01257	Syar.g_01386
OG0000056	Praf.g_01881	Syar.g_01662
OG0000057	Praf.g_01125	Syar.g_01941, Syar.g_00006
OG0000058	Praf.g_02345	Syar.g_00648
OG0000059	Praf.g_02172	Syar.g_01024
OG0000060	Praf.g_00592	Syar.g_01260
OG0000061	Praf.g_00854	Syar.g_01539
OG0000062	Praf.g_01047	Syar.g_01439
OG0000062	Praf.g_00501	Syar.g_02911
OG0000063	Praf.g_00041	Syar.g_00509
OG0000065	Praf.g_00244	Syar.g_03119
OG0000066	Praf.g_00672	Syar.g_03187, Syar.g_02228
OG0000068	Praf.g_00585, Praf.g_00583	Syar.g_02329, Syar.g_01461
OG0000070	Praf.g_01962	Syar.g_02223, Syar.g_03150
OG0000071	Praf.g_00796	Syar.g_02777
OG0000072	Praf.g_02469	Syar.g_01140
OG0000073	Praf.g_00616	Syar.g_01493
OG0000075	Praf.g_02384	Syar.g_03065, Syar.g_00659
OG0000076	Praf.g_00178	Syar.g_00608
OG0000078	Praf.g_00391	Syar.g_03265, Syar.g_03018
OG0000079	Praf.g_02234, Praf.g_02218, Praf.g_02225	Syar.g_00166
OG0000081	Praf.g_01131	Syar.g_01898
OG0000082	Praf.g_00731	Syar.g_02202
OG0000085	Praf.g_00491	Syar.g_02919
OG0000086	Praf.g_00297	Syar.g_03085
OG0000087	Praf.g_02420	Syar.g_03192, Syar.g_00068
OG0000088	Praf.g_01239	Syar.g_00101
OG0000089	Praf.g_02015	Syar.g_01162
OG0000090	Praf.g_00660	Syar.g_03271, Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Praf.g_01700	Syar.g_01891, Syar.g_02426
OG0000093	Praf.g_01503	Syar.g_02623
OG0000094	Praf.g_02685	Syar.g_01789
OG0000095	Praf.g_01274	Syar.g_01932
OG0000097	Praf.g_00905	Syar.g_01706
OG0000098	Praf.g_01886	Syar.g_02343
OG0000099	Praf.g_02342	Syar.g_00715
OG0000100	Praf.g_00370, Praf.g_01561	Syar.g_02477
OG0000101	Praf.g_02119	Syar.g_03154
OG0000102	Praf.g_00173	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Praf.g_02765	Syar.g_00014, Syar.g_00452
OG0000104	Praf.g_02779	Syar.g_00466
OG0000105	Praf.g_02271	Syar.g_00218
OG0000106	Praf.g_00496	Syar.g_01748
OG0000107	Praf.g_02201	Syar.g_00149
OG0000108	Praf.g_00595	Syar.g_01469
OG0000109	Praf.g_00611	Syar.g_03310, Syar.g_01485
OG0000110	Praf.g_00718	Syar.g_02295
OG0000111	Praf.g_01126	Syar.g_01940, Syar.g_00005
OG0000112	Praf.g_01400	Syar.g_02548
OG0000113	Praf.g_01556	Syar.g_02664
OG0000114	Praf.g_01461	Syar.g_01616
OG0000115	Praf.g_01825	Syar.g_02854, Syar.g_01415
OG0000116	Praf.g_00825	Syar.g_01525, Syar.g_02255
OG0000117	Praf.g_00919	Syar.g_01969
OG0000118	Praf.g_00779	Syar.g_02793
OG0000120	Praf.g_02343	Syar.g_00713
OG0000121	Praf.g_01796	Syar.g_02806
