Orthogroup	Pras	Prbd
OG0000000	Pras.g_00493	Prbd.g_01914
OG0000000	Pras.g_00470	Prbd.g_01568
OG0000000	Pras.g_00469	Prbd.g_01569
OG0000000	Pras.g_00117	Prbd.g_00528
OG0000001	Pras.g_00243	Prbd.g_01771
OG0000001	Pras.g_01554	Prbd.g_00566
OG0000002	Pras.g_00118, Pras.g_00120	Prbd.g_01930
OG0000002	Pras.g_00235	Prbd.g_01779
OG0000004	Pras.g_00182	Prbd.g_01835
OG0000004	Pras.g_00471	Prbd.g_01567
OG0000005	Pras.g_01631	Prbd.g_00031
OG0000005	Pras.g_01638	Prbd.g_00038
OG0000006	Pras.g_00163	Prbd.g_01870
OG0000006	Pras.g_01654	Prbd.g_00053
OG0000006	Pras.g_00004	Prbd.g_00409
OG0000007	Pras.g_00151	Prbd.g_01894
OG0000007	Pras.g_01237	Prbd.g_00854
OG0000008	Pras.g_01375	Prbd.g_00745
OG0000008	Pras.g_00550	Prbd.g_01525
OG0000010	Pras.g_01681	Prbd.g_00082
OG0000010	Pras.g_01101	Prbd.g_00990
OG0000011	Pras.g_01228	Prbd.g_00863
OG0000011	Pras.g_01653	Prbd.g_00052
OG0000012	Pras.g_01985	Prbd.g_00392
OG0000012	Pras.g_01227	Prbd.g_00864
OG0000013	Pras.g_00463	Prbd.g_01576
OG0000013	Pras.g_00956	Prbd.g_01139
OG0000014	Pras.g_01158	Prbd.g_00933
OG0000015	Pras.g_01182	Prbd.g_00909
OG0000016	Pras.g_00127	Prbd.g_00826
OG0000017	Pras.g_00185	Prbd.g_01832
OG0000017	Pras.g_01348	Prbd.g_00772
OG0000018	Pras.g_01474	Prbd.g_00646
OG0000019	Pras.g_01235	Prbd.g_00856
OG0000020	Pras.g_00246	Prbd.g_01768
OG0000021	Pras.g_00370	Prbd.g_01669
OG0000022	Pras.g_00148	Prbd.g_00998
OG0000023	Pras.g_00507	Prbd.g_01546
OG0000023	Pras.g_01218	Prbd.g_00874
OG0000024	Pras.g_00175	Prbd.g_01860
OG0000025	Pras.g_01645	Prbd.g_00045
OG0000026	Pras.g_00184	Prbd.g_01833
OG0000027	Pras.g_01548	Prbd.g_00572
OG0000029	Pras.g_01682	Prbd.g_00083
OG0000030	Pras.g_01683	Prbd.g_00084
OG0000031	Pras.g_00750	Prbd.g_01328
OG0000032	Pras.g_00875	Prbd.g_01204
OG0000033	Pras.g_00440	Prbd.g_01601
OG0000033	Pras.g_01634	Prbd.g_00034
OG0000034	Pras.g_00350	Prbd.g_01689
OG0000035	Pras.g_00464	Prbd.g_01575
OG0000036	Pras.g_00001	Prbd.g_00406
OG0000037	Pras.g_00508	Prbd.g_01544
OG0000039	Pras.g_00855	Prbd.g_01224
OG0000040	Pras.g_00176	Prbd.g_01859
OG0000041	Pras.g_01499	Prbd.g_00621
OG0000042	Pras.g_00797	Prbd.g_01281
OG0000045	Pras.g_01462	Prbd.g_00658
OG0000046	Pras.g_01662	Prbd.g_00061
OG0000047	Pras.g_00056	Prbd.g_00468
OG0000049	Pras.g_00291, Pras.g_00290	Prbd.g_01733
OG0000050	Pras.g_01017	Prbd.g_01074
OG0000051	Pras.g_01213	Prbd.g_00879
OG0000052	Pras.g_01296	Prbd.g_00833
OG0000053	Pras.g_01606	Prbd.g_00007
OG0000054	Pras.g_00543	Prbd.g_01532
OG0000055	Pras.g_00743	Prbd.g_01335
OG0000056	Pras.g_00873	Prbd.g_01206
OG0000057	Pras.g_01008	Prbd.g_01083
OG0000058	Pras.g_01223	Prbd.g_00868
OG0000059	Pras.g_01416	Prbd.g_00703
OG0000060	Pras.g_01619	Prbd.g_00020
OG0000061	Pras.g_01656	Prbd.g_00055
OG0000062	Pras.g_01723	Prbd.g_00124
OG0000065	Pras.g_01089	Prbd.g_01002
OG0000066	Pras.g_01353	Prbd.g_00767
OG0000067	Pras.g_01574	Prbd.g_00546
OG0000068	Pras.g_01636	Prbd.g_00036
OG0000069	Pras.g_00021	Prbd.g_00425
OG0000069	Pras.g_01880	Prbd.g_00284
OG0000070	Pras.g_01934	Prbd.g_00340
OG0000071	Pras.g_00150	Prbd.g_01895
OG0000072	Pras.g_00209	Prbd.g_01801
OG0000073	Pras.g_00227	Prbd.g_01784
OG0000074	Pras.g_00272, Pras.g_00273, Pras.g_00271, Pras.g_00330	Prbd.g_01737
OG0000075	Pras.g_00687	Prbd.g_01391
OG0000076	Pras.g_00326	Prbd.g_01730
OG0000077	Pras.g_00853	Prbd.g_01226
OG0000078	Pras.g_01174	Prbd.g_00917
OG0000079	Pras.g_01236	Prbd.g_00855
OG0000080	Pras.g_01545	Prbd.g_00575
OG0000081	Pras.g_01567	Prbd.g_00553
OG0000082	Pras.g_01708	Prbd.g_00109
OG0000083	Pras.g_01772	Prbd.g_00174
OG0000084	Pras.g_01859	Prbd.g_00264
OG0000085	Pras.g_01982	Prbd.g_00389
OG0000086	Pras.g_00023	Prbd.g_00427
OG0000087	Pras.g_00494	Prbd.g_01913
OG0000088	Pras.g_00155	Prbd.g_01889
OG0000089	Pras.g_00504	Prbd.g_01547
OG0000090	Pras.g_00294	Prbd.g_01734
OG0000091	Pras.g_00358	Prbd.g_01681
OG0000092	Pras.g_00477	Prbd.g_01561
OG0000093	Pras.g_00637	Prbd.g_01439
OG0000094	Pras.g_00684	Prbd.g_01394
OG0000095	Pras.g_00717	Prbd.g_01361
OG0000096	Pras.g_00789	Prbd.g_01289
OG0000097	Pras.g_00806	Prbd.g_01272
OG0000098	Pras.g_00845	Prbd.g_01234
OG0000099	Pras.g_00865	Prbd.g_01214
OG0000100	Pras.g_00892	Prbd.g_01199
OG0000101	Pras.g_00902	Prbd.g_01188
OG0000102	Pras.g_00964	Prbd.g_01131
OG0000103	Pras.g_00972	Prbd.g_01122
OG0000104	Pras.g_00990	Prbd.g_01103
OG0000105	Pras.g_01021	Prbd.g_01070
OG0000106	Pras.g_01035	Prbd.g_01056
OG0000107	Pras.g_01043	Prbd.g_01048
OG0000108	Pras.g_01053	Prbd.g_01038
OG0000109	Pras.g_01091	Prbd.g_01000
OG0000110	Pras.g_01103	Prbd.g_00988
OG0000111	Pras.g_01126	Prbd.g_00965
OG0000112	Pras.g_01136	Prbd.g_00955
OG0000113	Pras.g_01148	Prbd.g_00942
OG0000114	Pras.g_01177	Prbd.g_00914
OG0000115	Pras.g_01352	Prbd.g_00768
OG0000116	Pras.g_01354	Prbd.g_00766
OG0000117	Pras.g_01358	Prbd.g_00762
OG0000118	Pras.g_01377	Prbd.g_00743
OG0000119	Pras.g_01409	Prbd.g_00710
OG0000120	Pras.g_01410	Prbd.g_00709
OG0000121	Pras.g_01420	Prbd.g_00699
OG0000122	Pras.g_01429	Prbd.g_00690
OG0000123	Pras.g_01461	Prbd.g_00659
OG0000124	Pras.g_01527	Prbd.g_00593
OG0000125	Pras.g_01528	Prbd.g_00592
OG0000126	Pras.g_01529	Prbd.g_00591
OG0000127	Pras.g_01562	Prbd.g_00558
OG0000128	Pras.g_01608	Prbd.g_00009
OG0000129	Pras.g_01628	Prbd.g_00029
OG0000130	Pras.g_01686	Prbd.g_00087
OG0000131	Pras.g_01699	Prbd.g_00100
OG0000132	Pras.g_01734	Prbd.g_00136
OG0000133	Pras.g_01818	Prbd.g_00222
OG0000134	Pras.g_01827	Prbd.g_00232
OG0000135	Pras.g_01863	Prbd.g_00268
OG0000136	Pras.g_01931	Prbd.g_00337
OG0000137	Pras.g_00026	Prbd.g_00430
OG0000138	Pras.g_00051	Prbd.g_00463
OG0000139	Pras.g_00062	Prbd.g_00474
OG0000140	Pras.g_00114	Prbd.g_00525
OG0000141	Pras.g_00122	Prbd.g_01921
OG0000142	Pras.g_00222	Prbd.g_01789
OG0000143	Pras.g_00250	Prbd.g_01764
OG0000144	Pras.g_00337	Prbd.g_01702
OG0000145	Pras.g_00351	Prbd.g_01688
OG0000146	Pras.g_00388	Prbd.g_01652
OG0000147	Pras.g_00430	Prbd.g_01611
OG0000148	Pras.g_00431	Prbd.g_01610
OG0000149	Pras.g_00548	Prbd.g_01527
OG0000150	Pras.g_00586	Prbd.g_01489
OG0000151	Pras.g_00589	Prbd.g_01486
OG0000152	Pras.g_00609	Prbd.g_01466
OG0000153	Pras.g_00646	Prbd.g_01432
OG0000154	Pras.g_00682	Prbd.g_01396
OG0000155	Pras.g_00700	Prbd.g_01378
OG0000156	Pras.g_00728	Prbd.g_01350
OG0000157	Pras.g_00761	Prbd.g_01317
OG0000158	Pras.g_00824	Prbd.g_01255
OG0000160	Pras.g_00843	Prbd.g_01236
OG0000161	Pras.g_00844	Prbd.g_01235
OG0000162	Pras.g_00846	Prbd.g_01233
OG0000163	Pras.g_00847	Prbd.g_01232
OG0000164	Pras.g_00848	Prbd.g_01231
OG0000165	Pras.g_00849	Prbd.g_01230
OG0000166	Pras.g_00850	Prbd.g_01229
OG0000167	Pras.g_00851	Prbd.g_01228
OG0000168	Pras.g_00852	Prbd.g_01227
OG0000169	Pras.g_00854	Prbd.g_01225
OG0000170	Pras.g_00856	Prbd.g_01223
OG0000171	Pras.g_00857	Prbd.g_01222
OG0000172	Pras.g_00858	Prbd.g_01221
OG0000173	Pras.g_00859	Prbd.g_01220
OG0000174	Pras.g_00860	Prbd.g_01219
OG0000175	Pras.g_00861	Prbd.g_01218
OG0000176	Pras.g_00862	Prbd.g_01217
OG0000177	Pras.g_00863	Prbd.g_01216
OG0000178	Pras.g_00864	Prbd.g_01215
OG0000179	Pras.g_00866	Prbd.g_01213
OG0000180	Pras.g_00867	Prbd.g_01212
OG0000181	Pras.g_00868	Prbd.g_01211
OG0000182	Pras.g_00869	Prbd.g_01210
OG0000183	Pras.g_00870	Prbd.g_01209
OG0000184	Pras.g_00871	Prbd.g_01208
OG0000185	Pras.g_00874	Prbd.g_01205
OG0000186	Pras.g_00877	Prbd.g_01202
OG0000187	Pras.g_00878	Prbd.g_01201
OG0000188	Pras.g_00879	Prbd.g_01200
OG0000189	Pras.g_00893	Prbd.g_01198
OG0000190	Pras.g_00895	Prbd.g_01196
OG0000191	Pras.g_00896	Prbd.g_01195
OG0000192	Pras.g_00897	Prbd.g_01194
OG0000193	Pras.g_00898	Prbd.g_01192
OG0000194	Pras.g_00899	Prbd.g_01191
OG0000195	Pras.g_00900	Prbd.g_01190
OG0000196	Pras.g_00901	Prbd.g_01189
OG0000197	Pras.g_00903	Prbd.g_01187
OG0000198	Pras.g_00904	Prbd.g_01186
OG0000199	Pras.g_00905	Prbd.g_01185
OG0000200	Pras.g_00916	Prbd.g_01180
OG0000201	Pras.g_00917	Prbd.g_01179
OG0000202	Pras.g_00918	Prbd.g_01178
OG0000203	Pras.g_00921	Prbd.g_01175
OG0000204	Pras.g_00922	Prbd.g_01174
OG0000205	Pras.g_00924	Prbd.g_01171
OG0000206	Pras.g_00926	Prbd.g_01169
OG0000207	Pras.g_00928	Prbd.g_01167
OG0000208	Pras.g_00929	Prbd.g_01166
OG0000209	Pras.g_00930	Prbd.g_01165
OG0000210	Pras.g_00931	Prbd.g_01164
OG0000211	Pras.g_00932	Prbd.g_01163
OG0000212	Pras.g_00933	Prbd.g_01162
OG0000213	Pras.g_00934	Prbd.g_01161
OG0000214	Pras.g_00935	Prbd.g_01160
OG0000215	Pras.g_00936	Prbd.g_01159
OG0000216	Pras.g_00937	Prbd.g_01158
OG0000217	Pras.g_00939	Prbd.g_01156
OG0000218	Pras.g_00940	Prbd.g_01155
OG0000219	Pras.g_00941	Prbd.g_01154
OG0000220	Pras.g_00942	Prbd.g_01153
OG0000221	Pras.g_00945	Prbd.g_01150
OG0000222	Pras.g_00946	Prbd.g_01149
OG0000223	Pras.g_00947	Prbd.g_01148
OG0000224	Pras.g_00948	Prbd.g_01147
OG0000225	Pras.g_00949	Prbd.g_01146
OG0000226	Pras.g_00950	Prbd.g_01145
OG0000227	Pras.g_00951	Prbd.g_01144
OG0000228	Pras.g_00952	Prbd.g_01143
OG0000229	Pras.g_00953	Prbd.g_01142
OG0000230	Pras.g_00954	Prbd.g_01141
OG0000231	Pras.g_00955	Prbd.g_01140
OG0000232	Pras.g_00957	Prbd.g_01138
OG0000233	Pras.g_00958	Prbd.g_01137
OG0000234	Pras.g_00959	Prbd.g_01136
OG0000235	Pras.g_00960	Prbd.g_01135
OG0000236	Pras.g_00961	Prbd.g_01134
OG0000237	Pras.g_00962	Prbd.g_01133
OG0000238	Pras.g_00963	Prbd.g_01132
OG0000239	Pras.g_00965	Prbd.g_01130
OG0000240	Pras.g_00966	Prbd.g_01128
OG0000241	Pras.g_00967	Prbd.g_01127
OG0000242	Pras.g_00968	Prbd.g_01126
OG0000243	Pras.g_00971	Prbd.g_01123
OG0000244	Pras.g_00973	Prbd.g_01121
OG0000245	Pras.g_00974	Prbd.g_01120
OG0000246	Pras.g_00975	Prbd.g_01119
OG0000247	Pras.g_00978	Prbd.g_01116
OG0000248	Pras.g_00980	Prbd.g_01114
OG0000249	Pras.g_00981	Prbd.g_01113
OG0000250	Pras.g_00982	Prbd.g_01112
OG0000251	Pras.g_00983	Prbd.g_01111
OG0000252	Pras.g_00984	Prbd.g_01110
OG0000253	Pras.g_00985	Prbd.g_01109
OG0000254	Pras.g_00987	Prbd.g_01107
OG0000255	Pras.g_00988	Prbd.g_01106
OG0000256	Pras.g_00991	Prbd.g_01102
OG0000257	Pras.g_00993	Prbd.g_01100
OG0000258	Pras.g_00996	Prbd.g_01095
OG0000259	Pras.g_00997	Prbd.g_01094
OG0000260	Pras.g_00998	Prbd.g_01093
OG0000261	Pras.g_00999	Prbd.g_01092
OG0000262	Pras.g_01000	Prbd.g_01091
OG0000263	Pras.g_01002	Prbd.g_01089
OG0000264	Pras.g_01003	Prbd.g_01088
OG0000265	Pras.g_01004	Prbd.g_01087
OG0000266	Pras.g_01005	Prbd.g_01086
OG0000267	Pras.g_01006	Prbd.g_01085
OG0000268	Pras.g_01007	Prbd.g_01084
OG0000269	Pras.g_01009	Prbd.g_01082
OG0000270	Pras.g_01010	Prbd.g_01081
OG0000271	Pras.g_01011	Prbd.g_01080
OG0000272	Pras.g_01012	Prbd.g_01079
OG0000273	Pras.g_01013	Prbd.g_01078
OG0000274	Pras.g_01014	Prbd.g_01077
OG0000275	Pras.g_01015	Prbd.g_01076
OG0000276	Pras.g_01016	Prbd.g_01075
OG0000277	Pras.g_01018	Prbd.g_01073
OG0000278	Pras.g_01019	Prbd.g_01072
OG0000279	Pras.g_01020	Prbd.g_01071
OG0000280	Pras.g_01022	Prbd.g_01069
OG0000281	Pras.g_01024	Prbd.g_01067
OG0000282	Pras.g_01025	Prbd.g_01066
OG0000283	Pras.g_01026	Prbd.g_01065
OG0000284	Pras.g_01027	Prbd.g_01064
OG0000285	Pras.g_01028	Prbd.g_01063
OG0000286	Pras.g_01029	Prbd.g_01062
OG0000287	Pras.g_01030	Prbd.g_01061
OG0000288	Pras.g_01032	Prbd.g_01059
OG0000289	Pras.g_01033	Prbd.g_01058
OG0000290	Pras.g_01034	Prbd.g_01057
OG0000291	Pras.g_01036	Prbd.g_01055
OG0000292	Pras.g_01037	Prbd.g_01054
OG0000293	Pras.g_01038	Prbd.g_01053
OG0000294	Pras.g_01039	Prbd.g_01052
OG0000295	Pras.g_01040	Prbd.g_01051
OG0000296	Pras.g_01041	Prbd.g_01050
OG0000297	Pras.g_01042	Prbd.g_01049
