Orthogroup	Species	Prad	Orthologs
OG0000000	Prbe	Prad.g_01982, Prad.g_00392	Prbe.g_01119
OG0000000	Prap	Prad.g_01982, Prad.g_00392	Prap.g_01862
OG0000000	Prbf	Prad.g_01982, Prad.g_00392	Prbf.g_00776
OG0000000	Prak	Prad.g_01982, Prad.g_00392	Prak.g_01562
OG0000000	Prbn	Prad.g_01982, Prad.g_00392	Prbn.g_01662
OG0000000	Prbg	Prad.g_01982, Prad.g_00392	Prbg.g_01567
OG0000000	Prbh	Prad.g_01982, Prad.g_00392	Prbh.g_01903
OG0000000	Pram	Prad.g_01982, Prad.g_00392	Pram.g_01511
OG0000000	Pral	Prad.g_01982, Prad.g_00392	Pral.g_00037
OG0000000	Prbb	Prad.g_01982	Prbb.g_01354, Prbb.g_00432, Prbb.g_01401, Prbb.g_01120, Prbb.g_01785
OG0000000	Prbm	Prad.g_01982	Prbm.g_01406, Prbm.g_01116, Prbm.g_00435, Prbm.g_01808
OG0000000	Praj	Prad.g_01982	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730
OG0000000	Prbc	Prad.g_01982	Prbc.g_00104, Prbc.g_02164, Prbc.g_00806
OG0000000	Prau	Prad.g_01982	Prau.g_01665
OG0000000	Pras	Prad.g_01982	Pras.g_00493
OG0000000	Prai	Prad.g_01982	Prai.g_01612
OG0000000	Praq	Prad.g_01982	Praq.g_01956
OG0000000	Prar	Prad.g_01982	Prar.g_00713
OG0000000	Prac	Prad.g_01982	Prac.g_00277
OG0000000	Prbd	Prad.g_01982	Prbd.g_01914
OG0000000	Praa	Prad.g_01982	Praa.g_01235
OG0000000	Praz	Prad.g_01982	Praz.g_00894
OG0000000	Pray	Prad.g_01982	Pray.g_01576
OG0000000	Prba	Prad.g_01982	Prba.g_00243
OG0000000	Prbc	Prad.g_00392	Prbc.g_02165
OG0000000	Praj	Prad.g_00392	Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Prbb	Prad.g_00392	Prbb.g_01121, Prbb.g_01319, Prbb.g_00431, Prbb.g_01244
OG0000000	Prbm	Prad.g_00392	Prbm.g_01117, Prbm.g_01382, Prbm.g_01229, Prbm.g_00436, Prbm.g_01407
OG0000000	Prbl	Prad.g_00392	Prbl.g_00116
OG0000000	Prbj	Prad.g_00392	Prbj.g_00164
OG0000000	Prbk	Prad.g_00392	Prbk.g_00165
