Orthogroup	Prbn	Prbl
OG0000000	Prbn.g_01662	Prbl.g_00116
OG0000001	Prbn.g_01213, Prbn.g_01923	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000002	Prbn.g_01483, Prbn.g_01478	Prbl.g_01582
OG0000002	Prbn.g_01159, Prbn.g_01234, Prbn.g_01161, Prbn.g_01154, Prbn.g_00879, Prbn.g_01586	Prbl.g_01092
OG0000004	Prbn.g_01565	Prbl.g_00021
OG0000004	Prbn.g_00318	Prbl.g_01771
OG0000005	Prbn.g_00899	Prbl.g_00419
OG0000006	Prbn.g_00308	Prbl.g_02601
OG0000007	Prbn.g_00617	Prbl.g_00531
OG0000007	Prbn.g_01745	Prbl.g_00394
OG0000008	Prbn.g_01645	Prbl.g_01855
OG0000008	Prbn.g_01646	Prbl.g_01854
OG0000010	Prbn.g_01939, Prbn.g_01357, Prbn.g_00640	Prbl.g_01341
OG0000012	Prbn.g_00492	Prbl.g_01618
OG0000013	Prbn.g_00092	Prbl.g_01183
OG0000014	Prbn.g_00074	Prbl.g_01416
OG0000015	Prbn.g_01684, Prbn.g_01730	Prbl.g_01566
OG0000017	Prbn.g_00510	Prbl.g_01755
OG0000017	Prbn.g_00517	Prbl.g_01763
OG0000018	Prbn.g_01167, Prbn.g_01518	Prbl.g_00694
OG0000019	Prbn.g_00015, Prbn.g_01165	Prbl.g_01097
OG0000020	Prbn.g_00875	Prbl.g_01076
OG0000020	Prbn.g_00133	Prbl.g_01026, Prbl.g_01386
OG0000021	Prbn.g_00874	Prbl.g_01531
OG0000021	Prbn.g_01560	Prbl.g_01768
OG0000022	Prbn.g_00891	Prbl.g_01310
OG0000023	Prbn.g_01030	Prbl.g_02355
OG0000024	Prbn.g_01353, Prbn.g_01589	Prbl.g_00040
OG0000025	Prbn.g_01510	Prbl.g_01539
OG0000026	Prbn.g_00750	Prbl.g_01977
OG0000029	Prbn.g_00126, Prbn.g_01676	Prbl.g_01163
OG0000030	Prbn.g_00985	Prbl.g_02061, Prbl.g_02060
OG0000031	Prbn.g_00171	Prbl.g_00830, Prbl.g_00835
OG0000032	Prbn.g_00251	Prbl.g_00712
OG0000033	Prbn.g_01244	Prbl.g_00278
OG0000034	Prbn.g_01073	Prbl.g_01734
OG0000035	Prbn.g_00212	Prbl.g_00242
OG0000037	Prbn.g_01310	Prbl.g_00548
OG0000038	Prbn.g_00946	Prbl.g_02235, Prbl.g_02233
