Orthogroup	Syaf	Prad
OG0000001	Syaf.g_01640	Prad.g_00609, Prad.g_01434, Prad.g_01994
OG0000004	Syaf.g_01455	Prad.g_01269
OG0000004	Syaf.g_02351, Syaf.g_02794	Prad.g_01759
OG0000005	Syaf.g_01017	Prad.g_00928
OG0000005	Syaf.g_01057	Prad.g_00438
OG0000006	Syaf.g_00179, Syaf.g_02778	Prad.g_01750
OG0000007	Syaf.g_02702	Prad.g_00132
OG0000007	Syaf.g_01033	Prad.g_00941
OG0000009	Syaf.g_00905	Prad.g_01888
OG0000010	Syaf.g_02499	Prad.g_01304, Prad.g_01011, Prad.g_00033
OG0000011	Syaf.g_01532	Prad.g_01218, Prad.g_00339
OG0000012	Syaf.g_01353, Syaf.g_01833, Syaf.g_01462, Syaf.g_01693	Prad.g_01412
OG0000013	Syaf.g_00044, Syaf.g_00061, Syaf.g_00056	Prad.g_01664
OG0000014	Syaf.g_00280	Prad.g_01685
OG0000015	Syaf.g_02120, Syaf.g_02121	Prad.g_01108
OG0000016	Syaf.g_00484	Prad.g_01973
OG0000017	Syaf.g_02561	Prad.g_01387
OG0000018	Syaf.g_02451	Prad.g_01515, Prad.g_01173
OG0000019	Syaf.g_00193	Prad.g_01742, Prad.g_01125
OG0000020	Syaf.g_02187	Prad.g_00647, Prad.g_01299
OG0000021	Syaf.g_01726	Prad.g_01981, Prad.g_00745
OG0000022	Syaf.g_02256	Prad.g_01105, Prad.g_01993
OG0000023	Syaf.g_01765, Syaf.g_01987, Syaf.g_01731, Syaf.g_01995	Prad.g_00751
OG0000024	Syaf.g_01484	Prad.g_01088, Prad.g_01249
OG0000025	Syaf.g_01385	Prad.g_01181, Prad.g_01660
OG0000026	Syaf.g_00461	Prad.g_01955, Prad.g_01004
OG0000027	Syaf.g_02284, Syaf.g_01688	Prad.g_01298, Prad.g_00353
OG0000028	Syaf.g_00297	Prad.g_01671, Prad.g_01204
OG0000029	Syaf.g_01761	Prad.g_00734, Prad.g_01096
OG0000032	Syaf.g_02471	Prad.g_00572
OG0000033	Syaf.g_00807	Prad.g_01822
OG0000034	Syaf.g_01241, Syaf.g_00837	Prad.g_00618
OG0000035	Syaf.g_02412	Prad.g_00515
OG0000037	Syaf.g_00899	Prad.g_01884
OG0000038	Syaf.g_00642	Prad.g_01582
OG0000039	Syaf.g_01395	Prad.g_01260
OG0000041	Syaf.g_01171	Prad.g_00894
OG0000042	Syaf.g_00403	Prad.g_01624
OG0000043	Syaf.g_01747	Prad.g_00313
OG0000044	Syaf.g_01358, Syaf.g_01992	Prad.g_01213
OG0000045	Syaf.g_00979	Prad.g_00738
OG0000047	Syaf.g_00030	Prad.g_00683, Prad.g_01661
OG0000048	Syaf.g_00230	Prad.g_00735
OG0000050	Syaf.g_01770	Prad.g_01291
OG0000051	Syaf.g_00972	Prad.g_00342
OG0000053	Syaf.g_02447	Prad.g_00494
OG0000054	Syaf.g_02376	Prad.g_01395
OG0000055	Syaf.g_01402	Prad.g_01126
OG0000057	Syaf.g_01452	Prad.g_01272
OG0000058	Syaf.g_00316	Prad.g_00565
OG0000059	Syaf.g_00143	Prad.g_00855
OG0000061	Syaf.g_01288	Prad.g_01496
OG0000062	Syaf.g_02167	Prad.g_00436
OG0000063	Syaf.g_00457	Prad.g_01953, Prad.g_00081
OG0000065	Syaf.g_00903	Prad.g_01886
OG0000066	Syaf.g_02643	Prad.g_00090
OG0000067	Syaf.g_02049	Prad.g_01146
OG0000068	Syaf.g_02733	Prad.g_00594
OG0000070	Syaf.g_01237	Prad.g_00057
OG0000071	Syaf.g_01254	Prad.g_00628
OG0000072	Syaf.g_00805	Prad.g_01820
OG0000073	Syaf.g_02700	Prad.g_00130
OG0000075	Syaf.g_00353	Prad.g_00775
OG0000076	Syaf.g_00388	Prad.g_01631
OG0000077	Syaf.g_00951	Prad.g_01915
OG0000078	Syaf.g_02782	Prad.g_01752
OG0000079	Syaf.g_00197	Prad.g_01739
OG0000080	Syaf.g_00306	Prad.g_00560
OG0000081	Syaf.g_02776	Prad.g_00098
OG0000082	Syaf.g_02576	Prad.g_01374
OG0000084	Syaf.g_02409	Prad.g_00519
OG0000085	Syaf.g_01048	Prad.g_00948
OG0000086	Syaf.g_00932	Prad.g_01905
OG0000087	Syaf.g_00848	Prad.g_01854
OG0000088	Syaf.g_00811	Prad.g_01825
OG0000089	Syaf.g_02807	Prad.g_00755
OG0000090	Syaf.g_02654	Prad.g_00096
OG0000091	Syaf.g_02302	Prad.g_01431
OG0000094	Syaf.g_01940	Prad.g_01038
OG0000097	Syaf.g_01574	Prad.g_01454
OG0000098	Syaf.g_01637	Prad.g_00612
OG0000099	Syaf.g_00312	Prad.g_00566
OG0000100	Syaf.g_02017	Prad.g_00440
OG0000101	Syaf.g_00093	Prad.g_00807
OG0000102	Syaf.g_00393	Prad.g_01626
OG0000103	Syaf.g_00520	Prad.g_01548
OG0000104	Syaf.g_00502	Prad.g_01540
OG0000105	Syaf.g_00235	Prad.g_01717
OG0000106	Syaf.g_01745	Prad.g_00739
OG0000107	Syaf.g_00177	Prad.g_00724
OG0000108	Syaf.g_02721	Prad.g_00027
OG0000109	Syaf.g_02706	Prad.g_00013
OG0000110	Syaf.g_02589	Prad.g_01364
OG0000112	Syaf.g_01852	Prad.g_01109
OG0000113	Syaf.g_02022	Prad.g_01168
OG0000114	Syaf.g_02103	Prad.g_00245
OG0000115	Syaf.g_02445	Prad.g_00641
OG0000116	Syaf.g_01276	Prad.g_01506
OG0000117	Syaf.g_01605	Prad.g_01214
OG0000118	Syaf.g_02544	Prad.g_00616
OG0000120	Syaf.g_00313	Prad.g_00564
OG0000121	Syaf.g_02419	Prad.g_00513
OG0000123	Syaf.g_00086	Prad.g_00800
OG0000124	Syaf.g_00414	Prad.g_01616
OG0000125	Syaf.g_00640	Prad.g_01580
OG0000126	Syaf.g_00504	Prad.g_01541
OG0000128	Syaf.g_00486	Prad.g_01975
OG0000129	Syaf.g_00651	Prad.g_01943
OG0000130	Syaf.g_00963	Prad.g_01924
OG0000131	Syaf.g_00833	Prad.g_01846
OG0000132	Syaf.g_00813	Prad.g_01827
OG0000133	Syaf.g_01857	Prad.g_01669
OG0000134	Syaf.g_02804	Prad.g_00754
OG0000135	Syaf.g_00605	Prad.g_00727
OG0000136	Syaf.g_01224	Prad.g_00066
OG0000137	Syaf.g_02498	Prad.g_00032
OG0000138	Syaf.g_02705	Prad.g_00012
OG0000139	Syaf.g_02648	Prad.g_00092
OG0000140	Syaf.g_02646	Prad.g_00091
OG0000141	Syaf.g_02375	Prad.g_01396
OG0000142	Syaf.g_02310	Prad.g_01424
OG0000143	Syaf.g_02306	Prad.g_01428
OG0000144	Syaf.g_01735	Prad.g_01226
OG0000145	Syaf.g_02699	Prad.g_01107
OG0000146	Syaf.g_01851	Prad.g_01110
OG0000147	Syaf.g_01850	Prad.g_01111
OG0000148	Syaf.g_02028	Prad.g_01162
OG0000149	Syaf.g_01371	Prad.g_00301
OG0000150	Syaf.g_02645	Prad.g_00293
OG0000151	Syaf.g_02091	Prad.g_00235
OG0000152	Syaf.g_01861	Prad.g_00186
OG0000153	Syaf.g_01904	Prad.g_00167
OG0000154	Syaf.g_01930	Prad.g_00139
OG0000155	Syaf.g_01324	Prad.g_01476
OG0000156	Syaf.g_01270	Prad.g_00359
OG0000157	Syaf.g_01269	Prad.g_00360
OG0000158	Syaf.g_00364	Prad.g_00567
OG0000160	Syaf.g_02418	Prad.g_00514
OG0000161	Syaf.g_02424	Prad.g_00508
OG0000162	Syaf.g_02431	Prad.g_00502
OG0000163	Syaf.g_01105	Prad.g_00467
OG0000164	Syaf.g_00999	Prad.g_00917
OG0000165	Syaf.g_01197	Prad.g_00910
OG0000166	Syaf.g_00133	Prad.g_00843
OG0000167	Syaf.g_00350	Prad.g_00777
OG0000168	Syaf.g_00365	Prad.g_00767
OG0000169	Syaf.g_00376	Prad.g_01637
OG0000170	Syaf.g_00383	Prad.g_01635
OG0000171	Syaf.g_00413	Prad.g_01617
OG0000172	Syaf.g_00419	Prad.g_01609
OG0000173	Syaf.g_00438	Prad.g_01594
OG0000174	Syaf.g_00603	Prad.g_01566
OG0000175	Syaf.g_00531	Prad.g_01556
OG0000176	Syaf.g_00494	Prad.g_01532
OG0000177	Syaf.g_00493	Prad.g_01531
OG0000178	Syaf.g_00492	Prad.g_01530
OG0000179	Syaf.g_00477	Prad.g_01970
OG0000180	Syaf.g_00476	Prad.g_01969
OG0000181	Syaf.g_00475	Prad.g_01968
OG0000182	Syaf.g_00474	Prad.g_01967
OG0000183	Syaf.g_00470	Prad.g_01963
OG0000184	Syaf.g_00664	Prad.g_01940
OG0000185	Syaf.g_00684	Prad.g_01937
OG0000186	Syaf.g_00968	Prad.g_01929
OG0000187	Syaf.g_00966	Prad.g_01928
OG0000188	Syaf.g_00944	Prad.g_01911
OG0000189	Syaf.g_00916	Prad.g_01897
OG0000190	Syaf.g_00914	Prad.g_01896
OG0000191	Syaf.g_00877	Prad.g_01876
OG0000192	Syaf.g_00871	Prad.g_01872
OG0000193	Syaf.g_00832	Prad.g_01845
OG0000194	Syaf.g_00829	Prad.g_01842
OG0000195	Syaf.g_00827	Prad.g_01840
OG0000196	Syaf.g_00816	Prad.g_01830
OG0000197	Syaf.g_00815	Prad.g_01829
OG0000198	Syaf.g_00814	Prad.g_01828
OG0000199	Syaf.g_00806	Prad.g_01821
OG0000200	Syaf.g_00789	Prad.g_01807
OG0000202	Syaf.g_00770	Prad.g_01798
OG0000203	Syaf.g_00769	Prad.g_01797
OG0000204	Syaf.g_00768	Prad.g_01796
OG0000205	Syaf.g_00761	Prad.g_01789
OG0000206	Syaf.g_00736	Prad.g_01784
OG0000207	Syaf.g_00735	Prad.g_01782
OG0000208	Syaf.g_00734	Prad.g_01781
OG0000209	Syaf.g_00714	Prad.g_01772
OG0000210	Syaf.g_00713	Prad.g_01771
OG0000212	Syaf.g_02781	Prad.g_01751
OG0000213	Syaf.g_00210	Prad.g_01734
OG0000214	Syaf.g_00226	Prad.g_01724
OG0000215	Syaf.g_00258	Prad.g_01699
OG0000216	Syaf.g_00262	Prad.g_01697
OG0000217	Syaf.g_00266	Prad.g_01694
OG0000218	Syaf.g_00268	Prad.g_01692
OG0000219	Syaf.g_00269	Prad.g_01691
OG0000220	Syaf.g_00270	Prad.g_01690
OG0000221	Syaf.g_02597, Syaf.g_00273	Prad.g_01689
OG0000222	Syaf.g_00287	Prad.g_01681
OG0000223	Syaf.g_00317	Prad.g_01668
OG0000224	Syaf.g_00324	Prad.g_01666
OG0000225	Syaf.g_00007	Prad.g_01645
OG0000226	Syaf.g_00003	Prad.g_00761
OG0000227	Syaf.g_00001	Prad.g_00759
OG0000228	Syaf.g_02808	Prad.g_00756
OG0000229	Syaf.g_01214	Prad.g_00666
OG0000230	Syaf.g_01216	Prad.g_00069
OG0000231	Syaf.g_01236	Prad.g_00058
OG0000232	Syaf.g_02536	Prad.g_00049
OG0000233	Syaf.g_02528	Prad.g_00043
OG0000234	Syaf.g_02497	Prad.g_00031
OG0000235	Syaf.g_02722	Prad.g_00028
OG0000236	Syaf.g_02707	Prad.g_00014
OG0000237	Syaf.g_02690	Prad.g_00123
OG0000238	Syaf.g_02685	Prad.g_00117
OG0000239	Syaf.g_02669	Prad.g_00104
OG0000240	Syaf.g_02668	Prad.g_00103
OG0000241	Syaf.g_02322	Prad.g_00099
OG0000242	Syaf.g_02656	Prad.g_00097
OG0000243	Syaf.g_02634	Prad.g_01333
OG0000244	Syaf.g_02627	Prad.g_01336
OG0000245	Syaf.g_02625	Prad.g_01338
OG0000246	Syaf.g_02621	Prad.g_01342
OG0000247	Syaf.g_02610	Prad.g_01352
OG0000248	Syaf.g_02607	Prad.g_01354
OG0000249	Syaf.g_02605	Prad.g_01356
OG0000250	Syaf.g_02593	Prad.g_01361
OG0000251	Syaf.g_02568	Prad.g_01380
OG0000252	Syaf.g_02565	Prad.g_01383
OG0000253	Syaf.g_02564	Prad.g_01384
OG0000254	Syaf.g_02371	Prad.g_01400
OG0000255	Syaf.g_02352	Prad.g_01406
OG0000256	Syaf.g_02329	Prad.g_01416
OG0000257	Syaf.g_02323	Prad.g_01419
OG0000258	Syaf.g_02301	Prad.g_01432
OG0000259	Syaf.g_02137	Prad.g_01234
OG0000260	Syaf.g_02134	Prad.g_01237
OG0000261	Syaf.g_02131	Prad.g_01239
OG0000262	Syaf.g_02126	Prad.g_01243
OG0000263	Syaf.g_01585	Prad.g_01255
OG0000264	Syaf.g_01473	Prad.g_01265
OG0000265	Syaf.g_01196	Prad.g_01049
OG0000266	Syaf.g_01967	Prad.g_01059
OG0000267	Syaf.g_01787	Prad.g_01070
OG0000268	Syaf.g_01788	Prad.g_01071
