Orthogroup	Prat	Prbb
OG0000000	Prat.g_00977	Prbb.g_00844
OG0000000	Prat.g_00751	Prbb.g_00683
OG0000000	Prat.g_01462	Prbb.g_01549
OG0000000	Prat.g_01184	Prbb.g_01546
OG0000000	Prat.g_01487, Prat.g_01182	Prbb.g_01545
OG0000000	Prat.g_01187	Prbb.g_01550, Prbb.g_01544
OG0000001	Prat.g_01189	Prbb.g_01145
OG0000001	Prat.g_01547	Prbb.g_01123, Prbb.g_01352, Prbb.g_01403, Prbb.g_01787
OG0000002	Prat.g_01285, Prat.g_01286	Prbb.g_01611
OG0000002	Prat.g_00851	Prbb.g_01915, Prbb.g_00474, Prbb.g_01157
OG0000003	Prat.g_01190	Prbb.g_01144, Prbb.g_01246, Prbb.g_01356, Prbb.g_01321, Prbb.g_00429, Prbb.g_01792
OG0000004	Prat.g_00824	Prbb.g_01814, Prbb.g_00425
OG0000006	Prat.g_00458	Prbb.g_00501
OG0000006	Prat.g_01592	Prbb.g_01823
OG0000007	Prat.g_00376	Prbb.g_01884
OG0000007	Prat.g_00377	Prbb.g_01885
OG0000009	Prat.g_01180	Prbb.g_00761
OG0000010	Prat.g_00634	Prbb.g_01294
OG0000011	Prat.g_00374	Prbb.g_00421
OG0000012	Prat.g_00567	Prbb.g_00605
OG0000012	Prat.g_00560	Prbb.g_00598
OG0000013	Prat.g_00701	Prbb.g_01158
OG0000014	Prat.g_01548, Prat.g_01474	Prbb.g_01375
OG0000015	Prat.g_00615	Prbb.g_01189
OG0000016	Prat.g_00647, Prat.g_01452	Prbb.g_01632
OG0000017	Prat.g_01375	Prbb.g_01705
OG0000018	Prat.g_00248	Prbb.g_01560, Prbb.g_01328, Prbb.g_00299
OG0000019	Prat.g_00461	Prbb.g_00099
OG0000020	Prat.g_00278	Prbb.g_00325
OG0000022	Prat.g_01191	Prbb.g_01119, Prbb.g_01243, Prbb.g_01400, Prbb.g_00433, Prbb.g_01353, Prbb.g_01318
OG0000024	Prat.g_00314	Prbb.g_00357
OG0000025	Prat.g_00685	Prbb.g_00116, Prbb.g_01452
OG0000026	Prat.g_01516	Prbb.g_01921
OG0000028	Prat.g_01352, Prat.g_01353	Prbb.g_01686
OG0000029	Prat.g_01400	Prbb.g_01729
OG0000030	Prat.g_01473	Prbb.g_01562, Prbb.g_01570, Prbb.g_00045
OG0000032	Prat.g_01266	Prbb.g_00387
OG0000033	Prat.g_01219	Prbb.g_01919
OG0000033	Prat.g_00014	Prbb.g_00014
OG0000034	Prat.g_00058	Prbb.g_00112
OG0000035	Prat.g_00657	Prbb.g_01449
OG0000036	Prat.g_01507	Prbb.g_01882
OG0000037	Prat.g_00586	Prbb.g_01111
OG0000038	Prat.g_01448, Prat.g_01192	Prbb.g_01231
OG0000039	Prat.g_00166	Prbb.g_00223
OG0000040	Prat.g_00834	Prbb.g_01373, Prbb.g_01411
OG0000041	Prat.g_01552, Prat.g_00613	Prbb.g_01286
OG0000042	Prat.g_00788	Prbb.g_00713
OG0000043	Prat.g_00856	Prbb.g_00954
OG0000044	Prat.g_01156	Prbb.g_01517
OG0000045	Prat.g_01311	Prbb.g_00851
OG0000046	Prat.g_01584	Prbb.g_01816
OG0000047	Prat.g_01788	Prbb.g_02061
OG0000048	Prat.g_01796	Prbb.g_02069
OG0000050	Prat.g_00033	Prbb.g_00032
OG0000051	Prat.g_00157	Prbb.g_00214
OG0000052	Prat.g_00637	Prbb.g_01329
OG0000053	Prat.g_01499	Prbb.g_00542
OG0000054	Prat.g_01503	Prbb.g_00053
OG0000055	Prat.g_01014	Prbb.g_00807, Prbb.g_01218
OG0000056	Prat.g_00666, Prat.g_01463	Prbb.g_00054
OG0000057	Prat.g_00242	Prbb.g_00294
OG0000058	Prat.g_00434	Prbb.g_00478
OG0000059	Prat.g_00775	Prbb.g_01359, Prbb.g_00706
OG0000062	Prat.g_01495, Prat.g_01561	Prbb.g_01887
OG0000063	Prat.g_01129	Prbb.g_01399
OG0000065	Prat.g_01249	Prbb.g_01586
OG0000066	Prat.g_00344	Prbb.g_00678
